class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
18.669395,-15.774805,-11.983307,-3.42817,2.9410987,4.9809985,-10.566798,8.998026,-3.708506,-7.526899,6.460894,-0.81644666
8.408798,-7.062118,-1.0005071,-2.7106354,2.135789,-3.0708678,-3.8350291,3.0440192,-2.5609941,-24.714235,20.639263,20.195066
11.731889,-10.056378,-9.763699,1.7878273,-1.6594754,9.252712,-4.874867,4.124832,17.287191,-9.259809,7.5719123,13.4083185
-2.6976936,2.3186092,-3.7076151,-8.464906,7.0334053,12.370804,-5.8851514,4.989429,18.014109,-13.21278,11.06247,12.599494
0.18594009,-0.011652321,0.8143167,-14.234898,12.024,3.1640239,-12.46244,10.331712,11.606367,-14.379933,12.2148285,-2.221492
21.479856,-18.160788,-4.112501,-3.678794,3.1859155,-10.589436,-2.4666371,2.193985,4.6400228,-5.830629,4.920989,17.038927
4.3984857,-3.551712,-3.1965146,-18.138231,15.463358,-2.621986,-14.023831,11.932552,-3.9391022,-26.558105,22.32545,18.954277
30.569689,-25.768223,-4.5524983,-4.8992543,4.0119977,8.589497,-8.385663,6.825352,7.256206,-2.8677776,2.3963242,9.98909
33.838676,-28.590584,-6.8355055,-2.8286743,2.575125,4.120678,-23.8035,20.010302,19.133879,-12.50307,10.525164,2.471247
-2.70395,2.0557828,-4.8178535,-5.0187125,4.229302,6.858437,-6.8929296,5.9454284,3.5443983,-6.535821,5.5990143,-4.665806
19.440176,-16.677185,1.4913163,-10.497682,8.787671,12.94486,5.3907914,-4.7599664,-8.428079,21.238935,-18.141619,-9.429833
19.252607,-16.230316,-0.4668923,-0.3445217,0.14642766,-3.948904,-18.370584,15.517651,1.3325233,-3.986181,3.3465927,15.880168
11.682361,-10.043079,-3.979294,-18.706194,15.935432,-4.7535124,0.026264012,-0.17897531,8.51584,-4.7923284,4.1659365,2.8885572
-9.523435,8.055651,1.2126744,-8.426177,7.024917,10.101901,-10.589252,8.742978,12.06796,-7.583842,6.2306294,14.80404
-2.784777,2.4053102,-6.9303164,-8.449819,7.2908416,5.4656177,-2.6593268,1.9555804,-5.3599463,-9.274243,7.639811,-0.1935249
-1.0309117,0.81318676,-3.205303,-11.10662,9.190033,0.6854797,-13.38556,11.27632,0.7738672,-4.122616,3.589501,-9.665479
4.223193,-3.4395657,-6.3565216,-22.304213,18.50568,8.018338,-8.363831,7.0811124,17.714983,-4.6555424,4.021878,16.150896
23.904596,-20.28947,-15.549105,-2.6850538,2.4578505,3.241982,-2.6622224,2.3294387,15.821883,9.4453,-8.198673,-2.0596812
17.331131,-14.60556,-4.666307,-11.277874,9.628783,-5.668395,-6.5269628,5.1616244,-4.871086,0.51813334,-0.62528765,11.1600685
13.497092,-11.685378,3.7305384,-9.435424,7.900806,11.110685,8.4861765,-7.1215053,11.334046,-14.525723,12.011177,17.059708
1.1841853,-0.9427477,-8.298523,-12.124442,10.152155,13.80153,-11.85329,10.170423,-7.6197186,-7.9044003,6.67987,16.790617
-0.17377275,0.20769963,-7.7688246,-12.976244,10.784646,2.0052037,2.9484258,-2.5124826,7.8168488,-15.241401,12.667204,17.359835
31.320906,-26.461784,-5.4429264,-12.720788,10.414846,1.7758019,-10.990666,9.387863,3.7345343,-0.22729486,0.058141023,7.7990227
20.269579,-17.233765,-5.938316,-9.875364,8.45978,-9.027123,8.580515,-7.3237605,4.583273,-2.44285,1.9186518,9.50563
4.463444,-4.000554,-5.2557526,-6.1440377,5.0943427,9.258691,-3.96869,3.4763641,-11.525641,-1.0246794,0.96686864,-9.65347
26.275574,-22.406689,-3.3906798,-8.688176,7.048627,0.99954635,9.568525,-8.258787,8.10069,2.6915545,-2.3320417,8.582221
11.756765,-9.926289,-17.24938,-12.655074,10.606754,1.0580726,3.9897857,-3.4991221,6.1418314,-7.384582,6.181496,17.364325
14.559709,-12.196676,6.2729983,-13.353699,11.393163,-4.263802,7.361899,-6.1739984,9.766824,-4.1573524,3.63137,-10.5865
2.0230918,-1.5490762,-2.6253211,-5.967341,5.111765,6.4335284,-11.658275,9.629247,11.92124,-4.7761006,4.1055856,14.701257
7.727097,-6.734894,-6.898553,-11.551131,9.711956,19.641087,-5.1961284,4.404355,17.485754,-12.093974,9.993484,16.330574
18.744343,-15.931698,-1.3492725,-14.87769,12.3708,3.0005674,-9.066625,7.6268992,-1.8843274,-22.522816,19.183386,-0.9643889
16.875235,-14.279567,-19.899448,-7.361239,5.9636683,14.015143,-11.634283,9.651569,2.4974632,-10.423735,8.767839,-0.26821643
-0.271406,0.37482026,-4.870242,-5.1812377,4.5651298,4.4090805,-12.960084,11.133657,-5.9337134,-8.43957,6.921052,14.243966
18.43815,-15.525302,-0.6626373,-11.51641,9.839409,-6.115947,-6.2447095,5.0365295,1.7936425,-11.894298,10.105022,21.44375
18.004627,-15.160709,-0.23064715,-11.93782,10.053478,2.1197715,3.5147185,-3.0303602,4.8153386,-5.5570292,4.814222,-6.768954
-0.7319868,0.37903562,-3.651788,-8.247244,7.057832,-6.482971,-1.2592876,1.1722981,-5.370508,-18.292112,15.089759,1.6378272
8.155458,-6.858221,-0.93992716,-13.573291,11.465509,22.334837,-5.8769736,4.7120414,6.392654,-2.6338446,2.3474917,-11.740477
1.737083,-1.392997,-13.178189,-12.845538,10.897999,13.931206,6.5433373,-5.451254,-0.03252822,-0.15542668,-0.01665768,-3.8993533
20.452442,-17.355042,-2.4460573,-2.7202291,2.3763893,-12.261587,5.0386424,-4.0900474,-1.3496757,-6.4015565,5.5894995,4.587644
6.1079774,-5.090471,0.29460448,-11.734542,9.966598,-5.874077,-23.803217,19.978973,19.615314,-6.459906,5.5058007,-3.5667927
23.651888,-19.920547,-4.0513835,-2.2908573,1.8180985,11.186805,2.2763634,-2.083909,1.5009704,-15.340787,12.668862,1.6827981
18.008787,-15.110721,-11.216621,-16.16484,13.412164,15.721105,-15.969933,13.529723,-0.11215073,4.034846,-3.4543169,0.9517434
-1.9767289,1.6718181,-3.003114,-10.712382,8.782608,13.3395815,7.052407,-5.883371,11.818007,-1.1333821,1.0211546,14.968884
23.244406,-19.552708,1.8460464,-2.7880106,2.2839153,14.228678,-5.7824035,4.992636,2.6762683,6.49901,-5.7249436,0.1432702
-0.28039426,0.29227546,-10.599415,-6.9510226,5.9664416,6.8309994,-7.010895,5.719095,-0.2710722,-12.737398,10.865254,22.745552
12.836745,-10.820089,-2.8937557,-22.334652,18.614979,11.894008,-2.4845073,1.965254,-2.5284758,-2.4768763,2.2113135,3.8011103
4.792876,-4.254989,-6.2572155,-3.3641768,2.6927378,11.783187,-3.982668,3.3729453,-3.0584402,-0.13877565,0.28573838,2.2432513
19.581861,-16.512482,-0.9621659,-9.486068,7.7601075,14.991684,-19.705385,16.479544,17.763935,1.7453833,-1.392988,-8.79335
13.896574,-11.736558,-12.567751,-0.5781061,0.19329348,10.469465,-12.911902,10.647532,1.658916,-6.8888583,5.695329,9.737879
14.001518,-11.94227,2.600043,-5.42827,4.5948067,-5.558052,8.398544,-7.226308,5.5261793,-11.283577,9.438328,13.852984
7.877814,-6.832716,-8.530008,-13.151218,11.151269,0.08564788,-6.14488,4.99829,11.456249,-4.2981925,3.537197,7.4636774
