class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
17.90043,4.2103763,4.0472355,-8.839304,3.6322157,-0.7765105,-7.903787,2.1238127,-0.56476426,-6.5818253,3.2031968,-0.58409053
11.430934,4.5400114,2.5574403,-7.0542035,3.621514,-1.7112285,-19.677565,0.8908528,-5.1228285,-12.014863,1.2374818,-3.689436
8.142627,-1.2021415,1.9079585,-21.087748,3.4176872,-4.897579,-12.875136,-0.22498232,-3.6133168,-8.227675,1.9482472,-2.6547115
7.6830516,2.06879,3.2061276,-10.0067,3.7121754,-1.5671387,5.276914,2.7952638,0.8148838,-10.918302,-0.31983572,-2.9957492
6.066355,-1.6446836,1.443464,-2.1224976,1.9442708,0.81905776,-16.67797,-3.1582959,-4.1843996,-6.1441293,1.8384547,-2.163935
4.756018,-0.88111347,2.012453,-6.640212,0.7219396,-2.2655923,4.092019,-1.9676633,0.962257,-7.3020525,4.084027,-1.1643674
25.22777,4.8793807,6.151226,-5.0231442,-3.8434203,-0.9607545,-16.029606,-1.2112756,-4.333249,-4.473214,4.390664,-0.6700737
19.75918,2.7383192,4.1648474,-7.7776465,-0.37819952,-2.5010054,3.7572684,-2.0771425,0.9074775,-12.6856365,-0.0151898265,-3.5618918
10.567975,4.872872,2.784331,-18.833141,-0.52383786,-5.1060753,-17.896523,-1.5157516,-4.448697,-11.772075,4.0155067,-2.6031346
23.551882,3.5444705,5.246003,-16.977186,-2.456986,-4.283454,12.492134,1.4290373,2.2682514,-3.545693,4.2853336,0.42749274
6.2431946,2.8683543,0.90333676,-7.5786495,2.6851342,-0.8501551,4.7068825,-1.6199095,1.6721222,-13.3401785,1.6750898,-3.4588923
14.520614,-1.3714523,3.8954346,-7.163118,0.5039223,-2.2583752,7.5651426,4.682466,2.3117247,-8.919148,1.0620434,-2.890216
0.88699126,-4.676463,-0.050502777,-1.7990552,-1.090141,-0.748137,7.0916452,-3.6312978,1.543749,-11.864715,-2.3294673,-3.2018585
8.260897,4.016658,2.022668,-7.2328596,-1.971945,-2.0517228,-14.992972,-2.344632,-3.9572413,-16.978933,0.5682351,-4.8824186
7.9124804,2.0710897,1.251894,-8.50629,-3.6978953,-2.3196316,9.974359,2.2727647,3.800903,-8.9655695,1.0819159,-2.7236254
10.79069,5.335955,3.0164635,-13.624244,1.3167987,-2.3129716,12.005263,5.4249516,3.4997215,-10.0623865,2.869787,-1.4487207
7.145818,-0.123200834,1.5407313,-6.1426053,3.509443,-1.5651245,-8.284743,3.6634479,-0.65381783,-11.9647455,1.7504194,-3.1301332
21.077253,5.6584144,5.9462814,-7.420083,2.8983805,-2.201908,-11.418848,-0.33877712,-3.0593266,-22.861229,-1.562124,-6.108569
14.754689,-1.3819344,3.8692493,-9.01972,1.3095715,-2.842022,8.979691,0.02097994,1.9789721,-5.683771,4.7985377,-1.0460254
25.39525,0.1674245,6.141183,-9.674218,3.9857397,-1.029132,10.1031885,4.760945,2.67018,-11.684554,1.9096541,-1.5089929
7.0480137,3.0500422,1.1403183,2.5730586,1.1976686,-0.25710273,-10.115814,0.33297765,-1.5502541,-8.820838,4.5340724,-1.4815739
8.43695,1.1376083,1.2894456,-11.979098,4.4727583,-2.305753,6.8398004,-4.2464104,1.4721198,-12.791451,-2.6742294,-2.7125773
