class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-14.290877,17.505356,-19.836351,9.064537,-8.260889,11.084604,2.2579613,-1.0696455,1.8069216,-0.58566684,1.11096,-1.5335499
-5.6670413,7.6771045,-8.526132,3.4031253,-2.0755534,3.5772805,2.3659894,-0.6425338,2.125659,-3.7119415,5.921948,-5.860926
-12.897481,15.869377,-17.620684,11.539972,-12.829161,14.51982,5.787904,-5.6367946,6.790251,-0.041584074,1.456783,-0.89643013
-15.608524,19.224102,-21.236969,8.041697,-7.38468,9.649772,7.7429614,-7.6437073,9.334814,1.0291505,-0.83284247,0.48136008
-3.0635822,4.428375,-4.7899837,3.033443,-2.2467504,3.3534923,0.40827113,-0.41993475,-0.021362782,15.104941,-15.938454,19.012491
-5.3560977,7.532658,-8.13116,14.173582,-13.618195,17.71854,13.219179,-14.112791,16.688046,1.652076,-1.0198598,1.352591
-4.4129605,6.153266,-6.8037715,4.7907696,-3.6541977,5.295377,9.969379,-9.319204,12.038006,10.45882,-11.107086,13.136394
-3.2356603,4.262037,-5.0597706,4.255373,-3.826098,4.87795,5.7213926,-4.960368,6.772221,-7.4409857,10.537708,-10.494497
-4.967945,7.393542,-7.2715845,14.172114,-14.238953,17.696138,2.171503,-2.3981307,2.298214,0.46644616,-0.099927545,0.010024726
-2.6547139,2.8375974,-4.0745063,12.460653,-12.241619,15.7542305,11.240095,-11.135418,13.9207535,-3.9985902,4.9192543,-6.0866337
-4.3283176,6.0456696,-6.3541355,5.3458567,-4.7731314,6.385791,0.25732028,0.55482394,-0.47150457,2.0421238,-1.0232931,1.843468
-4.0923996,5.813025,-6.4316015,10.388521,-9.994757,12.823442,-2.6299005,4.458578,-4.611305,1.522326,-0.35176575,1.2289727
-11.865503,13.91815,-16.151987,10.8832245,-10.290615,13.289532,4.4477525,-4.1016607,5.1189632,-0.5304349,1.0771482,-1.2706989
-1.7065308,2.8201668,-3.1245775,4.7100844,-4.0624785,4.919082,9.603851,-9.496874,11.773361,6.348596,-5.7740684,7.034153
-11.840902,14.85837,-16.601067,10.713652,-11.113771,13.226294,0.31020564,1.2226347,-0.3332833,6.7607303,-6.3056784,7.822034
-7.8722973,10.760757,-11.113447,8.93844,-9.201231,11.036107,9.575863,-8.993238,11.698457,-1.2478061,2.9124727,-2.2948985
-8.037069,9.668856,-11.33977,9.674751,-10.418409,12.074286,5.4004755,-5.3866696,6.495413,-9.091251,12.378618,-12.646534
-5.4226823,8.142506,-7.921426,5.695856,-4.908172,6.7798667,5.136034,-4.2055883,5.7389736,-0.6223356,2.1840274,-1.8457729
-2.946915,4.2062244,-4.640667,7.4643774,-7.491592,9.106516,8.882783,-8.83708,10.893013,5.155961,-5.4456325,6.2515364
-2.9469988,5.1807475,-4.675969,6.618662,-5.7611976,7.8614235,4.3146515,-3.212802,5.0485873,3.1079028,-2.0524387,3.0240207
