class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
35.18152,-30.225357,33.3056,-20.938557,19.993889,-18.068668,0.23704362,1.6469228,-0.27057058,-9.575507,11.043248,-2.670599
39.04921,-34.676903,32.574673,-18.835434,21.4693,-14.22116,-23.656425,22.479399,-21.87313,-5.690486,5.948205,-2.0355175
24.675327,-22.146015,19.806847,-35.44272,36.149345,-23.937443,-47.955578,51.464962,-34.572456,-9.474113,7.1248655,-9.970662
22.730057,-19.726307,19.42904,-16.110853,13.488453,-14.90978,-5.1070404,2.6817014,-6.86946,-51.65859,52.20371,-42.147106
28.762886,-20.863632,31.041723,-13.230989,12.747411,-7.808299,-7.4583626,8.053588,-8.177362,-30.252224,34.06161,-18.941044
3.862298,1.4415233,7.7009006,-17.857187,15.061569,-15.368644,-46.349697,43.74247,-35.550465,-22.067915,27.785004,-12.238699
12.534762,-11.20258,13.812758,-33.50819,32.790066,-24.469997,-36.364807,38.34972,-28.245094,-25.200104,23.417358,-17.79634
43.609722,-41.192585,35.6384,-29.070099,25.778584,-23.636225,-14.027755,19.395355,-5.4411545,-7.1591816,5.6852245,-8.44312
21.838505,-14.758674,25.168308,-23.634882,25.079435,-19.693588,-37.91617,41.756054,-26.948818,-18.064667,21.095129,-13.443828
56.96713,-52.565525,49.9293,-31.424606,29.095524,-28.035694,-21.352825,26.096363,-13.649762,-21.5212,26.49889,-11.86521
22.422169,-17.488531,19.563644,-43.25764,46.340843,-28.363495,-41.006687,44.49123,-26.589682,-29.7597,27.683117,-21.839996
58.330055,-49.987774,53.955914,-30.791569,31.925411,-19.979666,-27.642874,29.467785,-21.716803,-18.948536,23.374857,-10.784277
42.7109,-40.806744,36.297,-23.618889,20.68621,-21.648064,-16.644505,14.176916,-12.498506,-35.496323,37.364376,-26.584352
25.125227,-25.193623,18.8769,-29.590675,27.814724,-22.102379,-22.447765,26.381111,-11.44713,-8.5195,9.654292,-8.271949
28.997192,-23.0498,30.02658,-31.349052,27.885452,-27.709412,-6.434245,3.2931218,-7.9363203,-25.421135,21.849932,-20.971025
-1.169627,5.795903,2.1426985,-26.220585,22.450737,-24.420208,-11.395999,11.816361,-11.434665,-7.270766,12.65323,0.7645003
40.959805,-34.943954,38.726185,-20.341377,23.022038,-11.466848,-22.030867,18.40216,-17.922613,-22.272816,24.080212,-12.429369
16.16118,-17.059174,12.378646,-19.700277,19.738623,-17.75008,-41.248936,45.84029,-28.51251,-11.778296,12.67835,-11.302686
23.523918,-16.581772,23.461283,-16.596155,22.214958,-6.3145223,-34.85564,36.130756,-22.828465,-26.653831,24.96653,-19.993877
45.6128,-43.99799,37.13866,-19.38194,24.111744,-8.660108,-15.144356,20.17099,-7.940709,-23.784931,29.082739,-13.417999
32.805313,-29.85908,26.901539,-27.504375,23.259384,-25.239986,-12.686215,16.463394,-7.6187735,-32.729366,32.203194,-23.627993
19.353891,-12.591737,20.948128,-29.23122,31.884905,-22.265621,-27.052654,31.777376,-17.939102,-12.828029,16.12362,-8.755738
37.013035,-34.14933,30.676355,-20.785187,20.78801,-18.788345,-21.800877,27.457186,-12.174721,-17.01643,20.16743,-7.5181875
27.423138,-20.2196,26.63493,-5.796262,5.488822,-2.1837845,-3.9976609,8.36,-1.5189283,-16.827929,20.122444,-12.315717
53.524235,-45.629467,48.30482,-14.858492,17.694462,-10.864898,-16.295557,13.32715,-15.074912,-28.820423,24.296532,-26.630716
39.362698,-36.52044,35.585316,-18.217812,18.625008,-11.405669,-34.539692,39.31032,-22.417307,-40.851265,42.89036,-32.216125
27.86847,-21.317041,25.719404,-15.573124,15.634728,-9.211396,-41.477703,39.40671,-30.82443,-8.719221,7.6611032,-4.8141623
55.376934,-50.80293,48.83298,-34.721054,39.200268,-24.681395,-51.28846,49.849728,-38.03845,-8.324505,6.442457,-6.999116
21.138342,-14.496846,20.917782,-19.649328,15.952235,-17.10506,-0.8725481,3.8800719,-0.4941867,-25.624062,21.085642,-23.966814
24.771023,-20.122929,25.337538,-8.015288,8.7149725,-6.7892275,-23.88274,28.743208,-14.682643,-10.24392,8.8075075,-11.144118
3.5101511,-0.044614315,3.3349707,-37.831398,40.64002,-24.237549,-4.2488375,2.9601014,-6.071209,-11.636411,16.328691,-3.1358886
55.173916,-50.751476,48.54482,-23.755022,21.64037,-18.7683,-24.269604,23.18967,-22.16212,-10.327699,15.2462,-3.3651335
5.175192,-6.811145,4.1597357,-20.411625,23.316141,-11.722321,-11.940561,16.726398,-2.9524639,-22.632942,28.65441,-12.200772
4.750824,-6.396677,2.3962803,-16.430614,16.010597,-10.140085,5.698779,-5.141836,7.595966,-6.9996223,11.024157,-4.027507
38.721794,-37.934414,31.595198,-29.422777,33.082687,-19.129162,-25.367111,29.470211,-14.450478,-29.851208,27.701744,-23.358189
-0.35677886,6.562833,6.0149956,-21.98847,18.711765,-19.911848,0.5318949,2.5278974,0.43032593,8.136771,-8.815227,6.566722
39.489506,-35.761948,36.38416,-28.111013,23.47253,-25.84339,8.741302,-7.2349396,10.9912615,0.25867224,1.209343,-0.89349264
33.535,-29.593113,31.814949,-21.829136,18.264856,-20.290676,-32.51886,30.323938,-29.55846,5.7109094,-6.5971394,5.1902056
22.608534,-15.646921,22.324568,-26.127184,29.355135,-17.173256,-43.737965,46.517113,-29.593283,-7.369219,11.812505,-3.9497087
13.34773,-8.127559,17.47116,-12.377796,15.27403,-5.2275343,-11.09949,11.467125,-11.252489,-21.776917,26.331093,-10.713404
17.667046,-16.72547,16.857788,-12.170436,15.191821,-7.9166574,12.495239,-7.5793753,16.436205,-27.9314,33.42605,-17.017286
12.750094,-6.2914963,17.111523,-17.609009,19.59451,-14.422757,-11.146539,12.254241,-10.318228,-10.381662,9.45217,-11.34048
