class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.007512714,-0.04619424,-0.024980444,0.013189009,-0.050433643,-0.028292088,0.020146295,-0.044831548,-0.036798663,0.016088415,-0.04925224,-0.017787127
0.009813984,-0.04834161,-0.03165993,0.009710326,-0.047735002,-0.032233465,0.013466971,-0.05006931,-0.028553149,0.010914681,-0.044282228,-0.026503045
0.00683758,-0.043569,-0.030916141,0.008092482,-0.04409555,-0.030757073,0.015879624,-0.04503514,-0.02108064,0.009629959,-0.048515324,-0.03235435
0.017178394,-0.04526306,-0.019888423,0.017189624,-0.051168628,-0.034813665,0.015568144,-0.047421575,-0.029328967,0.007375655,-0.04667312,-0.03222786
0.013602449,-0.05000984,-0.026404655,0.011662997,-0.050043456,-0.030765124,0.006040616,-0.044483654,-0.031126935,0.019714493,-0.05110147,-0.038101967
0.015868178,-0.05202064,-0.017895557,0.015671091,-0.050049286,-0.03265819,0.013705114,-0.04786493,-0.029470742,0.006884859,-0.043556444,-0.031526145
0.009250469,-0.047781296,-0.031071777,0.013162879,-0.051716648,-0.024984922,0.019931827,-0.049517773,-0.040079605,0.008436406,-0.048058614,-0.028771063
0.008419966,-0.043296065,-0.02764159,0.019719195,-0.049978636,-0.040332913,0.01357145,-0.051209733,-0.026034957,0.015310589,-0.049637046,-0.017546486
0.01890301,-0.050825596,-0.038945675,0.023043506,-0.051002406,-0.03699889,0.007070672,-0.045897923,-0.027232777,0.015109577,-0.04633724,-0.020298807
0.018501632,-0.04960422,-0.04040251,0.022414017,-0.04458616,-0.03439409,0.014354238,-0.049928125,-0.01607788,0.02014635,-0.044503286,-0.03778277
0.013639392,-0.05267789,-0.018990075,0.007938847,-0.04401324,-0.03141945,0.008162998,-0.045981273,-0.029212527,0.019803151,-0.050410643,-0.039275404
0.013483843,-0.049735535,-0.027746748,0.01742965,-0.050139703,-0.031804524,0.007864239,-0.04604316,-0.02679152,0.009837193,-0.048012465,-0.032002226
0.012316836,-0.04632333,-0.033230826,0.0061685527,-0.046249006,-0.026065212,0.022124901,-0.050574232,-0.03775078,0.020308442,-0.04995969,-0.039775595
0.019146321,-0.05027783,-0.039640818,0.010618893,-0.044856347,-0.03008382,0.008665777,-0.049134478,-0.03157945,0.008880711,-0.044154964,-0.027358748
0.0064839586,-0.044754285,-0.030520447,0.009661784,-0.047483444,-0.030984586,0.020086225,-0.050109543,-0.040040627,0.01578244,-0.050033934,-0.032980565
0.010898133,-0.050623417,-0.030130101,0.011026599,-0.05015902,-0.030017113,0.009324739,-0.048915304,-0.032508712,0.016529515,-0.045803998,-0.021265067
0.013929654,-0.048158914,-0.027107332,0.0067705945,-0.043491572,-0.031024864,0.0053954227,-0.045372814,-0.03221821,0.008107832,-0.04428337,-0.031064749
0.019214043,-0.050260983,-0.039848223,0.022803217,-0.043862745,-0.033735152,0.014350124,-0.045816597,-0.023777615,0.015374921,-0.04812984,-0.019622397
0.022215039,-0.050432988,-0.037332255,0.022688035,-0.048965074,-0.03753824,0.0111472225,-0.04554974,-0.026664838,0.013945136,-0.0501603,-0.02651824
0.017684005,-0.05140789,-0.036616083,0.017641975,-0.0485844,-0.028179225,0.0095959045,-0.044167675,-0.027330821,0.008246252,-0.04435149,-0.028969292
0.0186951,-0.049900703,-0.03978109,0.01672312,-0.048483513,-0.028957482,0.017178617,-0.051281366,-0.036138233,0.010592563,-0.049985103,-0.02961268
0.008369374,-0.046213895,-0.03044544,0.009115033,-0.045302354,-0.028059343,0.02024198,-0.05015929,-0.039809685,0.01636377,-0.045422148,-0.02162639
0.016107246,-0.04857257,-0.019523669,0.016355846,-0.050319806,-0.032616656,0.0107438695,-0.047428217,-0.027123205,0.011913652,-0.04759223,-0.030677125
0.011126809,-0.050415825,-0.030655235,0.009228249,-0.047515973,-0.03096803,0.00725398,-0.04707837,-0.03205259,0.009934224,-0.047919326,-0.032295372
0.01381751,-0.051128637,-0.026514493,0.008081593,-0.045209214,-0.028548721,0.006034263,-0.04521941,-0.03256505,0.019967891,-0.044924475,-0.036263265
0.022376422,-0.051565684,-0.03688795,0.009224975,-0.045747373,-0.030304082,0.011132352,-0.050194833,-0.03119833,0.01916165,-0.05226451,-0.037229586
0.010685148,-0.04931863,-0.031649306,0.011706613,-0.046240076,-0.024679217,0.0145915095,-0.04893583,-0.027942672,0.010406044,-0.047402553,-0.024690028
0.013988842,-0.04938875,-0.027930588,0.01388442,-0.052076556,-0.02590614,0.014645886,-0.05003683,-0.01843105,0.020272177,-0.05002607,-0.0395365
0.014216989,-0.05119186,-0.027276717,0.011753965,-0.045789156,-0.032374974,0.014334379,-0.05147635,-0.024730518,0.01324513,-0.05001205,-0.029471321
0.016948242,-0.04585977,-0.019693226,0.022394773,-0.04380795,-0.03393694,0.015613366,-0.05011718,-0.016762465,0.010901463,-0.047603626,-0.031009361
0.0131979175,-0.049015034,-0.028194051,0.01924213,-0.049450036,-0.040641785,0.014247881,-0.051080517,-0.024997454,0.01642739,-0.04835068,-0.028194407
0.015453621,-0.050743572,-0.018722715,0.013208275,-0.05156122,-0.0252848,0.006967277,-0.044927675,-0.027114412,0.019728025,-0.051533233,-0.037842523
0.0141145,-0.050070968,-0.028142987,0.01554019,-0.051888548,-0.0163384,0.017603926,-0.05117259,-0.036052525,0.020099243,-0.04840679,-0.03775629
0.020687308,-0.051967584,-0.03822356,0.01677272,-0.051019736,-0.03489772,0.019098073,-0.05292223,-0.037769627,0.008989361,-0.04529369,-0.0283656
0.012032215,-0.04673208,-0.030023878,0.0123864515,-0.04987333,-0.02808144,0.020461332,-0.05061637,-0.038946953,0.011510957,-0.050478622,-0.030466728
0.01929938,-0.050417293,-0.03953074,0.016248187,-0.05007236,-0.03255205,0.019035866,-0.050614946,-0.039615355,0.020910773,-0.051100507,-0.038124967
0.015969027,-0.04840564,-0.028072223,0.009686942,-0.048814815,-0.030786239,0.018771907,-0.049629144,-0.04053494,0.013182952,-0.05028981,-0.028938817
0.010518659,-0.049450837,-0.030757885,0.00886411,-0.044297926,-0.030667175,0.009354789,-0.04889293,-0.032171167,0.008082749,-0.048763648,-0.027219292
0.016372774,-0.048619177,-0.02833702,0.022955947,-0.05127137,-0.03726632,0.014974238,-0.047998413,-0.020107552,0.0056048203,-0.044314355,-0.03338319
0.006897039,-0.04471843,-0.030268835,0.017307466,-0.051154405,-0.037109155,0.014901537,-0.050439414,-0.034062788,0.01690008,-0.04493454,-0.021837778
0.014959294,-0.052473888,-0.020000976,0.011174089,-0.05019732,-0.029838853,0.0087902015,-0.04838784,-0.03136248,0.012712002,-0.05049769,-0.025293598
0.008771541,-0.045265194,-0.027669467,0.015360305,-0.047049783,-0.019979518,0.020263568,-0.04484033,-0.03705159,0.013962239,-0.052756835,-0.022173071
0.010753188,-0.045817144,-0.024851248,0.017527543,-0.050074086,-0.031574883,0.010243648,-0.048125803,-0.032703876,0.018161898,-0.048871886,-0.04084136
0.011646551,-0.046100326,-0.025578588,0.006315844,-0.044441562,-0.027000632,0.01919007,-0.05159381,-0.03845403,0.016702194,-0.048251517,-0.028070804
0.011447919,-0.04513909,-0.024858203,0.00609327,-0.046277504,-0.030387472,0.020166613,-0.050175905,-0.039882027,0.019837108,-0.050357252,-0.038883727
0.0057486505,-0.043837547,-0.03139684,0.015514351,-0.05236275,-0.01708389,0.017523589,-0.0510008,-0.035409033,0.01154583,-0.04639062,-0.023716427
0.012996487,-0.05097339,-0.02708983,0.007241039,-0.04547486,-0.0300738,0.007821526,-0.045924887,-0.029688273,0.016007926,-0.04571835,-0.035858557
0.0155123435,-0.05263031,-0.017767996,0.018325735,-0.05077621,-0.03890327,0.013058965,-0.049873624,-0.025397988,0.0070851482,-0.045101784,-0.030327223
0.017852165,-0.051221527,-0.035071626,0.00982545,-0.048287086,-0.030257722,0.019437613,-0.052946366,-0.03776633,0.017022014,-0.050147705,-0.03475685
0.0078011253,-0.045613647,-0.025318325,0.013969198,-0.052517436,-0.019473419,0.013552813,-0.050553635,-0.0172396,0.01119451,-0.050467335,-0.030457942
0.008924499,-0.045586586,-0.028007574,0.007455662,-0.043514896,-0.028714852,0.01315649,-0.054228626,-0.024132933,0.019365026,-0.04969248,-0.040150587
0.017037304,-0.04597553,-0.019931365,0.006742575,-0.043551333,-0.031008782,0.021144144,-0.05095462,-0.0368542,0.010102139,-0.047578253,-0.024566526
0.011105852,-0.05041159,-0.028537955,0.01598127,-0.04996659,-0.032655396,0.008830675,-0.048893344,-0.031695396,0.015396503,-0.05031779,-0.033988565
