class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-25.470373,0.04087299,-11.241338,8.106689,4.7327127,3.7441883,0.40559185,-2.38525,1.861245,-10.488966,4.614368,-4.09028
-16.631054,-2.336622,-5.311442,13.498472,2.7408595,5.9192553,-8.035347,1.3572652,-3.5901995,-15.408518,-1.6739931,-5.1444674
-16.613157,0.47486693,-6.110102,1.4991158,1.6885974,1.3668795,9.040233,0.80305296,4.1201677,14.082781,1.8690054,6.3759847
-8.159649,-7.1310167,-1.2627054,-0.48976898,-4.015476,2.6017942,2.0167959,-5.5680804,1.2502621,20.970507,-2.515611,10.441348
-17.672537,1.0169048,-6.7571325,11.341341,-0.8151087,5.341017,-3.9364686,-4.054224,-1.4596555,8.940693,1.4662845,3.826758
-18.870905,-0.9863952,-6.988327,13.261002,-4.8054543,7.701517,2.294996,-0.5864336,1.7579392,16.034386,1.4630995,7.32341
-3.546432,-7.0788803,0.36030418,15.89609,3.7090492,6.8080583,-22.89885,-0.36899343,-9.732608,-16.741226,-3.5659,-7.7795954
-5.201494,-4.723172,-0.022566855,10.589453,-2.0141294,7.5825396,18.49925,-3.1372337,9.583159,-10.5816555,0.59207565,-2.9893541
-26.765318,-4.9576006,-9.777228,9.220711,-1.5705681,6.1007957,-9.5908375,3.012442,-4.375971,0.32947743,-5.857962,2.0451975
-18.886396,-0.68455297,-6.7009106,28.976044,-1.6309495,13.617873,0.0039052963,-3.7778654,2.9073162,-0.6076437,1.7915046,-1.0169362
-38.00067,-0.75196385,-15.875859,4.648303,-3.5174727,4.8567,-13.210743,-5.5679684,-5.9265733,11.069084,0.16428185,6.0852437
-36.9556,-6.579326,-14.815807,4.0259156,-3.4859278,4.2207804,-14.753685,-3.5722713,-3.949831,-2.1692183,-6.8536386,0.10414696
-5.1472754,-6.2443156,-0.057644844,10.268448,-3.2500334,6.72385,13.898121,1.0108733,5.848299,2.827936,2.391436,2.4255605
-26.253258,1.1710036,-11.512062,-1.100122,-3.7653575,2.1730018,-39.17275,-4.770458,-16.797926,12.931131,2.413422,6.652154
-12.652042,-6.7443147,-4.2210984,2.8929567,1.6058669,1.5979396,-5.994925,-6.786805,-0.6844195,-14.652227,-2.0484145,-5.2653894
-32.071102,1.1193237,-13.447373,7.3265615,1.0602558,2.9339867,-0.05830574,-3.217638,1.2789901,-4.8403773,-3.8496923,-0.4001938
-29.603832,-0.014790833,-13.32671,0.41455674,-0.54061526,1.1127495,-3.3880491,-6.792677,0.40841204,20.108013,-2.40244,9.973325
1.451819,1.6665809,1.4767869,4.8314385,-1.6106582,2.6376638,14.823027,0.78379303,6.2275624,6.6612735,-1.2177863,4.8207808
