class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.09737682,-0.08339064,0.07610475,0.0935813,-0.08709951,0.07678371,0.09625511,-0.08824532,0.07344167,0.1004772,-0.08757791,0.07087199
0.0958756,-0.09170995,0.07222717,0.09296019,-0.087470464,0.0763678,0.0970813,-0.09072016,0.07286102,0.096899085,-0.09182518,0.071926884
0.09707236,-0.08730031,0.06955251,0.09304653,-0.08761379,0.07310239,0.097727954,-0.09191443,0.0727838,0.09541077,-0.08857391,0.07440781
0.098136544,-0.08637858,0.07822189,0.090854265,-0.09109326,0.06760943,0.09856409,-0.092222124,0.0682757,0.09612967,-0.084651686,0.07391299
0.09751306,-0.085758835,0.07540472,0.095782034,-0.08829228,0.07615282,0.08993978,-0.09732884,0.06105498,0.09431972,-0.09380304,0.06438457
0.09754913,-0.082262516,0.075661644,0.09329836,-0.08670297,0.074940026,0.0950756,-0.088343255,0.07175274,0.099635206,-0.0952874,0.06968686
0.09215456,-0.0961971,0.0642859,0.088317215,-0.09763708,0.06348753,0.09357819,-0.0879485,0.07740738,0.09422601,-0.09301962,0.06600368
0.09682765,-0.0887163,0.07396366,0.10016113,-0.09499826,0.06831529,0.09443719,-0.08424432,0.077319816,0.087136656,-0.09717206,0.06475934
0.098146856,-0.09076036,0.07375089,0.087780416,-0.09730781,0.065181896,0.08885881,-0.09370322,0.06791329,0.087754235,-0.09647212,0.06480278
0.088224575,-0.09774046,0.06426219,0.09534292,-0.08951768,0.07332215,0.0893438,-0.093105726,0.067268915,0.09495825,-0.0900757,0.0756681
0.09397071,-0.08701264,0.076866135,0.09618697,-0.09187993,0.0710685,0.09397073,-0.08742256,0.074502595,0.09742467,-0.086108305,0.07198418
0.097844325,-0.08972336,0.07172589,0.09712178,-0.08552906,0.071343,0.08875416,-0.09251459,0.067909606,0.093176745,-0.09581222,0.06426843
0.09710832,-0.09161961,0.073051766,0.09615014,-0.08922093,0.07444827,0.09168109,-0.092523456,0.067477666,0.09304905,-0.08527061,0.07484284
0.09153442,-0.08990833,0.07018603,0.09611237,-0.08985824,0.070420116,0.09382934,-0.09503058,0.06377431,0.096147485,-0.09027337,0.06794872
0.0879762,-0.09867912,0.060967453,0.092866376,-0.08720623,0.072824776,0.09732304,-0.08790522,0.07489619,0.09264492,-0.09339307,0.06419705
0.08843133,-0.095589206,0.06552821,0.0955329,-0.085067526,0.069221206,0.08811894,-0.0957811,0.066174366,0.10093956,-0.0896724,0.0682746
0.09946667,-0.09090148,0.069580704,0.09794693,-0.08040156,0.076322064,0.10040206,-0.09102302,0.065467,0.09083564,-0.09141515,0.06787097
0.09608053,-0.08966352,0.06727334,0.10037159,-0.09572965,0.068293735,0.0954693,-0.083594956,0.0766544,0.09590237,-0.08864345,0.07416182
0.09125507,-0.09015506,0.06909773,0.09289243,-0.08604422,0.07430784,0.09366029,-0.08597321,0.076919556,0.100024514,-0.095444806,0.06937112
0.10032715,-0.090472594,0.06715925,0.08815176,-0.097854204,0.062428012,0.09812187,-0.0923047,0.06837857,0.09915231,-0.09310668,0.06810837
0.092492625,-0.08645308,0.07467775,0.097861,-0.084941775,0.07184568,0.09888748,-0.08437501,0.07609257,0.094993494,-0.09089345,0.07597406
0.09689496,-0.08649481,0.07011569,0.09553319,-0.08463652,0.07473487,0.09700036,-0.08548928,0.07466003,0.092238076,-0.0901532,0.069637865
0.09720352,-0.085870214,0.068887316,0.09483115,-0.08512038,0.07325078,0.093053035,-0.08520916,0.07580045,0.08851147,-0.09902945,0.0642285
0.09379078,-0.09515759,0.06461741,0.09755001,-0.085359715,0.076406084,0.09830513,-0.08441544,0.07265542,0.09734394,-0.08626236,0.071775466
0.09411422,-0.08642158,0.0749429,0.09095392,-0.0898198,0.068515226,0.09067122,-0.096409924,0.060957085,0.09767038,-0.08612478,0.071962714
0.09303577,-0.08647144,0.07528474,0.09279707,-0.08647328,0.07568565,0.09385004,-0.08574868,0.076895915,0.09719164,-0.08633702,0.071259886
0.08824754,-0.097227015,0.06570502,0.095601425,-0.08328685,0.07686664,0.09456942,-0.09231104,0.06550409,0.09766753,-0.084919415,0.07640843
