class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
1.0106946,-0.029825091,0.17502755,1.010693,-0.02982466,0.17502967,1.0106772,-0.029815733,0.1750382,1.0107437,-0.029856011,0.17499043
1.0107409,-0.029853225,0.17499244,1.0107411,-0.029854402,0.17499153,1.0107228,-0.029842883,0.17500773,1.0107275,-0.029846653,0.17500335
1.0107348,-0.029851168,0.17499623,1.0107334,-0.029848635,0.17499724,1.010682,-0.029817,0.1750367,1.0106906,-0.029823214,0.17502967
1.0107363,-0.029850453,0.17499766,1.0107201,-0.029840976,0.1750097,1.010724,-0.029843062,0.1750055,1.0107368,-0.029852316,0.17499399
1.0107251,-0.029842138,0.17500769,1.0107195,-0.029839426,0.17501064,1.0107223,-0.029840648,0.1750103,1.0107329,-0.029849082,0.17499766
1.0107327,-0.029847443,0.17499995,1.0107442,-0.029856265,0.17499329,1.0107332,-0.029849902,0.1749975,1.0107397,-0.029852077,0.17499483
1.0107441,-0.02985835,0.17498887,1.010741,-0.029854834,0.1749935,1.0106936,-0.029825896,0.17502809,1.0107554,-0.029865116,0.17498064
1.0107337,-0.029852346,0.17499644,1.010753,-0.029861867,0.17498474,1.0107359,-0.029851466,0.17499556,1.0107387,-0.029855013,0.17499265
1.0107164,-0.029839456,0.17500846,1.0107219,-0.029841065,0.17500609,1.0107535,-0.029862463,0.17498358,1.0107186,-0.02983874,0.17501098
1.0107473,-0.029859066,0.1749885,1.0107476,-0.029857516,0.17498623,1.0107626,-0.029869527,0.17497642,1.0107473,-0.029857159,0.17499062
1.0107397,-0.029854894,0.17499325,1.010749,-0.029860243,0.17498618,1.0107594,-0.029867738,0.1749782,1.0107416,-0.029856384,0.17499067
1.0107603,-0.029866934,0.17497805,1.0107394,-0.029851347,0.17499575,1.0107218,-0.02984178,0.17500839,1.0107263,-0.02984631,0.17500347
1.0107355,-0.02984953,0.1749967,1.010741,-0.029852867,0.174995,1.010674,-0.02981335,0.17504138,1.010755,-0.029864669,0.17498279
1.0107378,-0.029854402,0.17499176,1.0107487,-0.029859766,0.17498368,1.0107714,-0.029873744,0.17497128,1.0107383,-0.029853046,0.17499328
1.010734,-0.029850408,0.1749973,1.0107454,-0.029855728,0.1749888,1.0107388,-0.029852256,0.1749927,1.0107245,-0.029844448,0.17500411
1.0107144,-0.029839218,0.17501108,1.0107404,-0.029854536,0.17499281,1.0107348,-0.029852167,0.17499632,1.0107304,-0.029846072,0.17500058
1.010739,-0.029853791,0.17498997,1.010696,-0.029825658,0.1750269,1.0107507,-0.029861063,0.17498615,1.0107287,-0.029847234,0.17500034
1.0107446,-0.029856667,0.17498837,1.010755,-0.029862955,0.17498425,1.0107557,-0.029862732,0.17498283,1.0106927,-0.02982542,0.17502731
1.01074,-0.029855415,0.1749909,1.0107313,-0.029847473,0.17499846,1.0107223,-0.029840827,0.17500843,1.0107483,-0.029860407,0.17498305
1.0107311,-0.029848099,0.17499843,1.0107435,-0.029856622,0.17498916,1.0107397,-0.02985251,0.1749925,1.0107414,-0.029853523,0.17499219
1.0107201,-0.029840797,0.1750072,1.0107524,-0.02986236,0.17498128,1.0107211,-0.029839247,0.17501089,1.0107533,-0.029863417,0.17498188
1.0107595,-0.029865801,0.17497903,1.0107092,-0.02983521,0.17501757,1.0107152,-0.029839009,0.17501296,1.0107406,-0.029854447,0.17499426
1.0107484,-0.029860258,0.1749832,1.0107063,-0.029833525,0.17501777,1.0107081,-0.02983363,0.17501688,1.0107205,-0.02984342,0.17500708
1.0106952,-0.029827386,0.17502674,1.0107193,-0.029841125,0.17501187,1.010722,-0.029841512,0.17500836,1.0107456,-0.02985838,0.17498636
1.010734,-0.029850602,0.17499715,1.0106896,-0.029821992,0.17503087,1.0107363,-0.029848784,0.17499733,1.0107528,-0.02986078,0.17498446
1.0106937,-0.02982521,0.17502782,1.0107225,-0.02984047,0.17500801,1.0107076,-0.029832453,0.17501947,1.0107192,-0.0298388,0.17500992
1.0107484,-0.02985847,0.17498474,1.0107471,-0.029858574,0.174986,1.0107237,-0.029841065,0.1750085,1.0107449,-0.029857337,0.174988
1.0106903,-0.029821396,0.17503142,1.0107297,-0.029846817,0.17500025,1.010728,-0.029845208,0.17500457,1.0107151,-0.02983804,0.17501304
1.0107299,-0.029846936,0.17500278,1.0107509,-0.029859617,0.1749863,1.0107617,-0.029866949,0.1749796,1.0107143,-0.02983725,0.1750145
1.0107596,-0.029866338,0.17497885,1.0107383,-0.029850721,0.17499733,1.0107291,-0.029846132,0.17500094,1.0107636,-0.029868305,0.1749767
1.0107358,-0.029849976,0.17499582,1.0107473,-0.029857606,0.1749866,1.0107378,-0.029852167,0.17499423,1.0107415,-0.029852688,0.17499278
1.0107464,-0.029859275,0.17498656,1.0107049,-0.02983293,0.17501993,1.010727,-0.029846773,0.17500141,1.0107378,-0.029854119,0.17499255
1.0107018,-0.029830202,0.17502034,1.0107044,-0.029830337,0.17502257,1.0106959,-0.029826581,0.17502454,1.0106965,-0.029827297,0.17502472
1.0107627,-0.029868737,0.17497623,1.0107282,-0.029846385,0.17500237,1.010765,-0.029870361,0.17497541,1.0107454,-0.029857367,0.17499018
1.0107399,-0.029851183,0.1749954,1.0107504,-0.029858992,0.17498848,1.0107349,-0.029851288,0.17499591,1.0107473,-0.029857337,0.17498988
1.0107605,-0.029868096,0.17497861,1.0107512,-0.029861808,0.17498417,1.0107316,-0.029846951,0.17500085,1.0107368,-0.029851362,0.17499754
1.0107425,-0.029854074,0.17499176,1.0106906,-0.029824287,0.17503032,1.0107231,-0.029843077,0.17500669,1.0107449,-0.029855147,0.17499334
