class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.3611359,-0.61987925,5.9115376,-2.7894497,-3.1988266,13.468792,11.452262,9.908033,-0.9955869,12.170339,9.347039,7.323961
3.40731,5.0379143,-14.467651,4.5013256,3.0447981,11.273449,0.7473842,1.1699214,-0.9620029,-3.83334,-4.4519224,16.909418
-3.7898695,-1.4375578,-6.468695,1.8985033,0.30743363,14.445326,-1.5920124,-0.6274394,-2.5468273,-4.018651,-1.6916038,-8.711293
-2.3403518,-1.3660814,-0.30025882,3.5653205,1.8761019,13.348309,1.2091858,-0.15304145,13.697822,-2.470421,-0.8097378,-5.954844
-3.198047,-1.4578289,-5.5263553,-1.9658177,-1.7685968,7.5637736,2.0069475,0.95469344,8.827321,0.84307474,0.0045731366,12.189026
-5.1213574,-1.3468252,-19.316107,14.124881,11.105741,7.2043724,13.206628,10.665599,3.9362633,6.1033587,4.1384134,9.430874
-10.234138,-7.146944,-3.5643053,1.3632584,0.2897177,13.212509,-1.4927251,-1.2103088,2.7194934,-8.161019,-5.2213316,-8.629494
-9.184798,-4.8986664,-14.322202,1.2073419,1.1381294,5.08306,0.17115828,0.7955135,-1.6565425,-9.624746,-6.04343,-10.903641
-4.570546,-1.996652,-7.143214,-0.5518117,-0.43829933,4.3954563,-5.466796,-3.5632105,-4.822609,8.3595295,7.9976482,-4.7987094
-3.5348613,-1.6305736,-7.635596,1.7905438,1.2829022,4.9358096,-8.861119,-5.6229553,-9.316666,-0.55534106,2.0449367,-15.16007
5.402474,6.27062,-11.222646,-1.0747905,-0.8101295,5.9458985,-3.829159,-1.3357407,-10.687828,-6.256867,-3.6438744,-5.4504027
1.2301606,2.0638125,-4.614108,0.7892005,-0.9936613,18.101286,-8.120296,-5.798091,-0.60827273,11.123544,8.51885,6.8224983
-3.3074477,-1.948851,-1.4539111,2.364955,1.5287876,9.191256,-6.3981714,-5.331733,6.4939466,-9.475059,-6.383874,-4.7696815
6.204581,6.651912,-8.775321,-0.667491,-1.3535604,10.184766,-0.8575422,0.10569218,-3.0546722,-2.7565413,-1.5960354,-3.3488698
-4.7016234,-3.35056,-0.7427585,-0.7347203,-0.46761557,3.817678,-5.7204046,-3.6493928,-5.1986365,-1.8319886,-0.80319774,-1.8687719
-3.73151,-2.0085664,-6.479346,5.0109367,4.0590725,4.025022,-0.9784985,0.1471071,-4.7609015,8.774115,8.433565,-5.338367
-0.4401167,-0.48022047,4.101043,0.11503121,0.56933254,2.8235424,8.560744,8.0672,-3.8436108,-8.231954,-5.9922924,0.5393228
-7.4881525,-4.733742,-7.92785,-1.8390367,-2.401077,11.918048,-3.3723218,-2.2388923,1.375856,10.946691,9.2394495,2.1100936
0.39699638,1.8018479,-8.792577,7.935891,5.1317625,14.094824,-3.4049366,-2.1807241,-0.89886826,5.3248806,3.5627806,12.844515
-10.118126,-6.260721,-12.700545,7.1932654,4.8002768,12.160038,1.4187183,0.7810916,5.7340198,1.9227226,1.1483306,7.0552764
-3.836922,-1.8949984,-7.803629,2.8730395,1.6361316,10.03222,7.6693974,6.2082863,3.079906,9.213366,8.419922,-4.419975
-8.620502,-5.2211046,-11.36207,7.5140266,5.9463406,3.2417336,-2.9922493,-1.0318683,-8.129543,-0.8437013,1.8639023,-15.595509
-11.00023,-6.7179656,-14.594824,2.9825816,2.059438,7.7065444,-3.8902276,-2.3985112,0.042615186,-13.28654,-8.472167,-14.706028
-3.7773955,-2.5444238,0.009643327,0.096444845,0.056617975,5.9308553,-2.098193,-1.0134974,0.9328724,-8.017184,-5.1337347,-6.89025
-10.717259,-6.3634176,-16.042574,9.778889,6.657369,13.904247,-2.7392585,-1.76989,1.7200134,1.961911,-0.14054808,18.895424
-1.9835236,-0.45034775,-3.3116496,1.926539,1.5096332,3.3047483,0.34500587,0.3629253,5.5858407,4.178224,5.0764394,-8.219976
-1.7675436,1.0535071,-16.891874,11.705247,9.421991,3.9198909,2.220055,0.34765568,16.64118,0.90407234,0.73426014,6.7911735
-10.569428,-5.7863693,-16.65444,-0.74633867,-0.006814629,1.4889271,-2.9773996,-1.0866765,-4.123367,1.920697,0.8399459,9.889852
-8.713931,-4.7778745,-13.270613,-3.450244,-2.3901768,1.478084,2.7520397,4.059436,-9.767822,-8.673574,-5.378829,-9.191047
-8.998169,-5.1549506,-13.690794,-2.4275677,-1.9608034,4.2436156,4.7510185,4.613497,-3.6310024,-6.6915393,-4.2542534,-6.280848
-2.0516949,-0.88559496,-3.301359,11.219772,9.573474,0.5790064,-5.2977037,-4.851652,10.367931,-9.205135,-6.1388164,-6.0204496
