class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.110048555,0.06771494,-0.11828137,-0.11018742,0.06756084,-0.11838848,-0.109985836,0.06764269,-0.11834901,-0.11016248,0.06756023,-0.11827658
-0.11009657,0.06769693,-0.11817663,-0.11003409,0.06765954,-0.11846329,-0.110159785,0.067544006,-0.118383504,-0.11010394,0.06771717,-0.11830343
-0.11004933,0.06768706,-0.118208975,-0.11003462,0.067627646,-0.118445635,-0.110152595,0.06760828,-0.11820124,-0.110065304,0.06760792,-0.118462145
-0.10999405,0.06762127,-0.11837474,-0.11015317,0.06754786,-0.11851007,-0.1101699,0.06755969,-0.11851848,-0.110286735,0.06765107,-0.118241444
-0.11019499,0.067552336,-0.118379615,-0.1100593,0.06766158,-0.118202135,-0.11016101,0.06754351,-0.11838188,-0.11019239,0.06756925,-0.11845109
-0.11016773,0.067592,-0.11825771,-0.1100372,0.067648865,-0.118426844,-0.11010634,0.067573875,-0.1185999,-0.110054515,0.06768541,-0.11839322
-0.11005705,0.0676956,-0.118392095,-0.11018689,0.06755661,-0.11840478,-0.11004219,0.06763102,-0.11844678,-0.10994286,0.06764006,-0.118346386
-0.11020171,0.06763106,-0.11824855,-0.1100532,0.06762293,-0.11843506,-0.11006194,0.06757719,-0.1185969,-0.11018933,0.067650124,-0.11822352
-0.11025515,0.06763393,-0.11829378,-0.109966524,0.06764966,-0.11834114,-0.11014657,0.06768749,-0.118156016,-0.110288486,0.067648284,-0.11831961
-0.110123806,0.06769451,-0.11818398,-0.11028989,0.067645155,-0.118308306,-0.110072024,0.067747444,-0.11839682,-0.11015587,0.06756008,-0.118325144
-0.1100515,0.06761971,-0.11847442,-0.11004543,0.06765441,-0.11841398,-0.11014435,0.06754578,-0.11835627,-0.11010613,0.06776728,-0.11836672
-0.11008326,0.067615375,-0.11854528,-0.11007236,0.06773559,-0.11838389,-0.11028713,0.06770298,-0.1183208,-0.110173576,0.06755529,-0.118497275
-0.11001193,0.06759839,-0.11840545,-0.11017345,0.06756104,-0.11857265,-0.11007682,0.06775967,-0.118396536,-0.110157505,0.06756352,-0.11857795
-0.11000675,0.06759544,-0.1184028,-0.11025689,0.06763895,-0.11826451,-0.11007918,0.06776511,-0.11839402,-0.11010472,0.067578524,-0.118595585
-0.11007038,0.06770882,-0.11827183,-0.11018862,0.06763258,-0.118190326,-0.1101773,0.06757448,-0.118270196,-0.11007914,0.06773065,-0.11837606
-0.11004501,0.06764093,-0.11848084,-0.109973714,0.06767362,-0.118433386,-0.11005732,0.06765582,-0.11843034,-0.1101726,0.06755395,-0.11850107
-0.110189125,0.06756767,-0.118393086,-0.11007255,0.067745335,-0.118381545,-0.11029217,0.06762486,-0.11831553,-0.1101546,0.06757482,-0.118569836
-0.11000145,0.06760908,-0.11838821,-0.11027107,0.0676209,-0.11826833,-0.11016388,0.06754759,-0.1184937,-0.11018231,0.06766578,-0.11817133
-0.11008106,0.06761517,-0.11851909,-0.110176146,0.06762391,-0.11818732,-0.11018379,0.06757445,-0.118452914,-0.11019269,0.06763564,-0.11817605
-0.110041216,0.06760635,-0.118439585,-0.10994122,0.06762921,-0.118349195,-0.11008356,0.06774478,-0.11834328,-0.109970056,0.06768894,-0.11843805
-0.11019945,0.067617096,-0.11823243,-0.110164136,0.06754259,-0.11849968,-0.11009263,0.06775083,-0.11838233,-0.1101884,0.06756657,-0.11848497
-0.11003469,0.06762348,-0.11845429,-0.109973095,0.067602806,-0.11837731,-0.11015471,0.06758733,-0.11856774,-0.110076405,0.06770213,-0.11820592
-0.110176116,0.06757333,-0.11855764,-0.11004188,0.06768205,-0.118471466,-0.11006795,0.0676758,-0.118215814,-0.11013228,0.06756487,-0.11859281
-0.11000648,0.06759347,-0.11840829,-0.1100305,0.06764331,-0.11843006,-0.11029615,0.06770747,-0.11831431,-0.11020116,0.06756643,-0.11841673
-0.11016622,0.06763041,-0.11821446,-0.11005594,0.06765358,-0.118401855,-0.110228986,0.06768937,-0.118282676,-0.10998437,0.067596495,-0.11837928
-0.11006925,0.0677202,-0.118309796,-0.11002498,0.067627065,-0.118451916,-0.11015901,0.067685455,-0.11815623,-0.1100352,0.06762455,-0.11851936
-0.11027494,0.06764108,-0.1183358,-0.11002812,0.06766179,-0.118467115,-0.11017586,0.06755823,-0.11835259,-0.109960265,0.06765982,-0.11838794
-0.110207155,0.06769003,-0.118253574,-0.11015098,0.06754303,-0.11852718,-0.11008035,0.06775663,-0.11836188,-0.11007183,0.06766437,-0.11820226
-0.110070415,0.067723796,-0.11841189,-0.109942794,0.06762688,-0.118349925,-0.11008942,0.06773881,-0.118336365,-0.109951906,0.067629084,-0.11834168
-0.1101728,0.06756699,-0.11854757,-0.11007709,0.06767749,-0.118194036,-0.110202566,0.06763424,-0.118252516,-0.110052206,0.06768127,-0.11837814
-0.110146314,0.06765281,-0.11820094,-0.11004728,0.06764571,-0.11848487,-0.10997285,0.067638725,-0.11837273,-0.110092536,0.06769472,-0.11828616
-0.11017598,0.067634635,-0.11825671,-0.11028606,0.06765469,-0.11833586,-0.11018804,0.06755736,-0.11838307,-0.1101919,0.06764397,-0.118219905
-0.11011565,0.06759579,-0.11856208,-0.11022587,0.06763281,-0.11820765,-0.11003527,0.06765202,-0.11846696,-0.11003699,0.067663476,-0.11849931
-0.1100576,0.067718424,-0.11825744,-0.11020241,0.067634955,-0.11820114,-0.11016859,0.06763612,-0.11821382,-0.110090934,0.0676738,-0.118184514
-0.109999835,0.06761286,-0.11838346,-0.1100142,0.06765202,-0.11846674,-0.11007301,0.06761399,-0.11851903,-0.11008027,0.067721225,-0.11823928
-0.11021374,0.067642994,-0.11827914,-0.11005689,0.06765515,-0.11848911,-0.11006267,0.0676774,-0.11821415,-0.11004368,0.067634024,-0.118497856
-0.11001295,0.067601986,-0.118414566,-0.11016796,0.067686774,-0.11812935,-0.10997803,0.06764157,-0.11837002,-0.110014126,0.067694925,-0.11845459
-0.11005077,0.067627154,-0.11845524,-0.11025798,0.067699365,-0.118298166,-0.11018213,0.067633726,-0.11822006,-0.11015357,0.06768767,-0.1181556
-0.11014227,0.06758419,-0.118569046,-0.1101494,0.06756818,-0.11830189,-0.11002415,0.06762071,-0.1184108,-0.11019086,0.067634135,-0.1181927
-0.11001111,0.06760198,-0.118414134,-0.11023492,0.067672,-0.11825121,-0.110173866,0.067563936,-0.11854651,-0.110197075,0.06765263,-0.11819687
-0.11019647,0.067626975,-0.11822478,-0.110134654,0.06758099,-0.11857931,-0.11015638,0.067589656,-0.11859191,-0.10994294,0.06763747,-0.11842067
-0.11008447,0.0676114,-0.11853545,-0.11029338,0.067650855,-0.11830089,-0.11017323,0.067561045,-0.11841612,-0.11017488,0.06764877,-0.11820544
-0.110148706,0.067561924,-0.11829034,-0.11018228,0.06763576,-0.118187,-0.11005392,0.067656696,-0.11843019,-0.11004299,0.06763288,-0.11845298
-0.11016752,0.06757062,-0.11853446,-0.11018005,0.06763872,-0.118232615,-0.11016568,0.06755997,-0.11848379,-0.110172145,0.0676514,-0.11820498
