class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.07032178,0.07595386,-0.047328785,-0.07038463,0.075719774,-0.047614314,-0.07036698,0.075800575,-0.047496013,-0.07025279,0.075706884,-0.047518082
-0.070307985,0.07567734,-0.047210313,-0.07040738,0.075776726,-0.047598213,-0.07030389,0.07592108,-0.047412872,-0.07047585,0.07559619,-0.04752644
-0.070437305,0.075756736,-0.0475605,-0.070433296,0.07573198,-0.04757905,-0.070311636,0.075887784,-0.047301043,-0.070384316,0.075774245,-0.04760858
-0.07034442,0.075739294,-0.04758412,-0.07035202,0.075887255,-0.04762062,-0.07051023,0.07570227,-0.047347583,-0.070393905,0.07578283,-0.047577586
-0.070398614,0.07575958,-0.047536127,-0.07038499,0.07573577,-0.047536064,-0.070354745,0.0757859,-0.047609717,-0.07035656,0.07574348,-0.04753968
-0.07041249,0.0757433,-0.04755127,-0.07050453,0.07571316,-0.047672953,-0.070402846,0.075782046,-0.04760009,-0.07041335,0.0757767,-0.04759421
-0.070522025,0.07572598,-0.047632385,-0.07018555,0.075735904,-0.0475551,-0.07039774,0.07576876,-0.047620207,-0.07041046,0.07574177,-0.047593854
-0.07021068,0.0757451,-0.047450855,-0.07040316,0.075752206,-0.047507238,-0.07039701,0.07574924,-0.04754738,-0.07037279,0.07575546,-0.0475883
-0.07039623,0.07560192,-0.047213577,-0.070390776,0.07577384,-0.047593974,-0.070437446,0.07571279,-0.047439963,-0.07015395,0.075620376,-0.047184
-0.07035513,0.07582916,-0.04757099,-0.07034396,0.07581698,-0.04752077,-0.07041765,0.07577137,-0.047582027,-0.07041313,0.07580666,-0.047597498
-0.07030757,0.07577863,-0.047469884,-0.07039195,0.07573047,-0.04755634,-0.070348114,0.075715885,-0.047489822,-0.07021273,0.075640045,-0.04751709
-0.07039981,0.07577166,-0.047587402,-0.07034267,0.075802915,-0.047556527,-0.07040263,0.07576975,-0.04759598,-0.070218354,0.07564569,-0.047395606
-0.070563145,0.075579785,-0.04759429,-0.07025562,0.07588168,-0.047491323,-0.070399806,0.07577394,-0.047577012,-0.070402145,0.07576718,-0.047598742
-0.06992081,0.075368255,-0.047317915,-0.07032107,0.075667,-0.047277234,-0.07024957,0.0758298,-0.04751596,-0.07044132,0.0758456,-0.046982616
-0.07035491,0.07581949,-0.047598947,-0.07035318,0.07580677,-0.04755737,-0.07039687,0.07577971,-0.047576413,-0.070366316,0.07583437,-0.047576573
-0.07041563,0.07574498,-0.047418244,-0.07037372,0.07575795,-0.04752917,-0.07038149,0.075788975,-0.047578923,-0.07039943,0.07577472,-0.04758843
-0.07032135,0.075654894,-0.047558688,-0.07032303,0.075689174,-0.04752339,-0.07040874,0.075847454,-0.047223274,-0.07029975,0.07561759,-0.047487702
-0.0701262,0.07597046,-0.04746666,-0.070364386,0.0757629,-0.047549285,-0.07042928,0.075766325,-0.047588486,-0.070402995,0.07644834,-0.04706482
-0.070362404,0.07536594,-0.047599167,-0.070211664,0.07561881,-0.047516055,-0.070382625,0.07579617,-0.04755549,-0.0703229,0.07580839,-0.047522616
-0.07043423,0.075751446,-0.04766822,-0.07046185,0.07573232,-0.047595814,-0.070371404,0.0759321,-0.04761695,-0.07039215,0.07576069,-0.04757784
-0.07040004,0.075774774,-0.047588184,-0.06975711,0.07591517,-0.047157854,-0.07040783,0.07575834,-0.04757037,-0.07039969,0.07577514,-0.047506995
-0.070319355,0.07594619,-0.0474217,-0.07030096,0.07577265,-0.04753673,-0.07039608,0.07579796,-0.047086317,-0.070430815,0.07575998,-0.047667094
-0.070369855,0.07575618,-0.047549646,-0.07038027,0.075724676,-0.04760797,-0.070409834,0.07574956,-0.047586903,-0.07052979,0.075798534,-0.04771624
-0.0704024,0.07576822,-0.047586974,-0.070409566,0.07576054,-0.047592998,-0.07034319,0.07576059,-0.047492217,-0.07033857,0.07579118,-0.047662664
-0.07043807,0.07578347,-0.047605038,-0.070454985,0.075760014,-0.047607396,-0.07025506,0.07567952,-0.04739494,-0.07041137,0.07575396,-0.047569595
-0.07047977,0.07573909,-0.047602464,-0.07043533,0.075697534,-0.047647983,-0.07028293,0.07584549,-0.04749382,-0.070430495,0.07576222,-0.04747979
-0.07038947,0.07579541,-0.047516122,-0.07041918,0.07577681,-0.04753845,-0.07025057,0.07585717,-0.04723853,-0.07034994,0.075785734,-0.047481492
-0.07038103,0.07572781,-0.04759063,-0.07039432,0.075784415,-0.047589347,-0.07037936,0.07578825,-0.047587413,-0.07039036,0.075754255,-0.047571056
-0.070679545,0.07564447,-0.047667198,-0.07039741,0.075777695,-0.047602266,-0.07041763,0.07572348,-0.04759749,-0.07016502,0.07574583,-0.047916472
-0.070409775,0.07585246,-0.04763034,-0.07038139,0.07577431,-0.047578767,-0.06991556,0.07527189,-0.047368504,-0.07028375,0.07588017,-0.047357887
-0.07034725,0.07596317,-0.04728507,-0.07039724,0.07576698,-0.04756409,-0.0705474,0.07548511,-0.04790149,-0.07039436,0.07577514,-0.04758382
-0.070373,0.0758094,-0.04752569,-0.07037494,0.07575239,-0.047604684,-0.070377246,0.07576557,-0.04759485,-0.0707345,0.075526714,-0.047678135
-0.07020205,0.0756985,-0.04752074,-0.07041533,0.07572144,-0.04763058,-0.07042735,0.075860396,-0.047593556,-0.070381165,0.075992376,-0.047715712
-0.070371605,0.075787246,-0.04760287,-0.07037892,0.07577123,-0.04752719,-0.07035775,0.07578164,-0.047623318,-0.07040186,0.0757657,-0.04757935
-0.070405096,0.07569006,-0.047604803,-0.07034011,0.075677976,-0.04758446,-0.07033187,0.075768515,-0.047585923,-0.070370056,0.075780526,-0.047600716
-0.0703422,0.075697094,-0.047580983,-0.07034178,0.07571088,-0.047649994,-0.07046619,0.075630695,-0.047609437,-0.070472956,0.075747326,-0.047720682
-0.070381194,0.07577945,-0.047572576,-0.070386596,0.0757418,-0.04753559,-0.070292845,0.07571081,-0.04742653,-0.07039972,0.07576072,-0.04759778
-0.07035327,0.07576888,-0.047556687,-0.070375726,0.07576762,-0.047537103,-0.07040147,0.0757842,-0.047598265,-0.07036518,0.075697064,-0.047538474
-0.07039335,0.07577606,-0.047521614,-0.07048027,0.075743645,-0.04769144,-0.07037469,0.07579757,-0.04740928,-0.0702312,0.07575692,-0.047561325
-0.0703448,0.07580973,-0.0475193,-0.07041102,0.075794466,-0.04760319,-0.07057402,0.07597404,-0.04709014,-0.070596136,0.075797975,-0.04738627
-0.07042742,0.07578425,-0.047510024,-0.07041093,0.07576665,-0.047590997,-0.07030532,0.07576777,-0.047626432,-0.07028135,0.076129295,-0.047047775
-0.07029351,0.075676925,-0.047304302,-0.07038286,0.07579772,-0.047314875,-0.07040814,0.075770274,-0.0475949,-0.070248134,0.07577264,-0.047506735
-0.07033658,0.07579471,-0.04773607,-0.070160426,0.07565096,-0.047568254,-0.07038565,0.075785644,-0.04760932,-0.07029188,0.07562765,-0.047176123
-0.07036198,0.075756475,-0.047599994,-0.07035565,0.07575749,-0.047685094,-0.07041094,0.07575346,-0.04751336,-0.0704004,0.07577169,-0.04758229
-0.07036126,0.07580362,-0.04750163,-0.070499316,0.075599775,-0.04738288,-0.070339695,0.07585629,-0.04751059,-0.07040197,0.07577684,-0.04757881
-0.07037994,0.07575702,-0.04748399,-0.07039997,0.07578251,-0.047626555,-0.07039048,0.07576375,-0.047566578,-0.07025438,0.07589465,-0.047545157
-0.07057768,0.07583749,-0.047145322,-0.0703384,0.075562045,-0.047547318,-0.07040797,0.075774565,-0.047590762,-0.07013106,0.07575606,-0.04737754
-0.07053282,0.07565831,-0.047643002,-0.07043485,0.07585968,-0.047572482,-0.07028781,0.075638115,-0.047620993,-0.0704265,0.075655274,-0.04755982
-0.07036573,0.075792484,-0.047531486,-0.07045066,0.07575393,-0.047594097,-0.0703225,0.07561636,-0.047572777,-0.07018436,0.07582673,-0.047579706
