class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.080190636,0.042172316,0.07179636,0.080189995,0.042171318,0.07179585,0.08019006,0.0421716,0.07179603,0.08019179,0.042174567,0.07179718
0.08018998,0.04217181,0.07179621,0.08018997,0.042171437,0.071795985,0.08018998,0.042171422,0.071795925,0.080190085,0.04217157,0.07179597
0.08019016,0.042171497,0.07179582,0.08018982,0.042171065,0.07179578,0.08018988,0.042171244,0.071795866,0.08019002,0.042171467,0.071795955
0.08018989,0.04217111,0.07179572,0.08018896,0.042169977,0.07179548,0.08018997,0.042171348,0.07179591,0.080189675,0.042170826,0.07179561
0.08018984,0.04217126,0.07179585,0.080189936,0.042171348,0.071795896,0.08019032,0.042172093,0.07179636,0.08018989,0.042171214,0.07179582
0.08018997,0.042171318,0.07179582,0.08018993,0.042171363,0.07179588,0.08019003,0.042171676,0.07179597,0.08018987,0.0421712,0.07179591
0.0801899,0.04217126,0.07179585,0.08018996,0.042171482,0.07179606,0.08018995,0.042171646,0.071796104,0.080190755,0.042173255,0.0717971
0.080189995,0.042171393,0.07179591,0.08019008,0.042171422,0.07179591,0.08018863,0.04216743,0.071792915,0.08019002,0.042171318,0.07179588
0.08018984,0.04217117,0.07179581,0.080189794,0.042171124,0.07179582,0.080189876,0.042171318,0.071795896,0.0801896,0.042171095,0.07179588
0.08018965,0.0421709,0.07179579,0.08018988,0.042171303,0.07179591,0.080191076,0.042172495,0.07179597,0.0801899,0.04217126,0.07179585
0.08019149,0.042173926,0.0717971,0.08018992,0.042171363,0.071795955,0.08018994,0.042171437,0.07179597,0.080189824,0.04217108,0.0717957
0.080189854,0.0421712,0.071795836,0.08018996,0.042171422,0.071796,0.080190316,0.042172972,0.0717974,0.08019009,0.042171437,0.071795866
0.08019027,0.0421719,0.07179615,0.08019077,0.042172838,0.07179682,0.08018996,0.042171184,0.07179564,0.08019014,0.04217157,0.071796
0.0801898,0.042171005,0.0717957,0.08019,0.042171422,0.07179594,0.0801901,0.042171765,0.07179615,0.0801898,0.042171124,0.07179585
0.08018969,0.042170916,0.07179573,0.080190524,0.042172406,0.07179643,0.08018996,0.042171363,0.071795925,0.080187865,0.0421667,0.07179272
0.08019057,0.04217236,0.07179637,0.08018987,0.042171244,0.07179585,0.08019005,0.04217157,0.07179609,0.08019011,0.04217175,0.071796164
0.080189615,0.04217038,0.071795374,0.080190666,0.042171497,0.071795404,0.08019036,0.04217199,0.07179619,0.08018944,0.042170543,0.07179558
0.08019031,0.042172078,0.07179633,0.08018989,0.04217126,0.071795866,0.08018692,0.042165626,0.07179248,0.08019011,0.042171646,0.071796075
0.0801896,0.04217108,0.07179585,0.08018999,0.042171422,0.07179594,0.080189966,0.042171333,0.071795896,0.08018994,0.042171497,0.07179606
0.08019003,0.042171452,0.07179594,0.08019002,0.0421716,0.071796104,0.08018993,0.042171318,0.071795896,0.08018987,0.042171273,0.071795925
0.080188856,0.042170424,0.07179627,0.0801899,0.04217129,0.07179594,0.08019007,0.042171586,0.07179609,0.080189794,0.042170975,0.07179564
0.08019004,0.04217172,0.07179619,0.08018991,0.042171318,0.07179591,0.08018994,0.042171273,0.07179588,0.08018989,0.04217114,0.07179569
