class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
14.467973,-24.702425,-5.631208,-5.9373903,8.54061,1.6755357,-0.5762198,0.215608,-4.7935734,-2.367587,2.3916998,2.298092
13.881876,-24.287548,-2.238138,-5.8288765,6.9454813,4.3048377,-4.494394,4.8752437,3.4838276,0.18998682,-2.4345436,1.350976
6.2714987,-13.209997,-1.2813168,-6.865373,8.556332,3.2558045,-4.338765,4.4198465,3.7683396,-2.5607233,1.8225343,1.6593618
7.455846,-14.755838,0.80806655,-8.272379,13.3273735,-2.7757041,1.6132399,-3.7409406,-4.61317,-6.533433,9.856723,0.21542746
9.686507,-18.480867,-2.946904,-5.6481004,7.6832013,1.1353612,0.5621549,-1.6045963,-3.6804657,-11.89297,16.332636,3.5995111
16.613997,-27.98358,-7.471706,-5.9542055,9.420992,-1.7497904,-1.7382014,2.1522307,-4.9080772,0.6278523,-3.289898,0.6532808
9.524477,-17.873785,0.20434517,-8.82647,12.357782,4.583693,-1.2672702,-0.84251606,1.7108335,-3.0452104,1.9966394,2.089341
13.198108,-23.189598,-2.3102388,-14.457731,20.248438,4.0872335,-8.304555,10.001122,2.8751512,-7.144314,9.604739,1.9098349
13.452193,-22.89588,-6.4793267,-10.42797,13.684072,2.7418213,2.2834973,-4.606529,-4.850828,0.35310483,-1.3853847,-4.1312075
7.831687,-13.790021,-3.6060474,-5.9398584,8.648708,-0.16944522,-0.6835999,-0.6735414,-1.2020204,-3.8655725,4.9010878,-0.3900174
-1.9888735,2.7535176,-0.4443506,-9.457276,13.397711,4.873854,-3.4975157,3.4481869,1.8599756,-5.8528028,8.632935,-2.4865384
3.2657933,-7.940029,0.874396,2.90174,-4.855282,-5.087917,0.0055269003,-2.9520578,1.0706866,3.109396,-7.0756016,-1.0776429
12.735197,-23.07633,-2.382965,-5.8057737,8.50013,0.9913885,3.4826283,-7.2887287,1.5113378,-13.830304,18.459253,6.097551
7.9475,-15.474497,-0.9485188,-10.040055,14.994637,0.02204734,-3.425294,4.0546837,2.2680643,3.5607066,-7.3873262,-2.4642417
15.26938,-26.186743,-3.3045654,-7.3867908,11.963392,-2.0812817,2.888483,-6.206726,1.7225151,-1.8604237,2.3035893,-4.62039
7.500269,-13.673948,-0.15248299,-5.019273,5.7706275,4.1976447,-3.403956,3.1603522,3.2488122,0.6581701,-3.433447,1.37432
13.345731,-23.387388,-2.6089067,-3.9016757,5.8156586,-4.277084,0.2737441,-3.7418756,0.3719471,-9.443557,15.724756,-3.2816663
3.745473,-7.811062,1.8328831,-8.169442,11.038562,1.8245609,-1.7379286,1.8342447,-1.3805921,3.7962618,-7.182438,-4.4598827
10.456347,-17.932383,-5.630039,-8.659812,11.232176,3.4358058,2.471383,-6.325153,1.4530938,-4.575773,6.2703,1.4656143
14.870287,-25.341135,-5.490926,-10.280585,15.467041,-0.45425606,-2.8451016,2.155232,1.9576302,-6.0676785,6.348469,2.1564786
9.26309,-15.857107,-6.9160376,-4.2697887,5.9237847,1.1988089,1.1842259,-4.27479,1.3739164,-6.9817686,7.63383,1.8908913
11.905162,-20.410395,-6.0731688,-7.7149987,12.023124,-0.68921673,-7.910238,10.614048,3.2407556,-4.8997965,4.598744,2.0382595
12.695626,-21.15258,-7.682115,-5.6085615,7.457682,1.6391556,4.8557806,-9.716986,-1.2869833,-4.15684,3.7642488,2.2958183
9.073022,-15.980879,-4.018784,-13.795871,19.074238,3.7030473,-2.4566016,0.3322004,1.9500666,1.0707704,-3.5884843,-0.8600784
4.885877,-10.518883,0.001858294,-3.2516594,4.8006835,-2.1364958,-1.3413316,-0.27075922,2.276808,-10.211928,15.461165,2.486895
7.9993258,-15.100279,0.12869513,-1.3481919,1.805108,-3.4451857,-1.5428331,0.9596404,-0.6535799,4.2109785,-7.977516,-5.544758
7.9152193,-13.443837,-3.3476071,-5.312025,5.3715205,5.7777677,-1.9221008,2.2760196,-3.8047822,-2.025217,0.80529016,1.8574138
11.441928,-18.997145,-8.500904,-7.672525,12.071249,-1.8941097,-5.774749,6.9142747,3.5756774,2.7693257,-5.243516,-1.9408088
10.377332,-17.726336,-5.384795,-7.3897767,10.770413,2.547893,-8.146755,9.692227,3.5671449,-1.1511929,-0.55902684,1.9082763
4.150539,-10.105315,-0.38615042,-8.969214,13.390007,3.241694,3.0609546,-7.260481,1.75493,-0.48517388,-2.4101071,0.43460244
8.695867,-14.818838,-5.4249196,-7.772558,10.935051,5.0514836,-0.075130224,-0.38379347,-4.7980413,-3.785705,3.3905451,2.6881623
7.085908,-14.223096,-1.7680912,-3.0230746,1.9853148,2.1894002,-5.9872026,9.11365,-3.686133,2.2384949,-6.532986,-0.40849435
7.866414,-14.50263,-1.2590501,-10.715201,15.459782,5.2700744,-6.6784563,8.349566,3.9912767,-1.7035203,0.39928228,0.89899987
11.590273,-20.334179,-2.2157578,-3.953436,5.5734367,-0.8873377,-3.6811385,5.438343,-4.5565124,-9.200082,13.291823,3.953053
7.572034,-14.858831,-0.75992996,-12.764572,17.58533,3.5943246,-6.8361635,8.272676,3.6669264,-7.74298,12.852448,-4.361233
15.738318,-26.491884,-7.380629,-4.834772,3.9594717,2.2577934,-4.88689,5.5786843,3.0086234,1.4872462,-4.004693,-0.8772488
6.863834,-13.480154,0.13675922,-9.976631,12.919582,4.25697,-5.462264,6.2255745,3.9759526,-0.4745118,-1.1145765,2.6645389
5.53921,-11.689138,0.8736449,-14.78568,20.257124,7.3046756,-5.6808677,6.218933,2.1186802,-10.138156,12.732363,4.6437488
14.239745,-24.181562,-7.138721,-4.5170655,6.8554883,-3.1617014,-3.3754425,3.0033374,1.9233952,-3.6619773,5.492352,-3.979646
13.926769,-24.257229,-3.6063495,-9.983125,16.141623,-3.3683603,-6.5087185,6.8384514,1.4850223,-0.4487626,-2.157905,0.70559055
10.57873,-18.633812,-3.0631433,-3.1022573,4.0124683,0.03123331,-9.193152,12.585939,3.580234,-10.188278,15.993293,-1.0740207
9.397002,-17.583467,-1.6665428,-7.6547937,10.284224,2.9027443,-1.1302804,1.4221743,-6.012977,-7.542101,11.4548,0.057188094
9.982745,-16.576307,-7.7616315,-0.50059974,-2.6871448,0.40782303,-1.697902,0.872875,2.7267063,-0.619256,0.41989952,-4.8883233
17.114925,-28.956722,-4.5948753,-7.568103,10.415187,2.203408,-8.783421,10.285493,2.3632667,-2.6282187,1.3936956,2.4769137
15.096583,-25.8146,-6.0366654,-3.8176398,5.089545,0.4910528,4.696701,-8.5028715,-4.17743,-3.5451536,3.0987787,2.827042
12.122616,-20.369574,-7.2236757,-7.9420977,12.534572,-3.2126153,2.3482094,-6.9698,2.8681526,-4.8010736,7.359938,-3.1403258
