class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.09340118,0.034578077,0.010524819,-0.09503109,0.036671523,0.013932599,-0.09545196,0.03270234,0.010606351,-0.100337,0.031550113,0.013042768
-0.09487076,0.033132076,0.010235283,-0.0977691,0.031101134,0.0059434203,-0.090704165,0.03489927,0.01545733,-0.10552227,0.02486157,0.014262265
-0.095262654,0.036331683,0.014438572,-0.09526636,0.03673356,0.014784688,-0.09928013,0.034359936,0.005316223,-0.09531517,0.032998327,0.011784617
-0.105392314,0.02427643,0.012154138,-0.10128108,0.035096575,0.016220897,-0.09282254,0.037930362,0.013439616,-0.09652258,0.032752644,0.012688832
-0.09461853,0.039378975,0.01332831,-0.1036259,0.03414656,0.015489671,-0.10201591,0.03375169,0.015562296,-0.099753305,0.03905261,0.017939925
-0.097755164,0.038449366,0.017165055,-0.09790106,0.031482756,0.007673074,-0.09381506,0.034068156,0.010781975,-0.10066506,0.037238207,0.015437033
-0.09875765,0.037874337,0.018308137,-0.09681228,0.034626637,0.015012732,-0.09306353,0.035479113,0.011743466,-0.101086654,0.033841487,0.015610859
-0.106817104,0.025165508,0.014363812,-0.0941899,0.039641954,0.01523293,-0.10007074,0.03273411,0.013096079,-0.096970715,0.037465706,0.015804913
-0.097831026,0.034111556,0.013425821,-0.097399876,0.030913204,0.008563565,-0.09482425,0.039276145,0.014989969,-0.09399206,0.038583197,0.014766515
-0.1057183,0.025540704,0.012968097,-0.105220325,0.024061091,0.013173558,-0.10655926,0.025277475,0.013104472,-0.09341067,0.032094326,0.00999302
-0.09784576,0.030779835,0.007254972,-0.10490882,0.03148393,0.014927179,-0.097759366,0.03830867,0.019199163,-0.09792449,0.03083686,0.0064215856
-0.096177325,0.038717754,0.013923955,-0.09839099,0.03888398,0.017091801,-0.09631228,0.03526142,0.010762399,-0.09682406,0.038204785,0.014105764
-0.09329904,0.034459952,0.010424332,-0.101590276,0.034583446,0.015716149,-0.09896241,0.032100778,0.00795735,-0.09746275,0.03793874,0.01725331
-0.10592851,0.030624766,0.01477661,-0.09555396,0.03249339,0.013249049,-0.0982725,0.03573895,0.015189667,-0.09394178,0.0394854,0.01607131
-0.09665729,0.032698013,0.014446096,-0.105935864,0.027348574,0.013497976,-0.09641026,0.032150306,0.010902232,-0.095067516,0.035365667,0.010521464
-0.09662461,0.03235607,0.013444022,-0.105667554,0.026894802,0.015234219,-0.09980965,0.036669474,0.015812,-0.09236687,0.03667301,0.015396717
-0.096002534,0.038165543,0.013557093,-0.10128481,0.036092907,0.01595017,-0.10395945,0.026362086,0.014255537,-0.09993859,0.038157545,0.017452931
-0.10479367,0.02590473,0.014076749,-0.095457375,0.03878735,0.015424645,-0.10408604,0.033972193,0.015013938,-0.098094516,0.030532444,0.00687459
-0.099793985,0.032575227,0.012931461,-0.09490958,0.036313828,0.016738886,-0.0997439,0.0353855,0.014999371,-0.093460776,0.040105045,0.015448208
-0.09875432,0.032027,0.0057289368,-0.1054575,0.025970966,0.013645259,-0.103306726,0.026205026,0.01278915,-0.10731163,0.024467379,0.01378901
