class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
25.856604,27.224388,41.823032,-2.401788,-3.3470454,0.45233345,16.346376,16.116325,25.925741,-4.6160583,-6.2903714,-4.7194657
11.031603,12.571522,12.087438,-9.914366,-9.174015,-9.590512,-8.737696,-10.547007,-10.903983,-13.497655,-14.449505,-17.201609
25.377867,25.462358,41.022747,-6.313383,-8.092467,-7.972531,-1.3037071,0.034251094,-6.2245116,-2.4192924,-0.30667484,-6.528303
24.345669,23.723682,36.907894,-3.9154081,-2.2165039,-7.157826,-13.512111,-10.733408,-18.050592,-4.2952466,-5.9552555,-5.098152
9.696962,11.383371,9.791436,0.6537186,2.7592022,-2.9195642,-2.9237885,-1.2375785,-9.604356,-1.9785311,-1.1596119,2.756114
25.837435,26.073063,39.895164,-3.2598271,-1.0560267,-8.471587,-5.243569,-4.6009626,-3.7881608,-5.120408,-6.8369265,-6.367912
10.388843,12.053389,11.94835,1.1216704,2.9738636,-4.5054994,-8.306561,-8.086004,-7.171896,1.3775946,3.1973143,-4.391929
4.9612536,7.6973796,10.757049,-4.421683,-3.6329212,-2.4497876,-11.804868,-13.722128,-15.712912,-3.6698837,-2.1211276,-1.1198596
18.764719,17.413212,28.792961,-7.2830877,-5.9085627,-6.1481724,-10.375234,-7.601434,-14.5395155,-12.501132,-12.651222,-15.413811
11.306054,13.013241,11.308856,-1.3450563,0.3548112,-2.8999968,15.509564,14.717775,24.39069,-5.3987546,-3.6924934,-13.932145
23.413164,25.228855,33.73474,6.8062577,4.9758363,11.685673,10.449605,12.121399,11.108943,-10.594722,-10.870317,-12.735015
16.628103,16.125437,28.330496,-2.809484,-0.1230129,-4.8391,12.501843,14.537844,23.021513,-1.2621901,0.42527187,-5.1063557
9.565263,10.772049,18.37014,-6.6184826,-4.973704,-11.16965,-4.0157166,-2.3315618,-12.178882,-4.5597105,-2.7926152,-11.003304
26.04012,25.347475,39.268055,-9.630788,-8.857126,-10.048724,-10.770255,-9.85113,-11.669781,2.6565194,4.0362186,0.18450367
23.160555,23.139929,38.07302,-9.641992,-10.568441,-11.812808,-9.622359,-8.812221,-10.151975,-6.306856,-6.5585837,-6.372015
25.739527,24.609316,38.911335,-7.2982316,-6.8105626,-4.8612814,-9.132132,-8.266297,-9.263666,-9.963544,-10.193922,-11.699322
17.329777,16.646284,27.649092,-6.8865647,-8.669163,-8.056193,-9.53464,-9.4050865,-8.914527,-3.3227239,-4.937755,-3.7783508
7.733075,9.450039,6.100284,3.0823622,4.868383,-1.1787661,-5.740884,-4.6999826,-6.542692,-6.3504605,-5.1924267,-6.828771
21.71105,21.858059,36.022655,1.4957477,-0.2644745,4.1240187,-9.656743,-8.042967,-19.513102,-8.162328,-10.103888,-9.918031
19.873629,21.138779,33.10215,-7.116707,-5.14695,-14.966021,-6.7616563,-6.173843,-6.087561,-6.5870614,-7.0224786,-5.620137
11.484555,13.191771,11.564167,0.80335927,-0.8660243,2.6502886,17.465706,17.321735,29.932753,0.55222166,3.2335896,0.97473633
20.120497,20.313002,32.073586,-18.306559,-16.810835,-22.657755,16.97085,18.232841,28.671787,1.9440612,0.14465427,4.221895
16.034575,16.140358,26.408518,-6.2817173,-4.876599,-4.721916,-11.150871,-12.312605,-14.424867,-10.435762,-12.238556,-14.080588
13.458341,14.596394,23.847033,-3.0269098,-0.80294776,-8.582456,-7.15274,-6.4253254,-6.5062,-0.7486332,0.9760287,-7.2122188
23.194815,23.141085,38.02526,-0.028897345,1.6869702,-5.8396797,-5.5533185,-5.814536,-5.1942253,1.1208335,2.7724047,-3.564034
5.3418636,7.061541,8.687362,-6.223569,-5.309817,-4.042771,-7.4890804,-5.966057,-11.177468,-8.1015215,-9.93351,-10.557345
23.476435,25.727821,34.87698,-5.3579483,-7.144895,-6.445933,-12.851771,-14.785473,-17.309055,0.8479582,2.59541,-1.7578771
7.9086094,10.383089,15.449243,2.0582576,3.9110246,-2.6592886,-7.987543,-9.827929,-10.462492,0.255674,1.1915212,4.5111
28.266878,29.098923,46.468094,0.96963966,0.7965578,4.274097,9.243465,11.0989895,12.746943,-2.646511,-1.1475589,-3.545352
9.829843,11.534006,9.355103,1.1437081,-0.7643926,3.2504315,-11.3647785,-10.770271,-13.037875,-2.3328962,0.20805693,-4.7873406
16.602158,18.397615,25.357443,-15.190519,-14.910217,-16.786741,-2.3168988,-0.6348841,-9.575794,-0.072719395,1.6441247,-6.20134
6.045344,8.894917,11.61703,-3.635459,-2.8083758,-1.3596684,13.13329,14.893398,16.524878,2.817278,4.4130664,-1.2604591
20.110249,20.546228,34.196888,-1.3874223,-0.5002823,2.3899512,-9.245389,-8.481537,-8.522607,-0.83418506,0.7494581,-6.9024973
17.559439,17.017107,27.832747,0.9263301,-0.55336416,4.7785125,-10.527457,-12.428759,-13.930231,-3.0771842,-1.3939607,-5.5709395
10.218942,11.908188,10.0957155,-9.433692,-10.673599,-11.673638,-9.78182,-8.358204,-14.363128,0.7511233,2.46341,-4.5990596
8.106721,9.848782,6.4705133,-7.7375107,-5.9582634,-17.658712,15.932559,15.621342,27.651192,-5.9663944,-7.6162105,-6.587013
25.304495,24.513279,38.159386,1.6999038,2.5116928,8.127805,-10.103883,-12.037117,-13.017254,-3.2472215,-5.0565786,-3.1916533
18.063057,17.97878,28.898249,-1.910376,-0.97812635,1.2315551,6.0394483,7.069055,12.860503,0.846331,2.615403,-0.034660697
10.027852,11.254314,19.039534,-3.7027779,-5.340183,-3.201374,11.145721,12.832624,11.216439,-3.0570216,-1.3088572,-6.729806
8.9124975,10.620775,8.011787,0.65644395,3.612512,2.1213727,-4.660721,-3.6094105,-4.877181,-5.443227,-4.7820044,-4.1417956
17.952288,18.733147,31.636522,4.813036,3.9151707,9.256574,15.519204,14.449493,24.106861,-3.2533088,-0.55426764,-4.53794
16.513294,19.121708,27.92128,4.8312387,3.0100403,8.512387,-13.843379,-13.473043,-14.852868,-12.243515,-11.724649,-12.498976
15.510346,17.297762,23.950964,-7.3970737,-6.6468773,-7.4618917,-19.268507,-17.348219,-24.523378,-10.130632,-8.897478,-10.759416
20.546299,19.582825,31.38222,-3.03726,-1.301096,-6.207823,-10.333283,-12.052141,-12.315827,-7.604421,-9.400051,-9.118942
15.0918665,13.965225,24.030764,-6.947719,-6.1924934,-6.228819,7.361514,9.202881,10.817302,-0.43176645,1.3918138,-5.681158
16.639235,15.615164,26.67897,-1.2664657,-2.326206,0.38931048,16.789717,17.139355,29.564945,-0.682294,1.0574617,-2.0086746
12.351916,14.387554,22.587421,1.9088932,0.39225662,6.3784165,-10.41392,-8.789566,-20.820349,-3.1276956,-4.5127954,-0.8922838
14.561864,14.845381,24.59126,8.92141,7.587754,16.515085,-2.0183177,-0.5649606,-6.33498,-1.6254389,-0.6499791,2.729519
14.568041,15.683962,25.546846,1.6185721,4.574211,5.2258205,8.6249075,11.196808,16.561277,-1.9894599,-3.7217913,0.15056515
26.357159,25.691658,39.738976,-0.96565694,0.8563614,-8.024539,-6.4205594,-5.5081763,-5.3742876,-4.65302,-2.9612215,-8.586801
24.563711,23.436333,37.14096,0.719066,2.6491122,-4.513778,-13.93291,-13.424377,-16.878675,-7.188634,-7.403121,-7.5466866
8.804279,10.520027,10.2218485,-9.284119,-9.506376,-10.700063,-15.445589,-17.357712,-21.336939,-4.2370076,-3.6687303,-0.3460666
17.510233,18.82547,30.17007,1.4912533,1.8089662,5.887018,15.604447,16.046122,25.984,-4.5340905,-2.046791,-10.012925
3.4702172,4.7536693,8.091313,5.0219154,3.2575464,8.790323,10.310029,11.377501,19.28621,-7.4511957,-7.033556,-5.4038305
18.248991,16.986198,27.976082,-3.0489244,-1.4127188,-4.083468,5.307017,6.3487053,11.724019,-12.050637,-11.489895,-13.914302
19.524864,21.083248,25.049244,-5.255497,-2.918399,-10.622792,-7.136238,-8.874295,-7.912884,4.651194,3.1809077,8.7745905
7.5180883,9.2789955,5.4462624,-1.8061509,0.8219929,-6.4601145,-4.3751526,-3.5604255,-3.3967762,-1.0828745,0.65040624,-4.6152763
16.47236,15.433229,26.175415,-6.9687405,-4.289338,-11.431264,-14.592672,-12.27865,-18.32374,-2.5523,-0.8768265,-9.742808
21.250523,23.13307,30.09867,-3.0350966,-4.84146,-3.1107087,-6.0750704,-4.419254,-11.245566,-0.68216586,1.4393482,-4.826741
13.515626,14.792961,24.179905,3.0497508,1.3448071,6.357312,-10.476153,-11.001621,-12.780237,-3.152174,-2.546571,-0.91861045
18.50928,20.036514,31.7567,-4.8804703,-2.1144743,-3.9049997,-10.84135,-10.608513,-12.487572,-3.1876926,-4.7923136,-3.5550451
4.3223977,5.4321265,10.026393,-13.143708,-13.329084,-14.410148,-12.043318,-13.925018,-16.43632,-3.6676407,-2.9646785,-1.3659345
