class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.40376163,0.60200495,-0.53807044,-0.43371052,-0.5369381,-0.5007819,-1.4728045,2.0856764,1.1404617,-1.9445634,-1.90694,0.46343023
-1.7014298,0.59427786,0.98476857,-0.39041975,0.5687409,-0.54376996,-0.64434963,-1.9872096,-0.2330429,-0.6742534,-1.9571359,-0.15256295
-0.40018755,0.5933749,-0.5397613,-0.392162,0.5753886,-0.5436228,-0.4104954,0.6228193,-0.53455013,-0.39926273,0.5910838,-0.54006726
-0.6779823,-2.0040302,-0.18903464,-1.5825784,-0.96128607,0.66902316,-0.40889132,0.61717725,-0.53582746,-0.40936804,0.61957544,-0.53539044
-0.40844548,0.6159434,-0.5363028,-0.3865151,0.55936337,-0.5459693,-0.4179955,0.64042276,-0.53058213,-0.60039675,0.20830481,-0.17793435
-1.4148469,2.1303189,1.0473992,-0.3886638,0.56625324,-0.54517496,-0.393517,0.5785286,-0.5426253,-0.6484256,-1.8814349,-0.13345088
-0.38405067,0.5560281,-0.5464456,-1.4992595,2.0740485,1.1798297,-2.0270329,-1.4942769,0.5699909,-0.41532284,0.63588446,-0.5322176
-0.40960556,0.6185049,-0.5354495,-0.38837475,0.56352156,-0.5448302,-1.4679391,2.099484,1.1340843,-0.41107553,0.6221325,-0.53415984
-1.4467876,2.117289,1.0975,-0.38052848,0.5449613,-0.54809797,-0.596434,-1.7586485,-0.35569742,-1.5045893,-0.3425068,0.80143565
-1.5321472,2.0191383,1.2243751,-0.38913244,0.56554383,-0.5451876,-0.3921695,0.574771,-0.54283774,-0.41243112,0.6248434,-0.53364867
-2.0362976,-1.7250131,0.52703214,-1.3920608,2.060322,1.0425285,-1.4681101,2.1025722,1.1332502,-0.40893358,0.61582184,-0.5357777
-0.37669238,-1.3034335,-0.10748437,-1.5737803,1.9285965,1.261302,-1.4146492,2.1334844,1.0432496,-0.4144035,0.63095313,-0.53253967
-0.38394657,0.55252844,-0.54728955,-0.46137774,-1.4349394,-0.09063946,-0.39714947,-1.3017532,-0.08825341,-0.63000923,-1.9777175,-0.25221086
-0.39107504,0.5684292,-0.5436373,-0.37615958,0.53646666,-0.5506479,-0.27908128,0.45687398,-0.5848914,-0.411192,0.6218031,-0.53483623
-0.1160492,-0.39167747,-0.24118936,-0.15360138,0.3058254,-0.5695949,-0.6839455,-1.9993817,-0.17387068,-0.4009083,0.6091056,-0.5408013
-1.44504,2.1175907,1.0973414,-1.7278769,-1.4363134,0.57141256,-1.453598,2.101955,1.111938,-0.41007203,0.6194094,-0.5352886
-0.33387655,-1.1671209,-0.08970782,-1.4748874,2.0938816,1.1473308,-0.39425594,0.57760924,-0.5429107,-0.41087466,0.6229871,-0.5350182
-0.37148347,-1.245995,-0.08681768,-1.5882804,1.8975232,1.2718633,-1.4019442,2.1318946,1.0226351,-0.3992172,0.5903643,-0.5405347
-0.5122593,-1.1929487,-0.44983715,-0.39079326,0.56983477,-0.5443189,-1.5043404,2.0632992,1.19016,-0.66720134,-2.00332,-0.20699024
-0.4101603,0.6207953,-0.5347878,-1.488759,2.0825295,1.1694678,-1.3576226,2.1389663,0.94734514,-0.63557345,-1.9819069,-0.24702209
-1.5642383,1.9555385,1.2529373,-0.7001555,0.7380271,0.042234417,-0.40172184,0.5988987,-0.5386033,-1.4300604,2.1230574,1.0706233
-1.4591591,2.1053293,1.1219603,-0.3934032,0.57685536,-0.5428772,-1.7502427,-1.5126126,0.5526011,-1.5413587,-0.8976483,0.6721473
-2.021707,-1.5855718,0.5470101,-1.4827485,2.0861511,1.1608491,-0.39847815,0.5929805,-0.5406225,-1.4069476,2.132821,1.0279797
-0.108275115,-0.38649452,-0.2429587,-0.39331838,0.5764641,-0.543062,-1.4827695,2.079893,1.1558217,-0.3880463,0.5816172,-0.5481366
-0.48812765,-1.0050031,-0.46712828,-0.08108008,-0.09961234,-0.34034127,-1.3667953,2.1403432,0.9563316,-0.41282922,0.63356215,-0.53271824
-0.40238798,0.59965056,-0.5388654,-0.6693031,-2.0046465,-0.20370588,-1.4620688,2.1011562,1.123651,-1.3876679,2.1280828,0.9973847
-0.37700698,0.5357694,-0.5500818,-2.0260074,-1.4043432,0.5846349,-1.5063226,2.04378,1.181521,-0.54299134,-1.6939287,-0.13207468
-0.3919413,0.57141846,-0.54349196,-0.38521293,0.55865335,-0.5463139,-0.39901966,-1.30324,-0.087044895,-1.8801525,-1.8481463,0.47327378
-0.39416206,0.5775493,-0.5431041,-1.4875076,2.0810192,1.1650207,-1.5079577,2.0603967,1.1911687,-0.41908902,0.64478356,-0.53077644
-0.6294664,-1.8258514,-0.12325291,-1.4847963,1.992533,1.1722757,-1.4946923,2.0745564,1.1722151,-0.41291147,0.62726146,-0.53394943
-0.16288346,-0.699146,-0.14973891,-0.3945645,0.5794794,-0.542155,-2.0191646,-1.6670614,0.5250201,-0.40923393,0.61855596,-0.5355707
-1.4310436,2.1234612,1.0687629,-0.45550293,-1.4171441,-0.088220894,-1.49282,2.0686784,1.1836572,-0.93942827,1.5372885,0.37899035
-0.49921364,-1.5159982,-0.09457481,-0.65737844,-1.9159852,-0.1820474,-0.58532494,-1.6711541,-0.37240764,-0.41077143,0.6215561,-0.53521585
-0.68172705,-2.0038316,-0.18306136,-0.38314307,0.55152327,-0.54663026,-0.39731616,0.58477587,-0.5411,-0.41105467,0.62114054,-0.5347774
-0.67465585,-1.9568387,-0.15113376,-0.57326365,-0.35865197,-0.28310025,-1.4099607,2.1229389,1.0406692,-0.6748547,-2.009068,-0.19779554
-0.40995663,0.62059087,-0.53554815,-0.6439401,-1.990311,-0.23785582,-1.5159101,2.0431714,1.2129195,-0.41203934,0.62428343,-0.53452003
-0.38525856,0.55606383,-0.5465755,-1.2366178,1.9087778,0.83096397,-1.651964,-1.3720336,0.5640476,-0.17947206,0.3796246,-0.56341875
-0.2871072,-0.08034976,-0.5629196,-0.6534421,-1.9947121,-0.22180033,-1.4787796,2.0839357,1.156496,-1.551713,1.2589171,1.1387161
-0.6161471,-1.9443177,-0.29314458,-0.3916139,-1.289671,-0.08799665,-0.19801244,-0.8001999,-0.1433577,-0.41440517,0.62942827,-0.53332174
-1.5332797,2.0080552,1.2271378,-1.4771953,2.0893931,1.1504169,-1.3602767,2.1418417,0.951915,-0.33557704,-1.1709262,-0.08958031
-1.4667532,2.0906405,1.1385028,-0.8996374,0.95301473,-0.011808507,-0.4196471,0.6457085,-0.5298933,-1.4815195,2.087813,1.1499662
-0.3920294,0.5741059,-0.5431044,-1.5520451,-0.91750455,0.67155015,-1.5127478,0.065414384,0.8978854,-1.4228783,2.1256151,1.0615379
-1.4660361,2.087289,1.1319915,-1.9868202,-1.8050175,0.5127944,-0.3802275,-1.2641023,-0.086750835,-0.29906213,0.4748474,-0.58035165
-0.40016764,0.5951534,-0.53932256,-0.12395263,-0.55516917,-0.18788931,-0.396296,0.58465594,-0.54180527,-0.41245478,0.625086,-0.5338568
-0.5464122,-0.40595126,-0.33434328,-0.37652874,0.53401613,-0.5496185,-0.3944029,0.57790786,-0.54248595,-0.19998655,0.4119986,-0.5697501
-0.62899166,-1.9764149,-0.26708528,-0.38155743,0.5476989,-0.5491675,-0.50026375,-1.017817,-0.4643103,-0.41242927,0.6251828,-0.5338261
-0.18116355,0.1325164,-0.57715714,-0.39834005,0.5886156,-0.5405592,-0.41494304,0.6320704,-0.5328361,-0.3686617,-1.2761256,-0.10409975
-0.38731027,0.56141907,-0.54533356,-0.67038167,-2.0045264,-0.20128098,-1.4066031,2.1270728,1.0323294,-0.41191792,0.6257628,-0.53400815
-0.4090492,0.61687756,-0.5358193,-1.5540831,0.59872216,0.92604035,-0.39043045,0.56557506,-0.54363585,-1.4307306,2.1214597,1.0675004
-0.4105919,0.6222455,-0.53507245,-0.2837197,-0.11181317,-0.56389624,-0.6750075,-2.0069656,-0.19481367,-0.4139523,0.6309478,-0.5331726
-0.39896572,0.5936945,-0.54033846,-1.5870602,1.1657995,1.1556928,-0.097937405,0.1999533,-0.4819576,-0.41513163,0.6327679,-0.53271544
-0.389339,0.56507856,-0.5450345,-0.38517416,0.55758923,-0.5463938,-1.4891682,2.081283,1.171622,-0.4035899,0.6028916,-0.53784555
-0.65605617,-1.9015552,-0.1369304,-1.9068086,-1.7390593,0.52206856,-1.4754674,2.0887427,1.1470776,-0.41451764,0.632436,-0.532716
-0.38858277,0.5666704,-0.5446484,-0.38744396,0.5608447,-0.5454023,-0.4013571,0.5979323,-0.53943825,-0.39237574,0.57459736,-0.54342693
-1.4289684,2.1212726,1.0665442,-0.39639887,0.5838024,-0.54145503,-1.4680743,2.0844636,1.1374621,-0.24470294,-0.95514435,-0.122245684
-0.39850307,0.591859,-0.54022515,-1.4898446,2.0791192,1.1687486,-1.8519676,-1.8127205,0.4783886,-1.4217355,2.1277738,1.0577734
-0.39586717,0.58354527,-0.54154146,-1.8231773,-1.6218626,0.53883505,-0.4013433,0.59419715,-0.5384652,-0.40807295,0.61424756,-0.53606683
-1.7048066,-1.3697829,0.58646864,-1.4908278,2.0784826,1.1713009,-0.3682704,0.5392161,-0.5578629,-0.40292025,0.6019936,-0.53874505
-0.6798546,-1.9736676,-0.15693441,-0.39065367,0.57166374,-0.5441582,-1.3952718,2.1357007,1.0127145,-0.4157148,0.6565281,-0.5302291
-1.5543296,0.20389028,0.9576085,-0.38691694,0.5582418,-0.54600036,-0.6312608,-1.9452314,-0.17374128,-0.46331054,-1.4386053,-0.09065801
-1.4790068,2.0919127,1.1511366,-1.6363137,1.7888689,1.2964711,-0.6026724,-1.9092227,-0.31080246,-0.4018712,0.59887487,-0.53912246
