class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
1.2197834,-1.9130297,0.27772403,1.0613765,-1.4881979,0.42577606,1.218254,-1.9098803,0.2788319,0.85995054,-1.0093696,0.59097326
1.2320365,-1.8877412,0.3159599,0.67177284,-0.91323274,0.47420868,1.0647793,-0.54760695,0.72395086,0.6200343,-0.66073644,-0.06416722
0.40033448,-0.09423366,-0.21656866,0.6827427,-0.9075541,0.45708355,0.6424809,-0.8890288,0.41106716,0.8750655,-0.98668,0.6144812
1.2224936,-1.8928298,0.29141927,0.51581955,-0.6553183,0.42666522,0.71808547,-0.9356882,0.49187276,0.40686125,0.04144822,0.09591769
0.34902668,-0.1648402,0.37854624,0.739444,-0.8758724,0.4986883,1.2143121,-1.8869716,0.2779919,1.239757,-1.8668952,0.35701916
0.5293714,-0.8842649,0.33230403,0.25773573,-0.70209086,0.027428668,1.2408576,-1.8713356,0.36542574,0.81005937,-0.9309024,0.53770536
1.2119412,-1.9043163,0.2663164,0.749411,-0.9281447,0.48926345,1.227849,-1.895425,0.30543876,1.0187949,-0.95265764,0.5687661
0.81880194,-0.9893251,0.5476768,0.83203465,-0.84498346,0.37285155,0.8973291,-1.0096487,0.61611015,0.8757097,-1.284561,0.41554168
0.6041182,-1.0021838,0.22900197,1.1303543,-1.4023789,0.3383677,1.2384061,-1.8831216,0.34922236,1.2379102,-1.8864503,0.3496799
0.8711532,-1.0072253,0.5948794,0.40526488,-0.7435667,0.22111183,0.5747741,-0.9068614,0.39218125,0.87399083,-1.0062451,0.6037991
1.2346591,-1.8799948,0.3313019,1.211259,-1.8978218,0.26443428,1.2180059,-1.7610801,0.3397495,1.2331918,-1.8906646,0.31990787
0.8506622,-0.9933877,0.56544477,1.2024174,-1.868979,0.25974077,0.83125937,-0.97453576,0.5356859,0.63930774,-0.6967607,0.046925154
1.218566,-1.8969082,0.28045264,1.2198201,-1.8998053,0.2832292,1.2144045,-1.8873645,0.27807394,1.2352346,-1.8877934,0.32786033
0.5955903,-0.9539863,0.16100745,0.738808,-0.92735547,0.5034598,1.0224702,-0.93244344,0.58741915,0.25829068,-0.57161355,0.034608405
0.3578818,0.035701767,0.34541225,0.408865,-0.051900342,-0.1699037,1.2180201,-1.7102529,0.36749208,0.8308765,-0.5300896,0.37373388
0.6404546,-0.6690623,0.022455331,0.786976,-0.9189864,0.5268872,0.63708335,-0.65447146,0.008519676,0.6212565,-0.5828093,-0.041532572
1.2177093,-1.9072667,0.27603623,0.73769027,-0.8897948,0.48113218,1.2166299,-1.9116346,0.27075228,0.8070881,-0.9747785,0.580052
1.2209252,-1.8920753,0.2891598,0.36950245,-0.7537182,0.13372044,0.61036265,-0.82592005,-0.10238129,0.6584928,-0.4441052,0.11921546
0.3669671,-0.8074327,0.14242575,1.2137462,-1.9075462,0.2681749,0.63862115,-0.69763374,0.049983677,1.218051,-1.8967217,0.28006744
1.2363623,-1.885933,0.33683753,1.2118098,-1.8975722,0.26525673,0.34380704,-0.07811871,0.38427675,0.41870654,0.080276564,0.12734185
0.6067763,-0.9725279,-0.06030969,0.6141043,-0.84245086,0.0946943,0.6185824,-0.8965955,0.39642835,1.2398176,-1.8778988,0.35693708
1.2376807,-1.8759786,0.34401998,0.7919543,-0.60184854,0.28792307,0.90343267,-1.0018768,0.6401036,0.39741716,0.08635117,0.20582904
0.6091241,-0.87036073,0.1039843,1.215548,-1.903802,0.2721484,0.8385065,-0.986858,0.5589661,0.86696744,-0.9820296,0.5891415
1.0009353,-0.9574005,0.633581,0.68420523,-0.93438715,0.4448181,0.61357427,-0.8300294,0.42589468,1.221017,-1.8532258,0.3132033
1.2187041,-1.9008533,0.28065446,0.7211586,-0.8870726,0.5250167,0.6104609,-0.8778065,0.41153342,0.87777334,-0.99709755,0.61767143
0.61042255,-0.81661314,0.46748707,0.70855504,-0.8847416,0.48421568,1.0231521,-0.44777197,0.701264,1.2282736,-1.8964108,0.30291113
1.2178427,-1.899814,0.2768319,0.344447,-0.7903202,0.11330022,0.98194534,-0.76818186,0.47029516,0.78911144,-0.9604435,0.48274097
0.6096663,-0.900698,-0.06556848,0.699447,-0.9025186,0.46091425,0.8450638,-0.9492609,0.62298054,0.8494819,-0.9954974,0.58478034
0.83827466,-0.981007,0.582811,1.201888,-1.8920804,0.25175172,0.41403016,-0.65996814,0.33078697,1.0285507,-0.9938224,0.42967847
1.2208016,-1.8910605,0.2864164,0.35371816,-0.29648963,-0.12130496,0.9583513,-1.3146292,0.59703434,0.37267607,-0.2013438,-0.21287893
0.83259225,-0.96687585,0.56431556,1.2045108,-1.8916649,0.25649825,1.0238798,-0.8919777,0.4686033,0.6092817,-0.8660967,-0.088787585
1.056761,-0.52766013,0.71857804,1.1973068,-1.8717588,0.25362286,0.9017356,-1.0063262,0.63964784,0.8829836,-0.98757845,0.617441
0.4460211,-0.8003568,0.2504344,0.4105417,-0.82029873,0.19387327,1.2084423,-1.8954968,0.25908175,0.6061589,-1.0422729,0.11896293
0.747951,-0.88818175,0.5428668,0.73885614,-0.90052515,0.5134829,0.88351065,-1.1299326,0.20558766,1.2357635,-1.8901749,0.32998905
1.1913903,-1.8884857,0.2328326,0.69745225,-0.8951842,0.51128614,1.0041367,-0.9551315,0.62795424,0.61913854,-0.59432024,-0.042444672
0.71619976,-0.301027,0.30073807,0.37538671,-0.80421567,0.14373638,1.2403859,-1.8722017,0.36052856,0.8281359,-0.9874323,0.57424414
0.8370117,-0.95163745,0.55058676,0.2439321,-0.5686565,-0.024409864,0.42506173,0.0609598,0.08640845,0.76841825,-0.90274054,0.50609696
1.237244,-1.8752604,0.34087119,1.2021371,-1.902429,0.24630076,1.215998,-1.9030446,0.2762613,0.76441556,-0.8789066,0.16122185
1.2345344,-1.879267,0.32995617,1.2067846,-1.9100224,0.25182512,0.60554665,-1.1302692,0.14573489,1.2348047,-1.87828,0.333947
0.42273414,-0.002897352,-0.014733616,1.2190505,-1.9048735,0.2798749,0.6392361,-0.63632053,0.006678991,0.7196748,-0.88514596,0.51862156
1.0211058,-0.93134546,0.5913629,0.64033645,-0.68864465,0.02775978,0.57298356,-0.925255,0.36917195,0.857571,-0.9825544,0.5923718
0.6121342,-0.94517,0.014891785,1.2101738,-1.9123281,0.2564601,0.6379971,-0.7183725,0.041108217,0.8262665,-0.9603953,0.5696544
1.0128162,-0.94551176,0.6067926,1.1749134,-1.8847643,0.20498976,1.241141,-1.8709873,0.37099937,0.37618637,0.08111523,0.28249708
0.4161209,-0.8303776,0.22774608,1.209542,-1.8998889,0.26000068,0.66852516,-0.91157585,0.39108446,1.2390453,-1.8735067,0.3571073
0.845865,-0.98232293,0.56106937,1.2196819,-1.8978108,0.28222898,0.38654396,0.07270156,0.21044494,1.2367947,-1.8854994,0.33496287
1.2352965,-1.88681,0.32969958,0.6886139,-0.9281016,0.48231742,0.8221218,-1.2181902,0.28204602,0.7197001,-0.85125214,0.5108243
0.24090445,-0.55684924,-0.054792996,0.6098768,-0.9144787,-0.055311773,0.484934,-0.51665366,0.21900769,0.62210906,-0.8111903,0.077920526
0.24284017,-0.6674138,-0.030333448,0.7626405,-0.9383637,0.5260708,0.39967385,-0.6500105,0.31345144,1.0517187,-1.3610483,0.5088377
1.202773,-1.8844074,0.25350595,1.1817527,-1.8869396,0.21572949,0.6170639,-0.6965523,-0.07992242,1.2351223,-1.8848684,0.33212116
0.63892365,-0.67280287,0.02262364,1.0096217,-0.94921666,0.6147181,1.2247813,-1.8959942,0.29497364,1.2365803,-1.883531,0.3387095
0.83510524,-0.95667654,0.5856459,0.9904879,-1.0284224,0.47395653,1.2354126,-1.8781332,0.33068192,0.71247333,-0.96573645,0.4563776
0.38426885,0.06990458,0.21752901,0.6114241,-0.86411625,0.10048999,1.2307181,-1.8870314,0.31427547,1.232386,-1.8782138,0.32174167
0.84262395,-0.98143476,0.55790555,1.0074594,-0.9520002,0.62023854,1.0072242,-0.9517566,0.620955,0.8014969,-0.9406075,0.59725296
0.7123111,-0.88339514,0.58580357,0.3976348,-0.10939144,-0.23315491,0.771799,-0.2316242,0.43466166,1.2239146,-1.9079214,0.29054275
1.0208368,-0.93228287,0.59175396,0.62107694,-0.59295946,-0.032902513,0.8838582,-0.998342,0.6272287,1.2400123,-1.8699245,0.35801318
0.8050883,-0.9296581,0.5650667,0.96681434,-0.9589682,0.6698866,0.718054,-0.88505924,0.5157064,0.6150145,-0.84163064,0.09175715
