class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.12877521,-0.034853272,-0.0887111,0.129096,-0.03498115,-0.08835203,0.12893133,-0.034840282,-0.08872235,0.12901933,-0.03498159,-0.08873281
0.12861814,-0.034816336,-0.08897518,0.12894782,-0.03486094,-0.088668086,0.12876488,-0.034909375,-0.088764675,0.12875964,-0.034806486,-0.088749036
0.12895341,-0.034884553,-0.088587664,0.12897906,-0.03491529,-0.088566095,0.12914032,-0.03502632,-0.08831008,0.1288848,-0.03488502,-0.08875517
0.12889487,-0.03494458,-0.08859351,0.12898727,-0.034940347,-0.08861084,0.12878913,-0.035002153,-0.088895574,0.12890714,-0.03477144,-0.08871037
0.12861474,-0.034722984,-0.08891011,0.1289407,-0.034756728,-0.088678055,0.12907213,-0.03487801,-0.08855753,0.12916024,-0.035074417,-0.08831139
0.12891611,-0.034820512,-0.08876672,0.12884443,-0.034813736,-0.088715956,0.12896995,-0.034955528,-0.088618435,0.12908524,-0.03486356,-0.08855391
0.12882602,-0.034891903,-0.08878453,0.1290029,-0.034882836,-0.088595405,0.12900674,-0.03486134,-0.088548765,0.12889305,-0.03577167,-0.08857406
0.12884659,-0.034852177,-0.08866116,0.12897603,-0.034828447,-0.08856359,0.12870191,-0.034858607,-0.088925384,0.12875684,-0.034757704,-0.08886753
0.12898485,-0.03483958,-0.08850265,0.12863126,-0.034843322,-0.08898305,0.1287404,-0.034681454,-0.088848315,0.12920219,-0.034974694,-0.088377446
0.12893993,-0.034960873,-0.08855496,0.12883012,-0.03481157,-0.08871414,0.12869352,-0.03488618,-0.08872526,0.12889585,-0.034900405,-0.08850238
0.12886539,-0.034814928,-0.088801846,0.12876686,-0.034750685,-0.08875481,0.12872574,-0.034728974,-0.08880151,0.1290543,-0.034904137,-0.08849398
0.1290187,-0.034937892,-0.088611536,0.12899286,-0.03491628,-0.088561915,0.12890415,-0.03464524,-0.08868925,0.12920211,-0.03504088,-0.08824307
0.12894131,-0.034918547,-0.088663645,0.12900361,-0.034835644,-0.08869275,0.12921484,-0.03506921,-0.08829239,0.12884109,-0.034901936,-0.088732794
0.12866788,-0.03483054,-0.088950224,0.12892595,-0.034891807,-0.08853422,0.12873045,-0.03472512,-0.088785104,0.128551,-0.03459462,-0.08918181
0.12892404,-0.034755655,-0.08878169,0.12905458,-0.034923226,-0.08868824,0.12905674,-0.034814186,-0.08872611,0.12844937,-0.034700703,-0.08906231
0.12895693,-0.034877717,-0.08864334,0.12903866,-0.03497676,-0.08852133,0.12880956,-0.034714855,-0.08883804,0.12887937,-0.034932166,-0.08863068
0.12867457,-0.034835774,-0.08895818,0.12900648,-0.034969646,-0.08847622,0.12885477,-0.034846775,-0.08874766,0.12845479,-0.03455524,-0.08926935
0.12898701,-0.034873184,-0.08865333,0.12913257,-0.034986883,-0.088255525,0.12877005,-0.03479117,-0.088578664,0.1288262,-0.034670644,-0.08892669
0.1289034,-0.034866963,-0.08860003,0.12852788,-0.034747537,-0.089138396,0.12902094,-0.034815773,-0.08866279,0.12867376,-0.03482732,-0.08885874
