class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
4.1902647,-0.69978964,0.18269226,3.2728684,-0.6274872,0.20920342,-1.0735168,-0.44625548,0.44904867,-12.150146,-0.026163071,1.0559403
-0.1843676,-0.49601194,0.37664655,-2.3386712,-0.4022059,0.5314727,10.973538,-0.6309885,0.38020775,-6.1166024,-0.2875689,0.70897055
4.3176436,-0.69656587,0.17608452,5.356623,-0.7555491,0.19238338,0.5779837,0.30984625,0.43466434,-12.179012,-0.015350491,1.0287117
9.128988,-0.72217894,0.31396505,-0.8340479,-0.46070573,0.4057704,0.5707661,0.31313232,0.43542895,-14.995427,0.1377323,1.1514289
8.881406,-0.73332703,0.3094119,3.9837592,-0.6763884,0.17836004,-15.496837,0.145901,1.1732585,-12.3621,0.115926236,0.9290384
-7.8347955,-0.23504505,0.81205034,5.56747,-0.7493926,0.20216739,7.8224254,-0.7564384,0.27742186,-14.246954,0.09358576,1.1196924
-2.5470436,-0.40481356,0.50082874,1.8594475,-0.55842376,0.25823355,2.3571644,-0.5803275,0.24956036,-14.236388,0.07908979,1.1089051
-3.9021034,-0.366901,0.6484655,7.7763333,-0.7507013,0.26839343,-0.8872904,-0.46423945,0.41103503,-12.959877,0.11227676,0.98787665
5.9876227,-0.760471,0.2061589,10.193837,-0.68938994,0.35457376,0.57665014,0.3106764,0.4350064,-12.046645,-0.04112342,1.0549994
6.0931582,-0.7612258,0.20965001,7.321995,-0.7592051,0.25382313,9.507093,-0.7144189,0.33314005,-12.538861,0.11112937,0.9533522
8.645752,-0.7344763,0.29696506,3.596785,-0.6415564,0.18349472,2.2729015,-0.57473445,0.23957995,-15.140483,0.14781013,1.1534576
4.955421,-0.7372,0.18020943,10.089027,-0.68953097,0.34919938,-14.585119,0.1096082,1.1290604,-14.598353,0.113244444,1.129772
3.9109356,-0.6769488,0.19075474,2.6507876,-0.58018243,0.21386927,-15.270555,0.15505186,1.157341,-14.188058,0.0902746,1.1205224
9.078858,-0.7204269,0.3113251,9.35125,-0.72188294,0.32663205,-1.1858841,-0.4729071,0.47542128,-12.617584,0.114203185,0.9544833
6.0551558,-0.7562001,0.21304551,3.6045482,-0.64986646,0.19103354,-0.8535026,-0.47281817,0.40801057,2.0986955,-0.5669757,0.24608251
4.2808766,-0.69536173,0.17557323,6.2880855,-0.7645421,0.22020611,-1.6676147,-0.43964764,0.44839117,-3.5705721,-0.380631,0.57289255
6.5896335,-0.756071,0.22918013,1.0142088,-0.5295408,0.30703014,9.3267565,-0.72491634,0.32821932,-11.33221,-0.074896365,1.0041337
3.6182675,-0.64064276,0.18986234,9.45456,-0.7194667,0.33215645,-15.680345,0.15030697,1.1951566,-14.341497,0.09801498,1.1235745
-6.894199,-0.2578189,0.77997947,2.9422014,-0.61085963,0.22417805,3.0534205,-0.6112088,0.20767656,-15.65578,0.15335289,1.1881154
1.8756802,-0.55942273,0.27266246,7.71291,-0.7480787,0.26675537,-14.854615,0.13143113,1.1306871,-15.583543,0.14795473,1.1789476
6.4239306,-0.7575985,0.22372288,10.09997,-0.68655026,0.34671393,2.6941035,-0.59394693,0.22067407,-14.647421,0.12615803,1.1249754
8.576846,-0.74701977,0.30284604,4.412224,-0.7155708,0.18124315,0.5694055,0.31415722,0.4360375,-10.928428,0.12284055,0.8232511
5.0641875,-0.74137855,0.1842969,2.1920705,-0.56661963,0.23833981,0.5798887,0.3085513,0.4340419,-15.559716,0.14513353,1.181305
1.6884538,-0.5425552,0.29193598,2.3273957,-0.56084037,0.25038838,8.25072,-0.7472763,0.2901293,-11.513546,0.11865249,0.8662237
4.2379847,-0.69911194,0.17460796,9.854316,-0.70420384,0.3449311,-13.210319,0.1113455,1.0053347,-12.190736,0.11608997,0.9181938
3.3489587,-0.61607003,0.19354054,10.997706,-0.6278273,0.37337723,5.781931,-0.7552682,0.21098146,-14.129379,0.12222305,1.07121
-0.33158842,-0.46664664,0.40590426,8.745553,-0.7402165,0.30596295,0.22526883,-0.5192218,0.38041964,1.8220732,-0.5529101,0.26771328
3.721163,-0.66356647,0.19802928,9.054393,-0.7323773,0.3173336,0.5803015,0.3083166,0.43403718,-15.463845,0.15924326,1.163347
