class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.013528127,-0.038089097,-0.04407945,0.014633289,-0.037222076,-0.043250993,0.011770002,-0.03903188,-0.04972179,0.011082154,-0.03978602,-0.045847982
0.014929017,-0.03729467,-0.043081507,0.011181936,-0.039783858,-0.045443226,0.012701143,-0.03870255,-0.04419705,0.011776403,-0.03905627,-0.049636602
0.014815783,-0.037177235,-0.04337368,0.013217585,-0.038338747,-0.044162653,0.013235082,-0.037143193,-0.045706876,0.012734009,-0.03871793,-0.044255
0.011750168,-0.038865715,-0.049416263,0.012621138,-0.03733248,-0.047111876,0.012153751,-0.03982885,-0.044336535,0.009955791,-0.03961603,-0.046730306
0.012184439,-0.03794143,-0.04804158,0.012035593,-0.03989397,-0.044291947,0.012184366,-0.039650597,-0.044415094,0.014587301,-0.037123628,-0.043522738
0.011874268,-0.039152063,-0.049898617,0.0125368275,-0.039253935,-0.04448422,0.012666643,-0.038883585,-0.044333197,0.013873405,-0.03784787,-0.044212323
0.011936497,-0.039253294,-0.049715944,0.011977399,-0.03924539,-0.04985534,0.0100496635,-0.039634652,-0.04659524,0.0147521235,-0.037218843,-0.04325577
0.012597471,-0.03891232,-0.04426896,0.011102604,-0.039700247,-0.045542587,0.011782975,-0.03901719,-0.04984211,0.012153313,-0.039708193,-0.04439555
0.012718014,-0.037328444,-0.04675574,0.014819092,-0.037134007,-0.043319438,0.010515401,-0.038071405,-0.04809149,0.013220533,-0.037113275,-0.04607329
0.009967063,-0.039455898,-0.047018632,0.011975866,-0.03944242,-0.049899843,0.014804848,-0.0372059,-0.043298226,0.013410191,-0.037066195,-0.045332707
0.009975374,-0.038626708,-0.047388375,0.009815124,-0.03948828,-0.04705509,0.009929029,-0.039583847,-0.046908546,0.011015397,-0.039830726,-0.04573399
0.013759999,-0.03801293,-0.044154562,0.0120808,-0.03808666,-0.048652474,0.012571138,-0.039415978,-0.044586696,0.010533279,-0.039741516,-0.04638493
0.013130095,-0.037156586,-0.04589737,0.010432325,-0.0381459,-0.04773086,0.014586419,-0.03748684,-0.04370427,0.014043809,-0.0376229,-0.044133715
0.01000618,-0.039593674,-0.046854272,0.009903426,-0.03860256,-0.047350094,0.012669638,-0.03733942,-0.046884783,0.012165625,-0.038258925,-0.049056754
0.012029916,-0.039934583,-0.044519708,0.01312994,-0.037120108,-0.046319257,0.012701659,-0.0386837,-0.044182297,0.009810014,-0.038854897,-0.04716176
0.012266643,-0.03801056,-0.04836954,0.012070985,-0.038453292,-0.049456716,0.010221092,-0.038359337,-0.047496423,0.014355913,-0.037206985,-0.043794807
0.013203814,-0.03709684,-0.0461893,0.013083406,-0.037060842,-0.04633254,0.010564115,-0.03810776,-0.048053853,0.012935729,-0.03857118,-0.044340037
0.0108922925,-0.038050305,-0.048444808,0.01162199,-0.03871951,-0.0493093,0.012853339,-0.038526427,-0.044331085,0.011652147,-0.038435787,-0.049237356
0.010113331,-0.0382549,-0.04767753,0.014308944,-0.037211798,-0.043959066,0.014155063,-0.037906934,-0.046155218,0.012514044,-0.039314095,-0.044478357
0.0139884055,-0.037547722,-0.04402793,0.0121425735,-0.038432818,-0.04929476,0.011220959,-0.03974657,-0.045589484,0.011794159,-0.038774073,-0.049624965
0.010415538,-0.038244497,-0.047635,0.013916026,-0.037702315,-0.043953072,0.009784795,-0.039096784,-0.047223784,0.01279293,-0.038628977,-0.044239216
0.010799246,-0.039754026,-0.04612275,0.012449841,-0.039507836,-0.04452256,0.012325445,-0.03980682,-0.04430338,0.01239224,-0.039536934,-0.04459054
0.0109863095,-0.039720416,-0.045993514,0.012930298,-0.03723096,-0.046444576,0.010972915,-0.039789855,-0.045635883,0.012299461,-0.037737954,-0.047694173
0.013333094,-0.037119985,-0.045721114,0.009973196,-0.039608937,-0.046787575,0.014678513,-0.03712691,-0.043250445,0.014510343,-0.037194803,-0.04354073
0.011856585,-0.039948348,-0.044540875,0.014344492,-0.037121695,-0.04357932,0.013752637,-0.03724287,-0.0447027,0.012866825,-0.03862384,-0.04427833
0.012060173,-0.038126078,-0.048640795,0.010443056,-0.039637603,-0.046480622,0.012937596,-0.0385667,-0.044352755,0.011599731,-0.038649283,-0.04930252
0.0132939,-0.037138723,-0.045945324,0.014628936,-0.037631143,-0.043592945,0.011781668,-0.039116293,-0.04978662,0.013698941,-0.037947383,-0.044161327
0.012147017,-0.039853297,-0.044286173,0.013150703,-0.03710657,-0.04619762,0.010800919,-0.039786447,-0.04615507,0.011510825,-0.03996199,-0.045203783
0.011730217,-0.04000504,-0.04502306,0.011749992,-0.039164707,-0.049786102,0.014258599,-0.03754974,-0.044066273,0.011921629,-0.039297447,-0.049820155
0.010836102,-0.039806504,-0.04594116,0.011101849,-0.039739892,-0.045519,0.012125695,-0.039811637,-0.04428464,0.014162697,-0.037304644,-0.043857355
0.012195659,-0.03799521,-0.048596032,0.012561876,-0.038860958,-0.04428956,0.014366612,-0.03753625,-0.04397994,0.014767852,-0.037157822,-0.043363858
0.009976624,-0.039341874,-0.047170624,0.012694206,-0.03731616,-0.0467659,0.011863196,-0.038867988,-0.04987667,0.010260036,-0.03972033,-0.04650876
0.009993097,-0.039476022,-0.046752412,0.012702513,-0.038696658,-0.04419032,0.012303742,-0.039664496,-0.04440881,0.013241046,-0.03700981,-0.045627017
0.014109946,-0.03737203,-0.04409491,0.01381788,-0.037250496,-0.044583097,0.0121752815,-0.039749105,-0.04430573,0.012437442,-0.039501116,-0.044494916
0.009866048,-0.039383367,-0.047093183,0.011428873,-0.039880868,-0.045210883,0.012331926,-0.03956836,-0.04453139,0.014802544,-0.037234537,-0.043158934
0.01018988,-0.03951425,-0.046677034,0.010721816,-0.039827783,-0.046154123,0.012904769,-0.038567506,-0.04432738,0.014662045,-0.03725253,-0.04351356
0.011705182,-0.038563505,-0.049289487,0.014806068,-0.037201904,-0.043310024,0.014308849,-0.037204042,-0.043770578,0.009881716,-0.039601456,-0.04700666
0.011121345,-0.039703436,-0.045518868,0.012411481,-0.03749928,-0.047656365,0.012516926,-0.03928717,-0.04456087,0.011974255,-0.039400212,-0.049912695
0.0102653,-0.03974596,-0.0464294,0.012560699,-0.03899727,-0.0443183,0.009855044,-0.03925148,-0.047165886,0.012727481,-0.03881569,-0.044348463
0.009884415,-0.039484225,-0.0469769,0.01418368,-0.037313934,-0.043766696,0.011791077,-0.03873422,-0.049637306,0.009908315,-0.039550338,-0.047008067
0.012046978,-0.039948296,-0.044505056,0.012253748,-0.039771352,-0.044327796,0.011772311,-0.04007948,-0.044931505,0.0098592285,-0.03923768,-0.047176324
0.011821546,-0.039075352,-0.049609467,0.010539919,-0.039787784,-0.04612938,0.009805383,-0.038852286,-0.047151834,0.012108812,-0.038151298,-0.048703987
0.010249456,-0.03828129,-0.047541216,0.009839047,-0.03959082,-0.047057226,0.009849424,-0.03925035,-0.04709756,0.01194821,-0.03936466,-0.049789414
0.009852022,-0.038809516,-0.047102284,0.012226879,-0.039649878,-0.04435655,0.012174789,-0.0398324,-0.044270325,0.012442021,-0.039442573,-0.04464095
0.009973569,-0.03873743,-0.04727798,0.013978172,-0.037381563,-0.044385362,0.0105569335,-0.03974994,-0.04630844,0.012382827,-0.039517827,-0.044589363
0.014794038,-0.037243627,-0.043269318,0.012361746,-0.037733644,-0.047799874,0.009858983,-0.03896948,-0.047213517,0.010848781,-0.03981551,-0.046046253
0.0146527365,-0.037174627,-0.043352343,0.0116543,-0.04007109,-0.045066357,0.011868837,-0.03881393,-0.049784787,0.012437048,-0.03939552,-0.04452031
0.0099485405,-0.039267138,-0.047142662,0.0131321885,-0.037090916,-0.045984793,0.012625404,-0.03734974,-0.046992417,0.012299246,-0.038142614,-0.04826165
0.0122766625,-0.038195517,-0.04861784,0.010171218,-0.038267627,-0.04768647,0.01000345,-0.039600767,-0.046855345,0.013385674,-0.036986172,-0.04521045
0.010116629,-0.03841456,-0.047430716,0.012254801,-0.03782336,-0.048148207,0.012960302,-0.037154507,-0.046440374,0.013851106,-0.037337113,-0.04439893
0.012547115,-0.03884645,-0.044204034,0.01129028,-0.038119912,-0.04894417,0.014591172,-0.037101295,-0.043711405,0.010820375,-0.038099907,-0.048406724
0.012772663,-0.038647063,-0.044185348,0.010262862,-0.038339045,-0.04757039,0.012577296,-0.038990792,-0.044424985,0.011983186,-0.038464088,-0.049585685
0.014076554,-0.037513163,-0.044234306,0.012044176,-0.039909527,-0.044356577,0.014463353,-0.0375866,-0.043823346,0.014746966,-0.03726212,-0.04340887
0.012703762,-0.038591612,-0.04409553,0.014227987,-0.037324462,-0.04385024,0.014677658,-0.037417073,-0.04343209,0.0125361085,-0.039041992,-0.04433883
0.01364317,-0.0371599,-0.04489942,0.014653916,-0.037590552,-0.043524656,0.010608431,-0.03976077,-0.04607836,0.014265383,-0.037596226,-0.04401476
0.011889072,-0.039286893,-0.04972143,0.011028069,-0.038163066,-0.048632275,0.01368385,-0.037224036,-0.04481672,0.009912202,-0.038491815,-0.047283523
0.012540613,-0.038965534,-0.044231493,0.013761955,-0.038015176,-0.04415664,0.01027389,-0.038237058,-0.047767162,0.01264987,-0.03889533,-0.044298302
0.014909554,-0.037246548,-0.04310479,0.0125055965,-0.039277162,-0.04445909,0.012927834,-0.03721811,-0.04644636,0.010000717,-0.039557073,-0.04672578
0.011960555,-0.03996421,-0.04447832,0.012897091,-0.037208363,-0.046423886,0.009974256,-0.03959937,-0.04673505,0.01323319,-0.037139773,-0.04570974
0.01199911,-0.03898238,-0.04969619,0.011417979,-0.03987468,-0.045136932,0.011270649,-0.03978702,-0.045298018,0.010650378,-0.037919868,-0.048023265
0.01077146,-0.039660133,-0.046171457,0.010242373,-0.039822206,-0.04645785,0.012630218,-0.037345193,-0.046988912,0.009863911,-0.03896326,-0.04722554
0.01155155,-0.038593102,-0.049171098,0.012947863,-0.038528305,-0.04424836,0.010529875,-0.038158078,-0.047847543,0.010606926,-0.039787445,-0.046042155
0.0098394845,-0.039665703,-0.047002114,0.01332471,-0.037105102,-0.04555965,0.012700114,-0.0386806,-0.044180807,0.010255937,-0.039728574,-0.04651341
0.013517294,-0.038154162,-0.044163644,0.012436541,-0.037722528,-0.04770838,0.010599943,-0.039784364,-0.046081442,0.009860994,-0.03949539,-0.047067843
0.009919856,-0.039532203,-0.04696151,0.014094438,-0.037530076,-0.044215433,0.009976234,-0.039599862,-0.046734743,0.011696637,-0.039017443,-0.04981647
0.011181029,-0.039694984,-0.045743123,0.012013861,-0.03994944,-0.044371117,0.0121034905,-0.038322445,-0.049270347,0.01197231,-0.039054975,-0.049831137
0.012470114,-0.039140232,-0.044310782,0.013616845,-0.038077,-0.04391714,0.014100469,-0.03740917,-0.043915823,0.014121088,-0.03751816,-0.044127375
0.012051912,-0.039321616,-0.049834248,0.0120003205,-0.03827035,-0.049460087,0.00983331,-0.039245997,-0.04716233,0.012706949,-0.038712148,-0.044202328
0.0099132545,-0.038964733,-0.047220007,0.014467667,-0.037436645,-0.043695707,0.0134613775,-0.037115507,-0.04526855,0.011942189,-0.0384751,-0.049572933
0.011017438,-0.03970916,-0.045939226,0.013876231,-0.03786659,-0.043924868,0.011011669,-0.039686125,-0.045511097,0.014826948,-0.037285052,-0.043217637
0.0106601175,-0.03807348,-0.047937967,0.013324062,-0.037152357,-0.045681916,0.013233361,-0.03716317,-0.0457097,0.013445193,-0.03711163,-0.045288175
0.014767051,-0.037180737,-0.043533552,0.014881665,-0.03726051,-0.043149445,0.00992259,-0.038609236,-0.047352314,0.010813425,-0.038096763,-0.048395183
0.00987694,-0.039294086,-0.04710742,0.013215048,-0.0383,-0.044174712,0.010050079,-0.038379114,-0.04771749,0.011970045,-0.039193407,-0.049729582
0.013126414,-0.038420364,-0.044326767,0.014092684,-0.037404157,-0.04389711,0.011758693,-0.03908838,-0.049972046,0.014265228,-0.03714614,-0.043743502
