class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.020794023,-0.1083718,-0.07176527,-0.02074343,-0.108358674,-0.07163999,-0.02081985,-0.10839615,-0.07161404,-0.020742625,-0.10836734,-0.07167818
-0.020726599,-0.10838907,-0.071604826,-0.020739052,-0.10844409,-0.07153069,-0.020818397,-0.108315945,-0.071747616,-0.020821681,-0.10831459,-0.07175046
-0.020815618,-0.10831365,-0.07175701,-0.020742549,-0.10844411,-0.07154189,-0.02070323,-0.10842262,-0.07163247,-0.020788444,-0.10833785,-0.071707666
-0.020800337,-0.10837194,-0.07174065,-0.020731634,-0.10846694,-0.07153313,-0.02080939,-0.10833709,-0.07177025,-0.020713586,-0.108408615,-0.071595654
-0.02074553,-0.10844769,-0.07154401,-0.020754645,-0.108402595,-0.07149516,-0.020803463,-0.10841104,-0.07162259,-0.020739982,-0.108461834,-0.071513504
-0.020813575,-0.10831836,-0.07175684,-0.020737981,-0.10845159,-0.07153825,-0.02077029,-0.10842356,-0.071551956,-0.020749342,-0.10842501,-0.07147264
-0.020801608,-0.108399145,-0.07164392,-0.020821527,-0.10831392,-0.071749255,-0.020713337,-0.108409524,-0.07163887,-0.020770673,-0.10834325,-0.071619846
-0.020750556,-0.108363345,-0.07167612,-0.020735696,-0.10837996,-0.071643345,-0.020719491,-0.10846681,-0.07158919,-0.020803848,-0.10833003,-0.071734466
-0.020822715,-0.10830861,-0.07174695,-0.02080616,-0.108404964,-0.07161622,-0.0207797,-0.10833183,-0.07178886,-0.020728625,-0.108369455,-0.07165223
-0.02071065,-0.10841806,-0.07159541,-0.020728739,-0.10844772,-0.07153982,-0.020705588,-0.10847373,-0.07151739,-0.020808764,-0.10831921,-0.071741715
-0.020753708,-0.1084363,-0.07153786,-0.020792834,-0.108415455,-0.07162422,-0.02079647,-0.108415194,-0.07158356,-0.02074927,-0.10840928,-0.071526036
-0.020808466,-0.108329296,-0.07175273,-0.020800976,-0.108318076,-0.071737945,-0.020769184,-0.10843309,-0.071522005,-0.020742424,-0.10840302,-0.07153138
-0.02081611,-0.108307965,-0.07174338,-0.020809844,-0.108427204,-0.07158832,-0.020720467,-0.10845556,-0.0715009,-0.020818796,-0.108318,-0.07175672
-0.020746462,-0.10840328,-0.071531676,-0.020825552,-0.10830209,-0.07178442,-0.020735562,-0.108450174,-0.07153562,-0.020850018,-0.10834348,-0.071636036
-0.020777246,-0.10833996,-0.07170035,-0.020751191,-0.10843793,-0.0715071,-0.020758554,-0.108433634,-0.071568735,-0.020778514,-0.108349256,-0.0716792
-0.020792918,-0.10840896,-0.07159476,-0.020749312,-0.10844613,-0.07153551,-0.020821879,-0.10839771,-0.07161167,-0.02068981,-0.10842762,-0.07156652
-0.020756211,-0.108429216,-0.07157561,-0.020735262,-0.10846592,-0.071523346,-0.020744108,-0.10844777,-0.071530096,-0.020747231,-0.10842617,-0.0714808
-0.020740118,-0.10844515,-0.071518265,-0.020730415,-0.10844114,-0.07149444,-0.020775367,-0.10842423,-0.071524695,-0.020741262,-0.108373195,-0.0716676
-0.020837765,-0.1083558,-0.07167323,-0.02079676,-0.108368605,-0.07174334,-0.020775681,-0.108336136,-0.07169982,-0.02080364,-0.10833075,-0.0717421
-0.020818682,-0.10830991,-0.071761794,-0.020852666,-0.108344905,-0.071679845,-0.020729844,-0.10844405,-0.07153016,-0.020773243,-0.1084182,-0.07164551
