class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.021089394,-0.08295758,-0.0074158246,0.02107791,-0.082958125,-0.0074206972,0.021085326,-0.08296806,-0.007415068,0.021111282,-0.08295742,-0.007408617
0.021146474,-0.083007306,-0.007351971,0.021076472,-0.08295853,-0.007418683,0.02108886,-0.08295918,-0.007419411,0.021102268,-0.08296643,-0.007418927
0.021084413,-0.08295753,-0.0074193496,0.02109549,-0.08295616,-0.007416834,0.021074818,-0.0829634,-0.0074201142,0.02108831,-0.082961895,-0.007400396
0.021083772,-0.08295712,-0.00741987,0.021085422,-0.082954675,-0.007419073,0.021088038,-0.082955115,-0.007417488,0.021079626,-0.08295411,-0.0074219066
0.021089453,-0.082953714,-0.007417999,0.021086212,-0.082958594,-0.007416211,0.021070773,-0.08294675,-0.007423874,0.02108035,-0.08294953,-0.0074180337
0.021085817,-0.08295705,-0.007421173,0.021083212,-0.08295701,-0.0074176816,0.021078939,-0.08295604,-0.0074189473,0.021091597,-0.0829632,-0.007410244
0.021091796,-0.08295337,-0.007417639,0.021101594,-0.0829583,-0.0074179005,0.021081168,-0.08295394,-0.0074063633,0.02107531,-0.0829563,-0.0074104154
0.021096347,-0.082959406,-0.007406997,0.02110782,-0.08295879,-0.007413567,0.021102795,-0.082967244,-0.0074040378,0.021081924,-0.082957976,-0.0074165473
0.021084491,-0.0829563,-0.0074187433,0.021080483,-0.0829499,-0.007418513,0.021098386,-0.08296357,-0.0074199485,0.021083023,-0.08295628,-0.007421142
0.021085415,-0.08295534,-0.0074233296,0.021070093,-0.08294899,-0.007428103,0.021090763,-0.08295022,-0.007420325,0.021085747,-0.08296582,-0.00741823
0.021086546,-0.082956806,-0.007418028,0.021094793,-0.08295789,-0.007416872,0.021090096,-0.08295447,-0.007418122,0.021087402,-0.08295405,-0.007420497
0.021085747,-0.08295747,-0.0074071726,0.021090312,-0.08296314,-0.0074157836,0.021088716,-0.082955636,-0.007427501,0.02108749,-0.08295843,-0.007414759
0.021091055,-0.08296019,-0.0074101947,0.021081936,-0.08295771,-0.0074114455,0.021075409,-0.082950495,-0.007421336,0.021088371,-0.08295292,-0.007427031
0.021088382,-0.082956895,-0.00741766,0.021088397,-0.08295493,-0.0074182265,0.021086616,-0.082955025,-0.0074170027,0.021096438,-0.08295531,-0.0074161403
0.021085538,-0.08295546,-0.0074198293,0.021101736,-0.08295637,-0.0074185445,0.021098513,-0.08295734,-0.007420054,0.021111665,-0.082963705,-0.007404661
0.021089097,-0.082954764,-0.0074217822,0.021079944,-0.08294517,-0.0074329767,0.021083657,-0.08296184,-0.00742489,0.021081032,-0.08295553,-0.0074191606
0.021099357,-0.08296646,-0.007403478,0.021093749,-0.08295347,-0.0074213212,0.021080725,-0.08295077,-0.007422016,0.021084867,-0.08295258,-0.007413618
0.021089843,-0.08296328,-0.007411712,0.02109266,-0.08295668,-0.0074176705,0.021095568,-0.08295665,-0.007417394,0.021091338,-0.08295572,-0.0074182753
0.021132428,-0.08299636,-0.007370754,0.021085776,-0.08295529,-0.007417759,0.021095593,-0.08294642,-0.00741232,0.021077268,-0.0829546,-0.0074068652
0.021084005,-0.08295586,-0.0074192556,0.021087144,-0.08295834,-0.0074161384,0.021089561,-0.08295287,-0.0074085286,0.021074489,-0.082953446,-0.007413462
0.021106511,-0.08297206,-0.0074044233,0.021085015,-0.08295691,-0.007420442,0.021115812,-0.08296913,-0.0074066194,0.021088593,-0.082953155,-0.007413703
0.021087788,-0.08295688,-0.007421448,0.021090103,-0.082961716,-0.007418803,0.02110529,-0.08296633,-0.007413949,0.021083444,-0.082965344,-0.007400082
0.021080999,-0.08296003,-0.0074170874,0.021093579,-0.08295878,-0.0074153254,0.021100944,-0.08295989,-0.007414109,0.021084359,-0.08295914,-0.0074174292
