class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.6250194,-0.3241675,0.40705034,-2.661145,1.6001977,-0.9098954,0.70681834,-0.35526153,0.39289528,-0.74944824,0.4540799,-0.17841417
0.6568247,-0.32526487,0.3727635,-1.6601582,1.0450114,-0.5594519,-1.8703766,0.9594171,-0.51489246,-0.39009053,0.30592105,-0.08068982
-0.910015,-0.08071301,-0.029355556,0.07064872,0.020646311,0.10704679,0.070838846,-0.074670225,0.17265546,-1.3604957,0.74912447,-0.36754817
-0.9852464,-0.027152322,-0.07037713,0.743979,-0.37837872,0.41222507,-1.5984895,0.89715564,-0.47173893,-1.4708705,0.42948648,-0.28422046
0.64452124,-0.33481094,0.40243787,0.71008027,-0.3615318,0.41027835,-1.4377538,0.33987698,-0.2832811,-1.5731035,0.6610439,-0.35852176
-1.6127537,0.55532956,-0.3422018,0.41415226,-0.1600089,0.26098353,-1.5887321,0.6483245,-0.40912956,-1.8996526,1.1836967,-0.6498149
-2.0226247,1.2558943,-0.69491494,0.5806664,-0.2747804,0.32687417,-1.7017004,0.9911474,-0.44919688,-0.7148431,0.4336489,-0.13969299
-0.19205049,-0.64427465,0.26837844,0.71660197,-0.3644185,0.41189605,-1.4617912,0.8207109,-0.41470367,-0.28615293,0.27147877,-0.023352236
0.6008714,-0.31330392,0.39858484,0.7255497,-0.36854607,0.40895596,-1.5954522,0.7221783,-0.39284486,-1.7567984,1.0289074,-0.5342848
0.2741327,-0.08379094,0.20241782,0.29651254,-0.106742665,0.19453502,-1.966854,0.9120321,-0.5398183,-2.099327,0.92907035,-0.5893608
0.72417355,-0.36695406,0.4102813,0.41176015,-0.17520413,0.26217985,-1.8256214,1.0055206,-0.5675535,-2.7568667,1.6153477,-0.909289
0.35764638,-0.13737535,0.22727416,0.50580573,-0.2567219,0.39167285,-1.6882055,0.954955,-0.50672066,-1.842641,0.7971858,-0.4717797
0.56111944,-0.2654074,0.31774008,0.7124114,-0.3620383,0.4014572,-0.8794433,0.5100999,-0.21750155,-1.9194881,1.2199826,-0.64693594
0.67232823,-0.3467614,0.40758657,0.64355445,-0.33125487,0.39944702,-1.2651886,0.30221036,-0.18391022,-2.0328245,1.205002,-0.6303272
-2.6009126,1.5458599,-0.8612493,-0.8676932,0.6014346,-0.25802356,-0.13504237,0.13674599,0.034727216,-1.3329166,0.71549493,-0.36817926
-0.6834403,-0.26513454,0.06209041,0.5117203,-0.23498932,0.28942806,-1.8514184,1.0088152,-0.5921879,-1.2000822,0.18831116,-0.17889684
