class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
17.035168,-36.15938,-14.007686,-1.7421253,28.126324,7.9553895,-5.793231,39.671787,12.340053,-1.2803311,29.722635,5.8555555
9.135212,-9.910454,-11.85902,-6.3930187,33.044277,11.187213,1.132733,19.316515,11.379169,-5.769414,44.563473,11.976716
10.123027,-4.5560217,4.046959,2.5814724,11.906841,10.913885,-0.8845298,30.928188,14.903482,10.140037,-9.996739,-5.777743
14.52327,-25.607344,-14.698934,-3.988777,31.146986,5.468538,1.5716615,16.491613,5.5813627,7.0040703,-4.2127347,-7.6649036
14.6941,-24.908361,-15.503317,-0.094408035,22.046015,0.86370385,0.21253604,24.775255,0.12366977,8.732995,-4.5892806,-11.508477
11.409543,-9.57052,-12.610483,-3.0855744,23.55861,10.555876,-3.3506782,35.777653,2.4889126,0.8645508,27.814878,10.940012
8.7197275,-5.5875278,-10.9444685,-3.9411676,38.902565,4.2309523,0.4289269,27.483652,1.2600619,-3.6789758,36.40129,8.933076
8.32499,-0.012957208,-8.8178625,-1.8820441,24.668682,2.342214,-1.4277964,25.490656,11.752241,4.7516108,18.64716,11.41235
4.2368326,6.809772,8.364302,-0.78080153,14.10837,-0.5172543,-3.179577,35.143764,8.508772,-3.613736,37.390144,4.4379177
9.258427,-2.7777433,-10.640886,4.171012,7.047902,-5.8720818,-3.1939385,34.62647,10.883125,-3.3674438,32.536976,3.7802043
11.771062,-13.96178,-13.9996605,0.7046812,18.850552,1.3325318,-1.0205729,25.696585,8.476546,-4.108773,41.96683,12.756654
9.718792,-7.5646663,-12.410511,-4.8917704,30.094711,15.964777,-1.1415548,29.27886,2.5888839,-1.1273804,35.766705,11.9492655
9.241186,-6.5764213,-1.3407375,-6.446477,42.34225,4.5276127,0.3193786,22.268032,12.941613,8.23091,-5.2814717,-9.632754
15.907248,-31.96512,-18.508394,4.535649,10.530029,-7.7856703,-4.832473,41.863857,12.590044,3.3456182,4.9478116,6.1131086
11.629552,-17.458502,-13.811277,-1.3735306,27.385633,-2.1975293,-1.8808835,36.372753,14.249225,0.7422335,24.726915,13.33082
19.641905,-43.330353,-15.294497,-0.2707479,28.863657,1.6705742,-6.073942,43.2902,5.9889245,1.5870278,23.98836,14.09285
11.735263,-21.478258,-5.145916,-1.1546724,27.838926,0.8239252,1.2300763,19.18712,12.424494,-2.0419166,35.15482,14.19606
14.728642,-23.041183,-14.647066,3.0870903,18.262175,12.188837,0.6355699,17.112215,-0.3290653,-3.711178,36.559734,11.484701
9.214231,-6.908035,-12.698854,-5.866976,41.37556,12.6768,2.2479806,15.870642,9.430407,7.936221,-6.736575,-0.7664854
19.198114,-38.258984,-14.764103,2.0085723,20.705908,-3.363924,-2.5946958,31.53377,7.9442506,2.0284853,10.197779,9.1798115
8.210921,-8.466061,-11.618551,-3.2696402,25.365059,8.358983,-2.8225694,31.669088,6.7297544,-2.0420463,26.648537,0.47427383
13.459056,-22.306646,-16.160135,-5.2044764,45.111996,4.3069434,-0.7040937,20.972479,-3.1675398,-2.2458725,21.717356,8.359121
10.677952,-11.749809,-3.8815873,-0.6305785,27.726929,2.488497,-3.9635775,37.485806,10.851796,4.477826,8.783764,-6.2462907
11.261584,-21.548128,-8.107502,2.339181,3.199938,-4.6685457,-5.9310293,33.195606,14.508743,-1.4022007,23.720074,7.1403623
6.699255,2.9781008,-9.09454,-5.2198954,36.49844,14.009579,9.514422,-3.1157749,1.4413232,-1.446672,33.312557,2.2867606
5.7160454,2.728114,7.897405,2.7287598,20.069628,-2.0739965,-2.796984,27.986898,-0.695295,5.7171154,8.174444,9.710512
7.1018133,-0.01788532,-10.317604,-1.146055,31.128073,-0.8805491,-1.5125535,35.205055,4.6920943,-2.1448863,34.854313,12.146934
12.24088,-22.347336,-13.754118,1.3804263,23.6017,-1.658283,-5.2916117,45.734764,11.261059,-1.9090574,34.350975,11.360184
13.326635,-26.49174,-12.001558,-4.8767776,46.482025,6.493942,2.1600566,23.956358,10.421067,0.4627093,30.394596,13.207611
10.528934,-11.166006,-14.760347,3.0792186,10.439678,10.752188,-1.4995503,26.841097,0.030156378,-4.490403,31.621302,6.167448
18.43965,-34.840656,-14.6574135,-3.9144804,29.605099,11.502359,-0.107581854,24.923437,14.072985,-1.9334023,29.297012,6.995347
8.342224,-9.906368,-2.5106497,2.0200691,13.385838,6.5275655,-6.2278137,33.786575,12.736337,0.743067,19.677774,11.012922
13.945201,-26.254278,-10.54203,-3.0801976,31.85182,7.309091,1.5564992,23.40647,9.9811325,-6.068082,36.9718,9.5360985
14.552727,-21.43577,-12.456074,0.89712024,26.817835,2.2878659,-2.9174974,33.81748,9.082097,-1.7551017,30.36283,10.70949
13.169845,-25.233961,-16.80483,3.1283476,10.214064,-5.924887,-2.139259,34.066486,4.4252696,-5.736882,46.637684,7.49142
4.0113716,10.916775,-3.8858619,7.5169716,8.669731,6.388272,-4.1714983,29.666471,8.13357,-2.961717,34.049107,9.371144
14.791779,-32.839054,-11.665804,5.806055,3.5796468,6.56197,-0.89010835,31.853804,13.537863,1.9560573,26.022118,11.227604
17.924229,-38.237324,-19.661867,-0.77470756,27.281359,11.752666,-1.6778653,29.975893,7.292462,-0.42580223,27.700325,13.075268
10.4696,-18.82655,-14.606179,-0.3003192,27.766272,2.4965692,-7.0599337,47.05135,9.583722,8.865114,0.5880617,6.9984455
16.069275,-34.01781,-14.725159,-1.0885348,29.630936,-1.6103511,-5.177286,31.99832,9.94062,-3.8422625,35.737957,6.1523066
8.7654085,-8.28105,-10.990862,-2.6335378,30.535887,11.620148,-4.2558956,34.88647,10.604153,3.1279929,19.221777,12.917355
12.377643,-20.25852,-15.399218,-0.20846164,29.588213,0.29895434,-3.2151349,26.939762,10.322425,0.7973856,21.858032,12.64405
12.607278,-17.65592,-15.574957,-7.2530203,38.913677,11.805374,0.6207794,20.649038,-1.8739663,3.9363253,2.930101,-4.3537564
15.191061,-29.150461,-11.639299,2.2184381,25.963984,-2.1037104,-1.4037659,29.37315,11.7199745,5.50105,11.877771,-6.713738
7.9699583,-6.5462756,-9.558006,1.4009446,21.806398,4.734607,-2.952142,38.566334,3.616039,7.5152473,-0.7775271,-9.91462
6.0214777,-3.29031,-9.313686,0.44660425,18.065557,3.0492868,-3.4648473,35.66207,8.531422,0.3302989,28.583553,12.210437
18.655296,-36.598595,-13.652241,-8.724292,45.60944,14.477526,1.9677913,22.172407,14.034344,-2.8689535,27.81624,6.8533807
19.902962,-40.479088,-12.594944,-3.1319444,31.461817,0.7999632,-0.59731185,30.410645,10.172767,2.740407,9.072208,-3.189119
9.313724,-10.882386,0.85600954,-2.4174464,33.975758,1.9565212,0.6405425,26.207415,11.262958,7.0775633,-2.1857867,-8.5805645
12.921052,-21.381617,-15.819979,-0.86237836,19.152746,-0.52813435,-1.6909168,24.731844,14.434546,-3.3305051,25.934603,8.311036
4.1850047,3.4333901,5.545651,-6.803396,49.15759,8.236259,-1.2050073,21.990038,9.236572,-3.1432068,33.793686,7.5066066
19.862686,-40.12922,-9.157333,-0.39941585,18.404882,8.686422,-3.7027833,37.23962,7.8393164,4.5364656,8.511157,-6.0736737
2.798453,8.742533,-0.10077432,-3.5205696,24.400343,10.358257,-7.4346476,42.310345,14.06056,-0.038258553,34.454525,0.56264955
11.536009,-15.88211,-10.771815,-6.0472803,42.57149,9.612066,-2.942653,42.09923,2.9942248,-1.3378434,31.690805,13.670893
10.484557,-10.183941,-13.309093,-1.1131072,23.12132,3.5605466,-0.6579473,22.519573,8.176066,-3.2106001,36.76537,5.1433434
14.127435,-29.55369,-15.973793,-2.9984744,34.864937,13.645597,-2.842302,28.093435,-0.6536545,-1.4289799,31.86769,2.5343077
2.9835136,5.660483,-5.5527215,2.79201,20.655272,1.3785589,1.7226183,25.117033,11.008431,-0.4992118,28.401505,10.838929
16.99692,-27.581446,-11.442674,0.0515126,24.313025,0.4985452,2.291494,18.596552,7.2515163,-3.9117548,33.698185,9.425797
14.550168,-24.03956,-16.667929,1.310274,24.401255,-0.20141277,2.2633302,19.175804,12.416895,3.3645594,10.321739,-4.273486
9.203106,-8.879461,-6.998362,1.2573137,19.678963,5.9322224,-4.309186,41.45195,11.578876,-1.5951545,33.991215,3.5422575
16.138157,-25.305578,-6.2717967,-1.9627614,22.096182,8.3037815,-2.2924008,33.8027,4.89239,6.5273867,4.7124267,6.5249085
19.741875,-44.66857,-21.617277,-0.5780308,27.0343,-1.8517951,-4.8834257,43.94621,10.02955,-3.7555945,31.91686,4.2566442
16.192986,-33.351383,-15.05958,-7.7471886,48.456722,7.8875284,-6.3152475,33.924984,9.187297,-0.90753293,32.241764,1.8170668
5.886483,12.57636,-6.6329675,4.3115163,10.381978,-2.5615904,0.68870103,18.157148,12.116919,-4.9509277,37.273647,12.888034
8.733799,-7.009418,-0.9004953,0.3182165,8.754596,1.699311,-2.480839,24.374693,14.465982,5.3261576,4.39353,-8.183579
12.31099,-19.475674,-15.1614685,0.6014066,22.514475,7.9326925,-2.7473154,33.62954,8.647384,-1.1842957,33.31777,2.0858316
2.320721,9.334925,9.487979,-2.0200896,36.430508,2.2674065,0.19914114,15.225918,-3.4996936,-4.007512,29.340975,10.445372
14.9553585,-32.16792,-16.672232,-5.416999,24.77004,11.960749,-5.515808,43.448925,5.0328565,-5.022669,33.4282,9.847016
11.46782,-15.628441,-13.673845,1.655276,14.052,-1.4087083,-1.7164564,23.022787,8.150031,-2.9406607,23.150644,8.687786
14.915864,-29.026026,-16.733543,0.46711898,29.364492,-0.011281159,-4.6446133,35.27329,8.5275345,-2.984598,37.136806,6.534065
14.959034,-22.953852,-12.959104,-5.8911085,37.227436,5.2741218,-1.7567778,38.28966,4.169565,-3.5194638,34.273,12.373922
5.7428207,2.3610291,-8.810681,-1.2834609,29.665873,-0.48031732,2.4255579,19.55973,12.926638,-6.5728188,35.74419,6.4340506
13.933682,-23.640745,-15.261443,-2.032677,37.42476,2.6323826,5.191842,6.2560487,-4.8803983,7.4483194,-4.351973,-10.537478
10.083459,-8.243558,-12.88495,-1.1605489,27.922682,4.4413643,-0.55515265,29.527266,12.707188,8.874925,-5.5517354,-11.52688
7.36022,0.47386777,6.079667,7.34437,0.9150399,-9.051916,-4.5692644,32.701107,8.893887,-2.974387,27.997927,6.6168923
10.23322,-12.830156,-14.199571,-1.8507357,28.527552,10.778065,0.07231176,31.266352,10.9152975,13.4450655,-23.403675,-16.089045
14.000747,-26.288206,-14.971377,-3.457217,23.604485,3.8958833,-0.060064554,27.330908,13.289635,1.2330794,21.899931,13.13526
12.36954,-19.935787,-15.946748,1.3458986,16.631468,-3.0552208,-3.2591531,32.674816,9.856527,-1.9499638,36.30065,3.2274377
9.553584,-8.160523,-11.796844,7.231964,5.8298173,-6.853398,-1.0583813,32.9026,9.119237,1.3685763,26.101368,11.715174
