class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-6.5903764,-1.0930078,-12.791719,3.8940816,0.97051257,8.616186,-0.32371914,0.15646492,0.005034253,-5.457343,-0.5262489,-10.038079
-5.786428,-0.65222085,-10.894825,5.8044224,1.2195872,11.966491,-2.244846,-0.01979024,-3.5401173,1.2470859,0.6849629,3.5357177
-6.475995,-0.7615105,-12.528535,-4.3362136,-0.3139524,-7.5793023,-4.9095793,-0.434924,-8.887532,0.15111935,0.33139426,1.0386698
-6.6249924,-0.9862869,-12.633756,-0.1279296,0.26026887,0.74375194,-3.1224144,-0.20444259,-5.501578,2.7551954,0.7790586,6.6197467
-6.335612,-0.76938957,-11.951543,0.87518334,0.3013798,1.9792613,-1.0883002,0.14321582,-1.2622492,-3.1249602,-0.18450697,-5.386178
-2.8441446,-0.24051677,-5.502714,1.2997806,0.631483,4.2195983,-1.95511,-0.008670084,-3.0292907,-4.9342494,-0.5654577,-9.454871
-4.599146,-0.40933573,-8.625426,2.046639,0.6382667,5.4088106,-5.2798862,-0.5431491,-9.753135,-0.62894744,0.2570594,-0.1552848
-4.1768556,-0.29041237,-7.2260923,2.8471353,0.76747763,7.0393744,0.9580564,0.5126076,3.096732,-4.801946,-0.46306288,-8.622326
-0.5679554,0.20541884,-0.62741,1.7745669,0.62801135,4.8876934,-0.47680756,0.21747114,-0.12788455,-3.095555,-0.21297657,-5.713065
-5.7358246,-0.66340244,-10.95551,2.5650845,0.7718615,5.9153724,-0.98484415,0.17908476,-1.0324912,-0.8478648,0.13070206,-0.81556314
-6.351754,-0.7256867,-11.989104,1.1209435,0.509451,2.847999,2.888099,0.7716185,6.38328,-2.5177238,-0.055785716,-3.94689
-2.871019,-0.10255703,-4.7715163,3.2564182,0.65955627,6.948491,0.34144536,0.4681052,1.6203989,-6.3799157,-0.7253115,-11.939462
-7.12742,-1.117172,-13.7573805,2.9090755,0.9097361,6.8857756,-2.8944824,-0.12732516,-4.9948773,-2.9997694,-0.21783683,-5.485337
-7.742041,-1.0007931,-14.796341,-0.47515365,0.1751964,-0.4973514,-0.15965796,0.3981822,0.8457874,0.346618,0.32424784,0.85985917
-7.6556306,-1.1217216,-14.67788,0.93377167,0.575709,2.911441,0.74444455,0.25316894,2.0465815,-0.19918108,0.37763363,0.6367913
-6.411449,-1.0867305,-12.473188,2.8233447,0.7966545,6.4120026,2.156657,0.6514819,5.781106,-2.3581598,-0.084877975,-3.914428
