class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.06749017,0.13945247,-0.015459178,0.06822893,0.13913165,-0.010750443,0.067281075,0.13984191,-0.0155809745,0.064801864,0.13084213,-0.014742704
0.06999627,0.14031795,-0.012229936,0.06744405,0.13946377,-0.015413364,0.06704006,0.1391699,-0.013985928,0.07086603,0.1383427,-0.010315249
0.06485605,0.137745,-0.014049875,0.07092282,0.13933101,-0.013150448,0.06453964,0.1307917,-0.014873089,0.07089605,0.13932344,-0.013147274
0.068289936,0.14025582,-0.013406627,0.064671546,0.13064426,-0.014835538,0.066446,0.13362786,-0.011108173,0.06993434,0.13861118,-0.011693605
0.06476953,0.13659364,-0.012825794,0.06439706,0.13082689,-0.014728889,0.06628908,0.13508675,-0.016562529,0.07072308,0.1358744,-0.012745306
0.07093086,0.13936588,-0.013074769,0.06667932,0.13253456,-0.010520857,0.064801835,0.13761507,-0.014105208,0.069988854,0.13852975,-0.011570796
0.06503911,0.13526805,-0.013547229,0.06868438,0.13594641,-0.013324637,0.067297585,0.139858,-0.015654566,0.06983889,0.14024271,-0.0104205245
0.07106835,0.13812107,-0.010380459,0.06695562,0.13907368,-0.014110139,0.07005867,0.13852143,-0.011578793,0.06979141,0.1363933,-0.013136281
0.07091643,0.13943331,-0.013188349,0.06952581,0.14032978,-0.01064494,0.07092585,0.1393872,-0.013082659,0.070939496,0.13929752,-0.0131548345
0.06466553,0.13631648,-0.012609247,0.067005105,0.13978812,-0.014069354,0.06598328,0.13495183,-0.016331555,0.069950014,0.1384568,-0.011543235
0.065764554,0.1385832,-0.015518006,0.06950064,0.14030662,-0.010346012,0.06526243,0.13625242,-0.012222477,0.070892446,0.13832778,-0.010299098
0.06964803,0.14058593,-0.010174898,0.07007893,0.13882959,-0.011684492,0.06839231,0.13989379,-0.013484573,0.06777211,0.1359196,-0.009926109
0.07093751,0.13824569,-0.010430809,0.06472391,0.1376037,-0.014055526,0.06441436,0.1305508,-0.0150059555,0.070884615,0.1394101,-0.013129344
0.06467125,0.1376536,-0.014010619,0.06961404,0.1402634,-0.010459081,0.06586668,0.13479641,-0.016291039,0.06950453,0.14032836,-0.010400963
0.06817292,0.13934018,-0.010890655,0.06732892,0.13956605,-0.015607875,0.07106718,0.13821568,-0.010278447,0.06846041,0.13607799,-0.013415644
0.06837486,0.13658191,-0.013906486,0.0646427,0.13064629,-0.01484552,0.06473431,0.13758753,-0.014095908,0.06626897,0.1391869,-0.015286785
0.07020312,0.1388939,-0.011636186,0.07107111,0.13554178,-0.012796767,0.06727284,0.13987897,-0.015578417,0.06472136,0.13071817,-0.014765061
0.06452508,0.13626042,-0.012957182,0.0697949,0.14066218,-0.010185456,0.06864922,0.13695468,-0.014024226,0.06840137,0.13897581,-0.010613196
0.06864643,0.13621172,-0.0137757175,0.06995307,0.14153233,-0.012388509,0.069762066,0.13988236,-0.0127783585,0.06949568,0.14047179,-0.010335162
0.071036555,0.13822818,-0.010303159,0.06868749,0.13603781,-0.013400324,0.069999285,0.14082474,-0.012788129,0.066190965,0.13445298,-0.016363788
0.07155099,0.13522245,-0.012511764,0.07002833,0.14006701,-0.012661267,0.064465776,0.1305582,-0.01500283,0.06986476,0.14038055,-0.010485422
0.064743765,0.13774845,-0.014010014,0.07002869,0.14059278,-0.010232903,0.06434799,0.13074327,-0.014982259,0.06473697,0.13760582,-0.014105005
0.069538064,0.14054877,-0.010124575,0.0646271,0.13243331,-0.013066561,0.069834225,0.13636455,-0.013088213,0.06994963,0.13844995,-0.011531694
0.064316705,0.1305044,-0.015254494,0.066556856,0.13375476,-0.010407224,0.07091312,0.13833289,-0.010370018,0.0683842,0.13888872,-0.010553089
0.06489402,0.13777448,-0.014021158,0.07093693,0.13934167,-0.013119452,0.06737135,0.13924864,-0.015524423,0.07092325,0.13930312,-0.01316363
0.06689345,0.13332014,-0.0107592475,0.06963487,0.1401508,-0.010448288,0.06706253,0.13917536,-0.013975175,0.06631199,0.13934003,-0.015373686
0.06780015,0.13781486,-0.0096968,0.065285526,0.13237104,-0.012518093,0.06669013,0.13284023,-0.011031492,0.06702013,0.13464063,-0.010402722
0.06696387,0.13906853,-0.014103672,0.07011044,0.1387457,-0.011511346,0.07090767,0.13928102,-0.013164157,0.06485315,0.1365283,-0.012669753
0.07023405,0.13899906,-0.011587979,0.07093734,0.13823713,-0.010392537,0.06738383,0.136049,-0.010241756,0.069946945,0.14089715,-0.012817617
0.07102592,0.13822651,-0.010320958,0.068727255,0.1360133,-0.013468988,0.07094122,0.13939266,-0.0130695235,0.068670794,0.13661422,-0.014290044
0.070911296,0.139428,-0.01318527,0.06467526,0.13778816,-0.014004711,0.068210736,0.14012896,-0.01334736,0.06496023,0.13571376,-0.013616286
0.06469281,0.13777624,-0.013952311,0.067370825,0.13959552,-0.015586542,0.065165736,0.13607873,-0.01251325,0.06727162,0.1398286,-0.015680877
0.06696913,0.13908266,-0.014085576,0.07095881,0.13824105,-0.010397941,0.068151385,0.13933416,-0.01088318,0.06837593,0.13884975,-0.010540193
0.06649436,0.13899614,-0.015426153,0.06465026,0.13596582,-0.0132181365,0.07093667,0.13938251,-0.013076602,0.06739218,0.1392948,-0.015417241
0.07121673,0.13506983,-0.012748567,0.07065524,0.13551956,-0.012721509,0.064819194,0.13764423,-0.014052078,0.06601819,0.13482167,-0.016416326
0.068685785,0.13638736,-0.013960974,0.06737136,0.13955423,-0.01559742,0.06980751,0.13641603,-0.013130822,0.07085721,0.13832952,-0.010296203
0.06727052,0.1355243,-0.010440636,0.067442745,0.1394879,-0.015426798,0.068410344,0.13897336,-0.010666246,0.07082305,0.13835071,-0.010293076
0.06998743,0.14034432,-0.010461207,0.07006557,0.13874674,-0.011682359,0.06997731,0.14080068,-0.012811964,0.0683564,0.14020497,-0.013466684
0.06938807,0.14047965,-0.010231912,0.066841274,0.13933702,-0.014474338,0.068260565,0.14024732,-0.013477923,0.06445225,0.1307821,-0.014864879
0.066964015,0.13905856,-0.014095843,0.06865078,0.1360559,-0.013658138,0.068305075,0.13666807,-0.013922924,0.068432495,0.13894838,-0.010614155
0.07151576,0.13534075,-0.012526296,0.07001365,0.13869645,-0.011704471,0.06817776,0.14015374,-0.013334397,0.06853917,0.13619037,-0.013446432
0.06594996,0.13463837,-0.016475387,0.06823419,0.13910595,-0.010723354,0.068130516,0.13990787,-0.013247677,0.06725691,0.13984022,-0.015583912
0.06750354,0.13935237,-0.015439626,0.07092459,0.13935393,-0.013114253,0.070937954,0.13929316,-0.013148399,0.06621879,0.13449506,-0.016371928
0.06747387,0.13945033,-0.015451852,0.07098377,0.13826253,-0.010262417,0.06571457,0.13596202,-0.012622425,0.068362184,0.13904516,-0.010557121
0.068292975,0.13957267,-0.013065301,0.07123871,0.13514474,-0.012613103,0.06983387,0.13637911,-0.013125829,0.069931135,0.13860963,-0.011670539
0.064211026,0.1305585,-0.015407067,0.06752667,0.13941965,-0.0154070705,0.068210505,0.13995467,-0.013264375,0.06951229,0.14042564,-0.010362012
0.06693606,0.1334525,-0.010930365,0.06544274,0.13226816,-0.012658304,0.066020854,0.13492785,-0.016326487,0.064996,0.13560137,-0.013649434
0.06454513,0.13628334,-0.01297456,0.07092359,0.13933347,-0.013139695,0.07005539,0.13853036,-0.011544819,0.07092688,0.13926278,-0.013179883
0.070936635,0.13936518,-0.013053273,0.06819408,0.13607943,-0.013515823,0.06586374,0.13483974,-0.01625689,0.06856831,0.13632736,-0.013605213
0.06742769,0.13952257,-0.01557903,0.06963873,0.14026679,-0.010638486,0.06631072,0.13924836,-0.015281593,0.0709113,0.13943562,-0.013108739
0.07088289,0.13938926,-0.013154093,0.07005177,0.14117742,-0.012562906,0.06828648,0.13666698,-0.01392016,0.06776546,0.13604687,-0.009930959
0.0646886,0.1377854,-0.0139375925,0.06754944,0.13940986,-0.015396155,0.065306626,0.13622236,-0.012234705,0.07090484,0.13833746,-0.010360124
0.07104409,0.13820861,-0.010290446,0.07000587,0.1387092,-0.011720334,0.07089151,0.13599496,-0.012710458,0.06471875,0.130733,-0.014749808
0.07094324,0.13937186,-0.013068385,0.07096937,0.13824415,-0.010401048,0.07091198,0.13940562,-0.013124052,0.06597383,0.1348625,-0.0164283
0.06450023,0.1363322,-0.01290556,0.06954809,0.14034876,-0.010426358,0.06819162,0.13932616,-0.010822462,0.06472293,0.13073051,-0.01475447
0.07024505,0.13897932,-0.011579295,0.06477486,0.13768776,-0.013917156,0.06840285,0.13896985,-0.010623485,0.0673845,0.1392746,-0.015427159
0.0715553,0.13531066,-0.012511656,0.07018422,0.13878348,-0.011501234,0.06523886,0.136055,-0.012538863,0.07091117,0.13932101,-0.013145618
0.06837752,0.13946465,-0.013038751,0.06993083,0.14002743,-0.0126954,0.06459097,0.1308445,-0.014854534,0.06486209,0.13659215,-0.012589154
0.07020564,0.13889466,-0.011633633,0.06820098,0.1391475,-0.010831689,0.066521406,0.13350347,-0.011102246,0.06794501,0.14022067,-0.013456579
0.064883195,0.13776885,-0.01407557,0.06775879,0.13528293,-0.009824766,0.0709205,0.13932921,-0.013154354,0.064854756,0.13563272,-0.013707763
0.07016778,0.14151652,-0.012370843,0.0708637,0.1382727,-0.010458615,0.07092432,0.13929713,-0.013163995,0.06514458,0.13764805,-0.0140932705
0.06698656,0.13908796,-0.014097758,0.07095186,0.13828233,-0.010370705,0.06727635,0.13983695,-0.015593126,0.06599461,0.13476768,-0.016422482
0.06641139,0.13897997,-0.015700173,0.068145484,0.14032118,-0.013468917,0.06516315,0.13607457,-0.012535354,0.06527213,0.13459438,-0.014245521
0.06631852,0.13473287,-0.016424995,0.06677479,0.13910799,-0.014516743,0.06981881,0.13981242,-0.012695925,0.067677386,0.13591525,-0.009987013
0.06817755,0.13920076,-0.010695677,0.06691396,0.1364824,-0.012687301,0.06980814,0.13616265,-0.013132459,0.06726659,0.13981971,-0.015686527
0.068222225,0.13920085,-0.010853995,0.06614511,0.13422357,-0.016447956,0.06711234,0.13511391,-0.010398725,0.06712274,0.1329476,-0.010657127
0.067426585,0.13952136,-0.0155857485,0.06466903,0.13063276,-0.014839638,0.06743676,0.13927576,-0.01546607,0.06525716,0.13486783,-0.013961833
0.064213954,0.1304804,-0.015373651,0.06695119,0.13646674,-0.012680411,0.06445292,0.13058658,-0.014985658,0.06840497,0.13900971,-0.010677659
