class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.6706897,2.2189457,1.8539124,0.80913436,2.5836694,2.1885147,0.8509208,2.8166716,2.387798,0.7470124,2.410052,2.0185897
0.38451222,1.109919,0.9171727,0.692613,2.2945445,1.8774996,0.12923166,0.14259565,-0.22925961,0.66317534,2.2237773,1.9862286
0.81604254,2.6525126,2.3180754,0.49503395,1.4212413,1.2090917,0.08206172,0.0835271,-0.4377455,0.8507024,2.8157957,2.3868072
0.11717899,0.132741,-0.33241546,0.8307756,2.73759,2.3000731,0.56608963,1.8896251,1.7562784,0.80504334,2.5384495,2.139391
0.85077,2.8175092,2.388382,0.656162,2.1381872,1.9052879,0.76593244,2.511449,2.1114593,0.5124322,1.7085799,1.5266796
0.12201212,0.13752799,-0.29105693,0.76021695,2.4905896,2.1003585,-0.047941625,-0.12462717,-0.9938274,0.5935261,1.9795513,1.8249396
0.30545768,0.59518373,0.41570938,0.33850428,0.71032166,0.5289266,0.57042396,1.9010227,1.7683519,0.8051766,2.5432646,2.1457157
0.8438829,2.7892172,2.3590727,0.55149436,1.8412925,1.7190002,0.81981957,2.6992228,2.2571902,0.3524941,0.77939767,0.6379972
0.70986617,2.3772967,2.2770598,0.3287785,0.6795919,0.52642083,0.6459414,2.164147,1.9481412,0.3917617,1.090009,0.7808622
0.81576777,2.651739,2.3194077,-0.124288276,-0.25117394,-1.1585912,0.8215556,2.678496,2.3126462,0.82480013,2.7166631,2.2749298
0.094845235,0.13764773,-0.37590182,0.09022413,0.11967939,-0.37120074,0.631863,2.1233935,1.9354038,0.6840435,2.2912738,1.8428286
0.68688905,2.2993662,1.8742335,0.4995815,1.6708194,1.4940928,-0.041818425,-0.11656761,-0.9778498,0.8643801,2.827737,2.3436522
0.685601,2.2955163,1.8708832,0.69218004,2.30147,1.8810489,-0.049498335,-0.12723908,-0.99974376,0.6347673,2.1160285,1.9156549
0.09103325,0.1232831,-0.39050108,-0.07790982,-0.18513042,-1.0813845,0.58783674,1.957538,1.8115348,0.74137247,2.4507668,2.288521
0.72662544,2.428598,1.9525285,0.34452063,0.73589355,0.56208855,0.39459065,1.0983795,0.8391591,0.7275597,2.3593361,2.0167441
0.82492363,2.716689,2.2756896,0.020016134,-0.05683768,-0.7628746,0.84025705,2.774445,2.3433087,0.13492781,0.14861195,-0.17904527
0.6336868,2.10575,1.915285,0.85070384,2.8168585,2.3878505,0.6911553,2.3089979,1.8639884,0.66327965,2.227094,1.9856912
0.85034657,2.8161147,2.3872,0.84290576,2.7906964,2.3661819,0.33711877,0.8659095,0.5465158,0.75085306,2.4579618,2.0753348
-0.0036334693,-0.070414186,-0.8807006,0.82280684,2.689768,2.3139057,0.6843889,2.2937338,1.8451054,0.6965991,2.3092203,1.8892528
0.6812614,2.2912138,1.8589805,0.84452415,2.7935507,2.364468,0.6884688,2.289014,1.8692446,0.6432891,2.1629725,1.9519392
0.6777859,2.2252562,1.9354448,0.4985781,1.6679945,1.493146,0.569818,1.9013008,1.7656087,0.49122646,1.3115873,0.99320084
0.5195848,1.7303083,1.541141,0.8535657,2.8212142,2.3818767,0.5708792,1.904573,1.7682952,0.4701182,1.2541053,0.9409459
0.56755733,1.8962662,1.7622055,0.850834,2.8172543,2.3880289,0.32549402,0.682401,0.52318025,0.8506495,2.8156698,2.3868227
0.65284634,2.18898,1.9339322,0.5293548,1.7743196,1.6607109,0.85277736,2.8174407,2.3793979,-0.048427418,-0.12757435,-0.9954554
0.83298135,2.700385,2.279263,0.8535081,2.8210552,2.3819954,0.13214004,0.14354262,-0.2075133,0.49470177,1.6594149,1.4828125
0.72070706,2.3998835,2.2801352,0.65031016,2.1160803,1.9003049,0.34909308,0.92199653,0.6153054,0.63287103,2.1055298,1.9144944
0.8506737,2.8171325,2.3885498,0.49607506,1.660905,1.4861544,0.6362208,2.1340716,1.9198546,0.747692,2.4150963,2.0214481
0.53236985,1.7688701,1.5725921,0.4950165,1.6569276,1.483441,0.6303444,2.1180198,1.9329973,0.13483581,0.15047479,-0.17331606
0.30806872,0.596049,0.38184386,0.8201561,2.7007844,2.270013,0.6910362,2.2886207,1.8716965,0.80545795,2.5488417,2.1521945
0.8439534,2.7894099,2.3591816,0.6925496,2.303836,1.8826716,0.67991257,2.2991452,2.2685053,0.50435567,1.6831965,1.5067637
0.8413788,2.7792995,2.3489852,0.5589855,1.8649683,1.7370263,0.34058875,0.7436296,0.6125704,0.83490527,2.753795,2.3207636
