class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-2.7713256,-0.31208968,0.35902956,-2.2981248,0.09867121,-0.04979029,-0.13366583,0.5338059,0.03990451,-0.6321236,0.6136157,-0.09661315
-2.2980757,0.103971615,-0.053119104,-0.80571985,0.2484074,0.25324544,-0.91971064,0.40805697,0.047688838,-1.0073147,0.6210392,-0.22830468
-0.48931402,0.49225968,0.004875264,-2.7083435,-0.393871,0.4791133,-2.763359,-0.3042196,0.33093005,-0.66003436,0.61965686,-0.10811558
-0.08602743,0.5509904,0.010941888,-0.68880635,0.53112525,-0.06809257,-0.9813558,0.41719568,0.031369414,-2.7572575,-0.2869028,0.32642835
-0.48053488,0.4948926,0.0030046394,-1.3655943,0.28601065,-0.023074884,-2.2226884,-0.19134198,0.3022205,-1.527701,0.40226516,-0.14370799
-1.3297113,0.5184068,-0.14190419,-1.3403488,0.5160934,-0.1436738,-0.08562824,0.5514015,0.011286753,-0.100323305,0.56419593,0.007905955
-0.22276497,0.59408015,-0.05777055,-0.1541542,0.6400568,-0.06425259,-0.36443818,0.41000718,-0.08497631,-0.85114646,0.6668098,-0.23266593
-1.4548234,0.3046357,-0.06937119,-0.79149723,0.5360655,-0.09837877,-1.319004,0.29956543,-0.065074965,-1.3560323,0.5134086,-0.14603192
-1.0139397,0.63155144,-0.24146357,-0.54060364,0.5530138,0.04818734,-0.11236647,0.53604525,0.03513709,-1.5891341,0.37954867,-0.13949585
-0.9064828,0.66413,-0.24218065,-0.6515018,0.6200978,-0.10634571,-1.345854,0.51575834,-0.14449362,-0.47724038,0.50830257,-0.008898185
-1.4108411,0.32125288,-0.05995244,-2.7062554,-0.3936655,0.47831357,-2.7637315,-0.27995974,0.3182499,-2.7010226,-0.39240152,0.47494492
-2.7499695,-0.2963673,0.35384607,-0.07822713,0.5363726,0.015552643,-0.9532286,0.63820976,-0.228908,-0.99995345,0.623163,-0.22824357
-0.63766265,0.61441916,-0.09823484,-0.47003472,0.5000518,-0.0014766091,-2.767784,-0.2802114,0.31962314,-2.7676415,-0.28283376,0.32264796
-0.3278887,0.37519938,-0.06731532,-0.5956945,0.32157594,0.20368266,-0.46951714,0.50568086,-0.00654905,-1.3170152,0.29402506,-0.06064004
-0.077221125,0.5413813,0.012664164,-2.2254152,-0.1891935,0.30248207,-0.7316927,0.2749738,0.23892266,-0.30783015,0.4117057,-0.07797878
-0.6593487,0.53240603,-0.063343,-0.08968559,0.5557556,0.009638014,-0.48535487,0.491809,0.0064826077,-0.7513752,0.5370426,-0.08463561
-0.3260412,0.3734265,-0.06664569,-0.5547014,0.55068564,0.048452914,-2.2240193,-0.18338756,0.29705596,-1.3565607,0.51347566,-0.14596999
-0.30634767,0.5235325,0.05208448,-0.69756293,0.5313755,-0.07201422,-1.5390159,0.39881527,-0.1435416,-0.5957137,0.5395299,0.050761063
-0.5677184,0.5528122,0.044015195,-0.3301874,0.39392918,-0.078952625,-2.7160625,-0.39259684,0.4818004,-0.32607558,0.38084704,-0.07098624
-2.7477179,-0.29794055,0.35711727,-0.87398344,0.6610748,-0.23241818,-1.3339891,0.5167296,-0.14331818,-0.4665382,0.50478595,-0.0054917643
-2.2935042,0.120592505,-0.0640825,-1.3642575,0.28718624,-0.024948347,-1.3416313,0.51535964,-0.14433143,-0.8487059,0.6663992,-0.22884142
-0.64901865,0.5334628,-0.06160209,-0.09022774,0.5562704,0.009839903,-0.47101092,0.505957,-0.006886282,-2.2254915,-0.18167211,0.29409078
-0.28261176,0.52635586,0.050436933,-2.774775,-0.28881812,0.3168219,-2.2246318,-0.18391623,0.2974697,-0.7300767,0.52990746,-0.07786957
-0.59217054,0.6101722,-0.08429762,-0.8845023,0.6581153,-0.23237345,-0.9513486,0.6382804,-0.22849868,-0.6509054,0.30237252,0.22250932
-0.09597103,0.563692,0.0078875,-0.70398515,0.5309456,-0.07104775,-1.0053476,0.41526163,0.026401754,-0.09204146,0.5608803,0.008181545
-0.47619772,0.5005411,-0.0023694495,-2.2239742,-0.19428487,0.30724338,-2.7653584,-0.30355918,0.33105853,-2.3028731,0.08557339,-0.0399999
-1.3504505,0.0625307,0.25821176,-0.56887114,0.54711515,0.048775423,-0.8351573,0.23610684,0.2572224,-0.11698213,0.5381933,0.03495067
-0.8461195,0.66945714,-0.23269811,-0.659382,0.30681753,0.21946138,-2.2254748,-0.18190388,0.2937923,-0.63739127,0.3072816,0.21995646
-1.4220806,0.44010657,-0.14689532,-2.301744,0.09497832,-0.04652984,-0.59531295,0.53875923,0.051131163,-1.0090139,0.6208968,-0.22862133
-2.2260876,-0.18993296,0.30393338,-0.47873464,0.49152607,0.006046909,-0.6516473,0.717464,-0.22562566,-0.46771222,0.5047798,-0.005541631
-0.67151546,0.5322781,-0.06600263,-0.1302529,0.61277616,-0.03552172,-1.3458415,0.51573706,-0.14445595,-0.49650258,0.5617954,0.04929875
-2.226405,-0.18957789,0.3035557,-2.747077,-0.29385692,0.3505785,-0.87409866,0.22216067,0.26186106,-2.3057866,0.0809771,-0.03623755
-2.2283888,-0.1816865,0.29751685,-0.6937624,0.5300864,-0.06818108,-2.7168603,-0.3924331,0.48186183,-1.3405411,0.5151159,-0.14470252
-1.3385502,0.516551,-0.14335097,-0.66009724,0.307567,0.21863925,-0.36442405,0.41015255,-0.08504796,-0.6659392,0.61877,-0.1085585
-0.08593264,0.5497286,0.011626753,-0.09354374,0.56094736,0.008034985,-0.6452005,0.30695483,0.22210933,-0.73932195,0.53124505,-0.08245786
-0.60178035,0.5390571,-0.049045864,-2.3013725,0.094410345,-0.04614992,-0.37086707,0.4120571,-0.085627735,-0.5183333,0.48879474,0.061860237
-0.30485022,0.5234058,0.05212662,-0.6928098,0.52972585,-0.066895016,-0.59750026,0.53844345,0.051105443,-0.6276579,0.6138837,-0.09556826
-2.2992196,0.10197532,-0.051485207,-0.49884495,0.5044679,0.057229865,-2.2933865,0.105856135,-0.05576658,-0.47543436,0.48939508,0.008488174
-0.47576952,0.4994172,-0.001192701,-0.691544,0.5310924,-0.068914935,-0.47495148,0.5079434,-0.007973366,-1.3413715,0.5148852,-0.14484313
-0.58307767,0.54352206,0.048612986,-2.7474394,-0.2941292,0.35063592,-2.2995,0.09579618,-0.047740992,-0.08681306,0.54725295,0.012875455
-0.5725861,0.5466685,0.047732834,-2.7015996,-0.39583212,0.47947016,-0.6417444,0.30720317,0.22285283,-0.9502499,0.63868976,-0.22848256
