class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
1.6628934,-0.48375604,-0.1775462,1.7358224,-0.43774584,-0.076201275,1.7358224,-0.43774584,-0.076201275,0.2343289,-0.05079174,-0.31113613
-0.0016653594,0.2205517,-0.41411373,-1.0778149,0.5704621,-0.65430456,1.6524445,-0.44232956,-0.16010143,0.14854814,-0.24912253,-0.0425089
1.6524445,-0.44232956,-0.16010143,-1.0778149,0.5704621,-0.65430456,-1.7203981,0.37069425,-0.3750591,-1.0778149,0.5704621,-0.65430456
1.6628934,-0.48375604,-0.1775462,0.25793856,-0.2607276,-0.18302524,-1.2950579,0.5790261,-0.4169569,1.8623426,-0.3067194,0.020926282
-1.2950579,0.5790261,-0.4169569,0.47001457,0.24275163,-0.572067,1.0706787,-0.23867801,0.09808117,-1.2950579,0.5790261,-0.4169569
0.14854814,-0.24912253,-0.0425089,0.25793856,-0.2607276,-0.18302524,1.6341444,-0.48816863,-0.08382143,1.6628934,-0.48375604,-0.1775462
0.14854814,-0.24912253,-0.0425089,-1.0778149,0.5704621,-0.65430456,-0.22795613,0.46117252,-0.92106557,-0.0016653594,0.2205517,-0.41411373
0.14854814,-0.24912253,-0.0425089,1.7358224,-0.43774584,-0.076201275,1.6524445,-0.44232956,-0.16010143,0.25793856,-0.2607276,-0.18302524
1.6341444,-0.48816863,-0.08382143,0.14854814,-0.24912253,-0.0425089,0.14854814,-0.24912253,-0.0425089,0.14854814,-0.24912253,-0.0425089
-1.0778149,0.5704621,-0.65430456,0.2343289,-0.05079174,-0.31113613,1.6628934,-0.48375604,-0.1775462,1.0706787,-0.23867801,0.09808117
1.0706787,-0.23867801,0.09808117,1.111773,-0.18105683,-0.33710796,-0.0016653594,0.2205517,-0.41411373,-1.7203981,0.37069425,-0.3750591
0.25793856,-0.2607276,-0.18302524,-0.22795613,0.46117252,-0.92106557,1.111773,-0.18105683,-0.33710796,1.0706787,-0.23867801,0.09808117
-0.0016653594,0.2205517,-0.41411373,-1.7203981,0.37069425,-0.3750591,-1.2950579,0.5790261,-0.4169569,1.0706787,-0.23867801,0.09808117
0.47001457,0.24275163,-0.572067,0.14854814,-0.24912253,-0.0425089,1.111773,-0.18105683,-0.33710796,1.8623426,-0.3067194,0.020926282
0.25793856,-0.2607276,-0.18302524,1.0706787,-0.23867801,0.09808117,1.6524445,-0.44232956,-0.16010143,-1.2950579,0.5790261,-0.4169569
0.2343289,-0.05079174,-0.31113613,-1.2950579,0.5790261,-0.4169569,1.7358224,-0.43774584,-0.076201275,1.0706787,-0.23867801,0.09808117
-0.22795613,0.46117252,-0.92106557,1.6524445,-0.44232956,-0.16010143,1.6341444,-0.48816863,-0.08382143,-1.7203981,0.37069425,-0.3750591
0.47001457,0.24275163,-0.572067,-1.2950579,0.5790261,-0.4169569,1.0706787,-0.23867801,0.09808117,-1.7203981,0.37069425,-0.3750591
1.6341444,-0.48816863,-0.08382143,-1.0778149,0.5704621,-0.65430456,-1.0778149,0.5704621,-0.65430456,1.0706787,-0.23867801,0.09808117
0.47001457,0.24275163,-0.572067,0.14854814,-0.24912253,-0.0425089,-1.0778149,0.5704621,-0.65430456,-1.2950579,0.5790261,-0.4169569
1.111773,-0.18105683,-0.33710796,-1.2950579,0.5790261,-0.4169569,-1.0778149,0.5704621,-0.65430456,-1.0778149,0.5704621,-0.65430456
0.2343289,-0.05079174,-0.31113613,0.2343289,-0.05079174,-0.31113613,1.0706787,-0.23867801,0.09808117,1.6628934,-0.48375604,-0.1775462
1.0706787,-0.23867801,0.09808117,1.111773,-0.18105683,-0.33710796,1.8623426,-0.3067194,0.020926282,1.6524445,-0.44232956,-0.16010143
1.8623426,-0.3067194,0.020926282,1.6524445,-0.44232956,-0.16010143,0.47001457,0.24275163,-0.572067,1.6524445,-0.44232956,-0.16010143
1.0706787,-0.23867801,0.09808117,0.2343289,-0.05079174,-0.31113613,0.14854814,-0.24912253,-0.0425089,0.2343289,-0.05079174,-0.31113613
1.111773,-0.18105683,-0.33710796,1.111773,-0.18105683,-0.33710796,1.6628934,-0.48375604,-0.1775462,1.6341444,-0.48816863,-0.08382143
0.14854814,-0.24912253,-0.0425089,-1.7203981,0.37069425,-0.3750591,1.8623426,-0.3067194,0.020926282,0.47001457,0.24275163,-0.572067
0.2343289,-0.05079174,-0.31113613,-0.22795613,0.46117252,-0.92106557,0.47001457,0.24275163,-0.572067,0.47001457,0.24275163,-0.572067
1.7358224,-0.43774584,-0.076201275,-1.7203981,0.37069425,-0.3750591,-1.0778149,0.5704621,-0.65430456,-1.2950579,0.5790261,-0.4169569
1.8623426,-0.3067194,0.020926282,1.7358224,-0.43774584,-0.076201275,-0.0016653594,0.2205517,-0.41411373,1.7358224,-0.43774584,-0.076201275
1.6628934,-0.48375604,-0.1775462,1.6341444,-0.48816863,-0.08382143,-1.7203981,0.37069425,-0.3750591,1.7358224,-0.43774584,-0.076201275
-1.2950579,0.5790261,-0.4169569,-0.0016653594,0.2205517,-0.41411373,0.25793856,-0.2607276,-0.18302524,-1.2950579,0.5790261,-0.4169569
0.14854814,-0.24912253,-0.0425089,1.8623426,-0.3067194,0.020926282,-1.7203981,0.37069425,-0.3750591,-0.0016653594,0.2205517,-0.41411373
0.25793856,-0.2607276,-0.18302524,1.6628934,-0.48375604,-0.1775462,1.6628934,-0.48375604,-0.1775462,1.6628934,-0.48375604,-0.1775462
1.6524445,-0.44232956,-0.16010143,1.6341444,-0.48816863,-0.08382143,1.0706787,-0.23867801,0.09808117,-1.7203981,0.37069425,-0.3750591
1.6524445,-0.44232956,-0.16010143,1.6628934,-0.48375604,-0.1775462,1.6628934,-0.48375604,-0.1775462,1.8623426,-0.3067194,0.020926282
1.8623426,-0.3067194,0.020926282,0.47001457,0.24275163,-0.572067,1.111773,-0.18105683,-0.33710796,1.7358224,-0.43774584,-0.076201275
0.25793856,-0.2607276,-0.18302524,1.6524445,-0.44232956,-0.16010143,-1.7203981,0.37069425,-0.3750591,1.8623426,-0.3067194,0.020926282
1.111773,-0.18105683,-0.33710796,-1.2950579,0.5790261,-0.4169569,0.47001457,0.24275163,-0.572067,1.6524445,-0.44232956,-0.16010143
1.111773,-0.18105683,-0.33710796,1.6628934,-0.48375604,-0.1775462,0.47001457,0.24275163,-0.572067,1.0706787,-0.23867801,0.09808117
-1.7203981,0.37069425,-0.3750591,-0.22795613,0.46117252,-0.92106557,-0.22795613,0.46117252,-0.92106557,0.25793856,-0.2607276,-0.18302524
0.25793856,-0.2607276,-0.18302524,-1.0778149,0.5704621,-0.65430456,-1.2950579,0.5790261,-0.4169569,0.2343289,-0.05079174,-0.31113613
-1.0778149,0.5704621,-0.65430456,0.47001457,0.24275163,-0.572067,1.6341444,-0.48816863,-0.08382143,-1.7203981,0.37069425,-0.3750591
-0.22795613,0.46117252,-0.92106557,1.6524445,-0.44232956,-0.16010143,1.6341444,-0.48816863,-0.08382143,0.2343289,-0.05079174,-0.31113613
-0.22795613,0.46117252,-0.92106557,1.8623426,-0.3067194,0.020926282,0.25793856,-0.2607276,-0.18302524,1.111773,-0.18105683,-0.33710796
0.14854814,-0.24912253,-0.0425089,-1.2950579,0.5790261,-0.4169569,0.47001457,0.24275163,-0.572067,0.47001457,0.24275163,-0.572067
1.6341444,-0.48816863,-0.08382143,0.2343289,-0.05079174,-0.31113613,-1.0778149,0.5704621,-0.65430456,1.7358224,-0.43774584,-0.076201275
-0.0016653594,0.2205517,-0.41411373,0.2343289,-0.05079174,-0.31113613,-0.22795613,0.46117252,-0.92106557,1.8623426,-0.3067194,0.020926282
