class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
3.5706842,-0.7108995,0.07321453,-0.5802176,-1.5908735,1.48946,3.9992225,-0.4631091,0.20700733,1.4391221,-1.8203773,1.4082634
7.914469,0.14681312,0.16116457,1.8421932,-1.6182868,1.1601751,4.410839,-0.7592834,0.7277476,0.83562744,-4.8782177,4.8199873
7.248601,-0.053952664,0.278924,5.570247,-0.21969798,0.13150309,3.273475,-0.7633939,0.18656135,3.3810518,-0.664206,0.24516463
1.6934117,-1.1142998,0.5422599,2.0463681,-1.1837416,0.96073306,4.399744,-0.6357125,0.40112847,2.4601827,-0.39083144,0.0637465
1.496634,-1.1200086,0.74938613,20.747845,3.3032355,-3.1856966,-7.3097963,-7.0855045,6.7456403,7.4344053,0.03793475,0.059549138
8.647827,0.2045761,0.0046046823,2.985739,-0.3734788,0.24527036,3.5802157,-0.45683298,-0.17165734,-2.3708527,-4.6579766,4.0670586
1.4474735,-2.7993343,2.3122895,3.9972274,-0.6538168,0.1616283,-0.92228544,-1.8858209,1.6703774,5.7464156,-0.5541377,0.50186276
14.148094,2.352431,-2.0103002,-4.5676584,-7.3328342,6.975921,2.214063,-0.87202513,0.3679274,2.8514016,-5.047635,4.725809
1.194464,-0.89380753,0.58906996,2.5850704,-0.72901356,0.111364625,3.4061131,-1.7065424,1.377642,0.62199545,-0.6785854,0.5501802
5.5853424,-5.8126225,6.2648225,-1.7808977,-1.7278552,1.1470755,4.633785,-0.35377386,0.18544148,3.7133086,-1.1326525,0.9712412
-4.446049,-7.3329926,7.299737,-2.773432,-2.39205,1.7400883,2.2581646,-0.49196637,0.08517916,2.6751056,-1.5977044,0.98157424
2.9795525,-0.7823477,0.7019154,2.9020464,-0.48844498,0.17275782,1.8472573,-1.476262,1.4161732,3.0515378,-0.72663057,0.25658605
4.472235,-0.75103486,0.09837969,-3.1767054,-6.945956,6.91135,1.9911095,-1.6165226,1.1911796,3.260905,-1.0254743,0.64041114
1.5217909,-0.2357648,0.050575823,0.34413823,-1.0789782,0.7515468,1.9556783,-0.8857584,0.67042845,5.21678,-1.4937692,0.9715757
-7.5748086,-6.4130154,5.849719,0.10650638,-1.5561801,1.4695457,4.7364454,-0.2496055,-0.1547219,2.87358,-0.8934964,0.48153824
0.3167977,-1.309558,0.82133543,7.2303414,0.23267844,-0.39366257,8.802791,0.30666032,-0.009541407,2.8136837,-0.956231,0.6036535
2.2894545,-1.0529318,0.76267874,6.463825,-0.04683754,0.033354864,16.577543,0.9343052,-0.99541396,3.932429,-0.8720546,0.30116317
3.2829587,-0.66853654,0.46488816,2.9767835,-0.6865896,0.29130408,2.6137993,-1.6556522,1.3952247,-2.266321,-6.7732973,6.5243073
1.4809268,-1.4357805,0.9698705,1.4568385,-1.3695265,1.2014385,1.3123703,-0.7557174,0.54682434,2.0212476,-4.826846,3.6675043
2.4228764,-0.23491988,0.00024269521,20.741224,3.2417865,-3.093185,20.071514,3.552967,-3.3489952,-1.8871576,-3.7275634,2.7959766
-1.8462244,-4.9289494,5.0088234,2.7939765,-1.0326722,0.55569905,4.8505907,-0.31004366,-0.1011364,3.5647357,-0.808082,0.47299707
4.8227367,-2.389851,1.1228333,3.6892765,-0.40848348,-0.113697454,4.614319,-0.31462973,-0.08084838,0.3052185,-1.2980552,1.0529151
2.9726474,-0.371775,0.051406458,1.2903115,-1.2102996,0.9892469,-7.746967,-6.7852592,6.461996,0.037390083,-6.563462,6.4412637
2.2913306,-0.79947114,0.50980306,2.961093,-1.168694,0.75314206,5.3966126,0.106098086,-0.8563233,2.4823055,-2.15681,1.6371751
-2.5634146,-6.504656,6.592695,19.805029,3.628656,-3.4112625,0.9069967,-2.3082666,1.8741578,1.3844184,-1.0704741,0.8106074
