class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.42027384,-0.9781804,-0.976847,2.9765184,-5.8078203,-0.4806347,3.5646393,-6.916047,-0.31371543,4.03901,-7.6930866,-0.13277584
1.9528964,-4.1495724,-0.7224453,0.85805,-1.8468862,-0.26464856,6.207717,-11.819257,0.45037994,5.135543,-9.133619,0.40403178
3.1061249,-5.02136,0.6948951,3.1808612,-5.5779357,-0.10809502,3.2123983,-6.53023,-0.49503803,3.118591,-5.8380885,-0.3770815
-0.0042202473,0.0131953955,-0.1719456,2.0740104,-4.472954,-0.69403243,3.0578773,-5.092085,-0.10675198,5.0888367,-8.784041,0.297933
0.80379546,-1.57129,-0.83038265,2.3129938,-1.6106455,-0.11657226,4.958686,-9.267469,0.34469858,5.739753,-11.161839,0.15509215
3.0978744,-4.029379,0.43240416,3.2584665,-6.0413995,-0.33434203,3.6051981,-6.9449873,-0.22038633,5.3785686,-10.005109,0.11556402
1.246741,-2.1328177,-0.80676764,5.3173733,-9.991619,0.48876283,6.144807,-11.060833,0.53145957,7.8612795,-14.091259,0.85836345
0.8876735,-1.7329097,-0.49474615,2.3253877,-3.7397585,0.30822578,3.7329166,-6.9211135,-0.09473351,3.750292,-7.6376038,-0.3456803
-1.7034531,3.884896,-1.1765002,3.6170084,-4.33916,0.44628215,4.208518,-8.357603,-0.25522217,2.9464362,-3.6626024,0.04534423
-5.888982,13.234501,-1.6355103,2.4724514,-2.2431324,0.12559438,-0.3460934,0.45428205,-1.1784463,5.223015,-9.711988,0.068320185
0.7331672,0.70688486,-0.47749108,3.7714136,-5.636695,0.31659573,2.815949,-2.844405,0.31375822,4.126357,-7.064998,0.30050513
0.99931145,-2.322784,-0.90086424,-0.26567832,2.1539412,-0.60841304,4.828843,-9.900518,0.04003566,6.788085,-12.288584,0.52694505
2.7169445,-6.40569,-0.023281861,1.3657966,-3.1077,-0.79896647,3.535967,-6.702964,-0.27581474,6.1069355,-10.576313,0.68150395
1.7274859,0.101294816,0.13077193,1.9852643,0.058019876,-0.14261138,2.36244,-3.163062,0.088829935,7.060316,-13.605208,0.47564274
2.5414965,-4.357876,0.02891871,4.9026823,-8.55056,0.21307406,4.8209896,-8.189514,0.12854269,6.9152565,-13.222717,0.5001338
0.9263741,-2.6662688,-0.16273877,0.121569306,0.3801195,-0.66633415,3.705455,-7.5374737,-0.27792275,3.0583923,-5.4222174,0.09413129
-0.7403016,3.1842666,-0.61079305,3.553701,-5.7460117,-0.07236922,2.6811907,-5.4013066,-0.6008771,6.1098137,-9.997667,0.7987869
-0.45454717,1.2407658,-0.99814016,3.278684,-6.863421,-0.42078108,0.93562186,0.966761,-0.24756116,3.2438545,-6.599168,-0.43203732
0.10398275,-0.3334236,-1.018164,4.3058195,-5.997463,0.5225103,3.3120782,-4.9567375,0.35745198,3.827625,-7.7845173,-0.29789177
2.6070445,-3.6935549,0.35977525,0.8219278,-0.90286994,-0.45369917,5.9389105,-11.136836,0.52812386,1.0462756,-2.5395923,-0.8698812
-1.9488934,3.6299963,-1.4504517,-0.1630497,0.37013525,-1.0240282,2.575742,-5.4988155,-0.5948558,5.4178257,-10.605185,0.05623391
-1.6393204,2.9699347,-1.2912177,0.15491462,-0.65793514,-0.8064343,5.048708,-10.190023,-0.034233484,7.198555,-13.327829,0.66197294
-0.08934021,-0.15807045,-0.998205,2.1251895,-4.669839,-0.68971187,6.256465,-11.681327,0.3114323,3.3990176,-4.3517647,-0.08105469
1.7621562,-2.874494,-0.6986614,3.2121217,-5.6435795,-0.36383432,2.159003,-4.5643625,-0.652081,6.7044363,-11.542744,0.71615106
-0.9195988,1.4063469,-1.2517164,1.2773736,-3.005453,-0.8478216,-0.22925738,0.9087155,-0.21357852,2.4112153,-2.8646717,0.14803779
-1.9152579,4.786262,-0.56105286,3.465757,-6.3954964,-0.32391945,4.388378,-8.604631,-0.15213251,5.9329634,-9.871768,0.8402845
1.2071257,-0.4109099,0.092089,-0.034196973,1.0029882,-0.8401531,5.5836983,-10.037258,0.64579177,2.1981008,-4.707142,-0.67188144
2.1118011,-2.888687,-0.12991384,1.6424896,-3.620061,-0.6596006,5.1465874,-9.972282,-0.06461194,1.6827497,-3.6021166,-0.77306646
-1.4765346,2.574676,-1.3401386,2.1283123,-4.6062527,-0.6840057,2.3217378,-4.414257,-0.67752373,3.5433197,-5.7856636,0.5203557
2.2303078,-3.2652206,0.081799865,1.2509075,-2.9213626,-0.8517288,3.7632349,-7.764082,-0.3469221,4.8399715,-7.781745,0.6751818
-3.4916036,6.912368,-1.694059,1.9477139,-1.7766483,0.062151905,-0.21669692,-0.022335589,-1.1439997,1.0530382,-0.8829961,-0.15921605
1.8837729,-2.1756392,-0.15109271,1.0140556,-2.432119,-0.90387315,4.755145,-9.157246,-0.15064952,5.8467455,-11.145199,0.20858452
1.1531913,-2.460282,-0.83570176,1.6148347,-2.8501685,-0.7080878,1.6726637,-0.31750065,0.24511239,7.6918297,-13.445685,0.8013909
1.8293529,-2.188575,0.12497187,1.7569494,-3.8747196,-0.77501357,3.9356434,-7.090726,0.3461964,5.1264315,-10.102448,-0.039786194
1.4739382,-1.7044787,0.12461567,1.874356,-3.3522334,-0.45172983,0.6595886,-1.0745314,-0.84504336,4.5101604,-9.170277,-0.1411489
-0.1691939,3.2780156,-0.4408361,1.3745625,-2.917498,-0.80851406,3.8788211,-7.4267216,-0.22395325,3.0602977,-6.2377486,-0.4756651
-1.8214681,4.9982696,-1.0350705,2.5514135,-2.7466595,0.19168231,2.3280065,-4.484502,0.25971302,4.2057543,-8.006232,-0.19873199
-2.2115285,4.1463113,-1.4738964,5.938279,-10.369873,0.5197051,7.228997,-12.7435055,0.7252703,6.601822,-12.733723,0.36649737
1.3489256,-2.424924,-0.5680543,-1.9459997,3.6182327,-1.4455546,3.9378974,-5.039521,-0.0345555,7.1997976,-12.742147,0.86753225
0.6214411,-1.4720066,-0.94282526,0.4920758,-1.1424842,-0.91669023,1.6108294,-1.3674159,-0.44871444,8.202384,-14.946191,0.846078
