class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.09916345,-0.020398589,-0.10136764,-0.099224955,-0.02042716,-0.1013693,-0.09934887,-0.020280123,-0.10157133,-0.0995233,-0.020390343,-0.10145069
-0.09936948,-0.020427488,-0.10143961,-0.09928341,-0.02032576,-0.10142376,-0.09922434,-0.02046076,-0.101385325,-0.09918824,-0.020411111,-0.10135883
-0.09921643,-0.020417515,-0.1014038,-0.09939478,-0.020323392,-0.10140882,-0.09919414,-0.020402286,-0.10135523,-0.09955333,-0.020469721,-0.10139409
-0.09924866,-0.020347675,-0.10145195,-0.09917335,-0.020410925,-0.10137382,-0.099213876,-0.020398894,-0.10138029,-0.09918264,-0.020429045,-0.101366736
-0.099226825,-0.020396002,-0.101368,-0.099193916,-0.020353284,-0.10135396,-0.09918657,-0.020407146,-0.10137244,-0.099196404,-0.020425979,-0.10134708
-0.099387266,-0.020348867,-0.1013701,-0.09941869,-0.020415448,-0.10138543,-0.099348485,-0.020396924,-0.10138402,-0.099476494,-0.020307615,-0.10140859
-0.09924234,-0.0203754,-0.10149236,-0.09919707,-0.020420406,-0.10134028,-0.09926261,-0.020589525,-0.10129717,-0.09967723,-0.02068057,-0.10062201
-0.09922119,-0.020410411,-0.101352856,-0.09917343,-0.020422468,-0.101341374,-0.099201515,-0.020396374,-0.10134227,-0.099100515,-0.020359736,-0.10150835
-0.09920901,-0.020429982,-0.10135801,-0.099203706,-0.020390766,-0.1013926,-0.099281386,-0.020369334,-0.10128217,-0.09917839,-0.020383378,-0.101353765
-0.09923893,-0.020408526,-0.10136053,-0.09926211,-0.020333515,-0.10155113,-0.09962847,-0.019728936,-0.10140219,-0.09927803,-0.02036212,-0.10143107
