class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.1337003,-0.021137917,-0.030268604,0.13360557,-0.021273207,-0.030236011,0.13364801,-0.021303114,-0.030154789,0.13373332,-0.021309458,-0.030258736
0.13366465,-0.02123185,-0.030239563,0.13370739,-0.021263849,-0.030222721,0.13366602,-0.021292444,-0.03011508,0.13373788,-0.021288285,-0.030191414
0.1336093,-0.021282176,-0.030285377,0.13356265,-0.021289233,-0.03016046,0.13374074,-0.021096248,-0.030641472,0.13363332,-0.021227654,-0.030256119
0.13357353,-0.021264069,-0.030351285,0.13372807,-0.021372866,-0.02994068,0.1336287,-0.02106807,-0.030192912,0.13368532,-0.021337846,-0.030204106
0.13371791,-0.021280877,-0.030144628,0.13364524,-0.021267079,-0.030297065,0.13366404,-0.021230044,-0.030332444,0.1336387,-0.021259602,-0.03026937
0.13370366,-0.021078916,-0.030199336,0.13367069,-0.021189403,-0.030237582,0.13365224,-0.021276902,-0.030215725,0.13363919,-0.021273874,-0.030270636
0.13365458,-0.021237768,-0.030227214,0.13370764,-0.02123604,-0.030236894,0.13370162,-0.021292819,-0.03027375,0.13364646,-0.021262318,-0.030218577
0.13364927,-0.021292906,-0.030304164,0.13382031,-0.021252923,-0.03022056,0.13365883,-0.02120513,-0.030183272,0.13364169,-0.021261647,-0.030268963
0.13362359,-0.021276014,-0.030288428,0.13371418,-0.02094823,-0.030272419,0.1339178,-0.0213686,-0.030359987,0.13367002,-0.021050133,-0.030398905
0.13364047,-0.021050565,-0.030053597,0.13329285,-0.02125633,-0.02984027,0.13375601,-0.021200553,-0.030254673,0.13367687,-0.02138027,-0.0301694
0.13372396,-0.021014865,-0.02970973,0.13362467,-0.02128557,-0.030216523,0.13362738,-0.021294897,-0.030287264,0.1331907,-0.022072867,-0.029672675
0.13365069,-0.021291822,-0.030486142,0.13366365,-0.021287942,-0.030289607,0.13369295,-0.021295661,-0.030310292,0.1337081,-0.021334305,-0.03022461
0.13366416,-0.021337803,-0.030415256,0.13374598,-0.02145693,-0.030168474,0.13362774,-0.021342892,-0.030225223,0.13368192,-0.021238064,-0.030241504
0.13366793,-0.021130532,-0.030269984,0.13360803,-0.021213435,-0.030351464,0.13373831,-0.021269053,-0.030310065,0.13376315,-0.021131188,-0.030174509
0.13367407,-0.02126189,-0.03017294,0.13367163,-0.021176491,-0.0302022,0.13382785,-0.021050075,-0.030317932,0.13362631,-0.021309577,-0.030253688
0.13363285,-0.021236759,-0.030222788,0.13365285,-0.021281904,-0.030279897,0.133631,-0.021269307,-0.030264864,0.13379034,-0.021263812,-0.03037529
0.13357143,-0.021331392,-0.03005812,0.13393304,-0.02002586,-0.03048149,0.13373466,-0.021224488,-0.02994132,0.13364777,-0.02126862,-0.030245814
0.13377169,-0.021230314,-0.030088164,0.133856,-0.021343853,-0.030423611,0.13363346,-0.021150488,-0.030413207,0.13370232,-0.021205049,-0.030320778
0.1336619,-0.021290362,-0.030211061,0.13368078,-0.02132676,-0.030243516,0.13371891,-0.021098334,-0.030451976,0.13339958,-0.021425255,-0.030244462
0.13367794,-0.021265753,-0.030234696,0.13368532,-0.02123943,-0.030276991,0.13369721,-0.021281775,-0.030237745,0.1336056,-0.021262445,-0.030206457
0.13368969,-0.021298751,-0.029826637,0.1336365,-0.021298844,-0.030274464,0.13368085,-0.021297775,-0.030246645,0.13363591,-0.020413633,-0.02999805
0.13365604,-0.021196837,-0.030242084,0.13364367,-0.02127373,-0.030270949,0.13374011,-0.021401105,-0.030170554,0.13366304,-0.021282043,-0.03027558
0.13359721,-0.021235708,-0.030306699,0.13361724,-0.021398785,-0.03017581,0.13365544,-0.02125866,-0.030201692,0.13361356,-0.021194927,-0.030011594
0.13364922,-0.021263294,-0.030265339,0.13381667,-0.021122158,-0.03035628,0.1336365,-0.021254323,-0.030248,0.1336269,-0.021356191,-0.03021064
0.13370374,-0.021216493,-0.030213978,0.13366592,-0.02129526,-0.030237317,0.13402957,-0.02125617,-0.030263212,0.13364159,-0.021275233,-0.030266762
0.13354634,-0.021337818,-0.030279936,0.13365237,-0.021245588,-0.030216806,0.1336373,-0.021351594,-0.030336296,0.133678,-0.021236435,-0.03025244
0.13362785,-0.02129072,-0.03026604,0.133669,-0.021285143,-0.030361649,0.13363327,-0.021291476,-0.030256812,0.13364379,-0.021278836,-0.030212414
0.1336789,-0.021278206,-0.030192075,0.13366911,-0.021275416,-0.030265816,0.13469157,-0.020586636,-0.030980702,0.13364993,-0.021234456,-0.030198315
0.13364555,-0.021261152,-0.030258844,0.13360514,-0.021240054,-0.030223005,0.13349509,-0.021253865,-0.03016353,0.13381957,-0.021281257,-0.030080967
0.13378757,-0.02128784,-0.030134628,0.1336462,-0.02127791,-0.030255506,0.13362427,-0.021302514,-0.030297808,0.13364738,-0.021291053,-0.03025939
0.13363081,-0.021260235,-0.030240702,0.13364668,-0.02119222,-0.030265434,0.13373291,-0.02125768,-0.030178249,0.13363114,-0.021265168,-0.030257452
0.13383746,-0.02143092,-0.030085959,0.13361451,-0.02126838,-0.030254565,0.13359004,-0.021219086,-0.030235989,0.13361685,-0.021306356,-0.03024203
0.13383259,-0.021226782,-0.030703869,0.13364127,-0.021257116,-0.030259393,0.13379334,-0.021174498,-0.030738443,0.13366564,-0.021292213,-0.030080935
0.13366842,-0.021211214,-0.030195925,0.13365273,-0.021285772,-0.030196656,0.13318789,-0.021177385,-0.030700235,0.13354826,-0.021330327,-0.030330677
0.13382414,-0.021237481,-0.03016774,0.13367483,-0.021254653,-0.030261444,0.13364562,-0.021265414,-0.030283665,0.13362822,-0.021265175,-0.030249557
0.13360186,-0.02128398,-0.03029472,0.13389301,-0.021292105,-0.030129418,0.1337716,-0.021187656,-0.030291766,0.1336451,-0.021276511,-0.03024235
0.13369632,-0.021212611,-0.030103305,0.13363013,-0.021202639,-0.030532014,0.13365436,-0.02116728,-0.03027492,0.13365316,-0.021261591,-0.030302074
0.13371263,-0.021152701,-0.030265039,0.13392463,-0.021311197,-0.031039447,0.13366415,-0.02125746,-0.030248484,0.1336817,-0.021280453,-0.030226864
0.1337073,-0.021369042,-0.030338772,0.13364302,-0.021269033,-0.030249884,0.13366072,-0.02119623,-0.030083973,0.13364142,-0.02125765,-0.030274127
0.13363428,-0.021294404,-0.030293439,0.13367213,-0.021251094,-0.030295886,0.13366218,-0.021170013,-0.030196007,0.1336683,-0.021235295,-0.030252758
0.13382724,-0.021222116,-0.030295046,0.13365,-0.021217749,-0.030279182,0.13373493,-0.021444518,-0.030473944,0.13391949,-0.02135746,-0.030162731
0.13364078,-0.021276647,-0.030287286,0.13383247,-0.02133974,-0.030370226,0.13377449,-0.021395471,-0.030139871,0.13372265,-0.021257289,-0.030284612
0.1337013,-0.021133065,-0.030144237,0.13363673,-0.021271672,-0.030260786,0.13371842,-0.021314632,-0.030288965,0.13335407,-0.021593511,-0.029772973
0.13387778,-0.021548387,-0.030569714,0.1336495,-0.021118991,-0.030293994,0.13365068,-0.02125341,-0.03026994,0.13360082,-0.021418434,-0.030079285
0.13355878,-0.02137516,-0.03016081,0.13407849,-0.021404374,-0.030071575,0.1336624,-0.021241616,-0.030264508,0.13364376,-0.021215927,-0.030232433
0.1336428,-0.0212632,-0.030298494,0.13366903,-0.021260282,-0.030197246,0.13364626,-0.021261878,-0.030197496,0.13365209,-0.02128073,-0.03025714
0.13370463,-0.021472372,-0.030165702,0.13365556,-0.021284029,-0.030275568,0.13369879,-0.021344474,-0.030094607,0.13374773,-0.02129019,-0.030182483
0.13364983,-0.021281373,-0.030294584,0.13364704,-0.021258859,-0.03025864,0.13364634,-0.02140661,-0.030236337,0.13364291,-0.021263367,-0.030266274
0.13365927,-0.021123488,-0.030079812,0.13378417,-0.021237075,-0.030099157,0.13371854,-0.021304471,-0.030209403,0.13376024,-0.021218278,-0.030194944
0.13366546,-0.021279922,-0.030270081,0.13362502,-0.02130911,-0.030261971,0.13363576,-0.0212714,-0.030271756,0.13364008,-0.021244641,-0.030230403
0.13360704,-0.021308264,-0.030186221,0.13365968,-0.021261744,-0.030271852,0.13365206,-0.02127931,-0.030227346,0.13363184,-0.021224244,-0.030326214
0.13365602,-0.021288624,-0.030238884,0.1336657,-0.021276608,-0.030284736,0.13365771,-0.02116996,-0.030273076,0.133613,-0.021288507,-0.030263186
0.13344951,-0.021244828,-0.030584501,0.13363859,-0.02123607,-0.03027713,0.13365152,-0.021227125,-0.030525003,0.1336532,-0.02113043,-0.030169938
0.13370413,-0.021353297,-0.030225456,0.13370252,-0.021371571,-0.030164234,0.13373804,-0.021444812,-0.030332193,0.13363773,-0.021158513,-0.030265592
0.13367441,-0.021259647,-0.030246641,0.13360773,-0.021241756,-0.030342164,0.13365155,-0.021336185,-0.030051086,0.13356888,-0.021327663,-0.030288497
0.13362455,-0.021282867,-0.030205417,0.13360165,-0.021284424,-0.03029038,0.13361168,-0.021285364,-0.030249903,0.1338201,-0.021425419,-0.030548697
