class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.10037289,0.071873225,-0.11915321,-0.10040287,0.07176365,-0.11914321,-0.100450315,0.07180678,-0.11918113,-0.100409694,0.071782365,-0.11907471
-0.100610375,0.07192582,-0.11912736,-0.100355566,0.07168479,-0.11921995,-0.100643106,0.07223691,-0.119173996,-0.10060457,0.07160272,-0.11904844
-0.10050744,0.070211746,-0.12035135,-0.100478604,0.071833424,-0.119160704,-0.100677736,0.071940154,-0.11929224,-0.10054363,0.071886435,-0.11922091
-0.10044682,0.071863584,-0.11913916,-0.10039638,0.07189422,-0.11915062,-0.1002198,0.06999369,-0.11985473,-0.10040448,0.07180918,-0.11913166
-0.10044282,0.071795866,-0.11917362,-0.100435816,0.071721084,-0.11931314,-0.10045161,0.071959995,-0.11905631,-0.10039659,0.071852945,-0.11917217
-0.100116536,0.07134484,-0.11888799,-0.10053068,0.07179342,-0.11913248,-0.1003937,0.07186942,-0.119130865,-0.100523174,0.07187282,-0.11928893
-0.1005637,0.07170348,-0.119130574,-0.10043116,0.071893476,-0.119148195,-0.10069077,0.07177393,-0.11931827,-0.10039091,0.07189081,-0.1191252
-0.10092247,0.07171314,-0.11940603,-0.10043369,0.07191963,-0.11917948,-0.1003156,0.07086042,-0.11942366,-0.10048647,0.07174464,-0.11915799
-0.10038232,0.07183963,-0.11917806,-0.1003473,0.07183942,-0.11916085,-0.100370444,0.07179776,-0.1191206,-0.10073573,0.071653835,-0.11904941
-0.10033191,0.07174668,-0.1192813,-0.10128323,0.07106344,-0.11976017,-0.10075823,0.071803324,-0.11894579,-0.10018797,0.07182919,-0.119107835
-0.100565754,0.07181734,-0.11910257,-0.10060142,0.07182878,-0.11920653,-0.10038825,0.071691856,-0.11908285,-0.10039353,0.07170771,-0.11923187
-0.10041269,0.071880855,-0.119137816,-0.10034644,0.071816035,-0.119107395,-0.10039086,0.07189548,-0.11914272,-0.10047715,0.07195908,-0.11900071
-0.100131035,0.071416184,-0.11893892,-0.10053397,0.071951635,-0.1191457,-0.10041036,0.07189436,-0.11912258,-0.10042098,0.07187097,-0.11913962
-0.10048575,0.0716833,-0.11911321,-0.10058269,0.07213391,-0.11948486,-0.100497216,0.07176486,-0.119026616,-0.10028139,0.07188776,-0.11922233
-0.10020056,0.07125996,-0.118785225,-0.1006711,0.07251819,-0.11898408,-0.100510694,0.071168534,-0.11888411,-0.10052408,0.07162047,-0.11901131
-0.10054752,0.071827546,-0.119018584,-0.10108387,0.07104548,-0.119764775,-0.10045706,0.07203248,-0.11902371,-0.10041303,0.07188375,-0.11913866
-0.100658044,0.071666986,-0.11911062,-0.10040698,0.071885586,-0.11913309,-0.10043252,0.071877345,-0.11914031,-0.100396164,0.07187843,-0.11910885
-0.10081108,0.07135911,-0.11944872,-0.100572154,0.071980774,-0.119282626,-0.10054494,0.07185457,-0.11920782,-0.10060052,0.0717739,-0.119124606
-0.10082491,0.071885325,-0.11954592,-0.10063292,0.0722742,-0.11932131,-0.1004103,0.07187367,-0.11914003,-0.10041616,0.07191051,-0.11911426
-0.10046191,0.07173815,-0.119189605,-0.10070494,0.0715413,-0.119242564,-0.10138552,0.07163768,-0.11913124,-0.100692265,0.07134118,-0.11921437
-0.100672595,0.07158499,-0.119067654,-0.10044487,0.07191058,-0.11916938,-0.10097588,0.07178856,-0.11853102,-0.10038478,0.07188411,-0.11914317
-0.10041712,0.07187714,-0.119156934,-0.10041946,0.07186993,-0.119099595,-0.100822836,0.07103891,-0.11930179,-0.10033318,0.071618564,-0.11924742
-0.100396715,0.072006695,-0.11917447,-0.10050158,0.07202235,-0.119114034,-0.10053407,0.07189834,-0.11911451,-0.1000083,0.071294695,-0.11962837
-0.10044309,0.07193249,-0.119126976,-0.100550435,0.071933046,-0.119102836,-0.10044628,0.071817875,-0.11914994,-0.100374736,0.071717516,-0.119163826
-0.10048801,0.071798615,-0.119160175,-0.10045373,0.07157616,-0.118929416,-0.1003445,0.07186977,-0.11914194,-0.100483984,0.0715821,-0.11886843
-0.10054065,0.07175752,-0.11941325,-0.10040352,0.07188854,-0.11910843,-0.10039795,0.07189282,-0.11914809,-0.10052417,0.07211685,-0.11929957
-0.100383714,0.07182726,-0.11931555,-0.10037369,0.07181416,-0.11915219,-0.10051231,0.07193524,-0.119179256,-0.10080892,0.07175667,-0.119208395
-0.100458235,0.07194432,-0.11922376,-0.10067578,0.07192716,-0.11902445,-0.10066148,0.07195669,-0.119282216,-0.10052069,0.07208471,-0.11927874
-0.1003318,0.07154419,-0.11942266,-0.100503534,0.071822025,-0.11921947,-0.1004513,0.071753465,-0.1191318,-0.10067135,0.07173946,-0.11903694
-0.10090759,0.07191062,-0.11914846,-0.10036316,0.07180375,-0.11917482,-0.100449845,0.07165489,-0.11907942,-0.10046878,0.07173514,-0.11922674
-0.100467466,0.07097224,-0.11916235,-0.1004132,0.07191193,-0.11928201,-0.10049461,0.07192661,-0.11897628,-0.10047305,0.071887426,-0.11911728
-0.10071126,0.07124604,-0.11943346,-0.10064406,0.07179429,-0.11905591,-0.100487754,0.07167086,-0.11918036,-0.1003642,0.0718399,-0.11913653
-0.10042652,0.07190712,-0.11909506,-0.1004141,0.071896724,-0.119109854,-0.100121565,0.07166088,-0.119147,-0.10042896,0.0719271,-0.11913644
-0.1003191,0.07175193,-0.119052835,-0.10039287,0.071867816,-0.11913583,-0.10049652,0.07183297,-0.11920777,-0.10038868,0.07189184,-0.11912285
-0.101081036,0.07097523,-0.11996518,-0.10043182,0.0718917,-0.11907861,-0.10045077,0.071750745,-0.11899303,-0.10038674,0.07188681,-0.11910977
-0.10053334,0.07185414,-0.11924383,-0.10040176,0.07197003,-0.1192082,-0.10044171,0.07188606,-0.119194195,-0.1003998,0.07189178,-0.11914172
-0.10086798,0.071668535,-0.11935805,-0.10057315,0.071778424,-0.1190912,-0.1003962,0.07185128,-0.11912075,-0.100437,0.071871996,-0.11913554
-0.100527436,0.0718851,-0.11918812,-0.10058805,0.07185609,-0.11920098,-0.10051264,0.07149127,-0.11911137,-0.10039972,0.071893625,-0.11913347
-0.100394435,0.07190334,-0.119151816,-0.100388475,0.071875095,-0.119141564,-0.10041042,0.07190088,-0.1191013,-0.1008671,0.07148175,-0.11993332
-0.100663625,0.071716264,-0.11923158,-0.10045647,0.07181755,-0.11901171,-0.10042915,0.07187224,-0.11912248,-0.10150194,0.07193536,-0.11941441
-0.102306925,0.07125877,-0.120774366,-0.10043485,0.07192298,-0.119054355,-0.1003785,0.071505174,-0.11899357,-0.100373924,0.07173389,-0.11918686
-0.10039564,0.07187409,-0.11914188,-0.10038551,0.07187422,-0.11913932,-0.10057193,0.072003886,-0.11956114,-0.10039693,0.07188258,-0.119136155
-0.10093519,0.07174962,-0.11926693,-0.100444995,0.07209923,-0.119344994,-0.10039857,0.07187435,-0.119151175,-0.10053138,0.07185724,-0.11920245
-0.100798056,0.07186887,-0.11943222,-0.103285976,0.070782624,-0.120966054,-0.100922346,0.07031807,-0.12091252,-0.10042749,0.07185927,-0.11927953
-0.10043162,0.07184745,-0.11912583,-0.10048695,0.07215587,-0.11924157,-0.10038084,0.07187746,-0.11916252,-0.10039164,0.07187623,-0.119171955
-0.10039815,0.07190143,-0.1191389,-0.100242905,0.07167583,-0.119286925,-0.10042006,0.07187595,-0.11911717,-0.10040173,0.07200339,-0.11913764
-0.100358106,0.07185095,-0.1191379,-0.10033898,0.07192063,-0.11907335,-0.100397274,0.0718822,-0.119139574,-0.10033607,0.071661025,-0.11915387
-0.100422546,0.07189203,-0.11914995,-0.10023002,0.07149823,-0.11919069,-0.100441836,0.07192445,-0.11934854,-0.10041911,0.07187796,-0.11914028
-0.10051191,0.07208134,-0.11930272,-0.10039904,0.07189278,-0.1191353,-0.100387,0.07183927,-0.11918069,-0.10043869,0.07188577,-0.11915548
-0.10068884,0.071929924,-0.119231954,-0.10046549,0.07187973,-0.11913444,-0.10075804,0.071372025,-0.11933541,-0.10072164,0.07173147,-0.119161
-0.100532666,0.07186643,-0.11904276,-0.10103906,0.072001174,-0.11947174,-0.10041575,0.0718894,-0.11910349,-0.10054479,0.071822114,-0.119170204
-0.100480735,0.07156731,-0.11894008,-0.10044407,0.07187524,-0.11915796,-0.10039727,0.071896434,-0.11913568,-0.10043862,0.07192138,-0.11904609
-0.10040939,0.07154556,-0.119393244,-0.100490905,0.07190159,-0.11914823,-0.10048198,0.071848124,-0.11914895,-0.10031591,0.07175139,-0.119475394
-0.10033988,0.071340404,-0.11917087,-0.1003657,0.07188728,-0.11916941,-0.10059056,0.07187749,-0.11898843,-0.100533,0.07187145,-0.119227186
-0.10032752,0.07197052,-0.11920185,-0.1006209,0.072028965,-0.11921998,-0.10045153,0.07178501,-0.11929986,-0.10029048,0.07180176,-0.119128756
-0.101123005,0.07245003,-0.119428135,-0.10051344,0.07193638,-0.11914712,-0.10039318,0.071883254,-0.1191332,-0.100612186,0.07179189,-0.11916409
-0.1003554,0.07182716,-0.11910478,-0.10049912,0.07175468,-0.1193193,-0.1005964,0.07196309,-0.11858368,-0.100547865,0.07158056,-0.11924645
