class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.08179042,0.12007047,-0.10998779,0.0815664,0.12023283,-0.10951556,0.08199075,0.120231755,-0.109905675,0.081245326,0.12093376,-0.109755814
0.08176608,0.12022038,-0.10960861,0.081521325,0.12025617,-0.11018735,0.082215205,0.12080181,-0.10946992,0.08186472,0.12026401,-0.10999519
0.08176621,0.12014262,-0.109991044,0.08202589,0.12023023,-0.109955944,0.08176046,0.1201175,-0.10969775,0.08184504,0.12054388,-0.10980127
0.08159837,0.120843984,-0.109946966,0.0817922,0.1202086,-0.10995762,0.083439365,0.120175906,-0.109315924,0.08159714,0.120311126,-0.109660365
0.08167957,0.12019114,-0.11014538,0.08203529,0.1202557,-0.10994752,0.08153451,0.12104091,-0.11011691,0.081634656,0.12052241,-0.11003437
0.0819481,0.12030846,-0.11011285,0.081512615,0.12002775,-0.10976098,0.08129144,0.120396435,-0.109834865,0.08203207,0.120259695,-0.10992895
0.08198847,0.12018225,-0.10991909,0.081859544,0.120058425,-0.11014323,0.08201563,0.12024064,-0.10993606,0.08193333,0.12018073,-0.10983545
0.08204375,0.120287396,-0.11003915,0.081746295,0.12019697,-0.11012265,0.081952326,0.1201868,-0.10990381,0.081614584,0.12007013,-0.10982964
0.081801206,0.12019831,-0.109904744,0.08153643,0.12029142,-0.10997846,0.08186457,0.1199611,-0.10972858,0.0816074,0.119920306,-0.10949564
0.081550665,0.12010172,-0.10998979,0.08174818,0.120303534,-0.109938964,0.08137583,0.12063039,-0.10958731,0.08165702,0.120159656,-0.10999449
0.08182146,0.120175034,-0.110191785,0.081870995,0.12029124,-0.10979592,0.08229314,0.12086948,-0.10997011,0.08212759,0.12047594,-0.1093041
0.081893414,0.11990339,-0.109867066,0.081897,0.12021269,-0.10988104,0.08158327,0.120221816,-0.10990002,0.081749,0.12000797,-0.109663524
0.08189106,0.12014796,-0.109994985,0.081633314,0.12026236,-0.11011415,0.081660695,0.12042461,-0.11001414,0.081219636,0.12067158,-0.11039391
0.08188826,0.120421365,-0.1096771,0.08203597,0.12008506,-0.11013022,0.08228828,0.120658666,-0.10951866,0.08201031,0.120241225,-0.10992555
0.08163496,0.12035234,-0.11045106,0.08199805,0.120208554,-0.110028766,0.08194895,0.12010498,-0.11031781,0.08192596,0.1205191,-0.10962286
0.08151418,0.12117856,-0.10966561,0.08202638,0.12022335,-0.10993577,0.08058762,0.119764894,-0.10981516,0.08155926,0.119968645,-0.10947464
0.08227472,0.12014448,-0.10978456,0.081798874,0.12020934,-0.109718055,0.081614055,0.12056662,-0.108336516,0.0819617,0.12025178,-0.11001739
0.08207405,0.12032269,-0.1099139,0.08166133,0.12012575,-0.10993751,0.08192722,0.120370634,-0.10883765,0.081938446,0.12036463,-0.11026361
0.08179512,0.12019047,-0.11015055,0.0819881,0.12020239,-0.10990455,0.08113131,0.11983866,-0.10934771,0.08186716,0.120264076,-0.1100119
0.08191061,0.12019354,-0.11007103,0.08199881,0.12023331,-0.1099336,0.08062391,0.119952604,-0.109326795,0.08165077,0.120288454,-0.11006045
0.08142475,0.12064481,-0.10983333,0.081701145,0.120197564,-0.11011851,0.08191531,0.12177795,-0.1098618,0.0820519,0.120498404,-0.11008583
0.08187962,0.11980036,-0.10976864,0.08192772,0.120325245,-0.1101663,0.08206071,0.12030474,-0.11014614,0.08151802,0.120452724,-0.10842193
