class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-20.103989,28.977911,-5.8651643,22.666306,-23.831543,6.894737,9.664096,-16.735989,8.393673,15.961875,-13.68122,12.472606
-14.737156,27.587809,-9.922874,13.974436,-16.066261,3.6996531,3.764886,-3.6764581,2.2893608,-12.690141,8.544314,3.1525803
-14.004072,13.450033,-2.7928064,5.1093907,-2.7672482,-0.9678586,-6.869814,17.692125,-8.916462,12.897688,-26.57043,12.824102
-2.2389193,12.835483,-7.3709397,6.498162,0.08200115,9.236865,-12.872932,6.715254,7.757211,-0.43384778,10.120929,7.250739
-18.00925,26.94805,-3.504507,10.933425,-8.424658,5.665198,1.5649639,-13.54574,14.6188345,-10.327232,13.95213,-2.8937917
-16.831913,23.469902,-2.1267738,13.888201,-7.103261,-3.4857364,-5.098149,7.6860037,3.549487,-1.5272309,10.121047,-7.97603
-18.368427,16.81157,0.26814753,17.02927,-18.347055,17.93006,5.4866962,0.12384558,9.404126,-8.411476,-0.476027,7.6497636
-18.706417,21.685572,-7.86044,16.943766,-12.920857,-2.8042593,-0.022818208,8.385695,-6.1811223,-11.575752,23.739714,-2.3882766
-15.815575,26.257727,-2.5917692,4.3044457,-17.493664,8.58193,4.334249,-5.08547,8.687127,-9.976738,7.1973925,3.3860126
-25.148746,26.985207,-5.863499,15.206996,-11.570282,14.228544,-10.528383,23.065306,-3.0137453,19.989689,-22.015844,1.2537885
-13.0792885,15.069367,-0.0466246,12.483894,-9.376084,6.7658277,8.2223835,-5.9133883,-0.7794432,-4.99497,3.5647266,2.9242191
-4.21849,13.278672,3.7636101,13.041264,-21.9773,19.126078,3.0812893,-2.0355916,1.538676,-17.55002,28.931223,-5.4349713
-24.791122,37.063637,-4.1273,17.685555,-17.474138,17.40386,-5.0278664,-7.1775837,6.422474,1.1092913,-13.255352,7.4232144
-24.37725,32.424786,-6.2756667,13.947037,-10.218826,6.3529873,-0.91734254,11.118408,4.649858,3.0352006,-16.9486,9.455661
-8.33696,3.7242262,3.8977466,16.264917,-24.155792,7.4019046,1.4359419,-6.881195,4.5881696,10.128497,-11.846555,13.765638
-19.765022,27.7774,-5.716253,6.590403,-2.4365878,-2.5170445,-1.8225986,-8.266883,6.1479106,-5.7063575,17.394941,-10.102145
-9.793218,18.304932,-9.233136,16.948963,-12.629648,6.1266313,11.908739,-4.790345,-5.815695,-6.425904,0.74448323,4.645462
-12.153886,17.643354,-6.3955197,12.449434,-27.990084,13.2519045,-5.8085456,-2.0832572,9.052354,-1.2835997,9.237243,-6.61347
-22.851192,23.56701,-2.1221433,8.773646,-3.9381359,-4.34584,2.4408898,5.0469704,9.127868,1.1869191,-14.425713,7.733593
-12.065166,17.507446,-5.687308,9.28186,-19.843742,8.918125,6.56668,2.695473,-6.333722,-8.363397,13.960815,-1.4770033
-27.159283,39.15834,-5.265626,11.990818,-14.320035,3.368821,15.22118,-14.822211,1.1528027,5.639935,-7.4175205,2.7089775
-14.211861,16.713093,-4.049029,20.951855,-19.352764,15.139616,1.1477505,9.340644,8.178169,15.329729,-14.425628,1.2515445
-23.544937,25.044228,-2.716895,2.930285,-12.270309,7.9527564,-8.213594,17.977575,-11.2671175,14.10186,-8.270505,10.076431
-20.766754,18.128967,-0.45135206,12.931431,-10.908774,13.145298,-8.454878,13.112365,-3.273284,13.22407,-27.172428,11.610563
-15.1299,31.98625,-13.352434,9.885223,-9.791546,0.30362165,-8.478855,3.8767755,3.295205,0.5407833,9.01264,-9.391608
-31.877964,40.171898,-11.3096,10.268679,-8.632849,14.5186,15.022867,-21.310015,14.8743925,-8.802792,2.3775198,4.1973968
-11.903532,14.890837,0.61363035,5.7200856,-14.429496,6.772512,-8.19321,1.9655092,6.9020667,11.473202,-7.9135723,11.637429
-22.865917,32.090096,-6.508286,8.28517,-2.4971871,11.270993,-8.806957,-0.82534546,5.6001463,5.0003314,-0.22247899,-4.3430495
-17.710316,15.573361,0.6908451,14.815554,-12.313493,5.409533,-2.8191452,-7.6643744,8.886842,5.4446535,-17.179674,12.607032
-14.373568,21.634481,-1.9648786,19.820969,-19.601856,6.1671863,10.571208,-22.061323,13.319472,2.9102607,1.6057692,-3.2143626
-11.941626,19.061003,-1.5742404,6.393155,-8.307393,2.542461,-0.5033215,1.6383152,6.601998,13.12912,-16.4744,4.0775704
-8.001852,17.483185,2.1893725,23.645443,-24.217886,2.2481053,9.4390545,-6.7603645,0.94959074,1.5562872,8.54801,-8.330751
-12.726242,14.528846,-0.038914144,20.592657,-19.523993,14.738803,1.9175192,6.130006,7.7107005,-13.079036,14.075245,-0.42568606
-25.064764,42.194324,-13.717379,13.679918,-11.622546,-0.17159992,-4.4562783,18.406128,-10.257993,-5.7146087,-2.659617,11.281825
-14.720191,25.28272,-9.911601,13.8518505,-9.977349,-0.27375478,7.900615,-5.6608725,-2.3911924,14.04796,-9.522011,6.887556
-26.878876,34.30005,-7.7705474,19.478907,-18.372263,15.393945,13.900082,-27.713263,14.308494,5.3187356,-11.731828,7.3819556
-13.9084835,12.671632,-2.198192,19.447647,-16.470789,-2.4263992,-6.003499,9.999473,-2.0947495,-11.791327,10.097659,3.4601347
-22.56768,22.32327,-1.8251743,14.925212,-7.955759,9.960902,4.575551,-18.868563,16.327518,12.5331335,-25.640617,12.400565
-12.679989,15.321425,-5.1720495,17.858372,-12.39606,-3.6118417,-6.1289377,18.601112,-10.284306,-1.7376989,10.256136,6.1016736
-18.70728,25.493387,-10.488673,-0.9345468,-12.078456,6.673115,7.8786645,-7.6980057,1.0541204,1.9462134,6.738181,-5.8571568
-10.680192,1.6603625,3.4620085,11.170624,-25.880857,11.803963,16.85496,-15.362531,3.2506685,-9.059207,21.577875,0.6840001
-6.1672435,-1.4668782,4.85275,6.2322063,-22.507225,12.720084,-5.22439,0.17467773,3.9925964,-1.4655331,-5.941004,6.746469
-1.3609785,-9.533534,8.420286,8.036539,-2.667082,-3.7202697,-3.3293953,-7.385785,12.570273,19.414806,-19.659975,18.204256
-16.817503,20.448023,-9.377078,10.717307,-4.881958,9.580378,-7.0317454,-1.2052103,7.9877787,8.190421,-13.611416,5.335456
-9.541456,23.162487,-10.65313,18.919224,-18.509472,5.58182,-2.7848186,3.8507087,5.038555,-17.720556,16.369167,4.324099
-20.359278,29.613194,-3.3458729,16.038408,-31.550213,12.106738,0.7841053,2.3377898,-0.7254358,-4.0412803,11.500537,-0.9619711
-23.914787,38.989944,-13.261249,14.86368,-10.7937765,0.42967552,4.9271092,-0.6693312,-4.561869,-2.082889,6.2657337,-4.4555078
-9.198909,1.1716359,4.0161095,9.467882,-3.979792,11.905887,3.26271,7.223813,-8.653438,18.860725,-18.950977,3.6778185
-17.525478,27.309532,-1.4050922,6.1942782,-1.0301542,9.486619,8.920582,-23.642698,18.48327,5.53519,1.5762548,9.085105
-24.703484,40.13203,-13.253802,15.603252,-25.721525,17.735664,-2.0954165,-11.205392,7.636251,-14.600868,26.25757,-3.5564613
-6.7831683,14.331736,2.3992333,17.934254,-15.40187,13.542395,9.829663,-15.671207,6.7096596,-11.007105,4.6116724,5.7072234
-22.551594,34.66832,-2.9512858,24.29075,-18.622993,11.320227,-0.54483247,-11.312919,6.8127217,-7.6778054,19.803644,-10.533319
-21.34378,26.692915,-9.490053,13.171592,-19.362953,14.381602,-0.048381686,-10.753268,11.070758,-0.03358221,-6.0162067,6.0388627
-16.277565,28.684471,-2.2279975,7.8618426,-14.379214,6.479792,15.638368,-12.836982,-0.57405835,-2.1113563,10.372501,-7.787745
-13.446647,15.989041,1.5464766,14.653086,-11.0386915,15.457103,5.237377,6.450653,8.79919,16.904745,-14.636079,15.634851
-12.256742,20.899305,-9.8455515,17.600012,-17.473082,4.039174,-2.0790353,-0.015343308,3.687715,15.04009,-12.025207,-2.5078132
-18.414524,26.127783,-1.2179132,12.822443,-8.828843,13.35839,5.323034,0.012927175,-4.5765796,-4.5831294,5.2775736,4.083239
-15.820114,24.018835,-3.9021335,12.264413,-5.6958475,-3.963221,-5.4608974,-6.3229485,11.800166,-6.060271,9.177624,-6.3977547
-16.91789,23.40301,-9.698894,17.326345,-11.540418,-2.9921203,6.444194,4.1710377,-7.8931975,-0.009168386,-0.14722365,2.6963406
-23.759277,35.52548,-12.5715065,12.119124,-18.478,7.1836057,-0.255849,-4.151502,6.728376,15.176678,-13.490699,9.495502
-8.912239,14.174033,-2.5091305,8.693953,-3.323283,11.609277,-0.30616403,2.7650673,7.0766244,6.2676697,-8.425159,1.1982396
-7.322557,-3.2192533,5.619353,13.661229,-10.096551,-1.4510832,17.568325,-15.328084,-1.2611442,13.249903,-16.145977,4.385345
