class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-1.3223763,2.454048,-12.5491905,11.798859,6.7860656,13.384438,-7.6007667,-1.1777022,3.1884944,1.0062089,-2.3484294,7.9494905
-25.883924,7.821906,-9.415965,27.4652,-7.343697,6.9869823,6.7297163,-4.3298845,3.899956,-5.184528,-1.7666233,4.88526
-29.37879,6.6777725,-12.944866,19.516289,3.9540517,17.462934,2.910517,10.8151865,-1.7074513,6.029962,4.659282,3.9347029
-6.246836,2.6112921,-6.1793604,0.25428843,-3.218874,8.109158,-1.6421375,9.784922,5.712573,20.47826,8.148657,4.4808526
-19.778954,7.0019374,-14.567153,13.520533,-7.583098,9.423433,12.701792,4.5861697,7.545706,1.318108,-0.4616385,1.5659678
-25.278261,9.052625,-12.668788,17.797207,4.474503,7.1807775,2.6953747,-1.8568766,1.875706,-3.3510194,0.5293574,-3.356651
-21.91482,7.1774087,-10.366531,13.43795,-1.0573949,4.4707627,-4.0451736,0.3634568,-1.6549127,14.077776,-6.4116774,5.0509815
-7.9179873,9.741425,-0.06807071,18.773563,-3.7676473,0.6602269,1.2559786,-2.097516,2.0803523,16.03531,-1.4500613,11.957933
-15.211695,6.156016,-17.52379,5.5052075,-4.711756,4.8943114,-4.7141585,0.27992094,-4.9642997,18.431282,-2.252465,7.2882605
-5.349215,3.7154658,-14.238398,6.9965215,6.786198,8.139772,-8.470507,11.970174,0.7464816,12.674261,-3.1433768,10.486481
-16.029642,5.590979,-9.367925,21.689726,-7.2977386,5.576765,11.587769,-5.2091155,5.7481666,-2.471892,9.154754,-1.4418004
-17.135647,13.490947,-15.389723,1.4074256,-1.0376567,2.4269395,19.201578,2.297516,6.3880277,3.6661289,-1.5943123,1.5998976
-5.4769073,3.904073,-13.193034,-7.4517045,-1.1332211,5.9328756,13.720238,-3.2322443,-2.2128503,1.4507383,8.36024,5.559531
-27.873629,5.7974396,-9.970758,8.803465,8.509183,10.897553,14.737242,-4.316997,2.2820122,-13.32942,11.802423,-3.0505404
-20.498068,6.1367497,-13.104822,8.548545,-2.8358576,5.131295,-6.795049,10.771678,0.6469273,-0.5633745,0.88227874,1.2641923
-2.5514255,3.4244998,-6.919281,13.196785,-0.44171673,10.28083,9.464718,-4.7308273,2.8500836,10.872509,-3.4179294,7.889654
-7.5887628,3.229418,-7.069119,8.437538,10.528045,5.917899,-2.003221,1.3725111,-10.788103,-2.6664963,2.0904682,1.3617525
-15.692081,11.1933365,-9.003072,2.3811452,-0.58115673,-2.328111,-0.2702818,2.2795227,-10.076248,11.300274,-2.4171722,-1.408454
-19.99177,7.3950562,-19.429873,19.099592,8.165196,4.6968937,-11.3668785,2.8454943,-6.959769,24.42428,-8.719005,11.120104
-9.291805,2.8855205,-7.0389433,18.868443,6.1418676,12.639273,-6.7994432,-1.7762594,5.154421,1.8714976,5.829265,-3.4729497
-5.426478,3.3626916,-14.514234,7.6782203,6.582128,6.812669,-7.0234637,0.46075732,-1.6412373,21.537416,-6.3536057,10.992048
-22.424446,6.1716485,-12.545225,5.040484,-2.0311007,6.376238,26.91376,6.2051296,9.321356,3.975871,-3.3073733,2.9993773
-19.020325,15.366112,-18.974897,9.67404,9.081147,6.608265,-4.668324,10.374256,3.8744848,4.8824744,-1.7323239,-1.0442185
-9.701769,3.2499897,-7.6302757,13.555292,-4.2287917,8.740581,13.627047,6.0188823,9.677977,7.821456,-3.1951911,1.3219588
