class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.07103504,-0.21120635,-0.015045729,0.071030594,-0.21119681,-0.015057575,-0.25137082,8.678348,0.098465756,0.07101866,-0.21117333,-0.015093837
0.07104528,-0.2112267,-0.015015978,-0.02776844,2.5637178,0.039382834,0.036261328,0.7637416,-0.005827632,0.07102364,-0.2111867,-0.015082512
0.07095558,-0.21104333,-0.015261192,0.07103186,-0.21119916,-0.015052978,0.067466274,-0.09279199,-0.011225987,0.07101942,-0.21117526,-0.015091632
0.07102639,-0.2111901,-0.015072186,0.068376064,-0.13349405,-0.011907179,0.070871845,-0.20796785,-0.015179742,0.07102738,-0.2111929,-0.015069921
0.07103765,-0.2112113,-0.015035827,0.07098487,-0.21109807,-0.01518007,0.07092656,-0.21099067,-0.015358303,0.07101372,-0.21116471,-0.015111078
-0.13452277,5.44079,0.041883126,0.07102599,-0.21119305,-0.015069131,0.06838775,-0.14725474,-0.014389049,0.0077735186,1.4850769,0.008104898
-1.1744587,34.20343,0.4180468,0.07103273,-0.2112019,-0.015055109,0.071028806,-0.21119392,-0.015062366,0.006513551,1.5061722,-0.0030418783
0.07103639,-0.21120712,-0.015037421,0.07094687,-0.21104479,-0.015253101,0.07102846,-0.21119338,-0.015064914,0.07099302,-0.21113071,-0.015178163
0.07103324,-0.21120685,-0.015049908,0.07105476,-0.21124554,-0.014981996,0.07105894,-0.21125457,-0.014974851,0.0708576,-0.20844877,-0.015219223
0.0710307,-0.21119729,-0.015059877,0.07104058,-0.21121505,-0.0150253065,0.071042314,-0.21121663,-0.015019912,0.07104173,-0.21121967,-0.015028518
0.07101124,-0.21115759,-0.015113357,0.071034074,-0.21120232,-0.015046727,-0.2119236,7.827109,0.11213641,0.07105793,-0.21124396,-0.014963929
0.071024574,-0.21118563,-0.015075181,0.07103016,-0.21119726,-0.015056703,0.07102928,-0.21118987,-0.015057843,0.07109159,-0.21131748,-0.014874551
