class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.029070187,-0.076682,-0.014048457,0.027611047,-0.07889153,-0.015657805,0.02721385,-0.07980919,-0.016124215,0.028431278,-0.07774925,-0.014663356
0.029097063,-0.076657735,-0.013986551,0.027958343,-0.07841721,-0.0152867045,0.02821877,-0.07810685,-0.01489007,0.028039925,-0.07835482,-0.0151476795
0.02820929,-0.07811831,-0.01490574,0.02795264,-0.07841787,-0.015296668,0.027848015,-0.07855445,-0.015411047,0.027080432,-0.0800322,-0.01616773
0.027414314,-0.07938072,-0.015786463,0.028304435,-0.07799572,-0.01477744,0.028877363,-0.07705536,-0.01417387,0.027271023,-0.07968933,-0.01605342
0.028590098,-0.07753381,-0.014475617,0.02902219,-0.07669975,-0.014082935,0.028743941,-0.077196404,-0.0143643655,0.029143343,-0.076491885,-0.01398409
0.028782874,-0.07716104,-0.014337115,0.027243033,-0.07975394,-0.01611576,0.028164841,-0.078180894,-0.0150161,0.027877871,-0.0785401,-0.015365227
0.02720911,-0.079835325,-0.016154006,0.028411426,-0.07778717,-0.014697455,0.028458208,-0.07768811,-0.014639932,0.027797945,-0.07862624,-0.015445912
0.027858457,-0.0785368,-0.015397368,0.02822321,-0.078097805,-0.014876915,0.027957896,-0.07845979,-0.015252496,0.02747989,-0.07930473,-0.015740227
0.028385669,-0.07786952,-0.014695464,0.028621916,-0.077434435,-0.014479963,0.02668681,-0.08068987,-0.017375648,0.02912392,-0.07656552,-0.013980272
0.028037392,-0.07835595,-0.015149806,0.028342923,-0.07789667,-0.0147699835,0.028650552,-0.077396005,-0.014444012,0.027253542,-0.07971482,-0.016068727
0.027661517,-0.07880044,-0.015632024,0.02724605,-0.079774566,-0.01610902,0.029301712,-0.07637511,-0.013846822,0.026947748,-0.08034448,-0.016203847
0.027766641,-0.078665026,-0.015524767,0.02763616,-0.07882567,-0.015645066,0.02888308,-0.07707569,-0.01422205,0.027730992,-0.07871221,-0.015525281
0.02739422,-0.079443745,-0.015820762,0.029425098,-0.07614259,-0.013774065,0.027648907,-0.07891849,-0.015617573,0.02796628,-0.078446835,-0.015245094
0.027575526,-0.07909792,-0.015682457,0.027649488,-0.078914285,-0.015612607,0.02809068,-0.07828073,-0.015073564,0.027607251,-0.07904531,-0.015657715
0.027739044,-0.07869864,-0.015553068,0.028185964,-0.078145005,-0.01498288,0.025869925,-0.080967456,-0.018301627,0.028381981,-0.077831894,-0.014718185
0.028093847,-0.078269474,-0.015112997,0.028462645,-0.077694744,-0.014637459,0.026919777,-0.08040881,-0.016364217,0.027418744,-0.079378754,-0.01579052
0.027682234,-0.07877043,-0.015598704,0.027426546,-0.079345934,-0.015767107,0.027520783,-0.07911768,-0.015720619,0.027408779,-0.07939767,-0.015804462
0.029123452,-0.07656157,-0.013971427,0.02731378,-0.07961841,-0.015958192,0.028620731,-0.07749042,-0.014445018,0.027622644,-0.07898976,-0.015643803
0.027271958,-0.07970645,-0.016058315,0.028986037,-0.07677325,-0.014077209,0.025896877,-0.08093448,-0.018207218,0.027095973,-0.07997122,-0.01623541
0.02827493,-0.07801758,-0.014858046,0.02859573,-0.07751631,-0.014459046,0.029359678,-0.076272584,-0.013833992,0.027704006,-0.07874198,-0.015560345
0.027654726,-0.07889968,-0.015608199,0.02835402,-0.07791576,-0.0147148585,0.02810649,-0.0782458,-0.0150958225,0.027322905,-0.07964982,-0.015994765
0.027324563,-0.07959782,-0.015942035,0.027987808,-0.07838006,-0.015257419,0.02691555,-0.080508575,-0.016905084,0.027639266,-0.0789333,-0.015620617
0.027164767,-0.07990652,-0.016194426,0.02766281,-0.07887325,-0.015605785,0.02712072,-0.080005,-0.016162038,0.028726429,-0.07727575,-0.014337152
0.027446728,-0.07928093,-0.015761856,0.027191082,-0.07985583,-0.016162222,0.028914366,-0.076954044,-0.014189046,0.02851718,-0.07766488,-0.014557072
0.027797531,-0.07862334,-0.015442794,0.02763455,-0.07885173,-0.01565093,0.02812745,-0.078238286,-0.015029771,0.02733024,-0.07957855,-0.015919717
0.02724883,-0.079721086,-0.01605791,0.02758229,-0.078964576,-0.015689753,0.027352948,-0.079579026,-0.015879711,0.02878042,-0.07721858,-0.014293126
0.02892988,-0.07695908,-0.014141141,0.029093731,-0.0765405,-0.014027005,0.025927555,-0.08091836,-0.01821995,0.027663678,-0.07886978,-0.015606722
0.027262624,-0.07971799,-0.016063929,0.027551666,-0.079050265,-0.01569352,0.028902441,-0.076922774,-0.014155112,0.028154219,-0.07818076,-0.015033701
0.028197654,-0.07813645,-0.01492288,0.029047292,-0.07663935,-0.014078036,0.026949441,-0.08045705,-0.01667155,0.028339993,-0.07789972,-0.014776565
0.02764689,-0.07882905,-0.01563639,0.029042386,-0.07676171,-0.014035793,0.028316451,-0.07795117,-0.014814823,0.027163098,-0.079907306,-0.01621348
0.028813915,-0.077063896,-0.014291234,0.028929263,-0.07689843,-0.014171502,0.0273923,-0.079479456,-0.01583548,0.02703463,-0.08008236,-0.016219698
