class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-1.7470833,0.19903216,2.9670818,-2.126508,0.21699688,2.6259234,-1.9595922,0.1353268,2.3044634,-1.9281218,0.1252567,2.246055
-1.9114382,0.26967567,3.1544743,-2.2526214,0.58003926,3.374733,-1.7645284,0.20768723,3.0134094,-1.988432,0.35017943,3.297149
-2.1259863,0.5929462,3.3492737,-2.211261,0.28753477,2.845539,-1.9256765,0.124291584,2.2411141,-2.0451577,0.1667591,2.454518
-2.1675687,0.5336137,3.4362652,-2.0120366,0.15334243,2.3945332,-1.91865,0.121761575,2.2280505,-2.2716322,0.55226386,3.3384216
-1.9244999,0.12384044,2.2388525,-2.4004028,0.42290077,3.2666805,-1.7829919,0.21031344,2.9995992,-2.178509,0.5204004,3.4493678
-2.2046785,0.59559464,3.3669262,-1.8977151,0.27859557,3.2044675,-2.3686395,0.38919348,3.1753495,-1.9389061,0.12919144,2.2706485
-1.7460071,0.19883046,2.9671135,-1.884726,0.25465786,3.1238601,-2.1085665,0.20329142,2.5839984,-1.9141312,0.12036429,2.2212644
-1.989926,0.14528821,2.355845,-1.9165897,0.12127007,2.227727,-1.9695466,0.31538612,3.2106674,-2.005183,0.15077615,2.3824399
-1.9462308,0.1325675,2.28218,-1.7624756,0.20327687,2.9786472,-2.2077935,0.2852497,2.8373907,-1.9142618,0.120400205,2.2212613
-1.9220754,0.123448685,2.2400227,-1.92188,0.12288536,2.233857,-1.9178225,0.121740304,2.2305758,-2.0391886,0.16420008,2.443503
-1.9197556,0.122139506,2.229989,-1.8240411,0.23441638,3.1048143,-1.9460431,0.32161754,3.2532575,-2.1334243,0.22390957,2.644488
-1.9620298,0.33273852,3.2683842,-1.9681804,0.14023057,2.3206716,-1.7997926,0.21665269,3.018955,-2.1673527,0.50117815,3.4358299
-2.3434556,0.3679645,3.1118903,-2.1255393,0.21397907,2.6217477,-1.9165509,0.12125531,2.2276351,-2.1334937,0.22390312,2.6445713
-1.9315706,0.12673034,2.2533548,-1.9653279,0.13922402,2.3157303,-1.9175276,0.121631555,2.2299297,-2.4054866,0.43022278,3.2844834
-2.31899,0.5363067,3.3610027,-2.3368068,0.5423122,3.408539,-2.4020374,0.46623662,3.3700545,-1.9041451,0.28360105,3.2118435
-2.2014935,0.59631443,3.3679318,-2.1471515,0.4628949,3.4105306,-2.339414,0.37992144,3.15333,-2.0713062,0.40600795,3.3867114
-2.1308167,0.22103098,2.6371007,-1.9317292,0.12680231,2.2536988,-1.9577094,0.13474566,2.3013299,-2.165162,0.49440077,3.4329846
-1.9296533,0.12589008,2.2492607,-1.9585648,0.33052123,3.2653975,-1.8556395,0.24033831,3.0885408,-2.1358669,0.46144772,3.4386823
-1.9324776,0.12714791,2.2553363,-2.3577452,0.37967134,3.1474054,-1.817681,0.23146182,3.0960824,-1.9801172,0.32530487,3.2208183
-2.402469,0.47818092,3.3893065,-1.9157271,0.12094348,2.2256398,-1.9419844,0.13100779,2.2742524,-2.3395784,0.36486444,3.1022053
-2.2018883,0.27445906,2.796221,-2.0701206,0.17833,2.5018566,-1.7459179,0.19884592,2.9674363,-2.2838995,0.54814655,3.3438003
-1.9157072,0.12082432,2.2232933,-1.7513739,0.20189568,2.9863157,-1.9279892,0.28032947,3.1719434,-1.8590082,0.2529418,3.1542146
-1.9141246,0.120361924,2.2211523,-1.856612,0.2513091,3.1501393,-1.9354728,0.2856179,3.1790233,-1.9838965,0.143212,2.3454893
-2.1549497,0.24676408,2.7053733,-2.185131,0.2697795,2.7823243,-2.162245,0.25274763,2.7243607,-1.9331366,0.12745291,2.2567246
-2.0890803,0.18840888,2.5397284,-1.9158487,0.1209894,2.2259405,-1.9733919,0.13971189,2.3276048,-1.9244858,0.12383744,2.2388062
-1.755576,0.20126662,2.972781,-1.9345789,0.12807633,2.2597723,-1.9144803,0.1204652,2.2215374,-1.9149169,0.120588735,2.2221367
-1.759128,0.20534514,3.0031793,-1.9141225,0.12036161,2.2212179,-1.9142216,0.12039606,2.2216277,-1.9166653,0.12130043,2.2279165
-2.2129388,0.2886508,2.8495643,-1.9781066,0.14365655,2.337808,-2.4021566,0.47728366,3.387809,-2.052901,0.17300175,2.4718482
-2.1761408,0.5966846,3.371617,-2.1762369,0.549894,3.4283242,-2.1393206,0.22890231,2.6604898,-2.1401217,0.574209,3.3923824
-2.3267577,0.54705137,3.4034772,-1.8244561,0.22660631,3.0496032,-2.3756196,0.4173977,3.2591827,-2.1057477,0.43332312,3.4180572
-1.9143162,0.12042563,2.2218888,-2.1795692,0.2607395,2.7509,-1.9178647,0.121499866,2.226714,-1.9151202,0.12064869,2.2224271
-2.2143142,0.28955472,2.852811,-2.0021167,0.34325597,3.2445424,-2.2526472,0.30480224,2.9026024,-2.0370703,0.16606072,2.442445
-2.092381,0.4094603,3.3489819,-1.9296137,0.12587322,2.2491775,-1.855653,0.2510899,3.149726,-1.7521404,0.2022587,2.9882462
-1.81891,0.23200715,3.097689,-1.812158,0.22157283,3.0345757,-1.8189106,0.23200727,3.097689,-2.1632512,0.5851493,3.3836849
-2.1654675,0.5910425,3.3768203,-1.7728418,0.21126248,3.0276277,-1.9083766,0.120930314,2.218401,-2.1710544,0.50353855,3.4523914
-1.9158014,0.12085284,2.2234347,-2.330861,0.35818714,3.0814059,-1.8877672,0.2711955,3.192115,-2.0806966,0.40085647,3.3343735
-1.8254465,0.2270217,3.050846,-1.9000996,0.2805162,3.2074044,-2.1049988,0.20083822,2.5760481,-1.7718679,0.20635726,2.9877703
-2.1992335,0.27285314,2.7907946,-2.387353,0.43207547,3.2970831,-1.8098843,0.22062194,3.0311418,-2.3949714,0.5014236,3.3888006
-1.9318382,0.12685223,2.2539363,-1.8297104,0.22882468,3.056199,-2.1410434,0.45516703,3.4035337,-1.7662059,0.20840102,3.0163515
-1.9260067,0.12519613,2.248823,-2.3024938,0.3487574,3.057163,-1.8640198,0.24425183,3.0982862,-2.3028872,0.55879617,3.3934653
-2.2189484,0.5915977,3.367017,-1.921421,0.12272203,2.2330077,-1.9487838,0.13350323,2.2868137,-1.9147489,0.120539665,2.2218997
-1.8559068,0.24046233,3.0888703,-1.9242461,0.12374693,2.238351,-2.2287893,0.29044032,2.851722,-2.3701015,0.39050967,3.1790903
-1.8644506,0.244525,3.0998147,-1.9263171,0.1245354,2.242409,-1.8538045,0.24993816,3.146918,-1.9759728,0.3216495,3.2169826
-2.3126462,0.3447466,3.0383227,-1.9891742,0.14502662,2.3545492,-1.9286749,0.12548536,2.2471879,-1.9792516,0.1440767,2.3398142
-1.9285474,0.12611994,2.253634,-2.3281028,0.54639256,3.4040384,-1.9279999,0.12520403,2.245823,-1.9286107,0.12545724,2.2470646
-1.7571036,0.20445779,2.9990652,-2.219631,0.59142214,3.3673952,-2.2266304,0.29758394,2.881633,-2.1823418,0.5811668,3.3089552
-1.9173965,0.12134982,2.225944,-2.3448937,0.38504514,3.168443,-2.0604858,0.17367454,2.4833038,-1.805255,0.22557472,3.077509
-1.9303954,0.12620418,2.2508583,-1.8186241,0.22419672,3.042475,-1.804225,0.22518925,3.0763779,-1.9447563,0.13087542,2.2800953
-2.0163074,0.15771464,2.4049625,-1.8327512,0.23876573,3.11739,-2.2970665,0.56150436,3.3909984,-2.148561,0.592309,3.3135035
-2.1650198,0.5761399,3.3958957,-2.1547716,0.59065735,3.3110042,-2.0072455,0.15430686,2.3889294,-2.1360443,0.22484529,2.6505475
-2.1071138,0.19963458,2.5781827,-1.864989,0.24478406,3.1004772,-2.4009864,0.48260048,3.3950663,-1.9168104,0.12116438,2.2250001
-2.140928,0.46644035,3.44147,-1.9159769,0.12103784,2.2262547,-1.7462,0.19884633,2.9669056,-2.200235,0.28016478,2.819288
-1.9214377,0.123169035,2.238557,-1.7513505,0.20188633,2.9862695,-1.9221283,0.12297465,2.2343142,-1.75351,0.20069593,2.9711955
-1.9432714,0.1314807,2.2767022,-1.9368091,0.28670245,3.181257,-1.8196338,0.2323902,3.0988867,-2.1277702,0.5885043,3.3624673
-1.7699279,0.20569511,2.9857981,-2.0447006,0.1665512,2.4536462,-2.0273511,0.3757165,3.3396947,-2.300341,0.34716085,3.0520122
-1.8188394,0.23187333,3.0971682,-1.8844198,0.26875883,3.187657,-1.9372064,0.12916432,2.2650592,-1.9636214,0.1365856,2.3111818
-1.842952,0.24388102,3.1312678,-1.7474498,0.1998975,2.9748323,-1.915221,0.12067858,2.222574,-1.8411921,0.24313536,3.1294234
-1.9458296,0.13118787,2.281826,-2.2241685,0.29596767,2.8758476,-1.9140687,0.12034739,2.2210672,-2.0599887,0.17624265,2.4852192
