class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.4088707,-0.5509927,0.057088587,-0.45079637,0.4331626,-0.06160551,-0.4201858,0.4394157,-0.008539897,0.28496757,-0.38450536,0.037736777
-0.45078373,0.4331568,-0.06161013,-0.45078778,0.43315828,-0.06160758,-0.45078242,0.43315637,-0.061608713,-0.45009196,0.43291524,-0.061754655
0.28711182,-0.387557,0.038560797,-0.49128008,0.427614,-0.07705295,-0.45078033,0.43315753,-0.061606552,0.02160386,0.03481242,0.05512194
0.28513578,-0.3845979,0.037877116,0.32931697,-0.4661795,0.08634812,0.28448027,-0.38236266,0.038319778,0.33817416,-0.44655842,0.048641775
0.2851357,-0.38459754,0.037877213,-0.45263588,0.43379888,-0.06120194,0.13791421,-0.10913769,0.062606566,0.23005198,-0.25625622,0.05807242
-0.45078433,0.4331589,-0.06160931,0.2870733,-0.3875019,0.038546372,-0.45078683,0.4331581,-0.06160694,-0.4507851,0.4331565,-0.06160983
-0.45264047,0.43380314,-0.06119929,-0.50374734,0.4139396,-0.082234874,0.28919476,-0.39044672,0.03938816,0.28513652,-0.3845981,0.037877817
0.40548885,-0.5471662,0.07024142,-0.4517039,0.4334781,-0.061408322,0.29226944,-0.3930808,0.041436452,0.28496805,-0.38450646,0.037736703
0.28487694,-0.38375652,0.03803693,0.2852825,-0.38467732,0.038000297,0.28508168,-0.3845685,0.037831668,0.01701165,-0.12100189,0.047929924
-0.45078552,0.4331581,-0.06160937,-0.45263714,0.43380082,-0.061199214,0.28496766,-0.38450575,0.0377365,0.2852823,-0.38467735,0.037999865
0.38719958,-0.52423537,0.046090145,0.2913162,-0.38479304,0.04460259,-0.4486848,0.4324111,-0.06204666,0.40991366,-0.5517871,0.06256405
-0.45263445,0.43379402,-0.061205115,-0.4204859,0.4402182,-0.007483271,-0.44920456,0.43260702,-0.06192681,0.2851373,-0.3845986,0.037878472
-0.45006204,0.36133856,-0.066938356,0.28523275,-0.38475978,0.03790288,-0.45077962,0.43315387,-0.061611246,-0.4501142,0.43505144,-0.059252437
0.2917304,-0.38238347,0.046374504,-0.45079422,0.43316016,-0.061605956,-0.44868433,0.43241015,-0.062047612,-0.44684076,0.4370419,-0.055036645
0.2898432,-0.3770324,0.04734702,0.2851366,-0.3845979,0.03787804,-0.4486838,0.43241012,-0.06204715,0.28508055,-0.384568,0.037830878
-0.4510681,0.43316522,-0.06173555,0.28530288,-0.3847115,0.038005453,0.28513575,-0.3845976,0.037877385,-0.4486916,0.43241423,-0.0620459
-0.45303917,0.43324387,-0.06257415,-0.45171094,0.4334812,-0.061404925,0.28499424,-0.38028345,0.03996112,0.38319463,-0.5182436,0.045955572
0.28528297,-0.3846778,0.038000416,0.30551672,-0.40127102,0.047148842,0.2850095,-0.38452703,0.037772615,0.28502476,-0.3845371,0.0377844
0.27172005,-0.33680224,0.052626166,-0.43050933,0.44209808,-0.019772155,-0.45078158,0.43315881,-0.06160718,0.058134973,-0.016627796,0.054401625
0.3514995,-0.49010968,0.08532407,0.28549105,-0.3851107,0.03801248,-0.45078456,0.4331598,-0.06160673,-0.4500935,0.43291676,-0.06175193
-0.45078194,0.43315822,-0.06160642,0.102905974,-0.066178136,0.060108025,0.29331023,-0.38694823,0.045195643,0.22770485,-0.25155994,0.05835036
0.28513554,-0.38459736,0.037877116,0.2851363,-0.38459802,0.037877608,-0.45010412,0.4329195,-0.061751675,-0.44942367,0.4326709,-0.06191052
0.28513604,-0.38459745,0.0378776,0.2851367,-0.38459852,0.037877645,0.28815556,-0.38120097,0.04295448,0.29372147,-0.39237896,0.043395165
0.2852823,-0.38467646,0.03800046,-0.4526397,0.43379828,-0.061203357,0.2849676,-0.38450593,0.037736516,0.28505456,-0.38458705,0.03779209
0.29209438,-0.39295462,0.04130839,-0.4507913,0.4331595,-0.0616063,0.2852049,-0.3847129,0.037895773,0.28453863,-0.38240716,0.038361948
-0.45078206,0.43315655,-0.06160946,-0.45263946,0.43380043,-0.061200734,0.29066032,-0.3919479,0.04024112,-0.44868934,0.43240526,-0.06205083
0.28528297,-0.3846778,0.038000543,-0.13115172,0.041608885,0.016911203,0.28496793,-0.38450652,0.03773636,0.28508276,-0.38457137,0.037831534
-0.4527545,0.4338028,-0.061255094,0.28934687,-0.38241616,0.043644276,-0.44869155,0.43241414,-0.06204548,-0.44940132,0.43266806,-0.06190076
-0.45077652,0.4331531,-0.061609726,0.29292053,-0.39315152,0.042118218,-0.4507805,0.43315926,-0.061606776,-0.45009172,0.43291098,-0.0617575
-0.45263797,0.4338006,-0.061201405,-0.45139706,0.43318614,-0.061865386,-0.25207514,0.16913015,-0.013101351,-0.4511637,0.4327371,-0.062662914
0.28513557,-0.38459742,0.037877116,0.291569,-0.3851182,0.044716466,0.3185147,-0.4185393,0.048134718,0.28508043,-0.38456762,0.037830997
0.29040378,-0.39161724,0.04012767,-0.45079577,0.4331631,-0.06160381,0.28977326,-0.39103952,0.03972516,0.29384422,-0.39175448,0.043849636
-0.45263565,0.43379885,-0.061202522,-0.45078844,0.4331579,-0.06160819,0.28539133,-0.38521475,0.037848342,0.36725694,-0.50700474,0.08351615
-0.45078373,0.43315607,-0.06160816,0.28513652,-0.38459808,0.037877757,-0.4486847,0.43240577,-0.06205241,0.28534612,-0.38478467,0.038016457
-0.45276654,0.43380588,-0.061256777,0.28513664,-0.3845982,0.037877966,0.28503126,-0.37993622,0.040177856,-0.44821125,0.43647963,-0.056492712
-0.41920906,0.4414637,-0.008314383,0.2851367,-0.38459855,0.037877697,0.2850815,-0.38456836,0.037831817,0.28502506,-0.38453725,0.037784714
0.30732208,-0.4423818,0.08624628,-0.45079422,0.43316004,-0.06160788,-0.45036155,0.4345716,-0.059955146,0.28480518,-0.38024873,0.03976916
0.29093716,-0.39203817,0.040501785,0.28513634,-0.38459793,0.037877772,-0.44868165,0.43240914,-0.062047016,-0.45235115,0.43489844,-0.059966814
-0.45264035,0.4338017,-0.061200123,0.28520948,-0.38463748,0.037939083,0.39440358,-0.5338444,0.04735147,0.28502524,-0.38453776,0.037784573
0.28544068,-0.38510883,0.03795735,-0.45322704,0.4332466,-0.06265536,0.21963327,-0.23603934,0.05913933,-0.44930655,0.4332625,-0.061299797
0.29148823,-0.3850134,0.04468057,-0.45304656,0.43324792,-0.06257361,-0.45278734,0.43302244,-0.062902614,0.28528234,-0.38467675,0.03800031
0.28513557,-0.3845974,0.03787722,0.2936851,-0.39247546,0.043305885,0.2844602,-0.38183045,0.038572457,0.3587467,-0.47829056,0.047938783
-0.45078278,0.4331567,-0.061608683,0.2853831,-0.3848462,0.038026426,0.2850656,-0.38017532,0.0400949,-0.4507872,0.4331571,-0.06160968
0.28528243,-0.38467687,0.03800037,-0.45170832,0.4334821,-0.061404686,0.284999,-0.3845592,0.037744362,-0.44868714,0.43240798,-0.062049698
0.288234,-0.38127482,0.043003026,-0.45183206,0.4331988,-0.06205667,-0.44868708,0.4324131,-0.062046718,-0.4354893,0.4431843,-0.030115156
0.28864878,-0.38167927,0.043252412,-0.45170957,0.43347755,-0.061410915,0.28513706,-0.3845988,0.037878115,-0.4500922,0.4329161,-0.061752226
0.2889381,-0.3900443,0.039310362,-0.4517091,0.43347868,-0.0614081,-0.4501052,0.43291667,-0.06175567,0.285025,-0.38453764,0.037784357
0.30349708,-0.43806493,0.086244956,-0.45078844,0.4331626,-0.06160417,0.28496742,-0.38450617,0.03773618,-0.45008904,0.43291157,-0.061757382
-0.4507897,0.43316045,-0.061605837,0.28513658,-0.3845982,0.03787787,0.28501004,-0.384529,0.037772108,-0.2743495,0.35107267,-0.0056688758
0.28528273,-0.38467768,0.038000096,0.28513733,-0.38459912,0.03787804,0.29379487,-0.39206964,0.043634158,0.28508103,-0.384568,0.03783134
0.28528214,-0.3846764,0.038000215,0.28530645,-0.38471705,0.038006585,-0.44921178,0.43259674,-0.061927136,-0.45078242,0.43332118,-0.061465275
0.2938707,-0.39045727,0.04454377,-0.4526412,0.43380082,-0.061200347,0.28508145,-0.38456815,0.037831824,0.2850812,-0.38456875,0.037831184
0.28594428,-0.38577396,0.038178016,0.28513622,-0.384598,0.03787766,-0.4486904,0.43241048,-0.062048104,0.28508085,-0.38456827,0.037830953
0.28514412,-0.38461247,0.03787901,-0.45170856,0.43351582,-0.061380517,-0.44921136,0.4326027,-0.061936643,0.28502494,-0.384537,0.037784692
-0.4526341,0.4338011,-0.06119963,0.28513628,-0.3845976,0.03787793,0.2851377,-0.38460106,0.037877787,0.28848934,-0.3815184,0.043159027
0.28578234,-0.38566935,0.038051028,-0.4507919,0.4331606,-0.061607253,0.28501022,-0.38452977,0.037771787,0.28508028,-0.38456768,0.03783061
0.28513563,-0.38459763,0.037877034,-0.49274242,0.42612666,-0.078544244,-0.44722193,0.43758392,-0.05421188,-0.47885072,0.43024975,-0.074318185
-0.44886863,0.4367463,-0.05627645,-0.45078844,0.4331624,-0.0616039,-0.46430928,0.43299502,-0.067511514,-0.4486881,0.43241376,-0.062044423
-0.36855924,0.37231395,-0.04054823,-0.4744146,0.4317541,-0.07173452,0.33217502,-0.43789977,0.04855213,-0.4507743,0.43315473,-0.061608773
0.2888319,-0.3898194,0.03930835,0.28528243,-0.38467735,0.038000043,0.2863508,-0.386729,0.03813878,-0.44939727,0.4326672,-0.061898928
0.2851364,-0.38459814,0.037877712,-0.45235348,0.43350384,-0.061687734,-0.4500817,0.43291363,-0.06175525,0.28520834,-0.38463673,0.037938323
