class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.08404591,0.08739942,0.019156916,0.08404805,0.08778435,0.018609904,0.08408801,0.08747323,0.01848041,0.08410297,0.08739624,0.018245865
0.08402975,0.08752516,0.018458266,0.08416206,0.08785497,0.018686328,0.0839966,0.08763044,0.018879684,0.084199876,0.08785465,0.01890681
0.0838927,0.08761396,0.018583694,0.08396466,0.0876402,0.018476091,0.08395337,0.08718003,0.018416027,0.08405057,0.08772841,0.01875145
0.08397459,0.08784684,0.019139925,0.084176265,0.08749868,0.018527696,0.08403002,0.08732151,0.018212214,0.083965465,0.087449,0.018691791
0.08408438,0.08765545,0.018534956,0.08405287,0.08762215,0.018624254,0.084025115,0.08767643,0.01872748,0.08392493,0.08762,0.018401928
0.084186785,0.0881411,0.019111998,0.084149785,0.0879512,0.018713122,0.08426032,0.0878583,0.018674318,0.08422907,0.08783226,0.018722402
0.08407224,0.08741224,0.018371167,0.083976015,0.087715715,0.018465282,0.08408241,0.087234505,0.01843802,0.08336639,0.08792943,0.018907836
0.0836792,0.08764644,0.018692164,0.084046975,0.08755415,0.018531859,0.084032975,0.08763322,0.018531466,0.08409841,0.08729075,0.018157694
0.08400203,0.08765118,0.018422427,0.084104344,0.08795593,0.018752385,0.084110625,0.08746149,0.019066606,0.08399032,0.08754269,0.018648382
0.08384217,0.08780298,0.01875389,0.083998606,0.087717116,0.01851651,0.083898574,0.08791596,0.019409927,0.08410087,0.0876771,0.018682992
0.08420506,0.08777013,0.018636858,0.08401394,0.087689206,0.018550074,0.084000275,0.08758852,0.01840242,0.08418462,0.08773953,0.018741174
0.08409187,0.08766661,0.018581746,0.08410544,0.087668814,0.018422762,0.08405349,0.08737544,0.018231895,0.083870515,0.08768078,0.01883511
0.084117256,0.08765717,0.01844422,0.08407106,0.08774343,0.018535603,0.08405798,0.08756558,0.01879726,0.08398791,0.08770366,0.01863374
0.08385564,0.088018954,0.019079713,0.08401666,0.087588444,0.018560996,0.08391954,0.08780063,0.018751172,0.083919816,0.087640345,0.01867637
0.084071,0.08743976,0.01836071,0.08394625,0.087956846,0.018709289,0.08411067,0.08794899,0.018906364,0.08415533,0.08768905,0.018501868
0.08405623,0.08763399,0.018553127,0.084057406,0.08769203,0.018731687,0.084079824,0.08708944,0.018036123,0.08409341,0.08764504,0.018571382
0.084177844,0.08763402,0.018740676,0.08407334,0.08765267,0.018596336,0.08387629,0.087587304,0.018577682,0.0841551,0.08769268,0.018663328
0.08409753,0.087461784,0.018840402,0.0838633,0.08734588,0.018542819,0.08402567,0.08761181,0.01865658,0.084143244,0.087442055,0.018867178
0.083963245,0.08766011,0.018743062,0.08394906,0.08764332,0.018587604,0.08408496,0.08705641,0.018089239,0.083615765,0.08721157,0.01912215
0.08410108,0.08761937,0.018645413,0.084340155,0.088213615,0.018707087,0.0840972,0.08784104,0.018798834,0.0840314,0.087578274,0.018568894
0.08430968,0.08771129,0.018873207,0.08414103,0.08769127,0.01861598,0.08404005,0.087316126,0.018436702,0.08407637,0.08759424,0.01848248
0.084022634,0.08759287,0.018790442,0.08409637,0.08744915,0.018392554,0.0838366,0.08792849,0.019080184,0.084080465,0.087376915,0.01840788
0.08384067,0.08793452,0.01889966,0.08415196,0.08798174,0.018763766,0.08407709,0.08778926,0.01865695,0.08392529,0.08759874,0.018467152
0.084050745,0.08777243,0.01876714,0.08403053,0.08771502,0.018754762,0.083898194,0.08754839,0.01862782,0.08408395,0.08797027,0.018901031
0.08409922,0.08759225,0.018560598,0.08397465,0.08773444,0.018484848,0.08400884,0.087714106,0.018687777,0.083961725,0.08761687,0.018563526
0.084032975,0.08776824,0.01856331,0.08411119,0.08773309,0.018605325,0.08401767,0.087790035,0.018826617,0.084035166,0.08728272,0.018268434
0.08381507,0.08791608,0.018983088,0.084131606,0.08760159,0.01847247,0.084118865,0.08787549,0.01879384,0.08386573,0.08743659,0.018785875
0.08381765,0.08790598,0.018707607,0.08417648,0.08774091,0.018634956,0.08374426,0.08768412,0.018699735,0.08372157,0.08799749,0.018987883
0.08367816,0.08785172,0.018974936,0.08398216,0.087529846,0.018585445,0.084097825,0.087444305,0.018685242,0.0840769,0.08769117,0.01866484
0.08392543,0.0876645,0.018312544,0.08402413,0.08755647,0.01859915,0.083922096,0.08768053,0.018626176,0.084055774,0.08754177,0.018700572
0.084105164,0.087791175,0.018594887,0.0839969,0.08761255,0.018515548,0.08407111,0.08750002,0.018612336,0.0840717,0.08767814,0.018614879
0.0841126,0.08764684,0.018797481,0.08410074,0.087708436,0.018668856,0.08403874,0.08742738,0.018259276,0.08393876,0.08756985,0.0186149
0.08368826,0.08751886,0.018963393,0.08404789,0.08732404,0.01815933,0.08400191,0.087535255,0.018580517,0.08397277,0.08757076,0.018344758
0.08395841,0.08770871,0.01873706,0.08405916,0.08772421,0.018545853,0.084075674,0.08786997,0.01879428,0.0838935,0.08770913,0.018743107
0.083563104,0.08751227,0.018838905,0.08421182,0.087923035,0.018711885,0.08412943,0.08795855,0.01888125,0.08411804,0.08778286,0.018754682
0.08406788,0.08726197,0.018209673,0.084165476,0.08784546,0.018675726,0.083932556,0.087629996,0.018473221,0.084043644,0.08754793,0.018469498
0.084118545,0.08762389,0.018459462,0.08404082,0.08764157,0.018441116,0.08406271,0.08768051,0.018459521,0.084075674,0.08747595,0.01854317
0.08415261,0.087616414,0.018506056,0.08393156,0.08767767,0.018757198,0.08418417,0.08784792,0.018944133,0.083983876,0.08775742,0.018609574
0.08409696,0.08755137,0.01839986,0.08412119,0.08749499,0.018415552,0.084153906,0.087155946,0.01803474,0.084204994,0.08771355,0.018826252
0.08413888,0.08765914,0.018453017,0.08402048,0.08768553,0.018570513,0.08401553,0.087745816,0.018569984,0.084032536,0.087750554,0.018635642
0.083998896,0.08759982,0.018484754,0.08368242,0.08628847,0.017729733,0.083943844,0.08744993,0.018780444,0.08413889,0.0874005,0.018729664
0.083784804,0.08760012,0.018854974,0.084046625,0.087632835,0.018726371,0.08399506,0.08769105,0.018634222,0.08411686,0.0875389,0.019061442
0.08398254,0.08781865,0.018753272,0.08408277,0.0874878,0.018593144,0.0838263,0.087750524,0.019237308,0.08386618,0.0876672,0.01839734
0.08399289,0.08769013,0.018548107,0.08412213,0.08726852,0.018363297,0.08411312,0.08769993,0.01849049,0.08396153,0.08753424,0.01870493
0.0840735,0.087714136,0.018624164,0.084018104,0.08785009,0.018719703,0.084041424,0.08725951,0.018204464,0.084139585,0.08766802,0.018589333
0.08418444,0.087461695,0.018954562,0.084706716,0.088739075,0.018762957,0.08390505,0.08767302,0.01900973,0.08387259,0.087819375,0.01876566
0.08407017,0.087424554,0.018375138,0.08400939,0.0876576,0.01854067,0.08382179,0.08762579,0.018801598,0.08413635,0.08729755,0.01865686
0.08405428,0.087695554,0.0185872,0.08397596,0.08757983,0.018522479,0.08406611,0.0876002,0.018883094,0.08396378,0.08755798,0.018492572
0.084033005,0.08745511,0.018343156,0.08421129,0.08803974,0.018769436,0.083834685,0.087434575,0.018560778,0.084012695,0.08759662,0.018474102
0.08392683,0.08796558,0.018772138,0.084186204,0.08751626,0.018496528,0.08411637,0.08772408,0.01864999,0.08382151,0.08771383,0.01891286
0.08421211,0.08779854,0.018653046,0.0841016,0.08748366,0.01858264,0.0838416,0.08763159,0.018921152,0.08421392,0.08765523,0.01913704
0.08413717,0.08763246,0.01847831,0.083877616,0.087718695,0.018646568,0.08388666,0.08783166,0.018607995,0.08417801,0.08767655,0.018734895
0.0840486,0.08777314,0.019026479,0.08401845,0.087281875,0.018458614,0.083982676,0.08757574,0.018469334,0.08392809,0.08766085,0.0186046
0.084008455,0.087664925,0.018629204,0.08411471,0.08777042,0.018709455,0.084041275,0.087679185,0.018708486,0.0840576,0.087196976,0.018106785
0.08411906,0.08778637,0.019153798,0.08400471,0.08774783,0.01855463,0.08394445,0.087614395,0.018569892,0.08415655,0.08753122,0.018483913
0.08363892,0.08794169,0.018626466,0.08425748,0.08783929,0.018655699,0.08409495,0.08816954,0.018978734,0.08400063,0.0876583,0.018591275
0.08409162,0.087717384,0.018614642,0.084017456,0.08763762,0.018502735,0.08402036,0.08733696,0.018176425,0.084042214,0.08757896,0.018624771
0.08408028,0.087419145,0.018443404,0.08396281,0.087672055,0.018615237,0.08395027,0.08774768,0.01873992,0.08390783,0.08837902,0.018972171
0.08404055,0.087497294,0.018578071,0.08406898,0.08773812,0.018538645,0.08404715,0.08764054,0.018809343,0.08408515,0.08756838,0.018612232
0.08393268,0.08773474,0.018477995,0.08402922,0.08781308,0.018785603,0.08403439,0.08763934,0.018838594,0.08386475,0.08762702,0.018560989
