class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
1.4114772,-0.4665674,1.6141583,-10.343446,-5.743055,-24.558435,0.7756459,-2.9725628,1.5148051,-0.63513255,-0.5136305,-3.4104652
13.760502,-1.9157037,28.962715,-13.500961,-5.0543365,-30.596891,-12.873252,-5.563044,-28.258041,6.680347,-2.5703144,14.968199
14.557866,-2.441132,30.512112,-13.3514185,-4.4690323,-30.17054,-0.11071335,-0.3676905,-2.4753141,-2.1945722,-3.6406622,-5.3092356
-0.5245382,-0.52268636,-3.0982842,-0.7119851,-0.5350946,-3.7128468,2.178987,-3.286419,2.5057025,-7.3172617,-5.34251,-17.828587
-0.9532349,1.4965379,-3.2788582,-14.981956,-5.9821005,-33.319683,0.47751588,-0.29171288,-0.96898913,-0.49556506,-0.8748901,-3.3233337
10.505248,-3.2118068,21.522018,-1.851653,1.0262339,-5.154907,9.008364,-2.1126337,19.704739,-0.97023404,-4.135629,-1.2678648
11.19766,-2.5405178,23.49622,-14.951794,-4.973641,-34.18352,3.9236975,-3.598764,7.8211937,-5.5451417,-4.827772,-12.130279
-1.2425534,1.4043154,-4.0453463,-15.645122,-5.7346168,-36.029896,-7.9163356,-5.541028,-19.014198,-10.907686,-5.584206,-24.392868
14.693286,-1.7548624,31.370789,-4.4964175,-2.2950153,-11.949652,-5.203845,-4.454507,-11.899693,5.6038747,-3.2335963,11.030493
12.068833,-1.627371,25.898296,-13.386483,-6.1286774,-30.135647,-16.11724,-5.5651035,-36.557453,11.010136,-1.9786044,23.039055
18.392311,-1.2369348,39.077206,-10.777903,-5.167023,-24.446175,-2.9117885,-3.8136625,-6.5633855,-5.8539414,-4.9400506,-13.404658
6.202497,-3.6679993,11.804481,-13.623225,-5.064495,-30.544693,0.9570492,-3.7481308,1.2528071,3.8227146,-3.005032,7.901744
16.186947,-1.121376,33.60861,-16.116663,-6.532583,-36.817608,11.267812,-0.42507708,24.711102,3.306375,-3.4396048,5.9176865
13.756543,-2.4397373,29.219328,-10.258265,-5.5264254,-24.627398,-10.811097,-5.5806594,-24.548815,-0.86955106,-0.31486744,-4.1242304
16.67591,-1.7037007,35.35791,-11.560384,-3.8508506,-26.048191,9.676284,-2.102078,21.222692,-4.1902194,-4.506853,-10.15607
-1.1616646,-0.8087008,-4.8611193,-8.808948,-3.6129618,-19.893465,-9.679333,-5.3944864,-23.029877,-0.4611801,-0.40074408,-3.21003
15.88779,-1.789383,33.832775,-9.190794,-3.8732052,-21.510513,11.4998255,-2.0854998,24.696259,-0.52533925,-0.5012027,-3.072353
11.596618,-1.1292747,24.730774,-0.7000493,-0.31540495,-3.7811432,-3.855448,-4.7179236,-9.757269,-5.5918484,-4.2792363,-12.754077
12.770244,-1.9787964,27.017008,-0.33487326,0.55942297,-1.478558,2.6222644,-3.9771447,5.051762,-4.477881,-3.3735304,-10.3798895
0.5668809,-2.555225,0.7252295,-6.542953,-6.0810566,-15.605807,-1.8224009,-0.8988117,-5.4102917,7.026665,-2.863761,13.966669
3.715704,-1.9538921,7.926794,-12.818601,-5.133243,-28.845398,-2.6971788,-4.506479,-6.241624,0.37764084,-4.454259,0.37321383
13.674384,-1.8558489,28.559952,-14.053654,-3.8135161,-31.484718,0.60276806,-0.56544507,-0.7113366,4.974591,-2.3433566,10.003935
16.851921,-1.7281648,35.684193,-16.083979,-6.7118254,-36.121006,7.6414075,-1.9085745,16.838003,9.351567,-1.7251831,19.516897
15.740579,-2.0906382,33.126835,-0.7414554,-0.27892792,-3.8272686,7.607367,-2.5490408,16.556309,6.5743046,-2.4382458,12.5281925
14.194444,-1.8274294,30.526402,-6.4494042,-3.6539993,-16.729822,12.866514,-1.4255373,27.41343,-19.411549,-5.688299,-42.86847
2.5994282,-2.917417,4.812152,-0.9519497,-0.41339284,-4.427581,15.368128,-0.924194,32.169228,15.041654,-1.3885354,31.78874
-1.2635912,1.5282784,-3.9276738,0.13738485,-0.537197,-1.8674375,1.6698962,-0.7442043,1.694784,0.9937357,-3.5365996,0.06704074
1.4427389,-0.9682325,1.3099041,-15.182254,-6.348133,-34.9257,-6.6968102,-2.9995193,-16.131031,-9.101539,-3.521514,-20.769445
2.6819594,-2.5064692,5.3943787,-8.034016,-4.143225,-19.995636,4.6358,-3.3042212,9.139417,9.226356,-2.3365932,18.79261
9.180958,-3.4287558,18.575556,-8.5489645,-4.6618733,-19.25467,4.8655434,-2.499444,9.865512,10.634109,-2.2039757,21.369184
14.5207405,-1.1270572,29.704407,-14.528558,-5.8786535,-32.95738,10.8708105,-1.9134427,22.161795,6.371119,-2.5811086,13.1877775
16.961287,-1.1438463,36.57188,-3.5008829,-1.2648696,-9.166844,-6.4974933,-5.134849,-15.632255,2.7977529,-2.8765373,3.8368316
4.6318464,-2.7002325,9.747997,-1.3629295,-2.1233249,-4.3781004,12.836896,-1.7985677,26.21761,1.9813749,-3.7397122,3.1619802
14.216683,-1.4807631,30.135231,-11.569975,-3.7186394,-25.964146,14.956306,-0.04756254,30.957077,-14.472693,-5.012479,-32.417515
5.443786,-2.610042,10.83776,-1.9120563,-4.314483,-5.1117387,0.55027527,-0.5281782,-0.872517,-10.048314,-5.0744386,-22.639748
14.061122,-1.5577222,30.578926,-2.7634838,-4.5403147,-6.8270826,8.041618,-2.4684224,17.148895,12.76739,-1.0795596,27.170568
5.5331225,-1.8423339,11.625776,-15.860082,-5.0189533,-36.081463,12.726092,-1.7831956,26.232822,-4.0604815,-3.3770404,-10.255
16.23686,-1.1625339,34.62352,-9.331481,-4.4815874,-21.457998,-0.2898624,-2.0691242,-0.035833597,8.040052,-1.6903642,16.771215
13.357339,-2.2724118,28.054455,-10.876607,-3.864923,-25.26218,7.8070135,-2.169684,17.296387,1.3077327,-3.7249985,1.1900566
6.967765,-2.2007122,14.121881,0.34517235,-2.7306662,-0.4486673,0.12856133,-2.74653,-0.6608083,5.51768,-2.8917313,10.940722
5.16219,-3.0746713,10.506203,-4.995567,-1.5648433,-12.865581,-1.3823007,-3.79461,-4.032507,2.534215,-1.245084,3.9064455
16.510996,-1.0776501,34.493557,-14.605114,-5.658371,-32.594265,-0.45709908,-0.42373317,-3.2097359,1.6778191,-3.549634,3.2753248
12.07974,-1.4664625,26.417404,-15.0356455,-6.553625,-33.803272,3.5705423,-1.9168152,6.2697473,2.480079,-2.5392003,4.019017
2.1016831,-2.5383778,3.7883239,-7.6609,-4.0683327,-17.589417,16.44851,-1.1484493,34.355965,7.367642,-2.1098523,16.303896
10.057427,-3.2621384,20.445671,-16.075228,-5.9356084,-36.272728,-3.3822312,-4.2985535,-7.4061356,-9.95943,-4.2658906,-22.907791
-0.8445897,-0.39326763,-4.097454,-5.4878807,-4.1515493,-12.928525,17.554878,-0.73672354,37.39441,0.95114803,-3.7399378,0.2268849
5.820708,-2.396009,11.943946,-5.884887,-3.7545018,-15.31883,0.08792026,-2.4692793,-1.5565752,-6.218509,-3.059966,-13.937129
17.474442,-0.43462276,36.056377,-0.98596513,-0.3595208,-3.0748644,-1.6428059,-3.525391,-4.882704,-0.09548454,-0.5082222,-2.434814
14.726312,-1.5171505,31.626926,-10.803885,-4.8476934,-24.414642,-2.134791,-3.9599237,-5.953359,3.7900841,-2.9874244,7.806514
15.5355425,-1.6727856,32.684,-5.998454,-2.8658624,-13.697824,12.848413,-1.1894447,27.741156,9.891618,-2.0054655,22.088953
14.913812,-1.9360429,32.113262,-5.3026557,-5.187869,-12.62659,6.779844,-1.2260083,13.192676,-3.2965035,-3.962627,-7.45072
8.988796,-3.4421701,18.127392,-15.429779,-5.1695876,-34.82673,15.367908,-1.9894341,32.442352,12.711404,-1.9324983,26.28339
3.5398333,-1.3799402,6.089222,-4.688724,-4.1730285,-10.020276,5.7544374,-2.2285604,11.955705,0.1253679,-3.9921494,-0.6833867
13.627049,-1.771792,28.83035,-14.652907,-5.5157523,-32.805515,-9.039293,-4.5204506,-20.539482,6.6437354,-2.6729078,13.856863
4.467638,-3.7934551,7.728405,-1.0113155,-0.37616366,-4.485673,13.813304,-1.8949126,29.200066,11.001304,-0.9658536,23.887913
-0.4482854,0.043770313,-2.973754,-6.9550056,-5.463533,-16.659607,-0.8312716,-0.43170977,-4.0728884,-3.4696138,-2.4847803,-9.270716
12.692504,-1.6513954,26.979477,-11.534956,-4.4137955,-26.55822,3.7155757,-2.5093613,6.721773,-10.208769,-5.1658125,-23.172485
6.0846043,-2.2239237,12.397519,-12.807484,-4.7235355,-29.543533,7.3984904,-2.2469797,14.864535,-9.46037,-4.874367,-21.899624
1.8047651,-3.0122204,3.011847,-0.66578865,-0.29647887,-3.5513687,-0.08656888,-0.56046593,-2.1430936,-14.788124,-5.622757,-33.18782
13.745854,-0.6929505,27.01455,0.28483152,-3.7754393,-1.1595482,-0.26461905,-3.1559286,-1.8842078,8.404136,-2.008644,17.663475
13.602327,-1.5080262,28.483547,-5.6633954,-3.754931,-13.514354,-3.5277526,-4.484647,-8.12814,-5.203688,-3.8460617,-12.128813
-1.5657946,-3.616953,-4.3181477,-17.817656,-6.6867456,-39.830235,13.694984,-1.1715722,29.045696,2.7029793,-2.3360147,4.888184
10.090079,-3.2659988,20.49909,-18.815958,-6.7787824,-42.581028,8.293996,-2.1444707,17.739319,3.203987,-3.1350102,6.2339916
5.2527537,-2.721713,10.753001,-8.173301,-4.162817,-18.907097,5.2534523,-3.507142,9.618904,1.0165645,-3.330213,1.639523
17.810043,-1.2578981,38.30778,-3.1374738,-1.8141242,-9.678143,6.644858,-2.3151093,13.890637,-0.77365375,-0.39288712,-3.946082
6.5697484,-2.2275572,13.382535,-3.0117493,-4.2107363,-7.701833,-7.5076904,-4.3742557,-17.540226,8.6087885,-2.1038647,17.455765
16.618399,-1.7526735,35.263317,-12.382174,-4.9142523,-28.341555,15.458735,-2.0441241,33.051765,-0.53761506,-0.46407223,-3.4372091
17.81868,-1.1519281,38.12442,-1.1697198,-4.3451004,-4.6051207,-7.6994243,-4.919339,-18.586021,7.6165576,-1.8382365,14.7678585
0.8595563,-0.8970934,0.2119143,-12.883935,-5.4866767,-29.596,-0.7392613,-0.34174204,-3.822289,-0.49117965,-0.258291,-3.2555957
17.122759,-1.4205503,36.416965,-9.617487,-5.253503,-22.278728,9.839377,-1.1934325,20.888847,0.9568908,-2.5873384,2.1538324
-2.8513715,-2.3994036,-6.3550525,-13.660074,-4.1931396,-31.135708,-9.315971,-5.4952755,-21.63923,8.490768,-2.3375492,16.4979
-1.2236269,1.5802454,-3.799487,-1.306175,-0.40991324,-5.168728,-1.701332,-4.0993075,-4.4798107,5.082792,-2.5797558,11.259449
1.0147452,-0.87593997,0.45946765,-3.5553837,-3.0116558,-8.588201,4.4486976,-3.105053,8.223375,-2.4493873,-3.7511663,-7.271497
15.568888,-1.3223544,33.33906,-2.4796665,-3.9356775,-7.6442394,15.284822,-1.51778,33.10872,9.293929,-1.7588125,20.150509
18.98286,-0.9075947,40.109833,-10.868195,-5.150409,-25.310898,19.231802,-1.1126267,41.00529,-3.4423068,-4.917986,-8.604819
10.218654,-3.2427573,20.757277,-15.259405,-6.808639,-34.708134,6.998038,-2.7877936,13.903232,-0.24397133,-0.7283684,-2.6702247
5.5454617,-2.598126,11.709187,-11.411136,-4.425933,-25.92704,15.238856,-1.0403843,33.014668,5.5143166,-2.7775478,11.614588
0.0087185055,-0.30687904,-2.145574,-2.2215307,-4.2746625,-5.6566305,-0.9100317,-4.240265,-2.8304257,-0.88282716,-0.32661903,-4.1784534
6.9096484,-3.638637,13.364052,-3.53104,-4.0890727,-8.145262,1.9179794,-3.4330654,3.9356132,-0.63630724,-4.1889887,-2.9465537
18.115328,-1.0762446,38.693592,-0.01124911,-0.5502534,-2.1375723,11.303163,-1.374857,24.344723,-11.171598,-5.21501,-25.826649
4.3264704,-2.8608518,8.734708,-15.3263445,-5.1541395,-34.442135,8.870413,-2.4008827,19.3863,1.6549242,-0.7178532,1.652869
10.658856,-0.48224485,21.645948,-14.773947,-5.6144543,-33.692738,12.517086,-1.787449,25.796152,9.611316,-2.0084963,19.702927
-1.1937667,1.5597521,-3.812324,2.8902469,-2.8397865,5.830908,-0.750995,-0.31991583,-3.8746376,-0.16289108,-0.5436348,-2.4693365
1.3469937,-2.9284406,1.8800207,-12.978635,-5.11537,-30.048532,0.14180167,-0.429883,-1.8493074,9.664063,-1.7314826,20.079063
16.313742,-1.1811048,34.372005,-2.0100272,-3.465733,-5.230196,1.7805873,-0.8354229,2.0322044,-7.805075,-3.9292297,-18.396248
13.70781,-1.7905837,29.332338,2.9147885,-3.137371,5.6531115,-0.55720764,-0.42998743,-3.4987278,-15.574012,-5.697235,-33.587246
4.9704623,-1.6985251,9.775733,-0.8561264,-0.37209433,-4.1390195,6.5498886,-2.4107199,13.428556,2.7486382,-3.3220124,5.4678407
-1.1439654,1.5018742,-3.7655363,-12.344512,-6.4339237,-28.192762,2.463887,-2.6775198,5.33738,3.8245392,-2.261784,7.729871
6.8976808,-2.5395465,14.008001,-5.6334977,-1.5993539,-14.0258255,5.2232237,-3.1218367,8.98513,-9.594581,-3.6233153,-21.766346
16.178846,-1.0095677,34.08903,-9.565373,-5.2903957,-22.736944,8.061922,-1.9088598,18.157785,12.489422,-0.86823595,26.708675
11.621173,-2.99717,23.853432,-14.940896,-7.0203533,-33.706165,13.898815,-1.4119016,29.228134,3.5197475,-2.6555443,7.5129595
6.1651373,-1.8795911,12.713029,-11.824481,-6.151868,-27.052189,9.026057,-1.8092242,18.919716,15.912212,-0.6460843,34.027676
-0.9442512,1.2470117,-3.4485884,-1.3664412,-0.40746742,-5.2511005,12.013009,-1.3316907,25.909111,2.5927305,-1.2403277,3.3777866
-4.8717065,0.6370969,-11.666715,-16.732979,-6.3618135,-37.6014,13.385285,-1.7306472,29.335096,0.5922301,-0.38714004,-0.83456707
15.414652,-1.0818369,32.516922,-7.7270927,-5.0204034,-17.923943,17.843374,-1.2856703,38.103596,0.81965363,-3.939456,0.69480187
4.721631,-1.8953024,9.377734,-11.007291,-5.965599,-24.755402,-1.3734607,-4.4969854,-3.8423676,-9.365271,-4.658953,-22.33374
17.51086,-1.5373334,36.962852,-13.74692,-5.9872327,-31.02531,-0.73237485,-4.1656313,-2.7219758,2.8463416,-1.0098814,4.6691947
1.2700548,-0.7677294,0.8233661,-5.627506,-4.5093937,-14.092231,-0.7848519,-3.835421,-1.7972721,-6.149759,-1.58806,-14.677181
14.987275,-1.6382686,29.622557,-10.22794,-5.5034194,-23.67829,9.676203,-0.7479085,21.407644,-6.5837293,-4.89336,-15.903087
5.494638,-2.2568312,11.393166,-0.76740205,-0.33425903,-3.9602203,-0.4783659,-4.5283146,-2.373458,-4.2130885,-4.590281,-9.401695
7.2771716,-2.060288,15.05762,-11.727153,-4.8098726,-26.907854,8.994986,-1.8796562,18.067955,1.2709506,-0.6466688,0.8565676
0.2192206,-3.2927155,-0.44694054,-12.989648,-5.4343486,-30.083467,6.2073092,-2.4850621,12.408416,-0.49076223,-0.37288624,-3.320178
4.548219,-1.5867385,9.197239,-0.8915478,-0.30671537,-4.200925,17.497744,-0.85275626,37.41855,-0.63801813,-0.6068939,-3.019249
16.144426,-0.7336657,34.6527,-17.85102,-6.689295,-40.218365,-11.961594,-5.9411182,-26.860786,1.3757378,-2.638113,2.7565966
5.821419,-2.5800443,12.010725,-8.8572645,-0.84163,-20.9089,0.093418136,-1.2811184,-1.247624,2.363088,-3.0428529,3.9506187
12.559333,-1.2339116,25.73065,-8.818559,-5.490764,-19.85101,14.231717,-1.6048888,30.696844,-11.647598,-4.371947,-26.500229
1.0501782,-2.7922888,1.5371053,-15.594134,-5.0695457,-34.927296,15.218594,-1.0009624,32.13979,0.10237537,-0.530409,-1.9348301
-0.5876208,-0.32761228,-3.513474,-14.044564,-5.2459893,-31.464634,-10.399964,-5.341859,-22.759827,-2.8655138,-4.2518,-8.075936
3.7934165,-2.2913013,7.762539,-6.650112,-4.311391,-16.213055,-10.655696,-5.673917,-24.518562,9.245246,-2.3750834,19.337524
4.2950525,-2.6804137,8.825913,-15.171205,-6.580813,-34.48116,-1.4444412,-3.8825226,-4.601802,2.1819706,-2.952486,3.5949674
8.369336,-1.1985338,15.882942,-0.97472656,-0.4412591,-4.4496,-4.9454613,-5.0307026,-12.066827,0.5469393,-2.612629,1.1648345
0.034489855,-0.33544636,-1.7727412,-14.042649,-4.4194803,-31.821426,-1.694357,-4.443345,-3.8983002,-7.6200366,-5.384553,-17.495401
17.144735,-0.9691416,36.13502,-8.529439,-4.281595,-21.016678,-0.77554363,-0.3498134,-3.9499469,2.309634,-2.725119,3.7193403
16.355999,-1.4740576,34.8785,-10.799625,-5.0866385,-24.963242,14.807356,-1.5822347,32.280506,-3.3578117,-3.998392,-8.032459
5.0841618,-2.3271132,10.359241,-9.539559,-4.699463,-21.3918,-6.839406,-4.2783146,-16.80468,8.250877,-1.669665,17.827703
15.659184,-1.6103112,32.688107,-1.7613076,-4.031169,-6.055844,-6.4369903,-4.4029136,-13.835741,-0.6337177,-0.261433,-3.5596657
15.849745,-0.3108337,31.904106,-1.3066301,-0.5163741,-5.2512603,15.147811,-1.1838787,32.47103,6.999385,-2.352334,14.306985
1.6807287,-2.6117692,3.1659765,-5.883171,-4.2148294,-14.969031,-0.817015,-0.32699543,-4.0267406,9.38902,-1.9701883,20.725615
-5.7925553,-4.632427,-13.3233595,-11.395766,-4.8543797,-25.157822,8.926439,-2.132854,19.026089,3.6341932,-3.224298,6.738883
-0.31688625,-3.2776546,-1.7371258,-1.2062287,-0.5776702,-4.9476147,-0.068510845,-0.3561498,-2.377304,1.6228762,-0.9902122,1.8058597
