class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
22.35877,1.5277092,-1.8177297,-0.013345063,1.7168105,-1.7690841,-14.077315,1.6215929,-1.8784235,-7.357694,1.2745599,-2.4946005
8.206798,1.3198737,-1.9459908,-21.838396,1.5925007,-1.9524287,-27.977873,1.3801615,-2.5276458,-6.9151545,1.4640942,-0.80702364
51.83565,0.96102446,0.35790956,-4.1005316,1.0580814,-1.1632462,-28.219013,1.3132513,-2.2114348,23.886106,1.2859908,-1.4233127
62.967506,0.9430625,0.74150586,-35.668144,1.4407233,-1.7787808,0.39144087,0.9071314,-1.2826952,-9.997459,1.2258394,-1.4476221
8.793697,1.5059135,-1.9784975,-25.66443,1.3362756,-2.9613185,2.8284192,1.6499288,-1.4365641,-23.650572,0.92169726,-2.1436853
10.513739,1.686454,-2.408699,-18.628698,0.9429765,-1.3618001,21.382711,0.8948377,-1.1248223,38.327927,0.9079383,-0.10717356
14.773415,1.7572699,-1.8539224,-29.157007,0.99469316,-1.4792356,1.6221007,1.7314478,-1.7852819,-17.999327,1.0500641,-2.7730489
16.781599,1.7011199,-1.9237721,-19.660658,1.2567021,-0.9880328,-4.5980268,1.6251099,-1.4225876,-1.765041,1.7255025,-1.6511945
13.36598,1.7473807,-2.1080823,-32.723328,0.8209878,-2.0510988,-2.0925975,1.5114362,-1.2655386,47.5997,1.0827396,0.15164304
8.480296,1.7622874,-2.7765822,-3.380632,1.7154143,-1.5979472,-8.109878,1.2842808,-1.3120387,-13.013471,1.6274292,-3.349378
0.8212987,1.7533941,-1.6925769,-41.704018,0.8948993,-1.3927306,-12.670875,1.7443099,-3.1270757,-18.217184,0.94417393,-1.3524336
52.920425,1.5411249,-0.58147955,-42.109478,0.6305234,-1.5591934,-5.108316,1.1263843,-1.8032186,23.67774,1.3280115,-0.55785197
11.515234,1.6647322,-2.371791,-0.83808875,1.7281033,-1.6170509,19.231194,0.8094253,-0.48615646,-21.815866,0.7939872,-1.317785
5.9543605,1.7029362,-1.1900221,-33.191063,1.5396526,-3.193109,-31.970423,1.1309881,-2.2859397,-26.335413,1.715064,-1.4960935
34.911926,0.8801049,0.20342016,-24.08518,2.05467,-2.8076358,-13.679366,1.5113552,-2.0598342,2.6990705,1.2937614,-2.162405
17.458124,1.7616129,-1.7969776,-28.050503,1.1179031,-3.0993693,-3.2830157,1.6796916,-1.2395973,-28.46975,1.2249646,-2.8021455
0.9500681,1.7603527,-1.6756094,-41.217434,1.5120804,-2.2500658,41.44525,1.4920845,-0.91133606,-13.97177,1.468142,-1.1592833
-0.29097956,1.5093274,-1.5101383,-42.435516,1.0894353,-2.3351908,2.2054782,1.0195497,-2.315208,-6.9508815,1.7717195,-1.9220777
3.8872542,1.8218191,-1.6085196,-23.586554,1.2016802,-1.6700915,-7.489326,1.6372743,-1.4318169,-27.72857,1.0606697,-2.235229
56.63664,0.86271936,0.63793564,-11.258941,1.5674078,-1.4438139,-24.389015,1.2970824,-2.4710536,19.626053,1.0032694,-1.0510448
21.383335,1.6415675,-2.6561131,-19.829342,1.4021908,-1.974109,-17.564857,1.2582821,-2.6954298,5.1944766,1.2985756,-1.5282022
39.906303,1.1987092,0.37596834,-22.127138,1.6468022,-2.5000648,14.350215,1.3590833,-1.0099943,-37.12771,0.7079856,-1.3698748
16.452826,1.5542164,-2.2830899,-14.1731205,1.0050645,-1.9477837,-18.618666,1.1018634,-1.8915429,-27.846004,1.076659,-2.1512852
12.407961,1.5578172,-2.212851,-27.49836,0.9264274,-1.404953,-3.9477339,1.2784584,-0.7985748,-15.818221,1.2953465,-0.84536785
23.613861,1.5863588,-2.0533633,-38.072273,1.3873334,-2.0836914,22.716454,1.5562342,-1.0018891,-15.387335,1.4235983,-2.1689374
-2.7415338,1.7217245,-1.653007,-37.99353,1.3569157,-2.250526,-16.915016,1.8032942,-2.199955,-12.041935,1.399628,-0.28973183
61.040447,1.034944,0.11104441,-40.030594,1.5218999,-2.8426783,1.0161633,1.7461824,-1.569245,29.046795,0.8913452,-0.13022143
21.018114,1.503855,-2.2535532,-21.477541,0.9096082,-1.7798581,28.71402,1.1895901,0.0060356855,-32.95668,1.0121654,-2.589454
