class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
1.5317986,20.886555,1.3682449,-0.36610764,-6.6998634,0.5774474,-0.7422221,-1.0830394,1.115797,-0.16857745,-5.267023,0.60054183
-0.18674906,-5.7882433,0.5731483,-5.358647,-29.5945,0.66547775,-0.101965174,-4.65333,0.6070596,-0.5917204,-2.239538,1.0834321
0.35173005,10.254231,1.0773056,-4.834304,-30.40783,0.41280317,-8.468708,20.970566,5.5720906,0.06248574,-2.573246,0.7303268
-2.788253,7.4278784,2.620503,-6.9884443,-31.267696,1.2678998,-8.318042,14.481419,5.4571333,1.4146026,24.817745,1.5928118
1.2546695,17.000502,1.1506444,-0.33046496,-7.0398464,0.5606077,1.278531,19.476738,1.3507569,0.39167356,9.669157,1.4794768
-7.085398,24.009298,5.4471927,-3.991434,-30.418636,0.17865014,-3.8181958,18.801277,3.5317016,-0.21298863,12.61642,1.3690419
-1.7006906,22.303623,2.7320108,-4.2448525,-24.732443,0.85322416,-0.15347607,-3.7775242,0.6246652,-4.411578,-4.3599596,1.9387503
-0.5539015,18.364792,2.095868,-5.7129874,-27.67681,0.9778099,-6.32889,12.313393,4.203487,-5.978439,20.851143,4.578742
-4.5797625,27.404793,4.1515594,-5.5391436,-31.371834,0.40293413,-4.4292192,-22.85471,1.0011445,-3.7818084,-5.177802,2.0307436
-7.357891,24.34428,5.471088,-0.2936442,-6.9539127,0.54382396,-7.7781134,17.311413,5.113405,-0.26338422,-6.5186205,0.5629479
-3.4746895,24.727554,3.9075189,-4.4908853,-27.99516,0.5005383,-5.9654694,19.9935,4.3523088,-2.5205407,-15.919322,0.8775054
-1.1430614,9.769159,1.8381743,-2.8003416,-18.497505,0.726763,-6.8931565,21.345665,4.970433,1.0302252,14.986753,1.3072481
-7.07151,23.468527,5.365137,-4.006894,-28.029716,0.2502725,-8.443778,16.050705,5.438458,-0.1766435,-5.9645147,0.56484944
-1.5540917,16.013315,2.3724651,-6.0787625,-33.892395,0.6351019,-7.7603436,17.110577,5.239822,-1.4065152,-0.77009416,1.1308444
0.34769362,13.167283,1.567425,-6.3451734,-38.759323,0.3901177,0.6631101,16.311033,1.6182983,-6.2196007,-10.766835,2.2106998
-0.11060341,28.733856,2.6444194,-2.8734066,-21.109901,0.37418482,-7.766701,22.426888,5.3945136,-6.6499624,-0.6806549,3.5373764
-9.03473,18.147179,5.855623,-5.356991,-29.866165,0.60231936,1.5210619,22.238483,1.4675038,-0.28775245,4.0220833,1.2353779
-1.6179079,20.375393,2.762625,-4.6841617,-29.092468,0.6209698,-1.4118822,-1.1832418,1.1428974,-2.4699998,-17.160969,0.74698025
-0.26994884,-6.4623194,0.5691019,-4.0311203,-25.763878,0.31848574,-6.919076,9.300026,4.198868,1.0472629,13.706321,1.2106735
-2.6422033,26.95211,3.65514,-0.2935506,-3.551555,0.6667649,-0.16333808,-5.62959,0.57546765,-3.8168955,-7.7428484,1.5753244
-0.31724793,23.556377,2.259924,-5.713888,-27.122158,0.74778557,-5.6243625,-29.883736,0.7998144,-4.540824,11.103226,3.5487757
0.56096226,17.086899,1.5396795,-3.252209,-26.770594,0.24980658,-5.841587,7.908574,3.5505948,-0.0657589,-5.5226793,0.560314
-1.9420782,20.136442,2.831759,-5.916667,-30.46637,1.0781418,-6.142562,11.077782,3.9912372,1.5399716,18.138279,1.2309357
-0.9238432,12.868292,1.9994926,-5.6948237,-29.114754,0.9735538,0.7943315,19.450058,1.718822,0.26987863,11.871011,1.1085815
-8.003582,24.225163,5.650597,-5.0435987,-30.371813,0.4368711,0.08611695,2.3915856,0.9122022,0.30993003,9.070834,1.0181551
-0.46046907,23.364855,2.4680336,-5.2238884,-26.381947,0.5586743,-2.870687,-7.8117704,0.96162313,-1.8184495,5.3740673,1.7543719
-3.056314,14.823779,2.8556821,-4.7069936,-24.907335,0.91094786,-3.81129,-13.116313,1.3785012,-0.20285667,-5.8943768,0.5594265
-3.3103857,20.39146,3.489182,-3.3491669,-14.215614,1.2899582,-0.022068903,-0.5356412,0.8595076,-2.60876,3.1349945,1.7807274
0.35366386,30.090519,2.484943,-4.239382,-28.584011,0.4671343,-0.24981199,-6.699231,0.55071664,-0.26357782,-6.843049,0.5540167
-0.44866365,1.3460113,1.0380431,-5.7122974,-33.87438,0.40708232,0.8662068,22.557877,1.8283615,-2.8588867,-7.0953455,1.2927134
0.95433646,19.43291,1.537386,-0.2781151,-6.7753115,0.55642927,-8.257087,22.20961,5.5752344,-3.3199568,18.22017,2.9788826
-1.150135,4.5784044,1.3620293,-3.5489695,-22.40878,0.43890753,0.67346865,23.492228,1.8718798,0.5908105,19.044773,1.677743
-0.05690147,-4.577173,0.60166615,-4.0144997,-21.245565,0.8228716,-0.6584041,-9.719399,0.54278284,-9.284929,15.929416,5.6622033
-8.259778,24.604338,5.7467313,-5.747541,-29.882923,0.83749986,-2.1999805,-5.4022875,0.8811749,-2.858924,5.0420685,2.1750846
-2.1617227,21.24565,3.1915603,-5.0829635,-21.105055,1.1883887,0.580801,7.799877,1.1165159,0.032330558,9.36729,1.4072052
-1.9739071,21.925556,3.219053,-0.47474402,-8.679948,0.53844225,-6.4552484,14.7047205,4.3432407,-1.0583224,-7.173131,0.6864867
-2.0617633,23.79863,3.3269072,-6.142479,-36.711887,0.47198284,-6.46046,15.367417,4.454863,-1.5085174,-12.487977,0.6169654
-7.241297,22.265818,5.2316127,-6.1842575,-31.313503,0.6970801,1.397127,24.049831,1.7183032,-1.7427064,-7.1608877,1.2426718
0.9243937,20.671703,1.4871181,-1.244263,-12.432975,0.58252454,1.0996025,24.236511,1.8748546,-0.12029953,6.684079,0.998309
-7.3044825,19.235245,5.193735,-3.148253,-15.868327,0.9543632,0.20930092,21.240479,1.9749057,0.6780675,15.517067,1.4342806
-0.25263697,-6.566181,0.5640125,-5.5057397,-29.236862,0.94702494,-5.9434977,12.523431,3.961913,-1.8010885,-7.000285,1.390902
-6.8379946,19.114407,4.8741536,-6.2493987,-32.36781,1.1023078,-8.527307,20.65423,5.664373,-1.1391084,-8.149004,0.5552782
1.1697961,17.84806,1.4181707,-5.4486327,-32.616703,0.5332599,-8.299905,21.83944,5.6286654,-0.26661146,-6.339012,0.5727107
-0.32309943,11.903036,1.4627855,-4.208811,-25.524656,0.42018557,-2.7872858,-9.311618,0.9902558,-1.243265,-0.060558796,1.0760453
-0.26504588,-5.914527,0.5756347,-4.634763,-22.211166,1.1386194,-0.23769082,-6.183215,0.56300867,-0.21029995,4.4525967,0.9085357
-0.13721557,-1.5537448,0.7293087,-5.72649,-33.61079,0.34540552,-8.327115,20.979961,5.8367324,-0.7481087,11.512877,1.6573246
-1.4962354,27.866764,3.114079,-4.6046753,-26.368744,0.7143719,-0.18757208,8.194677,1.421354,0.43608087,0.99837095,0.7680875
-6.192889,23.66801,4.7874084,-4.4055514,-28.269703,0.4360746,-8.229876,18.466501,5.355882,-1.4966658,2.5210857,1.6828046
-0.43863243,0.74178225,0.9925927,-2.9225135,-22.300707,0.55622363,-8.729028,18.233341,5.664389,1.3314452,23.031448,1.6216176
-7.295911,20.457989,5.3436112,-6.6061797,-32.1665,0.95362556,-0.31566137,-0.6405964,0.95747566,-3.2199955,10.162718,2.5014768
-2.1921225,18.593155,2.877442,-5.666884,-35.934296,0.3572352,-1.0816172,-3.7852476,0.71164924,0.37123537,11.813447,1.0680354
-5.902359,19.189426,4.393788,-5.401545,-34.23575,0.27117264,0.16486983,3.8375313,1.0494365,-1.0620989,4.388937,1.2869225
-6.6028967,23.951332,5.097199,-5.783577,-28.491344,1.2284657,1.2858474,9.909461,0.7792348,-3.4857597,15.606368,2.871188
-0.122480884,12.006667,1.2789402,-4.1810684,-22.83443,1.0481977,-0.18507035,-3.8900206,0.62527204,-0.35214376,-6.6098223,0.5704405
-9.082074,21.290472,6.052092,-4.9744906,-23.855898,0.99146193,0.7414479,6.028927,0.9594331,-0.06302409,-4.7564344,0.6319976
0.12637179,14.510083,1.5383646,-6.4075933,-37.44453,0.360812,0.19231802,-1.6365561,0.5087156,-1.9561163,-16.452923,0.45709145
-6.724595,25.683819,5.1370645,-4.619826,-27.824345,0.66929567,-4.5046816,18.380472,3.6182194,-3.6608179,7.034547,2.508471
-0.28877592,-5.1891375,0.63528115,-4.8154,-24.089113,0.65295506,1.4840921,25.577694,1.7337031,1.264198,14.420449,1.1969438
-0.1992807,13.249989,1.6342065,-3.6419454,-22.676746,0.8521774,-1.2217007,-9.693093,0.9066266,1.1422868,15.076152,1.3396401
-7.1349688,25.098362,5.3642807,-1.1434733,-10.082289,0.6869532,-4.0080323,-21.159163,0.69966483,0.7169871,23.372461,1.852725
-0.054254428,10.496886,1.431534,-0.16302086,-3.007541,0.6360177,-1.7551757,-5.62189,0.9231616,-7.941243,10.275878,4.4045963
0.85561925,21.077251,1.6082859,-3.526147,-21.95794,0.8584143,-7.9294767,18.11095,5.3015246,-2.001463,-10.266633,0.89090073
-0.040577725,13.136546,1.6661336,-2.0033257,-13.587502,0.6388693,-0.2685321,-4.914489,0.6204059,-2.651205,-8.901568,1.2243106
-0.28249615,-6.8045826,0.56098425,-6.0182996,-31.920353,0.62169796,-6.044361,16.663734,4.647317,-6.761837,-5.3687496,2.9693313
-6.4090114,22.23724,4.9492016,-4.074089,-25.23719,0.85119545,-0.9939714,-10.938241,0.62570256,-5.518567,-7.2767153,2.4055247
-6.5993633,20.730137,5.0136776,-3.8139722,-26.520073,0.5796031,-0.3508681,-5.8772755,0.6187024,1.2573557,16.046696,1.3818928
0.27495128,25.79807,2.2666736,-5.7869906,-31.837154,0.9021528,-0.66993445,-7.1865015,0.64247733,0.32464772,21.390287,1.8349726
-0.16117997,9.388419,1.2620515,-6.3491974,-28.120567,1.3965712,-0.7718198,-8.102992,0.67543036,-1.015552,6.188057,1.2308528
-0.03580363,27.077051,2.4433362,-4.565334,-24.98471,0.63195485,-0.058798745,-2.4000564,0.66170096,0.24349625,-0.9406731,0.56080514
0.6950045,18.189108,1.6975658,-6.5770335,-34.75071,0.96568745,-7.2443714,18.112707,4.9803386,-3.9037209,12.3125,3.1687357
-6.0864844,23.74114,4.718576,-2.22935,5.7857084,1.8252709,-7.954337,20.32705,5.572723,-2.902808,-20.717407,0.57809633
-9.188342,1.1561027,4.691744,-5.663168,-34.683514,0.3415529,-0.84261227,-2.3796036,0.83156437,1.4275985,17.893728,1.041229
-0.65850645,14.810734,1.8062637,-5.1491904,-24.523117,0.8079804,-8.209195,21.006926,5.604168,-0.9532116,-9.364148,0.5937691
0.2256717,24.777859,2.1009543,-3.2244701,-24.879066,0.37815803,0.6231788,24.008932,2.0506854,0.6197893,21.969784,1.9117362
-0.22974102,-6.078953,0.5804111,-4.4888597,-27.563122,0.87213635,-8.641745,22.21764,5.884647,-0.108627036,-5.7345524,0.55412996
0.501259,15.991377,1.5713651,-3.0489655,2.802179,2.28911,-3.99826,-11.267574,1.8042688,-1.3950945,7.465974,1.781235
-0.21387146,-6.2645826,0.56093323,-6.5795245,-39.13725,0.46841687,-1.8923293,-11.08005,0.8351115,-0.22020747,-6.2770386,0.56091005
-7.604458,21.60353,5.3325286,-4.253032,-19.457722,0.6797844,-2.4441874,-15.899182,0.764016,-0.6270502,12.729214,1.8109314
-0.2140056,-6.180114,0.56447417,-2.9469106,-14.162059,1.2634281,-6.8944674,21.893686,5.0893264,-0.8515732,-4.645728,0.6978079
-2.1364284,29.413605,3.706669,-3.9258242,-19.866772,1.0062237,-1.0605605,-2.6155765,1.263556,0.84430856,23.612747,1.8162732
-6.9292192,23.740856,5.11678,-4.632434,-21.603615,1.0826967,0.38612932,3.0180728,0.9277032,-0.23773639,-6.618059,0.55184484
-1.9468774,0.7404617,1.417918,-5.2844405,-27.758602,0.7384006,-4.8355126,17.607721,3.829639,-1.0381434,15.118833,1.8866658
-0.11540301,26.425007,2.4365501,-5.204825,-29.992825,0.5026559,-1.1905247,-9.854584,0.6566324,-0.3661667,13.764213,1.6823933
-0.11348255,25.851883,2.3452818,-4.115793,-29.042776,0.357103,1.8056626,24.773056,1.566463,-6.477526,-13.703795,1.9630907
-1.5171927,26.885555,3.146918,-4.096555,-13.105055,1.3428926,-8.346179,19.012426,5.4667134,-4.572824,7.7102213,3.306027
-2.402698,14.709641,2.5850463,-5.635856,-31.779297,0.9522536,0.56418735,6.4669065,0.9560057,0.6219062,15.027307,1.2971503
-2.821536,-8.000736,1.765424,-5.784198,-24.875317,1.1103008,-2.8920283,21.02553,3.0555818,0.08287071,13.871412,1.5199816
1.4738948,24.306673,1.6339233,-6.417167,-35.28395,0.80908585,-7.7676573,22.22885,5.4412837,0.9854191,18.437794,1.445346
1.3616989,11.068015,0.7831569,-3.7388763,-19.905117,0.5967916,-8.395916,19.63804,5.637383,0.055138573,-3.1704986,0.6509025
-3.3614702,22.970367,3.7253485,-6.011697,-26.929697,1.0731175,-8.692376,18.205023,5.878845,1.0563,9.854499,1.0054828
-0.9917603,7.7225866,1.8851068,-4.6558957,-22.681734,0.9280446,-5.702176,11.380441,3.8130322,-1.227514,3.4405515,1.1865239
-1.2039012,28.063787,3.1861186,-4.740225,-19.768162,1.1204774,1.1890079,23.478249,1.7957823,0.9938958,12.96251,1.2246331
-0.5188126,5.27227,1.4193313,-4.424907,-28.00607,0.72962797,-9.33496,8.197219,5.1410713,0.95078844,13.166814,1.1513792
-7.7339783,22.419577,5.443551,-4.208585,-24.867157,0.56455386,-4.294365,18.948874,3.8159795,0.13558514,-2.8436778,0.6823507
-1.6451409,12.997828,2.2969816,-6.126237,-32.20339,0.882499,-0.31803077,-6.248431,0.5650968,-3.50636,-17.861744,0.9521948
-7.5628557,13.944579,4.635816,-5.486841,-30.365648,0.6488503,-4.451021,-22.280823,0.6957949,-3.237791,2.8527267,2.268821
-3.3681521,24.966522,3.7641177,-3.3833184,-22.918854,0.6992939,-1.1916453,-6.992378,1.0333931,-0.38451838,-1.8366115,0.914098
-0.63713175,25.038136,2.667334,-0.6307071,-1.8974533,0.74689704,0.029933646,1.7429118,0.88726443,0.31973588,11.918656,1.2444959
-3.484312,23.286884,3.8956833,-2.2798944,-20.604507,0.38860464,-1.0472215,-9.0829525,0.7508004,-0.2633155,-4.934249,0.59865516
-0.099696234,28.76361,2.5492134,-0.25952858,-6.6041546,0.5563581,0.23191538,1.761193,0.7570573,-2.0103831,-17.441818,0.666022
-8.915373,21.80719,5.8177752,-4.0419617,-18.571367,0.7504649,-3.0216203,-25.015905,-0.1502999,-2.2198327,-10.935476,0.8710506
1.3761255,19.385803,1.3941531,-3.4125104,-22.351732,0.5581191,-6.0389867,-34.994976,0.5926214,0.009078532,-2.062888,0.7115145
-0.12832756,-3.29765,0.6781834,-2.2328348,-20.92818,0.2737744,-0.5407985,7.9087152,1.299547,1.1380101,25.044819,1.8326359
-3.7062354,27.637367,4.1179314,-5.509982,-32.9117,0.49183917,-0.37389737,4.418234,1.0809704,0.20427577,14.507536,1.4670173
-0.22181289,7.9387064,1.3298814,-2.0705056,0.3498696,1.444911,-6.1838393,15.821311,4.416833,-0.32295835,-6.9174795,0.5612877
-2.2584376,24.049942,2.9998908,-4.232861,-28.5583,0.23080552,-0.27110046,-6.7381735,0.55481696,-6.4381413,13.818157,4.38803
-0.22948201,19.110268,2.1446912,-4.3206396,-24.92144,1.0328059,-9.020687,20.108427,5.874559,-1.603864,4.683876,1.735689
-0.23662819,-6.428052,0.5634181,-5.588042,-26.641304,1.0485222,-1.340481,-6.1157246,1.0460813,-2.1210365,0.36360362,1.792804
-0.4690556,25.396471,2.5191033,-5.7569466,-33.977844,0.6957986,1.442232,20.465118,1.6663665,-6.6834946,-7.652711,2.9273467
-1.0578343,27.289398,2.969095,-5.6863523,-28.651186,0.95188546,-0.36205536,0.16711676,1.0781432,-5.6807384,6.33891,3.5399039
1.9729694,23.784878,1.4785048,-2.0418823,-14.146182,0.7868259,-2.9745917,-0.7747624,1.6907047,-8.683182,13.100192,5.1246877
-6.9381757,22.572493,5.22594,-5.552106,-28.640287,0.7898462,1.363145,18.780485,1.5232751,-0.27910328,2.9406407,1.0576278
0.9286091,21.16317,1.7712266,-0.52684754,-5.718792,0.5752769,0.2680744,-1.4996083,0.6608839,-1.9422036,-8.266343,1.131337
-7.4567776,23.64562,5.5140395,-5.190707,-26.450897,0.71470606,1.1612864,20.517567,1.5329142,-2.4004216,16.200916,2.5616221
-7.286008,22.472723,5.332295,-6.7748566,-38.39465,0.6325415,-8.909564,14.570779,5.19087,-1.4308802,-3.4768732,1.1673039
0.025825799,-2.146528,0.5596795,-5.1723986,-30.003094,0.5883947,-2.2537444,-11.570176,0.91374785,0.13932805,-1.6760323,0.6890532
-3.8991308,17.233582,3.6046183,-5.112354,-28.956945,0.44751334,-0.26596022,-6.4027395,0.56420153,-1.2192413,-2.4139013,1.0130599
-2.5397022,-14.851769,0.6548199,-6.574057,-35.15775,0.80125934,0.044958293,0.86548746,0.8707736,-6.6052303,3.6646376,3.7553039
0.36110646,17.061295,1.5754483,-4.067379,-24.631454,0.2694512,1.6720431,22.850136,1.5246837,-1.2240099,5.724926,1.4275525
-2.4259775,-6.7176123,1.4285383,-5.0726614,-27.06985,0.7856216,-3.1134915,-13.315507,0.6677814,-0.31758964,8.744229,1.4521435
-1.770039,28.09708,3.152923,-6.545691,-35.344807,0.8696388,0.8978724,6.472068,0.8500385,-0.21741234,-6.330001,0.5580734
1.1728973,22.766966,1.762048,-5.5052958,-30.513266,0.6136568,1.1628152,27.199192,1.9902909,-2.187289,-4.6107445,1.0328487
-1.2075456,1.8153051,1.1436276,-6.5839953,-35.118053,0.7714466,-6.863979,20.868254,4.994344,0.9412553,19.326618,1.5976076
-3.101993,23.249226,3.1916583,-5.0403657,-27.839417,0.7631713,0.5700596,25.410713,2.090188,-1.417569,6.929888,1.8959703
-0.025665358,22.607376,2.178573,-6.1527414,-26.963623,1.0428947,1.548695,19.695635,1.3913977,1.2580267,25.20001,1.8968844
0.62273544,16.659847,1.4329743,-0.2016836,-6.69306,0.57490975,-8.474178,20.889572,5.6241317,0.310771,9.990012,1.2734752
-7.728727,21.751427,5.4591117,-5.689727,-28.126,0.89579403,-3.3668606,-13.046773,0.9495038,-0.27959174,-6.75508,0.55759317
-5.593643,25.212708,4.61292,-6.3110247,-32.68343,0.88381326,-0.23576279,-5.1997557,0.58950144,-5.8140826,-28.59418,0.8030914
-0.12147279,11.942052,1.5287906,-0.3848076,-8.262952,0.5198185,-4.114679,-16.22306,0.9368575,-0.27296484,-7.044157,0.54618955
-2.217638,3.0293171,1.7061567,-6.717383,-33.92538,0.9115524,0.6822706,21.863716,1.7772601,-0.95881253,4.777673,1.4915627
-4.5805287,24.993587,4.363702,-4.776452,-28.271267,0.4461087,-0.0046213865,2.2983198,0.9778431,-3.4336863,-7.9762163,1.2723215
-0.3428852,13.332676,1.7598608,-0.24913628,-6.6732044,0.55216855,0.18517171,12.295935,1.4568396,0.41315645,13.950154,1.5274122
-1.5300523,11.484491,2.3586698,-3.3910124,-22.79545,0.6125233,-8.141532,22.013992,5.7004495,-0.78446037,-9.030215,0.5186593
0.75276303,15.592417,1.1808958,-5.4388795,-32.276455,0.34211665,-5.1474175,-25.564035,0.83421075,-0.27274978,-6.2794046,0.56887794
-3.686621,12.761546,3.1785188,-4.317002,-26.704708,0.37547135,0.7050058,25.358248,2.1820335,0.7948349,6.4659195,0.7277181
-7.748086,24.19931,5.5460286,-5.9385495,-35.23267,0.5852403,-3.9205923,22.185051,3.6274734,-1.8314484,7.463622,1.6978433
