class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.055528328,0.007348438,-0.13566639,-0.054725748,0.0078046797,-0.13494216,-0.054176953,0.0077290544,-0.13425691,-0.054782398,0.0078121275,-0.13542245
-0.054381557,0.0077263108,-0.13529179,-0.05532273,0.007621428,-0.13511431,-0.05471302,0.008032,-0.13586536,-0.05470004,0.0073823584,-0.13548651
-0.05494359,0.007675186,-0.13529404,-0.05553898,0.0073566185,-0.13566996,-0.054476064,0.007813756,-0.13577537,-0.054982863,0.008122482,-0.13559398
-0.054967232,0.008793907,-0.13166213,-0.05526831,0.0073947143,-0.13540603,-0.055304833,0.007374288,-0.13553664,-0.054073114,0.008025525,-0.13494536
-0.055181663,0.007584192,-0.13552749,-0.054893762,0.007795265,-0.13478193,-0.05334203,0.007975129,-0.13493688,-0.053939693,0.0077308826,-0.13493879
-0.05457135,0.007942405,-0.13573079,-0.055032466,0.007310272,-0.13500361,-0.054965224,0.007758015,-0.13574114,-0.054800346,0.007969185,-0.13529797
-0.05214984,0.008811769,-0.13616638,-0.054569814,0.0076830266,-0.13549091,-0.052137427,0.0088002235,-0.13487202,-0.055450168,0.007365983,-0.13555156
-0.051876742,0.009571696,-0.13677323,-0.053941645,0.008496555,-0.13526648,-0.05515652,0.007888972,-0.13539828,-0.054049145,0.008042312,-0.13464656
-0.053690977,0.009743144,-0.13483167,-0.054137412,0.0073995553,-0.13487777,-0.054152925,0.007398259,-0.1346195,-0.054178245,0.008411227,-0.13629986
-0.055528514,0.0073070438,-0.13564599,-0.05549156,0.007344528,-0.13561071,-0.054538712,0.008617799,-0.13647346,-0.054209113,0.007883882,-0.13482934
-0.054750673,0.007587108,-0.13519262,-0.054858923,0.0075654984,-0.13525656,-0.05436254,0.00743266,-0.13448294,-0.055256255,0.007436618,-0.13551863
-0.052768096,0.008950546,-0.13483617,-0.055191036,0.0074278517,-0.13553376,-0.05433565,0.008288173,-0.1350404,-0.05541685,0.007330047,-0.13561091
-0.054614153,0.007846933,-0.13579908,-0.0549262,0.0075422553,-0.13552156,-0.0545521,0.007754788,-0.1351862,-0.054489043,0.0073542083,-0.13491322
-0.053592253,0.008025768,-0.1334427,-0.05408288,0.0077511184,-0.13519374,-0.05533246,0.0073296726,-0.13554822,-0.053889785,0.007578266,-0.13481255
-0.054784793,0.0077789174,-0.13554567,-0.054677736,0.00758008,-0.13517812,-0.055062883,0.007630471,-0.13539533,-0.055470508,0.0074204216,-0.13570333
-0.054553166,0.007664996,-0.1354642,-0.055483527,0.0073131053,-0.13563995,-0.053466722,0.0074006673,-0.13570742,-0.053395092,0.008255813,-0.1345436
-0.053021774,0.0077433903,-0.13531263,-0.055140883,0.0073762927,-0.13561037,-0.05419962,0.0081631085,-0.13426371,-0.054648474,0.008019463,-0.13506098
-0.055902988,0.0066149477,-0.13765356,-0.05420033,0.008081221,-0.13506623,-0.05432873,0.007391057,-0.13553308,-0.05473316,0.0076802783,-0.13543746
-0.054826528,0.0072525973,-0.13475445,-0.05434481,0.008055552,-0.13481633,-0.055530194,0.007294081,-0.13566627,-0.05423526,0.0077887634,-0.1350504
