class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.115562335,0.06805002,0.07513745,0.11958869,0.069785,0.075374156,0.117267616,0.061634224,0.07161855,0.11740961,0.06599799,0.07099527
0.12039647,0.07402104,0.07500443,0.11536294,0.06772791,0.07556959,0.116543524,0.06550021,0.07220108,0.11718906,0.071480624,0.07705871
0.11639552,0.06990608,0.07716671,0.12003083,0.07159044,0.07668111,0.11832158,0.06933232,0.07746473,0.1178444,0.069281735,0.07422236
0.119716056,0.07133727,0.07741663,0.11689594,0.069249555,0.07916024,0.11573296,0.06911068,0.07513791,0.117820136,0.06497054,0.06957167
0.117880836,0.067809075,0.07115047,0.11833043,0.07063397,0.07778086,0.11952891,0.073094554,0.0754101,0.115962245,0.064545535,0.07173441
0.12084702,0.06507453,0.07467038,0.11974606,0.0723259,0.077895015,0.117793426,0.07061565,0.07300231,0.1190942,0.06786588,0.070666805
0.120895386,0.07191617,0.07562824,0.118865676,0.0670638,0.07163311,0.11901783,0.067269236,0.07162292,0.118466936,0.0672144,0.070826374
0.11700106,0.07156856,0.075389534,0.119817026,0.064117834,0.075038224,0.118827164,0.066525735,0.07264435,0.11687315,0.0708425,0.07712839
0.11811766,0.06653661,0.07286148,0.11527504,0.067898646,0.0746,0.12059095,0.07434614,0.07429781,0.12036734,0.07176285,0.07595143
0.1172066,0.06780967,0.07416146,0.11532551,0.06801596,0.07396083,0.116584286,0.06550169,0.07208946,0.11855843,0.06992024,0.07741752
0.11668736,0.07034674,0.07436481,0.12140646,0.07243024,0.075177446,0.115874425,0.06589103,0.07226895,0.11877542,0.06797421,0.07302471
0.12079714,0.07567831,0.07542295,0.11951838,0.07166332,0.07634447,0.1181821,0.067963704,0.07125048,0.11909921,0.06722071,0.070685595
0.11719849,0.06656104,0.07147965,0.118585706,0.06574192,0.07296541,0.117573485,0.064710714,0.069218695,0.11763568,0.06997682,0.07211478
0.117251754,0.07055753,0.07417477,0.11675231,0.06692239,0.07598394,0.11776765,0.06783882,0.06920359,0.11839746,0.07007939,0.072766036
0.118530415,0.06933193,0.078314856,0.11808211,0.066095576,0.06936041,0.116193846,0.06844201,0.07735757,0.11909842,0.06336734,0.070751496
0.11840132,0.06614307,0.07003397,0.11766379,0.06889204,0.0747328,0.11723333,0.06692762,0.07275145,0.117215894,0.064543255,0.07446057
0.119130485,0.071723044,0.077957526,0.117388085,0.0662048,0.07420958,0.119173326,0.07189768,0.07580172,0.11846258,0.069075756,0.07267581
0.11868507,0.07186827,0.07704947,0.11972603,0.074541785,0.075426966,0.11631994,0.0693479,0.07707358,0.12027622,0.07136661,0.07559547
0.12067869,0.07524965,0.07538778,0.11965331,0.06940896,0.07541703,0.117909946,0.07269506,0.07365615,0.117855355,0.061558366,0.07105802
0.1172319,0.06764453,0.074542075,0.11746466,0.06993611,0.075085856,0.118942365,0.06702333,0.07310111,0.117400184,0.06774177,0.075972185
0.116418436,0.06618014,0.07510778,0.116791785,0.06902055,0.07704033,0.12003809,0.0722805,0.07834181,0.117989264,0.0694977,0.07761339
0.11683541,0.06612357,0.07106892,0.1191119,0.07275268,0.0771285,0.11921548,0.07079276,0.07314495,0.119240694,0.07379532,0.07525836
0.116375506,0.07062328,0.0737245,0.1167005,0.06971449,0.07467608,0.118114226,0.073150724,0.07614572,0.11758558,0.0639749,0.068887286
0.116647124,0.06948643,0.07429181,0.116237074,0.069176644,0.07361016,0.11980047,0.06889566,0.07366273,0.11656413,0.06870852,0.077578336
0.11767679,0.06558335,0.068749756,0.119719945,0.07162066,0.07688018,0.11778679,0.068692714,0.07848925,0.118199684,0.070051104,0.07492513
0.11893646,0.07135066,0.07811354,0.119626984,0.0739151,0.07512174,0.11749299,0.067370385,0.070773706,0.11837277,0.06130952,0.07093423
0.11893062,0.07166325,0.077489555,0.11737321,0.06418125,0.06847762,0.118881136,0.07141693,0.07783661,0.11770317,0.067353584,0.070673496
0.11817543,0.06968998,0.07788036,0.11645279,0.06604418,0.06893064,0.11477375,0.061512005,0.07128295,0.11604793,0.06564568,0.06954659
0.11900638,0.06577502,0.07330112,0.120314375,0.06626606,0.07216037,0.11766929,0.0612997,0.07091044,0.118417606,0.07134384,0.07766556
0.11667608,0.069480084,0.077952296,0.11869478,0.064834826,0.07258704,0.11907061,0.067865215,0.07270473,0.12167746,0.0749749,0.07511137
0.11830964,0.07112583,0.07554147,0.117129065,0.06405462,0.06880117,0.11723814,0.06707398,0.07096212,0.11815163,0.072417885,0.076168545
0.12046292,0.07436919,0.07514301,0.120737635,0.07362516,0.075724065,0.118444644,0.07155644,0.07736253,0.11669083,0.0685001,0.07132881
0.11662352,0.07005139,0.07785318,0.11902662,0.0712525,0.07766234,0.11518946,0.067511156,0.07783796,0.12131518,0.06594738,0.07483445
0.117814556,0.06947254,0.07839101,0.11590371,0.06943112,0.07808059,0.11843331,0.07169504,0.07831823,0.11920062,0.07180655,0.07549158
0.118567035,0.06609729,0.07002677,0.117397934,0.06606497,0.071672946,0.116092205,0.064467914,0.075051695,0.11670621,0.06887696,0.0748486
0.119653285,0.071933225,0.07655694,0.11799278,0.06482478,0.06844603,0.11782624,0.06976066,0.07107228,0.11789152,0.07068755,0.07418505
0.11983087,0.07287597,0.0780195,0.11751126,0.06653158,0.07213616,0.11716586,0.0697217,0.076483846,0.11817605,0.073258325,0.07645283
0.11755974,0.067311265,0.06987331,0.11997966,0.067316286,0.07237962,0.11995841,0.07310202,0.07573068,0.12085589,0.07543543,0.07629187
0.117658,0.07108107,0.076146364,0.118083954,0.06474926,0.06984036,0.11657534,0.06864759,0.07559568,0.11763435,0.0686482,0.077470176
0.11766586,0.0650876,0.069927394,0.11748212,0.07012947,0.0768749,0.11878724,0.073600434,0.075193845,0.117575854,0.0683759,0.075139835
0.12140105,0.074341975,0.07540985,0.11812179,0.069286704,0.07742478,0.12009487,0.069062926,0.07233065,0.11768205,0.06923266,0.076085284
0.1162997,0.06825691,0.07333847,0.11916491,0.07188657,0.07842443,0.11981718,0.06428273,0.07456051,0.118332826,0.062227726,0.07033621
0.11996724,0.075061716,0.07537213,0.11852653,0.06414407,0.06940773,0.11979682,0.07515576,0.075352535,0.11854326,0.066092856,0.07388896
0.119788036,0.066215046,0.072898224,0.11600603,0.067781664,0.07877074,0.12144809,0.07476679,0.07528527,0.115263,0.06791162,0.07636172
0.1170868,0.06599139,0.07172121,0.11561247,0.0679097,0.0749463,0.119918,0.066832356,0.07486406,0.1194999,0.0724899,0.07654774
0.11903866,0.06564687,0.072735675,0.119976334,0.072581835,0.07756258,0.117361836,0.06184406,0.070892,0.11897013,0.061882272,0.0710239
0.1162532,0.07016323,0.07453717,0.12117244,0.073888406,0.075900994,0.118831865,0.06735642,0.07432793,0.11577387,0.063165724,0.07198598
0.118034504,0.06425686,0.06930133,0.11659917,0.0665174,0.07070083,0.118761785,0.06578194,0.0726744,0.1182311,0.061918113,0.07062855
0.11813444,0.06458953,0.06869134,0.116665035,0.069464825,0.07691129,0.11668743,0.068919644,0.07706238,0.117210954,0.07067064,0.0772577
0.11774771,0.06659746,0.07246963,0.11717547,0.06627361,0.07453705,0.11794012,0.061214507,0.07206612,0.11902517,0.06445178,0.07071502
0.11984742,0.0710585,0.074271135,0.11767701,0.06765677,0.072415866,0.11764142,0.06565057,0.07230894,0.11927419,0.07471783,0.076510176
0.11863406,0.07438243,0.07551064,0.119536154,0.0707778,0.075120896,0.11887659,0.06357695,0.07029332,0.120895416,0.0641417,0.07468982
0.11769815,0.0698946,0.078542724,0.1184928,0.07424043,0.074910514,0.117705144,0.0685032,0.076590724,0.117551066,0.07166302,0.07616422
0.117814094,0.06685076,0.069270186,0.124308735,0.07753153,0.07570702,0.11642854,0.068809904,0.07677219,0.11689024,0.06982318,0.07563599
0.116947375,0.06706991,0.06984677,0.1220356,0.06598735,0.075518325,0.117313825,0.07064656,0.07662827,0.11735349,0.07023723,0.07226537
0.11931558,0.0670983,0.0723029,0.11847064,0.06562296,0.072981425,0.11681263,0.07180784,0.0770148,0.119266585,0.064906046,0.07390201
0.11786102,0.066488236,0.07160762,0.12020551,0.065949515,0.07197402,0.11725896,0.06730362,0.07107787,0.121045016,0.07341321,0.07508302
0.12017946,0.07483825,0.07544049,0.11891602,0.07125971,0.07808999,0.11909993,0.0741763,0.07497757,0.11937096,0.066379346,0.073098525
0.117046006,0.06524946,0.071230896,0.11818706,0.06457298,0.06869222,0.118439324,0.068075426,0.070897624,0.11795284,0.07038496,0.07734795
0.11929913,0.0644494,0.07463955,0.1215704,0.06683931,0.076115415,0.11795864,0.067551084,0.0716692,0.11800431,0.070217855,0.074077465
0.118436396,0.06400074,0.0686187,0.1160106,0.06840979,0.07612283,0.118392676,0.065801896,0.07380696,0.11571878,0.06486069,0.07175625
0.118992865,0.06512279,0.0737101,0.1173283,0.0642092,0.069157876,0.11572955,0.06954286,0.073780656,0.11902006,0.07031784,0.077252634
0.11769176,0.06600313,0.07182908,0.12126158,0.074084975,0.07543856,0.118163556,0.06836355,0.070898645,0.118792996,0.070012264,0.07826747
0.12070436,0.06506341,0.07488338,0.11680886,0.06664065,0.07072963,0.11768734,0.07040245,0.07302137,0.12114757,0.074961446,0.0754334
0.11877562,0.07055123,0.077972054,0.11896973,0.06712958,0.07073055,0.117736645,0.067091584,0.07155283,0.1181834,0.06990807,0.07703569
0.12131999,0.074354485,0.07528782,0.118710935,0.07085126,0.075115964,0.12071216,0.07462911,0.07525454,0.11726075,0.06952564,0.07877926
0.11836118,0.07226037,0.07698688,0.11584389,0.06889841,0.07399651,0.11680378,0.06817621,0.07777048,0.11830229,0.06990962,0.077577695
0.12153086,0.07386351,0.074637555,0.116859905,0.06825006,0.073362865,0.119800285,0.06892921,0.073472016,0.11824472,0.06508166,0.06937237
0.11717348,0.07091945,0.074122794,0.12149764,0.073333815,0.07574377,0.11805212,0.06576738,0.07048377,0.11822706,0.071279995,0.07498313
0.11764731,0.06507825,0.06813815,0.11635342,0.06902742,0.073518164,0.12052252,0.07254733,0.077200875,0.11762355,0.070731886,0.072505414
0.11834113,0.064060435,0.068927586,0.116790146,0.06833297,0.07850951,0.11697492,0.072208755,0.076669805,0.11863653,0.07414678,0.07482408
0.11575988,0.06852933,0.07709008,0.11561206,0.06846384,0.07577564,0.11734277,0.06662114,0.06931052,0.11884215,0.07061865,0.07369133
0.11747979,0.070266254,0.07740024,0.11856857,0.06919526,0.074095406,0.1186646,0.071877494,0.07361291,0.11845691,0.06594044,0.07014801
0.1191444,0.07365583,0.07415464,0.11827479,0.06951696,0.07547741,0.11833516,0.06906063,0.07379167,0.11655267,0.06867615,0.07511203
0.11726205,0.071270466,0.075522535,0.11720869,0.06373636,0.068484224,0.116892755,0.06706526,0.07129439,0.11711341,0.06688343,0.071762964
0.12113212,0.07372099,0.07385784,0.11793891,0.06643111,0.072354764,0.11808522,0.06566636,0.070341066,0.11686319,0.068548195,0.07363795
0.12050489,0.07429883,0.07525645,0.11967608,0.06387354,0.07444982,0.121235006,0.07413869,0.075552136,0.117265694,0.0659717,0.07312553
0.119251974,0.069204286,0.07509511,0.11738089,0.06806709,0.073418066,0.11540777,0.066979766,0.07183199,0.11737543,0.06280882,0.070296995
0.116968654,0.070897445,0.07726722,0.119956486,0.06695425,0.07198248,0.11740484,0.065922,0.068999685,0.11867749,0.074806325,0.075968914
0.11809275,0.066408165,0.070487626,0.119583234,0.06706214,0.07196437,0.11805633,0.06929153,0.072445795,0.11931039,0.06487388,0.07351831
0.12102204,0.07362479,0.074850276,0.11728237,0.068207376,0.07604939,0.120385796,0.06454516,0.07483964,0.118219346,0.07014213,0.0776741
0.11893325,0.07169186,0.07688242,0.11872801,0.06663524,0.06920918,0.11920431,0.06465108,0.070282385,0.11788562,0.06926102,0.07756604
0.1165902,0.06856866,0.07743393,0.11760244,0.07052154,0.0751559,0.11783769,0.062189907,0.07084859,0.120353036,0.07326677,0.07624741
0.11852787,0.06831545,0.07225837,0.11993572,0.06638232,0.07237735,0.12065062,0.073978975,0.07758215,0.117285945,0.069431625,0.07316538
0.1174167,0.065087885,0.07062639,0.11748511,0.06633206,0.07191285,0.117711194,0.0646481,0.06952034,0.11889906,0.07465741,0.07446477
0.118371114,0.069513425,0.078193076,0.11527903,0.06890281,0.07817517,0.11748422,0.06987703,0.075461514,0.11969432,0.06407194,0.07505851
0.11886476,0.072133146,0.076320246,0.11769961,0.0673813,0.07174982,0.11709542,0.06651974,0.069312386,0.11972735,0.06568003,0.07396833
0.11949903,0.068235375,0.0750887,0.119741075,0.07172047,0.07646876,0.12179366,0.074616514,0.07520581,0.11727267,0.070748925,0.077332065
0.11832769,0.06730381,0.0731238,0.119426996,0.070926465,0.07534681,0.11677439,0.06949796,0.07698108,0.1172189,0.065260015,0.0747553
0.11943154,0.07213953,0.07747466,0.12024247,0.07198666,0.077114776,0.115402505,0.069221094,0.07309858,0.1183706,0.06546879,0.072594345
0.11850871,0.06643852,0.07130568,0.11906344,0.071830556,0.07733144,0.11949433,0.072637886,0.077149436,0.11955862,0.063966274,0.075245
0.118739344,0.07110006,0.07868521,0.1205612,0.07511188,0.07578466,0.118528895,0.070215255,0.07775924,0.11893833,0.07234991,0.077205606
0.11623928,0.0704071,0.07416502,0.11840969,0.06871649,0.07514627,0.11684268,0.06896573,0.07673826,0.11967928,0.07194819,0.07653787
0.11812596,0.06650778,0.07092447,0.12026841,0.06777926,0.07601462,0.12147531,0.07482388,0.07513923,0.11878301,0.07088134,0.07671483
0.11759275,0.07099355,0.07583082,0.12019465,0.07240045,0.07607042,0.1171855,0.06455656,0.07443033,0.118263565,0.07113933,0.075199276
