class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.049648106,0.47954798,0.02982001,-0.049623504,0.4796213,0.029855244,-0.04964596,0.4795544,0.029822946,-0.049638644,0.47957683,0.029833198
-0.04963547,0.4795866,0.029837735,-0.049607225,0.47967154,0.029878095,-0.049612626,0.4796597,0.029869124,-0.04960806,0.47966987,0.029876575
-0.049612656,0.47965616,0.0298701,-0.04964952,0.47954348,0.029817969,-0.04966323,0.47950104,0.029798895,-0.049613886,0.47965086,0.029868796
-0.049655646,0.47952437,0.029809445,-0.04960479,0.47967935,0.029881425,-0.049648568,0.4795463,0.029819295,-0.049626403,0.4796143,0.029850557
-0.049648836,0.4795445,0.029819466,-0.049649566,0.47954345,0.029817916,-0.04965426,0.479528,0.029811665,-0.049639955,0.47957116,0.029832058
-0.049629465,0.47960496,0.029846199,-0.04960443,0.47968057,0.029881842,-0.049604654,0.47968006,0.02988153,-0.049608707,0.47966787,0.029875651
-0.049634136,0.4795888,0.029840209,-0.049608655,0.4796682,0.0298758,-0.04960935,0.47966594,0.02987475,-0.04965411,0.47952917,0.029811583
-0.049632706,0.4795934,0.029842362,-0.049632035,0.47959524,0.029843211,-0.049623184,0.47962248,0.029855788,-0.049630046,0.47960317,0.029845394
-0.049604803,0.47967952,0.029881284,-0.049656108,0.4795229,0.029808842,-0.049634114,0.47958887,0.029840268,-0.049607366,0.47967112,0.029877871
-0.04965192,0.47953498,0.029815026,-0.049614854,0.47964787,0.029867403,-0.049613,0.47965366,0.029870018,-0.0496355,0.4795865,0.029837668
-0.049655326,0.47952542,0.029809915,-0.049656346,0.47952217,0.029808521,-0.049627364,0.47961137,0.02984918,-0.04962553,0.4796153,0.029852487
-0.04964222,0.47956425,0.02982881,-0.04965686,0.47952044,0.029807866,-0.04965639,0.47952163,0.029808544,-0.049651958,0.47953585,0.029814549
-0.049651153,0.47953838,0.029815689,-0.049627744,0.47961044,0.02984871,-0.049634993,0.47958618,0.029839039,-0.049630046,0.47960126,0.029845998
-0.049656764,0.47952077,0.02980797,-0.04965648,0.4795217,0.029808357,-0.049653262,0.47953096,0.029813126,-0.04965668,0.47952104,0.029808052
-0.04960476,0.4796794,0.029881448,-0.049604677,0.47967994,0.029881462,-0.04966323,0.47950104,0.029798895,-0.049620673,0.4796319,0.02985873
-0.049623966,0.4796219,0.02985403,-0.04961119,0.47965926,0.029872537,-0.049610496,0.47966266,0.029873177,-0.0496369,0.4795804,0.029836312
-0.04964888,0.4795441,0.02981934,-0.049647905,0.479547,0.029820673,-0.049623936,0.47962022,0.029854715,-0.049656793,0.47952062,0.029807992
-0.04960482,0.47967952,0.029881291,-0.049652085,0.4795355,0.029814385,-0.049607337,0.4796722,0.029877655,-0.049604446,0.47968066,0.029881805
-0.04964354,0.47956184,0.029826358,-0.04963649,0.47958344,0.02983626,-0.04961981,0.47963288,0.029860541,-0.049621567,0.47962722,0.029857978
-0.049637727,0.47957993,0.02983459,-0.049651638,0.47953582,0.029815413,-0.049628474,0.47960824,0.029847689,-0.04965029,0.47954,0.029817343
-0.04960473,0.47967976,0.029881388,-0.049623713,0.47962067,0.029854983,-0.04959789,0.4797005,0.029891089,-0.04963947,0.47957256,0.029832676
-0.049605943,0.4796756,0.029879838,-0.049620852,0.4796294,0.029858977,-0.049612954,0.47965372,0.029870033,-0.04961557,0.47964713,0.029865883
-0.04960484,0.47967917,0.02988135,-0.049653485,0.4795304,0.029812805,-0.04960443,0.4796807,0.02988185,-0.049604267,0.47968104,0.029882103
-0.04961677,0.47964197,0.029864728,-0.04963708,0.47957993,0.029836088,-0.049643606,0.47956035,0.029826887,-0.049656883,0.47952038,0.029807813
