class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.11176974,0.080109894,-0.11718452,-0.111770004,0.080109864,-0.117184445,-0.11176979,0.080111004,-0.11718137,-0.111770056,0.08010984,-0.11718452
-0.111771256,0.08010984,-0.11718065,-0.11177161,0.08010981,-0.11718118,-0.111769825,0.08010988,-0.11718161,-0.111770354,0.08010985,-0.11718408
-0.11177065,0.08010974,-0.117183775,-0.111769624,0.08010982,-0.117184676,-0.111769356,0.08010994,-0.1171823,-0.111769006,0.080110036,-0.11718321
-0.111770704,0.08010976,-0.117183864,-0.11177148,0.080109574,-0.117182255,-0.111770965,0.08010996,-0.117180526,-0.11177156,0.08010973,-0.11718144
-0.11176977,0.08010988,-0.11718452,-0.11176972,0.080109835,-0.11718465,-0.11177144,0.08010983,-0.117180854,-0.111770496,0.08011003,-0.11718065
-0.11177147,0.08010988,-0.11718077,-0.11177134,0.08010988,-0.11718072,-0.11176972,0.080109924,-0.11718175,-0.11176899,0.080109976,-0.11718343
-0.11176996,0.0801098,-0.11718454,-0.11177038,0.08010998,-0.11718077,-0.11177107,0.080109715,-0.11718333,-0.111770175,0.08010981,-0.117181234
-0.111769065,0.08011001,-0.11718304,-0.11177121,0.08010971,-0.11718284,-0.1117698,0.08010989,-0.11718172,-0.11177008,0.080109894,-0.11718132
-0.11176964,0.08010989,-0.117184564,-0.11177022,0.08010988,-0.117184356,-0.1117715,0.080109686,-0.11718184,-0.11176996,0.08010988,-0.11718445
-0.11177101,0.080109805,-0.11718348,-0.111771494,0.08010959,-0.117182285,-0.111769065,0.08010985,-0.11718414,-0.11177119,0.08010991,-0.11718054
-0.1117693,0.080109924,-0.11718252,-0.11176911,0.08010985,-0.11718425,-0.11177013,0.080109924,-0.117184244,-0.11176892,0.08010986,-0.11718373
-0.111771055,0.08010972,-0.117183186,-0.11177101,0.080109805,-0.11718348,-0.11176896,0.08010991,-0.11718367,-0.111771174,0.080109894,-0.11718058
-0.111771435,0.08010957,-0.117182426,-0.11177046,0.08010992,-0.11718079,-0.111771345,0.080109745,-0.11718275,-0.11177152,0.08010983,-0.1171809
-0.11177155,0.08010958,-0.117182136,-0.11176918,0.08010991,-0.11718427,-0.11177154,0.080109805,-0.117181234,-0.111769214,0.08010995,-0.11718273
-0.11177056,0.08010991,-0.117180645,-0.111769095,0.080110006,-0.11718289,-0.111770496,0.080109894,-0.11718059,-0.11176961,0.08010988,-0.1171845
-0.11177132,0.080109976,-0.117180675,-0.111771,0.08010995,-0.11718056,-0.111771576,0.08010978,-0.11718106,-0.11176899,0.080109775,-0.11718409
-0.1117711,0.080109715,-0.117183454,-0.11176954,0.08010998,-0.117181756,-0.111769944,0.08010993,-0.11718119,-0.11177005,0.08010988,-0.117184505
-0.111768946,0.08011003,-0.1171832,-0.111771,0.08010994,-0.117180474,-0.11177144,0.08010964,-0.11718233,-0.11177115,0.0801097,-0.11718308
-0.11177071,0.08010993,-0.11718066,-0.11177104,0.08010981,-0.11718348,-0.11177189,0.08011408,-0.11718328,-0.11177155,0.08010958,-0.117182136
-0.11177148,0.0801099,-0.11718086,-0.11177114,0.08010972,-0.117182985,-0.11177105,0.080109805,-0.11718342,-0.11176917,0.08010997,-0.11718429
-0.11177053,0.08011001,-0.11718063,-0.11176947,0.0801099,-0.11718225,-0.111771025,0.08010991,-0.1171806,-0.11176894,0.08010987,-0.11718394
-0.111771256,0.08010989,-0.11718061,-0.11177069,0.08010991,-0.1171807,-0.11177156,0.080109596,-0.11718198,-0.11177071,0.0801098,-0.11718373
-0.11177073,0.08010989,-0.117180705,-0.11177109,0.08010965,-0.11718313,-0.11176999,0.080109835,-0.11718444,-0.111769885,0.08010983,-0.11718454
-0.11176901,0.08011002,-0.117183074,-0.11177067,0.080109835,-0.117183805,-0.111767754,0.08011032,-0.1171829,-0.11176919,0.080109835,-0.117184445
-0.11177111,0.08010971,-0.117183186,-0.11177071,0.08010993,-0.11718056,-0.111769274,0.08010989,-0.11718444,-0.11177136,0.080109656,-0.117182344
-0.111771494,0.080109596,-0.1171823,-0.11176982,0.08011001,-0.11718147,-0.111768976,0.08011,-0.11718303,-0.111769386,0.08010995,-0.11718443
-0.111769214,0.0801099,-0.117182605,-0.11176893,0.08010999,-0.117183365,-0.111770056,0.08010985,-0.11718455,-0.11177082,0.080109775,-0.11718369
-0.1117696,0.08010988,-0.1171819,-0.111771375,0.080109864,-0.11718073,-0.11176991,0.08010984,-0.11718161,-0.111770675,0.08010973,-0.117183685
-0.1117695,0.080109894,-0.117184475,-0.111769184,0.08010987,-0.11718432,-0.11177154,0.080109805,-0.117181234,-0.11177099,0.080109775,-0.117183596
-0.11176898,0.08011002,-0.11718324,-0.11176905,0.08010987,-0.11718391,-0.11177103,0.080109775,-0.11718351,-0.11177084,0.08010988,-0.11718063
-0.11177128,0.08010967,-0.11718259,-0.11177022,0.080109775,-0.11718123,-0.111770585,0.080109864,-0.11718077,-0.11177016,0.080109864,-0.117181174
-0.11176937,0.08010993,-0.11718438,-0.11176921,0.08010998,-0.11718259,-0.11177062,0.08010983,-0.11718406,-0.11177065,0.08010996,-0.11718052
-0.11176999,0.08010986,-0.11718144,-0.11177154,0.08010973,-0.117181234,-0.111770295,0.08010982,-0.11718099,-0.111769274,0.08010991,-0.11718254
-0.1117709,0.080109976,-0.11718048,-0.11177013,0.080109924,-0.117184244,-0.11176897,0.08010983,-0.11718412,-0.1117716,0.08010967,-0.11718151
-0.111771286,0.080109954,-0.11718069,-0.111769184,0.08010988,-0.117184445,-0.1117715,0.0801096,-0.117182046,-0.11177037,0.08010985,-0.11718073
-0.11176935,0.08010996,-0.11718257,-0.11177105,0.080109775,-0.11718354,-0.11176955,0.08010993,-0.11718224,-0.1117709,0.08010998,-0.1171804
-0.11177113,0.08010988,-0.117180616,-0.11176907,0.080109894,-0.11718425,-0.1117707,0.08010991,-0.11718056,-0.111769475,0.080109894,-0.11718196
-0.11176992,0.08010985,-0.1171845,-0.111771286,0.08010984,-0.11718066,-0.11176925,0.0801099,-0.11718443,-0.11177148,0.0801099,-0.11718086
-0.111769915,0.08010985,-0.11718458,-0.111771286,0.08010972,-0.11718289,-0.11177051,0.08010986,-0.11718418,-0.11177077,0.08010978,-0.11718376
-0.11177129,0.08010959,-0.11718257,-0.111770324,0.08010991,-0.117184244,-0.11177046,0.08010992,-0.11718079,-0.111770764,0.08010977,-0.117183745
-0.11177156,0.0801098,-0.117181234,-0.111770734,0.080109864,-0.11718056,-0.11177143,0.08010784,-0.11718363,-0.11177094,0.08010971,-0.11718351
-0.111769356,0.08010994,-0.1171823,-0.11176954,0.08010998,-0.117181756,-0.111771114,0.08010992,-0.11718049,-0.11176934,0.080109954,-0.117182456
