class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.088726915,-0.11458613,-0.07270013,0.08874564,-0.11456579,-0.07277109,0.0887442,-0.114475764,-0.07267945,0.08862774,-0.11442992,-0.072739124
0.08872783,-0.11458232,-0.07270134,0.088727534,-0.11460258,-0.07268137,0.088653475,-0.114724755,-0.0727215,0.088749975,-0.11458954,-0.07276144
0.088675775,-0.11455566,-0.07267779,0.08869408,-0.114561595,-0.07278377,0.08868769,-0.11471518,-0.07275898,0.08870419,-0.11441203,-0.072720125
0.08871679,-0.11455293,-0.07263782,0.08874988,-0.11457226,-0.07278011,0.0887688,-0.114609145,-0.07266907,0.08873497,-0.11448399,-0.07267812
0.08869313,-0.114596695,-0.07278536,0.088730805,-0.114624,-0.07277406,0.088797055,-0.114521556,-0.072782695,0.08873367,-0.11459467,-0.072760575
0.08864633,-0.11455083,-0.072700456,0.08865914,-0.11451804,-0.07267528,0.08866416,-0.11477889,-0.07274721,0.08869748,-0.11459058,-0.07285186
0.088644095,-0.11444116,-0.072627135,0.088771485,-0.114549376,-0.072820075,0.08869412,-0.11456758,-0.07278308,0.08871048,-0.11471217,-0.072643735
0.08865552,-0.114576526,-0.07278174,0.08874045,-0.1146036,-0.072752394,0.08871198,-0.114632145,-0.07280333,0.088732995,-0.114582025,-0.072608195
0.08869431,-0.11451943,-0.072698236,0.088722125,-0.11446998,-0.072718635,0.08873874,-0.11454161,-0.07280857,0.088740125,-0.11445631,-0.07277078
0.08873518,-0.11461074,-0.07278228,0.088762075,-0.11459135,-0.07277469,0.08870247,-0.114608206,-0.072790004,0.08865651,-0.11459117,-0.07274252
0.08864317,-0.1145052,-0.0726605,0.08869992,-0.114601284,-0.072766475,0.088671416,-0.11458652,-0.07274053,0.08874183,-0.11454711,-0.072602496
0.08865469,-0.1145364,-0.07264875,0.08866553,-0.11462505,-0.07269596,0.08867427,-0.11454861,-0.07275978,0.088761054,-0.114504464,-0.07264276
0.088721536,-0.114626795,-0.072672956,0.0887777,-0.11466032,-0.07273928,0.08867578,-0.11444525,-0.072710305,0.088612534,-0.114464946,-0.072737955
0.08876361,-0.1145855,-0.07277099,0.08867775,-0.11455584,-0.07276283,0.088683456,-0.11458346,-0.07277143,0.08863148,-0.11443009,-0.07273151
0.08868981,-0.11457112,-0.07277992,0.0887411,-0.11461422,-0.07278793,0.088726506,-0.114619054,-0.07276825,0.08868076,-0.114552304,-0.07275241
0.08873625,-0.11460034,-0.07272679,0.0887288,-0.11459958,-0.07269807,0.08864405,-0.11472384,-0.07264523,0.088755034,-0.11447922,-0.07264169
0.08867733,-0.11455076,-0.07276123,0.0886376,-0.11448711,-0.07271621,0.08905182,-0.11516475,-0.07351318,0.08866497,-0.1145496,-0.072750516
0.08865308,-0.114572935,-0.072780386,0.08875093,-0.114629224,-0.0727958,0.088668846,-0.114516765,-0.07271021,0.08866873,-0.11464307,-0.072640255
0.08870161,-0.11454448,-0.07266143,0.08869889,-0.11465963,-0.07272719,0.088967234,-0.11488099,-0.07265365,0.088715784,-0.1146055,-0.072781734
0.088690355,-0.11452716,-0.07267076,0.08867263,-0.11465442,-0.07271927,0.088740855,-0.114380226,-0.072700456,0.08861327,-0.11459568,-0.072719716
0.08870929,-0.11454271,-0.07269906,0.08868231,-0.1145569,-0.07276341,0.08870772,-0.11455899,-0.07267761,0.08878081,-0.11459835,-0.07265815
0.088705845,-0.11459157,-0.07271759,0.08865982,-0.11465349,-0.07278069,0.08882788,-0.11481967,-0.07285895,0.08872956,-0.11462125,-0.07278536
0.088727154,-0.114590816,-0.07271303,0.088737026,-0.11460081,-0.072734654,0.088706866,-0.114622,-0.07258797,0.08870948,-0.11446606,-0.07283069
0.08863898,-0.11449186,-0.072677396,0.088732995,-0.11461353,-0.072781876,0.0886801,-0.11464804,-0.07279837,0.088705435,-0.1147414,-0.07277014
0.08873817,-0.11455154,-0.072727405,0.08868765,-0.11456198,-0.07275685,0.088555016,-0.11422542,-0.07246909,0.0887226,-0.11459246,-0.072716795
0.088756666,-0.11464523,-0.07275447,0.08869148,-0.11459192,-0.07277909,0.08872274,-0.114587076,-0.072689794,0.08873257,-0.114425495,-0.07268378
0.08875722,-0.11458342,-0.072759464,0.08873801,-0.11459474,-0.07271293,0.08871169,-0.11462256,-0.07265115,0.0887953,-0.114539996,-0.07266049
0.08867455,-0.11453807,-0.07267199,0.08874585,-0.11455512,-0.07279428,0.08877344,-0.11457681,-0.07268232,0.08865047,-0.11468353,-0.07276131
0.088745095,-0.114621334,-0.072784126,0.08861811,-0.11447879,-0.072710626,0.08878245,-0.11450275,-0.072813846,0.08866631,-0.11440764,-0.07272356
0.088683575,-0.11454624,-0.072767325,0.08869914,-0.11459979,-0.07278846,0.08870423,-0.11458639,-0.07262793,0.08871598,-0.11455895,-0.07268247
0.088700674,-0.114550464,-0.072688915,0.088741444,-0.11461076,-0.07276913,0.088645,-0.114646114,-0.07279535,0.08867825,-0.114641115,-0.07263616
0.088718705,-0.11460425,-0.07268056,0.08870344,-0.11456255,-0.07269314,0.08872623,-0.1145296,-0.07263254,0.08869404,-0.11469063,-0.072783455
0.08867032,-0.1145335,-0.07266823,0.08871475,-0.11446649,-0.07268923,0.08868747,-0.11458178,-0.07277874,0.088779226,-0.11449285,-0.07280439
0.0887342,-0.11461765,-0.07278554,0.088675536,-0.11452795,-0.072676875,0.088720374,-0.11443996,-0.07270103,0.08873581,-0.11467776,-0.07264281
0.08872021,-0.11459603,-0.07268526,0.08875339,-0.11462605,-0.072794065,0.08869432,-0.114599064,-0.072631486,0.088706106,-0.11458044,-0.07266926
0.08872113,-0.11458905,-0.07270756,0.08876815,-0.11454421,-0.07269175,0.088644,-0.114556946,-0.07279545,0.08878142,-0.114506625,-0.0728152
0.08863703,-0.114489764,-0.072707735,0.08871428,-0.1147189,-0.07278165,0.08873903,-0.114400655,-0.072704695,0.08866213,-0.11451919,-0.07268357
0.08864696,-0.11452318,-0.07268812,0.0887284,-0.11461415,-0.07278987,0.08874413,-0.11449798,-0.072808,0.08874043,-0.114433184,-0.07269378
0.088751584,-0.11465114,-0.07277598,0.08867526,-0.114534326,-0.07266866,0.088783875,-0.11495476,-0.073329635,0.08874508,-0.11449848,-0.07277933
0.08866837,-0.11455113,-0.07268175,0.08876178,-0.11454327,-0.072784275,0.08866249,-0.114400536,-0.07272583,0.0887517,-0.114477865,-0.07270431
0.08867636,-0.114647284,-0.07274471,0.08870214,-0.114604495,-0.072777905,0.088752605,-0.11468674,-0.07261227,0.08867452,-0.114756264,-0.0727489
0.088736355,-0.114617325,-0.07277102,0.088687405,-0.11463244,-0.072809465,0.08863734,-0.114847586,-0.07269103,0.088683836,-0.11448797,-0.072708085
0.088741764,-0.11462791,-0.07278307,0.08870267,-0.114440665,-0.07269594,0.088770546,-0.11443741,-0.072797105,0.08875068,-0.11444298,-0.072680086
0.08872971,-0.114608474,-0.0727636,0.08878514,-0.114653036,-0.072733216,0.08867773,-0.1145082,-0.07270653,0.08879821,-0.11452673,-0.072770886
0.088712014,-0.114587516,-0.07271347,0.08871108,-0.11466043,-0.07266362,0.088700846,-0.11449651,-0.07281748,0.088626936,-0.11465869,-0.0726611
