class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.46728668,13.517391,0.7598022,0.28103283,27.05115,-1.2580978,-1.1437064,-3.8881402,-2.4017022,1.4862849,15.468401,-2.1408353
2.612828,22.840534,-2.7849607,2.2486806,50.204266,1.7078176,3.282129,46.81754,-0.4624591,0.3372906,34.58221,-0.9487941
-0.63479805,-28.883738,-2.536216,4.7329974,71.26756,-1.298671,0.057648554,6.619705,-0.1969738,2.8320973,49.48708,-2.2318225
-1.2325443,-25.065252,-2.5750756,1.3404214,41.33209,-0.78331935,1.4318331,33.52582,-2.2232695,1.3887298,21.791197,-0.7171617
-0.5400368,-13.035,-1.2003688,3.1408927,43.76202,-2.7233772,-0.037804782,8.996773,0.011878312,1.5025716,32.91759,-1.0343095
-0.22351608,6.945874,-1.2500143,3.2042992,56.639366,-0.16371846,1.5170844,36.15687,-1.2490593,0.15243533,-4.57635,-1.3893443
-1.5187938,-0.84010243,-3.84436,3.5794713,36.956535,-0.5396297,-0.08224329,22.41905,0.9385458,-1.231481,-12.546789,-1.4017344
-1.2425808,10.261489,-0.16592905,2.0523918,34.272213,-1.8613183,-1.394134,-5.9767914,-0.8348783,-0.7169163,12.963448,-1.2809033
-1.9294239,-5.168349,-1.9648669,0.54103005,30.813875,-0.3819337,1.4503378,42.834698,0.5253227,2.143246,46.620483,-0.26716185
-0.063393936,-32.61763,-0.77953947,2.7483084,42.6481,1.0976312,2.3443236,35.540806,-0.32942188,-0.75499845,1.3823569,0.15693322
-0.99796486,0.9320557,-3.712713,2.3726873,48.68993,-1.489684,-0.314707,4.9701166,-0.855134,0.7002406,8.796753,-1.6894113
0.45310733,-14.320686,-0.44608217,3.118669,54.79925,-0.07821274,1.4654688,34.174767,-0.7554115,1.9550681,43.055817,-1.844496
-0.6047276,6.1633215,-2.9491947,3.5763,61.665325,-0.6484723,0.6298801,14.6879425,1.5717046,3.0381088,51.10104,-0.0539248
