class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
6.4049172,3.2163439,-43.402454,-4.609221,-3.1237674,20.081768,-1.487849,-1.4565482,3.8922486,-2.7799969,-2.0493646,9.345321
0.94012487,0.04815942,-15.025984,-1.7206943,-1.4380729,8.324461,5.4548755,2.8196483,-38.943775,-2.7499433,-2.0644429,8.807331
2.7511306,1.0647783,-22.166252,-6.133596,-3.9466922,30.336462,-2.3881125,-1.8067818,2.7118835,0.45308125,-0.19633168,-7.1813526
5.6892767,2.734047,-39.041218,-4.7054806,-3.1244216,20.68273,-1.7163863,-1.5990016,5.315242,-6.656007,-4.106517,26.25718
5.7507925,2.6559794,-37.40452,-8.510377,-5.0874844,37.10771,0.29811847,-0.24322969,-11.534446,1.3453196,0.18740088,-10.004253
3.9635148,1.7772436,-29.97937,-4.079322,-2.8769257,14.170054,-1.9322569,-1.7162783,10.226771,-0.85772026,-1.0154157,-1.0990443
5.6594143,2.6301236,-37.079185,-6.5201464,-4.215842,31.882938,-3.2126522,-2.3652835,15.70927,-5.1831303,-3.301337,26.00901
7.49293,3.7893944,-47.804333,-5.1183662,-3.3713772,19.305359,-3.1152515,-2.2052963,11.1552305,2.2962842,0.7846903,-12.451386
6.2635617,3.0947766,-39.302177,-5.3210673,-3.5427957,15.141036,-1.4358199,-1.2154827,-0.2433627,-0.8778285,-1.0801216,1.1299442
5.1383877,2.3106925,-32.4054,-5.252119,-3.3605082,18.16219,-0.2903337,-0.6567499,-1.4502407,-2.4403524,-1.8710341,6.906589
3.969966,1.8800054,-26.709421,-7.42068,-4.528946,32.0659,-0.40791386,-0.73619884,-3.5459194,1.4303871,0.43491954,-16.118736
2.1522508,0.9103617,-20.785862,-3.8229551,-2.6658957,11.146918,-2.823483,-2.0714898,9.688138,-1.834173,-1.4597613,5.6205854
5.3199644,2.5665638,-41.95033,-5.3936715,-3.4943585,25.783825,-3.8461194,-2.5187023,11.296562,3.6312923,1.5199409,-24.349766
2.1331406,0.86897486,-20.056662,-5.2094946,-3.4084165,23.447515,-0.44413793,-0.84380305,1.7242048,-2.6701708,-1.9531665,9.718457
5.9541197,2.879051,-40.13546,-4.4808307,-2.959754,17.666555,-2.2266932,-1.5695622,5.6358924,0.94498885,-0.11388183,-8.244292
7.2950573,3.764542,-48.920345,-3.8765016,-2.4674618,18.352772,2.5133352,0.8961033,-15.963941,1.6571509,0.62133235,-12.652581
4.060501,1.8243537,-31.672422,-4.3963957,-2.5688264,16.027605,-4.418425,-2.7126095,11.515875,-1.5505143,-1.4145253,3.9580183
7.807624,3.9076085,-44.743557,-0.9182199,-1.0273587,4.1333294,-0.57162446,-0.65357065,-5.3715653,-2.1962426,-1.6861777,7.435128
1.8913888,0.49153858,-16.534657,-6.7141047,-4.434433,35.93709,-5.929907,-3.633094,24.234222,-2.7996778,-2.2320273,10.178403
4.647465,2.404218,-35.67416,-5.7337885,-3.833138,26.672558,-2.7610068,-2.0831208,11.280688,-1.7554559,-1.4916115,2.7104096
6.592167,3.223637,-36.740475,-7.027978,-4.4894967,28.35922,-4.9521112,-3.1864398,18.459126,-2.3404262,-1.8440869,12.418059
4.0235786,1.8162832,-31.11306,-3.9117584,-2.8181734,10.593808,-1.8204643,-1.543057,5.6424813,-8.102991,-4.941685,38.168728
1.7268771,0.45532984,-12.673099,-3.4238524,-2.3890944,14.060466,-6.248503,-3.830882,24.370193,0.47443032,-0.2991438,-6.587508
7.522785,3.7851863,-45.55597,-7.965949,-4.7791343,33.0939,-5.6299477,-3.4027486,15.204794,-6.64603,-4.250307,27.83667
1.4888325,0.31792575,-13.364425,-7.3925133,-4.7265964,35.889194,-2.0873904,-1.6050998,7.898706,-5.666081,-3.536866,19.485659
7.1993685,3.6795654,-48.955227,-5.424461,-3.4636776,23.063435,-5.423766,-3.5920491,20.26933,-2.52882,-1.9575489,10.4648905
-2.105555,-1.6710399,6.260333,-5.2198505,-3.3675504,17.739407,-3.2175713,-2.338664,11.407887,-0.51005006,-0.8214489,2.3976717
7.2209244,3.7342749,-49.87872,-2.103827,-1.6477649,8.972167,-1.2693689,-1.1470283,-2.2506123,-0.28279582,-0.7706235,-0.98430395
7.0113173,3.5180917,-44.525906,-4.1158533,-3.0951262,23.930727,-5.9936695,-3.7487597,25.389631,-4.910508,-2.9883618,15.859002
4.702495,2.1590593,-33.931908,-4.8516345,-3.3038673,21.844788,-4.979786,-3.1051064,18.316006,-0.17767471,-0.45107204,-7.639499
4.8588,2.2102394,-31.13985,-3.1101255,-2.4423273,17.345486,-2.7434187,-1.9384854,19.383076,1.9251231,0.6241031,-12.940787
8.080392,4.084113,-50.2943,-1.6521101,-1.4493906,-2.152545,3.444831,1.5695791,-24.538853,-6.708568,-4.086297,28.859688
8.637249,4.3771586,-52.251095,-0.27895722,-0.83375996,0.24359228,3.180059,1.4318197,-23.58535,-4.313458,-2.8975315,15.929009
4.638791,2.273394,-28.748173,-5.750387,-3.7115726,19.829332,-2.500597,-1.5925083,0.8279437,2.1125574,0.74547356,-11.172637
1.3489298,0.50816745,-21.04115,-6.9207783,-4.2022843,34.753002,-4.5008297,-3.0578077,21.618828,-1.474718,-1.2454141,-0.3690394
2.4764028,0.87940615,-16.590843,-8.53536,-5.086019,38.024166,-0.2818323,-0.68872637,-3.95711,0.38033915,-0.1820687,-6.6995616
0.67477,-0.12715095,-10.448318,-1.9999317,-1.6533095,7.4331613,-4.5510454,-3.0296059,17.618515,-3.4788976,-2.4778736,12.392259
5.2331295,2.6384974,-40.060444,-4.553632,-3.1913457,23.205479,-2.674903,-1.9047585,6.652466,-4.890804,-3.1681232,18.704882
4.8677354,2.3296714,-36.8891,-5.433424,-3.5494537,24.553858,-2.419312,-1.7122326,6.8171916,2.9231544,1.2752395,-15.785384
6.939851,3.5455804,-46.16322,-3.215979,-2.2529979,3.5317252,-6.474221,-3.986644,24.402693,3.5267963,1.3982084,-23.715275
4.46266,2.073895,-33.909542,-3.6784782,-2.7266617,12.548397,-0.58331466,-0.9241292,-0.81745315,-2.4794571,-1.8166583,4.165166
7.64913,4.053105,-53.236683,-6.2698936,-3.8236957,26.821438,1.7513148,0.6628056,-18.192467,0.5325718,0.01686722,-10.653062
3.4355917,1.4964013,-23.820847,-4.4573884,-2.8770363,17.57573,-3.125671,-2.1634881,9.677463,-1.5136211,-1.3823905,2.0613053
3.6230264,1.4356141,-24.068386,-5.334649,-3.5736742,20.444927,-3.8349981,-2.577484,15.114145,0.40770668,0.07760018,-11.951566
3.2348323,1.3486862,-26.966778,-4.136181,-3.1126242,19.790802,-2.62437,-1.916991,7.8723993,-0.18175593,-0.5116654,-2.5459626
4.75976,2.3723276,-37.6459,-3.933024,-2.6136427,13.757825,-2.4205265,-1.7587395,7.6729817,0.7245821,0.11646682,-13.826446
5.324678,2.5622668,-35.502556,-6.9211307,-4.3487425,26.82164,-0.33856565,-0.60242873,-9.395962,-1.2993944,-1.0571675,0.02964285
5.2269683,2.6675158,-39.25166,-5.015761,-3.335,21.664562,-2.8551483,-2.2390566,10.9699745,-3.1276727,-2.2778945,13.677947
4.015424,1.9156218,-33.7412,-4.714326,-3.121626,17.453121,-5.0578938,-3.3041174,22.436546,-5.942428,-3.9596078,28.318684
-1.0501919,-1.0548973,-4.1799684,-2.6510067,-2.0026102,9.077666,0.6744286,-0.12866479,-7.1304936,-2.8990264,-2.1042373,10.800006
8.532477,4.299098,-47.44499,-5.966948,-3.9059536,22.361229,1.5476142,0.25286096,-10.41359,-4.1484947,-2.8673513,15.289346
5.9272876,2.8130367,-42.038055,-7.137059,-4.4230566,30.27499,-7.3092227,-4.334078,33.47817,-5.700223,-3.4089823,21.564405
3.8927736,1.6424537,-26.535343,-2.9769077,-1.9285686,12.870046,-2.2675812,-1.8162594,6.7556524,-3.9740267,-2.6165676,11.058699
8.1615095,4.089518,-45.39059,-3.6170382,-2.5156398,13.261891,-6.437238,-4.075289,29.664207,0.7043164,-0.027581751,-10.725772
7.285699,3.8086715,-48.652065,-0.95497334,-1.1510938,0.31337407,-0.18355304,-0.63427246,-0.32065538,-0.0050691366,-0.43011972,-7.486234
8.264273,4.315901,-48.61637,-7.5543976,-4.5207925,36.045223,-5.8761077,-3.782706,29.12238,-2.8584738,-2.0470905,4.90261
6.458873,3.2123022,-44.98488,-6.155636,-4.008796,28.964743,-0.3739778,-0.65218806,-3.580306,0.25869274,-0.17853516,-8.189234
2.9657001,1.1305308,-23.895725,-4.7637587,-3.0052,16.274963,-5.028439,-3.3160348,21.670546,-1.2381923,-1.1031111,-3.5252123
4.9651585,2.481228,-38.28916,-5.5247855,-3.4701893,23.567375,-2.100708,-1.6007116,2.705041,-2.13193,-1.7741668,5.3586984
2.4417596,0.8026591,-22.248447,-1.6787803,-1.3965015,5.606111,1.3922833,0.48752993,-17.27087,-1.7534521,-1.2675967,-0.50632894
4.9773493,2.4714398,-37.885395,-1.4299042,-1.3991616,0.66605985,1.7550019,0.4096486,-14.508788,-7.835368,-4.747137,40.04346
2.1227727,0.69364506,-18.106434,-5.045588,-3.1731522,19.706333,-5.5084815,-3.5877025,24.854141,3.644133,1.8631742,-29.692451
5.83183,2.8972397,-40.404057,-7.7940173,-4.7766213,35.243298,0.50823915,-0.26583445,-9.73655,-2.4712608,-2.1768763,14.162644
5.2543044,2.583598,-33.957348,-4.808791,-2.9005027,25.163237,-1.4536332,-1.2269523,-1.9115477,-3.6028585,-2.5180092,13.677899
7.0638485,3.6027436,-43.1135,-6.6264443,-4.2294545,29.540623,-1.5736173,-1.4306029,3.6351452,1.0327033,0.18234104,-15.091927
1.2684134,0.04083067,-7.946962,-4.2854548,-2.8929741,22.197887,-2.7076197,-2.0081458,6.544041,-2.8659778,-2.1018019,12.614829
7.085842,3.7549405,-52.254528,-2.322385,-1.5167983,9.3877,1.1347265,0.07627636,-9.56954,0.81399226,0.030224144,-8.925249
4.8011546,2.3175004,-35.69623,-5.1024666,-3.2753239,18.30659,-3.5799208,-2.4696183,9.850631,-2.876216,-1.8517642,14.984764
3.3629804,1.5833108,-33.040527,-3.817472,-2.710417,16.23996,-1.4685643,-1.2660713,-1.9262502,-4.426422,-2.8739495,17.62068
8.676027,4.4432077,-55.34808,-3.4447289,-2.466291,18.442444,-3.599028,-2.3740783,13.900213,-0.36489332,-0.8338957,-2.1981359
7.85921,4.0353193,-50.832355,-1.1169145,-1.0894976,0.075318515,-2.8976512,-2.354819,15.346944,1.7296077,0.3105201,-16.744785
7.088706,3.639196,-47.006916,-4.477799,-3.058705,23.118942,-6.2922974,-3.8158484,22.722214,-5.4251723,-3.7360632,28.142792
2.7488651,1.0185635,-21.841698,-1.4491438,-1.4955981,4.126422,-4.370894,-3.0005152,16.83074,3.5100641,1.4756763,-21.325897
6.5320005,3.3197474,-40.8855,-1.4129052,-1.3979042,5.4893827,-4.902223,-3.3155506,20.340513,-0.17333579,-0.54638445,3.1875982
4.801211,2.295206,-32.69711,-2.682469,-2.0560489,9.966962,-5.377876,-3.4871173,22.056515,-2.632339,-1.9297545,10.095181
7.3911037,3.842565,-49.62296,-3.2433267,-2.3766448,11.284992,-4.4451637,-3.027093,20.777458,3.3905263,1.5791633,-29.142431
4.4009595,2.0693705,-27.056828,-3.6134415,-2.5591202,9.738619,-3.1804137,-2.132126,6.3720098,-4.0598464,-2.9706051,20.851303
4.8204565,2.4554067,-34.376446,-4.894014,-3.0544312,19.516335,-3.6092138,-2.5202515,16.920765,-5.4802556,-3.6160417,25.040895
5.947209,2.7294717,-33.206966,-3.656474,-2.4885097,11.362295,1.1860536,0.18411201,-9.692863,-2.8317075,-2.0566692,5.037626
7.2647867,3.6259174,-46.43243,-3.8853226,-2.6636934,18.206388,-5.982196,-3.6478434,24.941513,-5.8254347,-3.721177,25.335054
1.2049888,0.2514258,-16.248634,-6.767747,-4.1462173,30.308422,2.0328321,0.7120182,-19.876255,-2.7539816,-1.9308589,11.897835
4.7989206,2.2013893,-31.323608,-6.7207465,-4.3369923,30.059746,0.4406947,-0.2780603,-6.064744,-2.7306714,-1.7921636,5.2251425
