class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.29040572,1.9232771,-0.99416244,0.3807733,-1.8064935,0.7820858,0.39992335,-3.1222963,1.4044552,0.2949124,-5.3437915,2.555289
0.21492922,1.5139133,-0.75296426,0.07628691,-7.7993407,3.7980573,0.3330038,-1.4920125,0.65927684,0.26622766,-1.584585,0.7445843
0.3463173,0.19957784,-0.16902624,0.07812524,-7.117265,3.547652,-0.8853643,-7.4639735,2.2931514,0.36809394,-1.0273452,0.4111298
0.27964777,2.7423806,-1.3942074,0.18960908,-5.5255284,2.6369464,0.34928432,0.4550713,-0.3211263,0.33498067,-2.150836,0.9890708
0.253264,4.413904,-2.1684248,0.34824386,-1.0145768,0.42932257,0.2928714,-0.040812522,-0.024196208,0.35689503,-0.9126339,0.36550996
0.2528605,4.1585565,-2.038386,0.31877923,-0.98143125,0.4224384,0.3650979,-2.9743247,1.3702459,0.33059987,-2.713688,1.2534997
0.30297583,2.2497575,-1.1647702,0.14646566,0.7792115,-0.3701676,0.39309114,-1.6540427,0.70307684,0.37547702,-1.7154312,0.74382854
0.26906502,3.8302767,-1.9184513,0.3923694,-2.606917,1.1678807,0.4415275,-5.2030144,2.4184942,0.36370578,-2.2663465,1.0338161
0.3047502,2.2326536,-1.1311567,0.36967576,-4.033287,1.888417,0.3464041,0.277147,-0.21656962,0.33158252,-2.7055044,1.2525556
0.35088742,0.4164891,-0.2810216,0.375483,-2.6005168,1.1915902,0.28690484,-1.1873715,0.5242213,0.25947618,-1.3201439,0.6127566
0.2805314,5.747099,-2.8535202,0.37781423,-1.1866889,0.49414924,0.3298554,-1.321436,0.57140493,0.2775665,-5.1460824,2.4693518
0.36077577,0.5249063,-0.3361399,-0.025426835,-3.3844645,1.7400305,0.44549525,-4.167415,1.9038291,0.33359492,-1.4493725,0.62511015
0.29226127,3.4515104,-1.7301185,0.3621658,-0.46746686,0.1488499,0.31729403,-1.0042152,0.43337336,0.3086406,-1.2240984,0.54482985
0.23767066,4.95256,-2.453461,0.2503428,-1.0646833,0.49637458,0.27805084,1.2907267,-0.67148936,-0.19322875,6.7328763,-3.6013796
0.25942487,5.809896,-2.8779514,0.38357574,-1.9135735,0.83047557,0.32951248,-2.1696444,0.9948931,0.35543922,-0.26746258,0.043669403
0.20218855,4.6050596,-2.2642038,0.36969432,-0.55345774,0.17065695,0.2084709,0.8232852,-0.41112924,0.3564114,0.27823704,-0.24113773
0.25552094,2.1484141,-1.0781844,0.34716073,-4.001988,1.8852081,0.3039356,-0.2801198,0.103465855,0.26214373,-2.2326152,1.0444221
0.32091552,2.752304,-1.4073515,0.35692886,-1.0476546,0.4362848,0.29093486,0.7134032,-0.3949893,0.33160594,0.13286963,-0.15022674
0.35101676,0.8013898,-0.461083,0.21270153,-1.2338316,0.5877719,0.2991649,0.6110678,-0.35724872,0.35141173,0.5727533,-0.3681736
0.12916756,8.343002,-3.9778657,0.14162287,-1.9194856,0.9525695,0.26615682,-1.2430322,0.5732497,0.32290283,0.8621945,-0.49955317
0.27903765,0.94584095,-0.50074005,0.027715802,-9.258829,4.63166,0.27497917,-1.2470354,0.5764977,0.32484868,-2.109832,0.97254443
0.1571111,5.730453,-2.7726893,0.3080215,-2.458095,1.1480216,0.20850694,2.4080849,-1.1995469,0.3237648,-0.91733277,0.37854674
0.3328926,-0.40400007,0.12762436,0.3099484,2.6674318,-1.3794758,0.41263527,-3.0334718,1.362425,0.433203,-3.4877472,1.5815108
0.24659742,-1.1635771,0.53232896,0.21512555,-3.4620128,1.6790091,0.3460666,-1.7609243,0.7925135,0.36682674,-2.6376414,1.2023592
0.34946766,1.792033,-0.94640493,0.38812587,-0.7435857,0.26399168,0.37936136,-1.7777822,0.765874,0.31762254,-2.7972603,1.3047906
0.21085022,6.6538544,-3.253499,0.060889214,-4.0930467,2.0785725,0.2527409,3.1711106,-1.586826,0.36234152,-0.4054102,0.10828516
0.32382643,2.610487,-1.3521835,0.2440924,-8.303106,3.9501898,0.3101891,-1.591855,0.72180283,0.34774026,-6.63032,3.1511648
0.24655336,-0.0772644,0.0032435358,0.31985414,-1.6078479,0.714237,0.3425942,-2.0104487,0.90599716,0.28140783,-3.0232441,1.4362605
0.28470078,2.471427,-1.243101,-0.09106216,-9.131567,4.5374117,0.36129177,-3.252873,1.5074128,0.3423404,-0.45484284,0.13639173
0.35051098,1.0051609,-0.58908844,0.3450058,0.99713504,-0.5685024,0.30194348,-1.5964572,0.7431679,0.33311343,0.124400675,-0.14773953
0.19690847,2.6174343,-1.2909032,0.30844882,-0.46229354,0.17638132,0.29294962,-1.7447243,0.79491055,0.2920116,1.864337,-0.96610534
0.25148898,3.2160153,-1.5909579,0.3526867,-3.0231981,1.3980682,0.3863953,-2.5526662,1.1475209,0.29673678,-2.2026546,1.0169262
0.228314,5.0570464,-2.485038,0.37167355,-3.7385254,1.7397308,0.34453064,-0.32712886,0.08068895,0.363846,-3.4007416,1.5736806
0.25343835,1.2703174,-0.64984643,0.41783282,-3.6638823,1.6764222,0.37783718,-1.6398311,0.70763993,0.24780253,-2.1189237,1.0021462
0.32249868,1.5263875,-0.81787694,0.37553596,-2.4375587,1.0875771,0.31046665,-1.578092,0.71168685,0.25288028,-0.9328667,0.41637537
0.16920064,8.817024,-4.306415,0.41206163,-1.160322,0.44056818,0.39679936,-3.188488,1.4586179,0.38146764,-1.9035478,0.82748103
0.22077179,5.9828186,-2.9157927,-0.1295639,-8.374083,4.2024093,-1.3132099,-29.285355,14.122997,0.25624254,-1.4426749,0.6670587
0.33171842,1.0559921,-0.58483154,0.34920937,-1.7442174,0.79566824,-1.58552,-27.584093,13.108381,0.34295762,0.1505609,-0.15803857
0.18390144,4.9155307,-2.3899395,0.3996527,-1.0877234,0.41776678,0.33144277,-1.5769153,0.6956433,-1.2866535,-22.331163,11.319967
