class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.9364476,-3.399284,0.5547594,0.05695644,0.48208857,0.45164466,0.9302722,-3.4810898,0.5522924,0.73523605,-3.307903,0.96539164
1.3520305,-4.091343,2.4922264,1.3365021,-5.2815447,2.2514694,0.98762727,-4.425866,1.6030633,0.40330684,-0.3746971,0.7283046
1.2402465,-4.833043,2.0254765,1.3618336,-4.146391,2.5202222,0.8314085,-2.9899933,0.39911923,0.40503633,-2.536039,0.4117632
1.1697346,-4.872134,1.1541696,-0.043113858,-0.4597534,-0.26929617,1.0232968,-3.6556911,0.68894243,-0.2782575,-0.5745936,-0.4063509
1.1708462,-4.200193,1.9625797,1.3000121,-5.2030706,2.195615,0.9763608,-3.938732,0.74889874,1.036712,-4.4546337,1.0691338
-0.382168,0.7112515,-0.8243005,1.1654136,-4.5188904,1.0031018,1.230382,-4.8586884,2.005554,0.9321313,-3.404812,0.5469301
0.96583533,-3.470795,0.59927505,0.20920128,-2.0702872,0.19675714,1.0001931,-3.796801,0.6734518,1.0332687,-4.4720755,1.6336036
1.1516833,-4.88295,1.9860702,0.0631164,-0.7006215,-0.24696271,1.0685086,-3.8673356,0.76663625,1.2466416,-4.3667355,2.0788443
1.0266678,-4.529028,1.6435379,0.39995492,-0.3692486,0.7246682,0.94000304,-3.4289942,0.55918986,1.1533895,-4.45028,0.97302127
0.086251676,-0.7569812,-0.23883641,0.06617957,-0.7090813,-0.24567185,1.169297,-4.8781605,1.1575977,1.2444406,-4.3535767,2.0766625
0.39689988,-0.37457776,0.71241283,1.3153025,-5.241974,2.2176633,0.4299519,-1.6700274,1.0530133,-0.51526093,0.8171475,-0.9455302
0.23958087,0.5617395,0.652669,1.0180061,-3.8516939,0.7027147,1.0680792,-3.8873432,0.7678443,0.40281367,-0.3728901,0.72779447
0.9802309,-4.430271,1.5882243,0.06070873,-0.69941527,-0.24790679,1.348372,-4.0232897,2.450984,0.99624753,-3.7516043,0.6601462
0.05749446,1.4994673,0.5011622,1.0238225,-3.8844054,0.71501637,1.0034978,-3.7742655,0.67477024,0.06804919,0.27142143,0.44531006
0.10585204,-0.8020558,-0.23097831,0.6550629,-2.0959806,1.3253157,0.76320755,-3.9503303,0.8960274,0.7296321,-3.2016528,0.96967196
0.39685738,-0.35557055,0.7191262,0.11052939,0.5700408,0.527518,0.9905994,-4.4401426,1.6075785,-0.43150455,-0.033140957,-0.62486225
0.08833784,0.75414276,0.50716096,1.1706345,-4.5599327,1.0199751,0.9889624,-4.4430895,1.6095395,0.73396355,-3.5333674,0.9068601
1.2429471,-4.8588696,2.0278032,1.0283949,-3.900667,0.7228682,1.2232504,-4.8320837,1.9936864,0.70560694,-2.1947126,1.3869811
1.1613233,-4.8662252,1.1496524,-0.028454721,-0.4924268,-0.2682569,1.1336896,-4.314479,0.9183825,0.066842645,0.25054306,0.44389218
1.15166,-4.4230165,0.9636009,1.03699,-3.9513276,0.74056906,1.3527958,-5.314886,2.2763023,0.99766755,-3.7597167,0.6630203
0.21449405,-2.1708415,0.25752008,1.1623614,-4.8584633,1.1443528,1.1729138,-4.426092,1.0052497,0.74168646,-3.4373262,0.9629756
0.46114182,-1.7294877,1.0919405,1.1777847,-4.862232,1.1506058,1.1812594,-4.177109,1.9798105,-0.2566093,-0.6539412,-0.37040132
0.99390304,-3.748278,0.65791285,1.0363907,-4.50191,1.0305903,0.6478953,-2.3127768,0.29520416,0.10058099,0.46104145,0.5064118
0.20242241,0.7255504,0.6195923,0.92990935,-3.4089231,0.5482653,0.822073,-2.9615164,0.38724226,1.0314686,-4.457305,1.6282985
0.07167864,0.741719,0.48564386,0.3937053,-0.33448514,0.7205444,0.08620286,0.70970106,0.4967153,0.45832515,-0.62515473,0.77059346
0.42796242,-2.774123,0.49608624,0.9914954,-3.653855,0.6724055,1.0375097,-4.4201,1.6196358,1.2628003,-4.979553,2.0570474
1.0331624,-3.8836932,0.7246369,0.9345436,-3.4606087,0.55549216,1.1338574,-4.2072115,0.89556336,0.43194443,-0.51341915,0.7477804
1.2897571,-5.1836767,2.1799502,1.0675374,-4.6022415,1.6926341,0.16547722,-0.961892,-0.20368342,0.049790263,-0.6694263,-0.25075805
0.058154732,1.4787275,0.50229704,1.3601942,-4.1253643,2.509318,1.1807169,-4.881259,1.1646799,0.9308727,-3.4097457,0.5481577
