class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.09078515,-0.036127392,-0.014826076,0.09116338,-0.03608077,-0.0155480895,0.09023102,-0.034839027,-0.014991541,0.090408474,-0.035224512,-0.0151343765
0.08979374,-0.03756746,-0.015530711,0.09070667,-0.035573673,-0.014886897,0.090718806,-0.03510462,-0.015142931,0.09025924,-0.035622414,-0.01562889
0.09069022,-0.035417553,-0.014184365,0.090351924,-0.035172194,-0.015051639,0.09003728,-0.03627174,-0.013752788,0.09108304,-0.036612086,-0.01423558
0.09000702,-0.035495337,-0.015192441,0.08995186,-0.035732422,-0.013527202,0.09034472,-0.035077833,-0.015043572,0.09036999,-0.035006028,-0.015059038
0.09051384,-0.035797574,-0.015027006,0.09042678,-0.03533317,-0.015091982,0.09030311,-0.035471752,-0.015380688,0.090292536,-0.03507672,-0.015061807
0.08987766,-0.035143632,-0.015185554,0.09034185,-0.035042964,-0.015071087,0.09029299,-0.035754524,-0.015113609,0.08928683,-0.035461523,-0.015105834
0.09016603,-0.035702337,-0.014668106,0.090569474,-0.03584221,-0.014850352,0.09000267,-0.036138833,-0.015050291,0.08853507,-0.03623956,-0.014329122
0.091222644,-0.03577246,-0.015402754,0.089966595,-0.03526357,-0.015118005,0.09038673,-0.035824064,-0.0152260475,0.09013416,-0.035360113,-0.014941134
0.09046258,-0.035462473,-0.015533209,0.09008544,-0.035105653,-0.014802352,0.090405084,-0.035052154,-0.015070919,0.09036894,-0.035009455,-0.015060684
0.08996995,-0.037201334,-0.015802938,0.090473466,-0.035151802,-0.015047854,0.09032429,-0.035181902,-0.015018148,0.09073857,-0.035289142,-0.0151751265
0.09035319,-0.03512199,-0.015021266,0.090256944,-0.035270743,-0.014970196,0.090396374,-0.03524567,-0.015087124,0.090229265,-0.035011232,-0.015018672
0.09038493,-0.035301916,-0.014959022,0.0904942,-0.035536163,-0.015046548,0.09055925,-0.036259443,-0.014485443,0.09048419,-0.035307784,-0.015187576
0.09031223,-0.035105977,-0.015021644,0.090209745,-0.035656504,-0.014997814,0.09039338,-0.034900256,-0.014922221,0.090372905,-0.035046972,-0.015005218
0.09044524,-0.035194296,-0.01497446,0.09056875,-0.035570364,-0.014996901,0.0906507,-0.035451967,-0.014948753,0.090372264,-0.035012156,-0.015057659
0.0903255,-0.035009526,-0.015023696,0.09063458,-0.035169188,-0.015022691,0.09045574,-0.03502562,-0.0150659885,0.090686955,-0.03506191,-0.015061447
0.09158341,-0.03565889,-0.015090318,0.09055387,-0.035655245,-0.014997024,0.09036288,-0.035045538,-0.01511202,0.08910358,-0.037656438,-0.0151666235
0.090471625,-0.035533488,-0.015013659,0.09054597,-0.03563147,-0.015151271,0.08998176,-0.035020985,-0.014925186,0.09030152,-0.03500707,-0.014930209
0.09026545,-0.035258602,-0.015167106,0.09039382,-0.036226325,-0.014792481,0.0903327,-0.035524733,-0.014952845,0.09014562,-0.03510936,-0.014821943
0.09049178,-0.035499163,-0.014810592,0.09034733,-0.035478167,-0.014902367,0.0902386,-0.03515616,-0.015189046,0.089855075,-0.035326157,-0.01559403
0.09037536,-0.035078786,-0.015074175,0.08892172,-0.035456926,-0.015480557,0.09045181,-0.03531431,-0.014995176,0.09019479,-0.03642428,-0.01501447
0.09013733,-0.035049673,-0.01511619,0.090254806,-0.035182435,-0.015026018,0.09137315,-0.03703779,-0.014282368,0.09036979,-0.035009384,-0.015060875
0.090262644,-0.034982655,-0.015082102,0.090534024,-0.035692018,-0.015060581,0.09045574,-0.03538791,-0.015040938,0.09033571,-0.0348281,-0.01480803
0.090145424,-0.03495141,-0.015289584,0.09038587,-0.03506153,-0.01502119,0.09034231,-0.03554454,-0.015658796,0.08967948,-0.03576963,-0.015332596
0.09033937,-0.036144182,-0.014876563,0.0903573,-0.035158,-0.015028326,0.09047417,-0.036886737,-0.014119249,0.09041841,-0.03525881,-0.015058217
0.0903749,-0.035101783,-0.015073637,0.09034977,-0.035074167,-0.015019758,0.09036825,-0.03501827,-0.015051389,0.09047984,-0.03496144,-0.014968191
0.090361096,-0.03617407,-0.015386114,0.09074202,-0.035403397,-0.015269439,0.090878546,-0.035239622,-0.014978964,0.0904894,-0.035130035,-0.014824262
0.090419635,-0.035094738,-0.015088366,0.09039471,-0.03497685,-0.0149080735,0.09039076,-0.035480145,-0.015064302,0.09173088,-0.036455706,-0.015231053
0.090419054,-0.034909643,-0.01487126,0.09034064,-0.03513688,-0.01502421,0.09002951,-0.035322327,-0.014921701,0.09033947,-0.035796903,-0.015001768
0.089644015,-0.03684671,-0.016105069,0.09021889,-0.035769362,-0.0151955765,0.09041946,-0.035103273,-0.0150051145,0.09036768,-0.0350094,-0.015059963
0.09044844,-0.035588752,-0.015036799,0.09028973,-0.03534361,-0.015106406,0.090309255,-0.035111323,-0.015098972,0.09034678,-0.035067223,-0.015029836
0.09045442,-0.03638465,-0.015952602,0.09039781,-0.03624235,-0.014641387,0.0903375,-0.035095975,-0.015016656,0.09037192,-0.035010453,-0.015058171
0.09040232,-0.035394296,-0.014952751,0.09039838,-0.03506895,-0.015108213,0.09010965,-0.03528779,-0.015089029,0.09042268,-0.034918588,-0.015252083
0.091216475,-0.03657411,-0.013960421,0.090003,-0.035553873,-0.015342527,0.090392426,-0.03499481,-0.015055081,0.090398744,-0.035313003,-0.015038598
0.09029023,-0.03558308,-0.014902163,0.09016265,-0.0368807,-0.015666718,0.09014641,-0.034922913,-0.015270447,0.090205,-0.035423994,-0.015583094
