class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.052202336,0.005231124,-0.14411843,-0.05156496,0.0066529075,-0.14420286,-0.051392343,0.0071500693,-0.14480262,-0.05146354,0.006992176,-0.14417377
-0.051466286,0.0067851734,-0.14385517,-0.051409677,0.006848006,-0.14430419,-0.051849257,0.006561607,-0.14427692,-0.05163869,0.006573832,-0.14413887
-0.051658772,0.0064884406,-0.14550187,-0.051461942,0.006656358,-0.14419775,-0.050744463,0.0074678967,-0.1440281,-0.052020065,0.0066437777,-0.14454332
-0.051429585,0.0065914523,-0.1443664,-0.05165549,0.0066234106,-0.14425088,-0.05173984,0.0065781535,-0.1443944,-0.051262733,0.006359973,-0.14413205
-0.05163632,0.006604652,-0.1440779,-0.052594982,0.0054293238,-0.14444235,-0.05197668,0.006395921,-0.14427711,-0.05194402,0.0066802423,-0.14430399
-0.052161716,0.006610058,-0.14407581,-0.051792193,0.006525784,-0.14411181,-0.05129878,0.0068276497,-0.14427917,-0.05163797,0.006565837,-0.14410907
-0.05137428,0.00686329,-0.14436208,-0.05128406,0.0066048102,-0.14402615,-0.051820226,0.0073845605,-0.14447269,-0.05159109,0.006693421,-0.14414278
-0.051997084,0.0071384404,-0.14387809,-0.05220416,0.0062214932,-0.14437169,-0.051509608,0.0067381845,-0.14418754,-0.05160201,0.0066805994,-0.14411958
-0.05159011,0.006762674,-0.14400788,-0.052472617,0.0060957843,-0.14405587,-0.05133574,0.006700444,-0.14415278,-0.051414594,0.0067618843,-0.14433426
-0.051551417,0.0066749,-0.14425239,-0.051422045,0.006917966,-0.14420761,-0.051399305,0.0067591877,-0.14421435,-0.05136199,0.0068526883,-0.14420982
-0.051459093,0.0067292275,-0.14412509,-0.051429614,0.006757746,-0.14425111,-0.051438127,0.00674276,-0.14423199,-0.05224616,0.007186751,-0.14453109
-0.051540386,0.006583654,-0.14423573,-0.051082622,0.006518795,-0.14410698,-0.051769424,0.0065540997,-0.14430526,-0.051639542,0.006758669,-0.14413163
-0.052315902,0.006083404,-0.14397435,-0.050940868,0.00713198,-0.14361672,-0.051379535,0.006794454,-0.1442756,-0.051446702,0.0067839934,-0.14433467
-0.051742695,0.0065523027,-0.14408274,-0.051712923,0.006610617,-0.1440271,-0.051641166,0.0068463036,-0.14431931,-0.051364385,0.0067924624,-0.14402774
-0.05147672,0.0067473007,-0.14402889,-0.05151951,0.0068565505,-0.14419901,-0.051632296,0.0066755735,-0.14434154,-0.051433474,0.0067644045,-0.14416151
-0.05144439,0.0067374147,-0.14423215,-0.051439393,0.0067190933,-0.14424215,-0.051555105,0.0065601505,-0.14413269,-0.051531255,0.0066380445,-0.1441546
-0.051531713,0.0067404457,-0.14422132,-0.051464207,0.0067398194,-0.14411858,-0.051383935,0.0067285215,-0.14499643,-0.051448166,0.006775325,-0.14422669
-0.051517338,0.006693307,-0.1442238,-0.051355988,0.0067280596,-0.14425899,-0.051421933,0.006754961,-0.14417277,-0.051269174,0.006854577,-0.14417075
-0.051631384,0.0070004943,-0.1441724,-0.051624864,0.0065519423,-0.14411694,-0.051271074,0.0072260327,-0.14420743,-0.05149861,0.0067959824,-0.1440817
-0.051641952,0.006869581,-0.1440963,-0.05183499,0.006411129,-0.14373274,-0.051670894,0.006605333,-0.1441345,-0.051810596,0.0064389496,-0.14423902
-0.05159912,0.006457446,-0.14422585,-0.051926993,0.006423861,-0.14467937,-0.05148474,0.0065731,-0.14427419,-0.05124508,0.006706893,-0.14412352
-0.051426485,0.006776173,-0.14434223,-0.053484816,0.0066666952,-0.14374393,-0.05167677,0.006672253,-0.14425974,-0.05144412,0.006738197,-0.14422178
-0.051473964,0.006737769,-0.14421692,-0.051505733,0.00671815,-0.14418517,-0.051539626,0.0067144423,-0.14419115,-0.051391467,0.006715888,-0.14424157
-0.051729146,0.006738981,-0.14438513,-0.051502604,0.0068033594,-0.14417279,-0.051446695,0.006766556,-0.1441614,-0.051726386,0.007004751,-0.14484784
-0.051453296,0.006699873,-0.14414322,-0.05410951,0.0055487435,-0.14403544,-0.05232679,0.0057695173,-0.14377971,-0.051346887,0.0067107463,-0.14435841
-0.051602334,0.006862541,-0.14430027,-0.051397946,0.0069844676,-0.14443693,-0.051420443,0.006755294,-0.14423269,-0.051493295,0.00671467,-0.14416343
-0.051508836,0.0067586433,-0.14423011,-0.051494516,0.006896072,-0.14445794,-0.051443983,0.006763979,-0.14417334,-0.05163475,0.006635979,-0.14421009
-0.05146106,0.0069244043,-0.14421755,-0.051385634,0.0067143627,-0.14410943,-0.051437695,0.006725593,-0.14429115,-0.05155035,0.006936431,-0.14427225
-0.051274393,0.0067137443,-0.14427078,-0.051386237,0.0067576068,-0.1443364,-0.05140718,0.006739867,-0.14421326,-0.051606487,0.0064886156,-0.14424047
-0.05149632,0.006492307,-0.14405535,-0.051348574,0.0068017147,-0.14422575,-0.05122111,0.006674935,-0.14427054,-0.05142258,0.006764809,-0.1441899
-0.051694278,0.0065788934,-0.14424315,-0.051576167,0.006582774,-0.14412011,-0.051440082,0.0066850535,-0.1441889,-0.051954612,0.0063203843,-0.14399002
-0.05163873,0.006613587,-0.14418067,-0.051575553,0.0067986986,-0.14424208,-0.051736623,0.006169546,-0.14440559,-0.05144304,0.006637469,-0.14404854
-0.051469117,0.006793796,-0.14420271,-0.051849272,0.0068141613,-0.14420351,-0.05128307,0.006775571,-0.14429623,-0.051463492,0.0066896896,-0.14423028
-0.051599253,0.0067883115,-0.14439276,-0.051442675,0.0067326915,-0.1442512,-0.05170316,0.0070189433,-0.14432763,-0.051862177,0.006569799,-0.14421642
-0.051603198,0.0066334526,-0.14411233,-0.051459596,0.0067766933,-0.1441762,-0.051501192,0.00665871,-0.14420699,-0.051454876,0.0067012133,-0.14423306
-0.05153954,0.0066453405,-0.14407209,-0.051455725,0.006730783,-0.14425716,-0.051237036,0.0066668154,-0.14404656,-0.051531896,0.0067718094,-0.14427401
-0.051427323,0.0067672567,-0.14423817,-0.051330682,0.0067864708,-0.14411241,-0.05167892,0.0064686444,-0.14384076,-0.051536866,0.006701794,-0.14420544
-0.051223993,0.0070547746,-0.14417714,-0.0514848,0.006671168,-0.14418799,-0.05163057,0.0065833046,-0.14391947,-0.051530864,0.006570581,-0.14417781
-0.05144866,0.0068388665,-0.14418209,-0.051916163,0.006307189,-0.14427172,-0.051480904,0.0066886824,-0.14409721,-0.05174394,0.006599375,-0.14407493
-0.051495977,0.0070504514,-0.14461741,-0.05160635,0.006621455,-0.14434364,-0.05152145,0.0067344625,-0.14418016,-0.051418725,0.0067708413,-0.14424299
-0.052445576,0.0060052825,-0.14375494,-0.051414322,0.006840081,-0.14419916,-0.05145597,0.0066856514,-0.14420956,-0.051257573,0.006798049,-0.1443107
