class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
1.1813176,-1.0693612,-0.5393807,-3.9755008,-17.81814,1.4602932,-4.852064,-20.699726,1.3732141,1.443283,0.060429215,-0.20216882
4.3725753,28.143719,-4.293325,-2.4962165,-22.350348,3.9236827,4.2764792,25.890114,-2.5495212,1.6270951,12.172287,-2.479673
3.432445,24.542614,-4.309425,-5.1796083,-15.7656145,-1.378725,3.6526537,17.374008,-0.9627726,0.03277713,-9.492663,1.0534837
6.651069,41.069588,-3.5905604,-0.8735548,-5.696493,-0.12681898,-1.8262848,-8.615966,-1.0862902,1.8682121,2.0906787,-0.72056925
6.8167152,39.833153,-3.578724,-3.1041691,-22.551485,3.863813,1.7742273,2.9719882,-0.90122104,0.93025196,7.8652124,-1.6357803
2.4219673,8.496442,-1.7993308,0.07806423,-4.8653574,0.18582593,-0.5162016,-10.534415,0.7754281,1.1258173,0.8235296,-0.7179786
3.2316198,30.936533,-2.2023335,-0.566499,-6.2169037,0.051847875,1.5194244,8.02465,-3.0095224,0.60492957,1.4370898,-0.5396341
2.9812899,18.06534,-3.2842019,-3.8289957,-18.66983,1.6326627,1.3904172,-0.2873084,-0.19655785,-1.6498986,-18.720913,2.4417622
4.902325,27.891726,-2.8646495,-1.9212025,-15.588731,1.5132046,0.8505814,1.4801449,-1.3948755,0.8614147,14.42752,-2.9438956
5.3944955,24.135,-0.88805413,0.44603518,3.9700618,-2.5250278,3.1409202,21.937778,-4.70995,0.9216198,-2.6195946,0.008463681
2.376151,21.934042,-4.014272,1.9662007,8.05493,-2.660912,0.7632618,6.9063177,-0.8589796,0.8653817,-1.9330579,-0.23209584
4.1102514,27.061573,-5.2077494,1.1491796,3.7540107,-1.5816762,1.4647354,5.3758235,-2.4855876,0.24512205,2.8841038,-1.4895861
5.849893,40.62903,-3.9102468,0.2682276,-5.713196,0.11408364,1.5716363,11.985449,-3.3967881,2.7713091,7.7005787,-1.1538143
1.6986383,5.967626,-2.230952,-1.7234305,-19.770744,2.87961,0.73536325,-1.1706418,-0.35249025,-3.8519304,-14.963231,1.1498177
-1.0258979,-11.853322,1.18542,0.49502793,2.582522,-2.9357271,0.5467278,5.1481457,-3.0395184,0.61779785,-1.6236261,-0.5383309
3.5959625,20.57922,-3.4653246,0.19278911,-5.31312,0.12695667,-4.9030538,-16.639107,-0.45634145,0.7897793,1.2447037,-1.270549
4.1798277,30.36103,-5.0172243,0.76133037,-2.612772,0.08378922,0.5193168,-3.4451666,-0.17108715,-1.3169091,-16.415577,2.6426978
4.0917616,21.871717,-4.2902875,2.1045306,6.1803217,-0.72659487,3.6553817,7.8853083,-0.8809067,0.21244618,-3.1227808,-0.629063
3.1182446,17.045467,-2.417511,1.5503801,3.1587558,-0.8188096,4.713393,28.928364,-1.8708649,-4.3702326,-24.565514,2.0146694
1.9908627,13.556161,-1.9702122,-1.8027323,-17.080997,2.0267615,0.4370621,3.605856,1.4303771,1.1453412,-0.3921736,-0.41095078
3.2455695,26.080591,-4.8129025,-0.12847021,-3.2975154,0.42433697,-1.705404,-2.7557364,-0.68577033,1.1352204,1.9581186,-1.1753008
1.5315266,6.267043,-1.0666072,-0.11313984,-6.647149,-0.46535242,3.6080089,24.28257,-3.797421,1.0661379,3.1749263,-0.7672768
1.1482278,5.208667,-2.245857,-1.2264414,-14.732154,1.3863502,2.191251,11.7823,-2.790814,0.5760124,-3.1954408,0.05998262
2.1993814,5.3907013,-0.8846499,1.0331303,4.083949,-1.1734067,0.7552414,5.87342,-1.0860065,-1.7767562,-20.053654,3.0391064
4.975176,29.383528,-2.5743895,-0.5093901,-5.8365297,0.3487599,3.6634598,23.91222,-2.365586,2.8446443,6.678212,-1.1790032
1.9809879,14.633061,-1.0728312,0.54610276,-2.3941321,-0.5374571,2.0631487,8.593584,-2.8500743,-5.119049,-22.987978,2.280016
2.4439313,11.456919,-2.8976274,2.4855936,16.360512,-3.3455164,0.9991785,10.337017,-2.687602,-0.563437,-8.097015,0.9429098
6.6773663,38.579422,-4.2630496,1.7726558,5.9949336,-2.1212034,2.2239997,1.8205227,-1.2743647,-5.036279,-27.419176,1.6098132
4.2787075,34.457848,-3.6526809,-2.4436529,-22.054901,3.2028718,0.9207374,-2.1933103,-0.09392324,-0.31996614,-1.7599156,-0.40894246
3.617138,22.118187,-3.5839863,0.26527587,-0.25368315,-0.063023835,-5.912412,-23.62498,0.78239024,1.2475309,3.3671265,-1.2048452
2.691121,7.3143225,-1.8424637,-1.0940475,-12.399774,1.4899647,1.543174,1.7082194,-0.6423849,-3.47396,-16.60358,0.50030863
2.6167207,7.091724,-0.80326223,-2.4674032,-14.722326,0.26231164,1.516329,-0.85540617,-0.07023576,-1.6461893,-12.293254,1.1512761
1.9673251,14.965919,-3.7460134,-2.9236069,-8.161333,-0.94590473,-5.590136,-26.219303,0.22225177,-0.63646984,-9.342952,0.70196325
1.7159725,6.399196,-1.7981315,-2.4029872,-14.049889,1.4320744,-0.93268764,-12.9998045,0.82735765,2.5654993,7.966919,0.15532452
2.9247403,21.405655,-3.639472,0.92414546,-1.1819568,-0.3248304,0.35784104,-1.0412095,-1.0883641,-0.043776214,-12.768268,2.3002536
-2.2982955,-17.03106,2.4672856,0.07999095,-6.656438,0.3015581,-0.69544035,-1.0721296,-0.13039702,2.8102555,10.960473,-1.1580222
2.3658319,11.288541,-2.2375178,-2.4479415,-17.736332,2.4149382,3.856762,21.88876,-2.3079953,1.3521118,3.1331983,-1.8091078
0.72455966,5.4397674,-2.5981712,-3.9555387,-12.979941,0.6236577,-3.1501186,-19.130865,3.5004845,-2.3827581,-21.201199,2.8035235
2.6510224,17.127644,-2.434026,-2.7077498,-13.325347,1.343097,3.1190767,11.075988,-1.4054179,0.35748312,-2.7485805,-0.06429586
3.4686742,26.788631,-1.1071911,2.3256745,10.813428,-1.1080066,0.661356,-0.052293718,-0.90710914,-3.5682268,-20.885818,1.7075894
1.694611,19.773605,-4.5279417,1.5895699,7.807658,-2.341471,2.0859933,6.2767334,-0.013120145,1.8346211,10.595775,-2.685341
2.7402067,25.530834,-4.2046337,0.79604363,1.2391351,-1.1703291,1.0855575,2.1889005,-1.3734739,1.0539325,4.105103,-1.2492085
1.7254254,2.9998398,-1.022278,0.39303008,-4.3355603,-0.068399936,-0.2884619,-10.853539,0.75255287,-1.115812,-8.910135,1.303625
1.9381183,4.523139,-1.1802721,1.2699053,1.7631606,-0.95071876,1.2496731,-0.62199986,-0.2570583,-4.8947988,-26.066502,2.3094943
5.9094977,39.732544,-2.897623,-2.0529442,-18.109526,1.5948739,-3.5866976,-26.13363,3.6003206,-2.234858,-19.4651,3.3566194
3.8713317,16.049685,-0.598071,1.2928253,0.27374935,-0.53689647,1.4587551,13.285888,-2.1513996,-3.935788,-23.36905,2.0660894
3.5608702,29.19821,-4.254596,1.8009309,4.328622,-2.5371807,-3.2599823,-27.599552,3.557366,0.7802888,0.79243636,-1.1375536
2.325938,9.946461,-2.411676,-2.138236,-4.4486723,0.11043251,0.396843,-0.92269087,-1.0048592,0.65764964,-1.1622428,-0.672765
