class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-3.1412292,1.4708326,-21.227608,-2.2516599,0.34378022,-15.078007,1.462414,-1.0488926,8.767923,-2.8215427,0.6824038,2.6576908
1.562482,-1.2343417,7.0221105,-2.8272026,0.31192392,-19.699032,-0.12306654,0.2995842,-0.07841557,1.0510725,-0.30535984,3.51471
-2.643076,0.32073432,-7.240973,-1.304889,1.1279554,-12.516702,-1.9109714,-0.17216104,-6.867873,-0.43136215,-1.053628,2.899664
-2.8280132,0.58296096,-30.083847,-1.950747,0.25462157,-9.3341465,-2.0618975,0.13316953,-10.430925,-2.1569438,0.040830046,-13.997509
-2.060579,-0.058184147,-14.512827,-2.2744515,-0.052327752,8.056769,-3.169085,-0.04457876,1.5619462,-1.3350097,-0.2114191,-0.86718166
-5.556781,1.9081357,-38.288235,-1.1573732,-0.20603406,-6.950443,0.21102762,0.010835946,-8.032099,2.7245536,-1.901889,21.99599
-4.458436,1.9705032,-38.975864,2.3818374,-0.8278483,20.898664,1.0942185,-0.7120701,4.073144,0.29705143,-0.8282026,24.61446
-1.7989699,0.07627964,-6.298673,-1.6160433,0.43910193,-13.706007,-2.0534587,0.031259477,-14.230277,-2.531191,0.19094937,-16.10829
-2.897503,2.2738867,-41.990543,-1.0133661,-0.5392777,-1.5544102,-2.426809,0.11598393,-14.743743,-0.25812137,0.28554782,-13.502808
-2.5462153,1.1235615,-26.10119,-0.9311261,-0.5117481,13.371103,-2.713861,0.0329006,-5.3462386,-1.6779943,-0.51252925,17.30643
-2.784344,0.19390623,-17.948158,0.15835726,0.23482576,2.33275,-1.473077,-0.04126981,-9.168999,-1.7434571,-0.05411601,-11.58486
-0.9559423,0.16170573,-8.470743,1.1282918,-0.6349118,15.803841,1.8881376,-0.5303776,15.425007,-0.51923907,0.37431157,-9.086826
-3.1924818,0.27712238,-23.916035,2.3399274,-1.2636057,30.585299,-0.006545894,0.6459201,-9.180425,-1.162863,-0.0020118654,-12.331485
-1.8156779,0.13140383,-9.741307,0.0705628,-0.5056534,13.359606,-1.1090336,0.03053549,-7.762814,-1.6668775,1.179168,-9.321531
-2.688621,0.31720412,-14.13633,-0.29167032,0.6577375,-21.616875,-3.509404,0.5722685,-28.314356,0.53293145,-1.1426204,12.27254
-1.545768,-0.22802413,1.1439905,0.64364225,-0.27056485,6.7254796,2.6258402,-1.2398484,11.938293,-1.3483812,0.7123673,-1.0026451
-0.26180238,-0.42043483,6.1846876,1.1581653,-1.4753643,23.431622,-1.7667551,-0.0034442544,-13.861191,1.4305207,-0.8239958,13.972465
-5.255986,2.289493,-43.619778,-2.309216,-0.13866687,-10.157106,-2.1106725,1.2204823,-14.28319,-0.0351113,0.40921783,-4.8581367
-3.5193102,-0.18683851,-17.53059,-0.61978483,0.110759646,-11.3628,-0.55533767,-0.67774653,-6.8149686,-0.21355915,-0.6240879,19.033737
-1.4400237,0.7646315,-32.643696,-0.6185086,0.29340062,0.36612198,-2.5360076,1.3422884,-12.641483,-4.8944864,0.75147426,-18.673443
-2.7048666,1.2468262,-14.88933,-0.67500114,-0.30306065,-9.442492,-3.6964822,1.0921265,-23.769033,-1.7598715,-0.08503342,-10.8152485
-3.1112838,1.7200001,-28.675678,-3.9111495,0.47119588,-17.81078,0.7701278,-0.48194587,2.5285838,-2.4375856,-0.021445096,-14.393314
-3.1964767,0.21035103,-23.863369,-5.0048404,0.6079963,-1.5921557,-3.4075723,0.41740528,-1.4139085,-0.2091713,0.9925293,0.73332214
-2.261883,0.05892849,-12.122986,-0.17766845,-0.33526278,2.5784638,-3.7552516,0.64312696,-23.60713,-1.4583862,0.3929812,-5.5765834
-2.681161,1.6424502,-36.17808,-1.4288069,0.39102829,-6.4837823,-0.3110839,-0.24483335,0.9108323,-0.68677163,-0.5840978,12.03358
-1.6087582,0.98745424,-32.34069,1.1059668,-0.9867755,28.931976,-1.1760209,0.08178291,-8.015269,-0.3594104,-0.17818421,0.54038084
-3.0358665,2.6313295,-34.532883,0.4717208,-0.79818857,3.4221299,-3.2901335,0.9715298,-18.807802,-0.75808084,1.278091,-4.9268556
-2.423661,0.63540614,-24.814922,-0.9574598,-0.3339244,-5.2262883,0.6557284,-0.8473631,30.326536,-1.4529774,0.2887048,-10.081232
