class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
,,,-0.06629479,0.0646997,-0.1227701,,,,-0.066098504,0.062314246,-0.12096921
,,,-0.06567293,0.065339796,-0.122996524,,,,-0.066688925,0.06521038,-0.12311885
,,,-0.06562512,0.06519041,-0.1229985,,,,-0.066529356,0.06481497,-0.12283134
,,,-0.06639068,0.06498082,-0.12248246,,,,-0.06606902,0.06509779,-0.122467525
,,,-0.06684919,0.0646436,-0.12263673,,,,-0.06637014,0.06550122,-0.12311774
,,,-0.06563096,0.06545123,-0.122489795,,,,-0.06621943,0.06501476,-0.122436225
,,,-0.06729756,0.06524591,-0.120945655,,,,-0.06551829,0.062726624,-0.12127809
,,,-0.06622202,0.06496041,-0.12301234,,,,-0.06671044,0.062090598,-0.12163693
,,,-0.06642413,0.06462933,-0.12260006,,,,-0.0662198,0.064969696,-0.12249828
,,,-0.06677163,0.06472177,-0.12246321,,,,-0.06654426,0.0646989,-0.12257192
,,,-0.066187166,0.065126404,-0.12240348,,,,-0.06663672,0.06499518,-0.122571334
,,,-0.06666593,0.06500995,-0.12265811,,,,-0.06687084,0.064588144,-0.122804396
,,,-0.06606661,0.064819455,-0.12253835,,,,-0.06594436,0.06522925,-0.1230059
,,,-0.066406384,0.06516544,-0.12293533,,,,-0.06558961,0.06536672,-0.122992165
,,,-0.06622415,0.0652056,-0.12258218,,,,-0.07009273,0.06066963,-0.12148236
,,,-0.06275279,0.06544633,-0.1285496,,,,-0.06615939,0.06515347,-0.12255955
,,,-0.06275492,0.06529962,-0.1284047,,,,-0.06684034,0.064966,-0.12249964
,,,-0.06728388,0.062989704,-0.12122417,,,,-0.066223994,0.06499895,-0.12251497
,,,-0.06681207,0.064831994,-0.122499764,,,,-0.0657457,0.065306,-0.12257033
,,,-0.06683952,0.0632893,-0.12101378,,,,-0.066157356,0.064769685,-0.1234782
,,,-0.066386946,0.06523165,-0.12299208,,,,-0.0669803,0.06461312,-0.122589506
,,,-0.06611306,0.06503152,-0.12303635,,,,-0.06568695,0.065480776,-0.122570544
,,,-0.06274115,0.06526521,-0.12833078,,,,-0.06614098,0.06430306,-0.123002134
,,,-0.06568342,0.065375954,-0.12248471,,,,-0.06668777,0.06478025,-0.122121185
,,,-0.06997164,0.06124513,-0.12107081,,,,-0.06625768,0.06496903,-0.12243697
,,,-0.067293964,0.06516757,-0.12107336,,,,-0.065127164,0.06495552,-0.122881964
,,,-0.06564065,0.06535971,-0.12301666,,,,-0.0653366,0.06549372,-0.12261074
,,,-0.06589232,0.065026596,-0.123118415,,,,-0.06611911,0.06497608,-0.12251686
,,,-0.0664351,0.06516288,-0.122905485,,,,-0.06989955,0.060765035,-0.12177581
,,,-0.06580067,0.0655155,-0.12283942,,,,-0.06947222,0.061108578,-0.12128107
,,,-0.06712138,0.06314425,-0.12153567,,,,-0.065659195,0.06548942,-0.122554876
,,,-0.06667294,0.065013915,-0.12271712,,,,-0.06690394,0.06195713,-0.121485986
