class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.6423009,26.774515,-56.048294,3.2352016,-17.83352,36.730515,0.82707185,-0.3932054,3.4196334,3.1202998,-3.5842102,0.46552825
-1.0761802,29.493671,-58.109016,1.6821828,-6.100971,12.180565,0.8925112,-7.138253,31.95552,2.3246577,-8.876624,29.585627
-0.49658388,0.2661692,5.596631,-0.04351777,-10.842555,34.909378,-0.5532159,0.4388852,5.4965243,1.3917658,-18.471447,35.67365
-3.8830726,34.753197,-55.469845,2.7734807,-12.172878,26.164343,-2.420081,17.026987,-34.59341,1.7425797,-15.991216,36.427998
3.669913,-0.9105141,-5.803775,0.039710343,-12.399982,34.492,1.7998145,-11.996864,27.726933,2.8234122,-11.597368,29.694063
-1.8907764,25.939121,-55.778267,1.2223403,-4.3098497,16.11312,-0.34712297,6.2387724,-8.271924,-0.6329004,0.5249707,6.1807837
3.2178328,0.36752293,-4.3933406,1.5744097,-16.804058,37.383568,3.8905752,0.71324176,-3.0216203,4.386494,-5.205678,12.539736
-0.2795803,1.2440557,3.8207345,-0.34676403,0.2681628,5.3888736,-1.8050034,13.691899,-19.07223,2.0076754,-9.818873,28.570734
-0.5706169,-0.31855392,6.914388,0.0904749,-6.2655277,22.12649,-4.9917154,4.2560735,11.959362,2.2163045,-3.6780393,11.801262
2.0945027,-1.9959638,-1.3084812,0.925155,-8.127862,29.53122,1.165379,13.223286,-2.9745667,3.178825,0.39242586,2.016947
0.93265826,0.025039434,2.8784223,1.0796678,-7.7927856,27.279873,-0.7688419,-10.829816,26.058624,2.543997,-10.178847,22.999147
2.698957,2.5268216,-4.2999964,1.8215115,-12.31704,32.60165,5.667633,-11.834135,18.703451,0.5452369,-7.247052,20.402798
-0.39114612,0.29625344,5.4587016,-0.369829,1.935961,4.3248277,1.1151979,-10.759495,18.606895,1.0401652,-15.475602,33.903225
0.5910279,0.4326687,3.8984332,2.272847,-3.7478406,17.439539,2.0656412,18.746904,-27.65047,1.0666306,-10.503062,30.620937
-0.7298009,27.968689,-57.26954,3.4671786,-21.887716,42.863487,-0.0673638,4.543768,-0.5933425,2.4215724,-4.717326,18.368702
0.46003085,26.040737,-49.150536,2.3319,-11.865701,30.288536,1.5227559,-13.711682,32.30585,2.6026318,-17.98504,39.976948
5.405621,16.801031,-48.403797,0.8351901,-3.5812914,20.976336,2.0709736,1.3869073,2.069339,2.4422176,-2.6319468,12.092699
4.621817,13.445562,-42.687122,-0.041469753,-0.27669954,6.4058228,2.5013802,-4.226575,16.061817,3.919514,-13.60062,24.745987
1.7045026,6.186141,-13.526081,1.648792,-12.448115,30.16883,2.1026766,4.0278773,-12.922651,-0.5032937,1.862754,4.497348
-6.16823,34.28208,-40.708073,1.8803141,-9.322366,18.510447,0.6853097,12.610284,-23.825748,1.8286879,-19.595152,42.161694
0.017956078,31.761818,-62.69856,-0.25709695,-0.18626249,7.1266103,5.8156915,2.136359,-6.3889456,2.3711398,-0.7510506,6.5756636
5.6550465,15.511016,-45.70669,-0.4197752,0.3556878,5.3988433,1.146765,-13.424129,37.58775,-0.18183881,2.4866438,3.5928946
2.1195788,5.640478,-11.177048,2.9553316,-13.601544,25.03404,4.6525836,-14.5307,23.72758,2.6311276,-3.491854,16.292854
0.99394524,1.8872786,-5.540103,-0.75479335,-0.6614127,7.7690463,-0.4188196,-0.39653707,18.672224,0.9526631,4.256293,-0.9546571
-0.051692307,1.6624298,3.451067,0.98874694,-17.270939,36.900494,1.5673888,-2.9755986,2.170014,3.8901865,-14.684327,26.041914
1.4667284,26.956951,-49.23554,2.1394064,-18.239433,37.962185,-2.4730537,-2.7545235,13.932262,0.91504747,-6.0067596,28.175648
4.9325576,18.504023,-53.279587,3.0229151,-19.329319,29.5457,-1.3454864,11.813868,-17.172216,3.5228045,-16.409243,31.443726
0.5598729,22.608582,-55.251316,2.1604578,-6.1997337,22.035538,5.682886,-4.9744635,0.37660933,0.6976841,0.9840848,1.8642709
-1.7577732,31.318787,-55.1498,0.6470912,-9.665928,33.146656,1.5478084,-10.362808,25.52504,1.6930768,-14.378785,32.0373
2.8186285,5.9664907,-12.153486,1.015918,-9.649816,16.691832,1.6059327,-7.846529,8.150389,2.831549,-2.1462007,16.15401
1.081598,4.8306484,-9.964083,3.8588874,-13.84889,29.77494,2.236309,3.6667576,-5.2443743,2.2821991,-11.983001,29.697504
1.55386,21.28038,-50.354313,1.556318,-9.360595,29.211508,2.306486,12.924145,-18.073298,1.7931101,-10.498605,30.019121
-0.7915172,-0.515131,7.5671544,0.8003239,1.2660905,3.0633855,0.6480811,19.144135,-49.814648,1.9630139,-10.441053,34.56525
2.7368116,3.530329,-8.195353,2.6600647,-4.065177,12.386042,-8.803057,35.190964,-48.425728,4.1226993,-20.995926,34.193314
