class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.24183875,0.12401146,0.21718453,-0.017233342,-0.08802259,-0.019178674,-0.32914728,-0.34152585,-0.3021407,0.23620674,0.11987275,0.21223621
-0.52520216,-0.5032677,-0.48183358,0.30226207,0.17319342,0.2721417,-0.47027627,-0.45562947,-0.42994142,0.18161678,0.07454929,0.16216873
0.08571109,-0.0038719773,0.07447633,0.267259,0.14474264,0.2403623,0.24160099,0.12378919,0.21694292,0.16640955,0.062004745,0.14818095
-0.5135431,-0.49214473,-0.47019583,-0.073422104,-0.13490112,-0.07096216,0.2608355,0.1402795,0.23544149,0.26470673,0.14235553,0.2378323
-0.06535259,-0.12724712,-0.062702775,0.013117224,-0.06408396,0.007962018,0.29331172,0.16645646,0.26460594,0.09177667,0.0015985966,0.080728635
-0.115709245,-0.16784915,-0.10736737,0.24563569,0.12961125,0.22150432,-0.12185189,-0.1703211,-0.11310886,0.024516687,-0.054139152,0.018635035
0.15511042,0.055929273,0.13945799,0.1025905,0.009146303,0.08946827,0.23125196,0.11536953,0.20757143,0.26240027,0.1408576,0.23585682
-0.62363726,-0.5815796,-0.570207,0.13386047,0.035642266,0.118672326,0.25253898,0.13464653,0.22791635,0.15522936,0.053090602,0.13814901
-0.4061248,-0.40281418,-0.3713103,0.22528777,0.11048937,0.2021256,0.14489138,0.043909103,0.12836222,0.30932653,0.1797066,0.27900386
0.21220577,0.10096806,0.19098751,0.13269913,0.03573653,0.11887573,0.064526916,-0.020742044,0.0556408,-0.09737879,-0.15249172,-0.09171149
0.059957266,-0.022461116,0.052708805,0.23304263,0.11676377,0.20915715,0.059229612,-0.023902208,0.05098383,0.089951694,0.0004300773,0.07890998
0.22465539,0.109965175,0.2015438,0.23257649,0.1164709,0.20880131,-0.06257939,-0.123895645,-0.0604925,0.13264173,0.035494,0.11809422
-0.63050336,-0.58900344,-0.57737184,0.17967972,0.07317087,0.16062032,0.2081806,0.095944196,0.18616228,0.14119548,0.042500883,0.125984
-0.47535804,-0.45975435,-0.43437445,0.21457139,0.10131076,0.19204746,1.8119812e-05,-0.07294868,-0.0028846115,0.16261369,0.059645772,0.1453342
-0.5962968,-0.55974364,-0.5454297,0.052023113,-0.032032922,0.043968543,0.09459591,0.008486688,0.08562836,0.12994295,0.032429367,0.11508517
-0.32319054,-0.3376768,-0.29662132,0.07248008,-0.014837265,0.062490165,-0.0077160597,-0.07826358,-0.008872524,-0.032105327,-0.09968594,-0.0325346
-0.019497901,-0.08881214,-0.020779744,0.16546902,0.06154245,0.14744054,0.06656578,-0.0198012,0.057144836,0.07332024,-0.012479037,0.06490557
-0.35857046,-0.36651057,-0.33025151,0.33633053,0.20353773,0.30442166,-0.15169576,-0.19657616,-0.1402528,0.17008892,0.065472275,0.15187068
-0.16697088,-0.2099019,-0.1557706,0.16873533,0.06400871,0.15033476,0.18152344,0.07556176,0.16293441,-0.3179835,-0.33506355,-0.29371673
-0.030369401,-0.0991475,-0.03108029,0.24290568,0.1248565,0.21813296,0.24164227,0.12369013,0.21669708,0.055204958,-0.029083297,0.046856284
0.21065414,0.09978667,0.18966888,0.19640139,0.08718529,0.17572133,-0.022095278,-0.09203893,-0.02366656,0.048553765,-0.034801513,0.040474758
-0.0037819296,-0.0759792,-0.0063845813,0.19006383,0.082634,0.17082022,-0.5350832,-0.509062,-0.48941267,0.21145085,0.10049236,0.19084351
0.06626198,-0.019011185,0.05742137,0.14518526,0.04509917,0.12984894,-0.034397647,-0.10024448,-0.033567563,-0.0037106574,-0.076420635,-0.006140873
0.059824497,-0.024148017,0.051384002,0.124403626,0.028561324,0.110899284,-0.04068485,-0.10744506,-0.040087625,-0.11617434,-0.16944991,-0.108784094
0.102457225,0.009643227,0.09038605,0.23884535,0.12157503,0.21459375,-0.230117,-0.26182193,-0.21330738,0.092638135,0.0059635937,0.08439317
-0.020216584,-0.09042168,-0.02170989,0.11276138,0.018548578,0.0992326,0.2007586,0.0932017,0.18170749,0.20365265,0.09381083,0.18264972
0.11777121,0.025203794,0.10549377,0.240006,0.12329647,0.21620576,-0.29781586,-0.3155625,-0.27326268,0.081380606,-0.0078068823,0.07062599
0.114847004,0.02065,0.10172792,0.23886076,0.12158799,0.21447842,-0.451192,-0.44212705,-0.4139276,-0.30507416,-0.3234347,-0.28163016
-0.19395904,-0.2325296,-0.1805674,0.23295814,0.11694661,0.20911787,0.24011281,0.122618854,0.215622,0.26178896,0.14042255,0.23565702
0.2518773,0.13230923,0.22638737,0.21401066,0.10194543,0.1920367,-0.4517825,-0.44357112,-0.41481876,0.046462476,-0.035782665,0.039097875
0.23623595,0.11931747,0.21199189,0.15831196,0.05604863,0.14114384,-0.29715362,-0.3142054,-0.27164555,-0.2564997,-0.2825636,-0.23626994
0.22580552,0.11090964,0.20261402,0.23773533,0.12043175,0.21334563,0.24231327,0.124421954,0.2176743,0.0740208,-0.013438061,0.063705966
0.11278266,0.020862132,0.10095464,0.14233053,0.04174885,0.12601067,-0.36372548,-0.3698381,-0.3338911,-0.065194756,-0.124332294,-0.06157258
0.1037668,0.010913372,0.09145786,0.24842525,0.13024995,0.2236955,-0.5581192,-0.52852035,-0.5112671,0.27119383,0.14920202,0.24489973
-0.17427522,-0.21600533,-0.16225682,0.1450277,0.044778496,0.12872268,0.2457788,0.12720087,0.22080116,0.1878663,0.079948515,0.1682977
-0.18411887,-0.22397336,-0.17043874,-0.023976564,-0.09433827,-0.025215566,-0.25879997,-0.28497303,-0.23890717,0.17515123,0.072451204,0.15796088
0.2630689,0.1413931,0.23659177,0.0521715,-0.031455055,0.04409279,0.16089272,0.060302615,0.14508818,-0.23618084,-0.26627123,-0.21715915
-0.0006637871,-0.072757825,-0.0031649172,0.16348282,0.0596779,0.1455981,-0.14719474,-0.19342744,-0.13635404,0.027499199,-0.050474107,0.021828845
