class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.48052195,0.024256319,0.054455206,-0.4805239,0.02425626,0.05445108,-0.4805235,0.024255991,0.0544525,-0.48052096,0.024253815,0.05445438
-0.48052523,0.02425775,0.054448545,-0.4805239,0.024256676,0.05445204,-0.48052153,0.024252206,0.054452434,-0.48052266,0.02425757,0.054455444
-0.48052314,0.024256766,0.054452732,-0.48052362,0.024255902,0.054450624,-0.48052186,0.024257988,0.054457687,-0.4805212,0.024253935,0.054454148
-0.4805224,0.024255425,0.05445318,-0.48052296,0.024257272,0.054454327,-0.48052263,0.02425626,0.054453634,-0.48052457,0.02425769,0.05445054
-0.4805235,0.024255455,0.054451123,-0.48052168,0.024255455,0.05445516,-0.48052198,0.024257392,0.05445817,-0.48052308,0.024255991,0.054452606
-0.48052356,0.02425614,0.05445061,-0.480521,0.02425459,0.054455996,-0.48052588,0.024259895,0.054451026,-0.48052529,0.024257451,0.054448754
-0.480524,0.024256974,0.05445064,-0.48052213,0.024255604,0.054453596,-0.48052162,0.02425453,0.054453403,-0.48051882,0.024249941,0.05445531
-0.4805246,0.024258703,0.05445248,-0.48052213,0.024254292,0.054452226,-0.4805239,0.024255782,0.054450452,-0.4805235,0.024256796,0.054454155
-0.48052314,0.024256498,0.05445332,-0.48052338,0.024256498,0.054454066,-0.48052254,0.024257302,0.054454416,-0.48052436,0.024257332,0.054451734
-0.48052067,0.024260402,0.054462343,-0.48052278,0.024255425,0.054452807,-0.48052338,0.0242576,0.054453507,-0.48052266,0.024256945,0.054454505
-0.48052254,0.024256468,0.054454558,-0.48052272,0.024256289,0.054455698,-0.4805235,0.024255663,0.05445143,-0.48052308,0.024256676,0.0544533
-0.48052266,0.024257094,0.05445443,-0.48052266,0.024256647,0.054453306,-0.48052433,0.024256766,0.05445108,-0.4805251,0.02425769,0.054448575
-0.48052284,0.024257213,0.054454148,-0.48052302,0.024255812,0.054451883,-0.4805231,0.024257123,0.054454207,-0.4805233,0.024258047,0.054452926
-0.48052254,0.024255782,0.05445271,-0.48052156,0.024253845,0.054453015,-0.48052362,0.024258375,0.05445365,-0.48052344,0.024255842,0.054452688
-0.4805228,0.024255097,0.05445168,-0.48052347,0.024255902,0.05445291,-0.48052493,0.024258673,0.05445028,-0.48052287,0.024256319,0.054453567
-0.48052174,0.024256676,0.054456003,-0.48052356,0.024256289,0.05445204,-0.480524,0.024258047,0.05445356,-0.4805234,0.024256915,0.054452613
-0.48052344,0.02425605,0.05445093,-0.48052174,0.024255961,0.054456085,-0.48052302,0.024256587,0.054453544,-0.48052257,0.02425623,0.05445402
-0.480524,0.024258614,0.05445265,-0.48052534,0.024258524,0.05444944,-0.4805218,0.02425605,0.054456145,-0.48051676,0.024253756,0.054464996
-0.48052317,0.024255425,0.05445163,-0.4805222,0.024255306,0.054452658,-0.4805233,0.024256945,0.05445347,-0.4805225,0.02425754,0.054454744
-0.4805239,0.02426061,0.054453507,-0.48052374,0.024256468,0.05445175,-0.4805238,0.024257094,0.054452077,-0.48052204,0.024255425,0.054453723
-0.4805252,0.02425775,0.054448575,-0.48052332,0.024257451,0.05445303,-0.48051968,0.024254352,0.05445847,-0.48052403,0.024256736,0.054451555
-0.48052225,0.024255306,0.054453388,-0.48052207,0.024255782,0.054453723,-0.48052484,0.024256825,0.05444999,-0.4805244,0.024256915,0.054450408
-0.48052377,0.02425614,0.05445157,-0.48052457,0.024257034,0.054450095,-0.48052767,0.024257809,0.054442897,-0.48052338,0.024255842,0.054451883
-0.48052207,0.024253756,0.054452673,-0.48052436,0.024257064,0.054451436,-0.48052287,0.024256766,0.054454096,-0.48052266,0.024255514,0.05445417
-0.48052436,0.02425763,0.05445262,-0.4805214,0.024254411,0.054453723,-0.4805222,0.024255723,0.05445446,-0.48052242,0.024253905,0.05445095
-0.4805232,0.024255842,0.054451436,-0.48052263,0.024255931,0.054454036,-0.4805235,0.024257213,0.054453366,-0.48052338,0.024255544,0.054452047
-0.48052272,0.024257958,0.05445902,-0.4805194,0.024254054,0.05445806,-0.48052552,0.024255782,0.054445446,-0.48052263,0.024255902,0.054453775
-0.4805239,0.024257064,0.054452658,-0.48052222,0.024256289,0.054455593,-0.4805229,0.024256349,0.054453313,-0.4805219,0.024255842,0.0544556
-0.48052397,0.024256706,0.05445064,-0.48052335,0.024256706,0.054453284,-0.4805214,0.024254113,0.05445358,-0.48052213,0.024253875,0.054451182
-0.4805225,0.02425602,0.054452546,-0.4805234,0.024256617,0.054452136,-0.4805227,0.024255872,0.054452933,-0.48052385,0.024257451,0.054452255
-0.48052555,0.02425906,0.054448962,-0.4805209,0.024254978,0.054456495,-0.48052236,0.024255931,0.054455064,-0.4805235,0.024256527,0.0544525
-0.48052388,0.02425751,0.054454178,-0.48052394,0.024256319,0.054451674,-0.48052165,0.024255753,0.05445543,-0.48052388,0.024256349,0.054452106
