class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.05383605,-0.03758148,0.119565904,0.052957997,-0.036593795,0.119890206,0.05256166,-0.03625494,0.11920289,0.053135924,-0.036578212,0.119483106
0.053366024,-0.036782928,0.119385965,0.053006686,-0.036775492,0.119886056,0.052173264,-0.03658408,0.11980109,0.053502172,-0.03693148,0.11971483
0.052360322,-0.036028333,0.11915694,0.05362145,-0.03742864,0.1194987,0.053869512,-0.0375812,0.11956528,0.05285089,-0.036348335,0.119361654
0.053176783,-0.03695499,0.11938396,0.053660125,-0.037421353,0.11951102,0.052856393,-0.036686692,0.119974546,0.052241147,-0.0366806,0.118768446
0.05218709,-0.03703195,0.11931068,0.0527887,-0.03672138,0.11947538,0.053033568,-0.036843203,0.11971988,0.0533109,-0.03684251,0.119556054
0.05204611,-0.03556352,0.11909542,0.05319182,-0.036812812,0.11968002,0.0531453,-0.03636155,0.119476646,0.05378657,-0.03748774,0.1194504
0.053365678,-0.036741484,0.11954591,0.0529603,-0.036997184,0.11912395,0.052262228,-0.03589718,0.1196903,0.052196287,-0.03660312,0.119392514
0.051648404,-0.03520546,0.11953865,0.052321408,-0.035674237,0.11902069,0.052715108,-0.036133707,0.11933751,0.052248474,-0.03653326,0.119606204
0.05388702,-0.037527338,0.11954986,0.052999195,-0.036943957,0.11984821,0.052757856,-0.03599839,0.119473524,0.053870063,-0.037467994,0.119588085
0.053407483,-0.036792092,0.119723044,0.0538653,-0.03760898,0.11955769,0.052913636,-0.036839094,0.11953371,0.05252295,-0.03612212,0.11953017
0.05329088,-0.037049115,0.11953197,0.05300613,-0.03693561,0.11956227,0.052682362,-0.036403015,0.119313404,0.052796803,-0.036250662,0.11989797
0.052320346,-0.037211657,0.118522726,0.052871097,-0.03670762,0.11949084,0.05261784,-0.0364671,0.11966356,0.052789465,-0.036964886,0.11967419
0.053474545,-0.037086982,0.11955957,0.053676147,-0.037423007,0.11968318,0.05293954,-0.037045144,0.119612455,0.05304306,-0.03667362,0.11970824
0.053585127,-0.037353363,0.11946387,0.05317826,-0.03694642,0.11919058,0.05275856,-0.035720892,0.1190375,0.05323922,-0.03585492,0.11948991
0.053200725,-0.037043136,0.11972637,0.05255848,-0.03648751,0.11965335,0.05302367,-0.035928242,0.11963009,0.053120762,-0.036359195,0.11953726
0.053412825,-0.03690268,0.1198201,0.053244054,-0.037073787,0.11957408,0.05200062,-0.036104016,0.11971259,0.052939646,-0.03648316,0.11954127
0.053382553,-0.03673462,0.11935322,0.05326523,-0.036860425,0.11938597,0.052592188,-0.03602871,0.11918409,0.053570937,-0.037581507,0.1193754
0.053726394,-0.03739318,0.119505584,0.05314004,-0.036794875,0.11918956,0.052899092,-0.036738798,0.11923036,0.052618787,-0.036496148,0.11936213
0.051504496,-0.035042573,0.11977816,0.053444482,-0.037185,0.11964391,0.05312203,-0.03705175,0.11969325,0.05331647,-0.036545716,0.11964042
0.053348634,-0.036931984,0.119827785,0.053079933,-0.037011713,0.11966268,0.051816873,-0.037486464,0.119183555,0.05280207,-0.03636458,0.119253464
0.053251736,-0.036935978,0.11933781,0.05306704,-0.036743432,0.1194459,0.05381452,-0.037336413,0.119466186,0.052855093,-0.036637135,0.11938223
0.053866602,-0.037602387,0.11957074,0.053546973,-0.036952533,0.11957843,0.052928627,-0.036556166,0.11942846,0.052552193,-0.0362295,0.11916525
0.051757682,-0.035570033,0.118755735,0.053387627,-0.037061688,0.119811185,0.05186582,-0.036771685,0.11918147,0.053253934,-0.036390282,0.11966004
0.053340293,-0.037013218,0.119630694,0.05307626,-0.036888953,0.11969448,0.053875025,-0.037592713,0.11957589,0.053823974,-0.037607178,0.11955406
0.05366583,-0.03745156,0.11949457,0.053024635,-0.037232827,0.119922064,0.053131647,-0.037188653,0.11959709,0.052107066,-0.036782842,0.11913032
0.05334328,-0.036889758,0.11930708,0.052966963,-0.03667895,0.119582385,0.05212132,-0.03626065,0.11995222,0.052530486,-0.036296725,0.11929808
0.052626986,-0.035181995,0.11871004,0.053192314,-0.0363286,0.11937579,0.05295678,-0.03635506,0.11963784,0.053317152,-0.036982406,0.1191878
0.05297598,-0.03698986,0.11955181,0.053635962,-0.036496896,0.11957124,0.052932292,-0.03642412,0.11930655,0.05302339,-0.03717811,0.11970535
0.050650097,-0.03559435,0.117842585,0.053795483,-0.037466504,0.119582854,0.053044885,-0.036288764,0.12015817,0.052979544,-0.036688715,0.11953552
0.053212605,-0.03675811,0.11939488,0.052711327,-0.036579594,0.11973621,0.05305637,-0.03653246,0.119330026,0.05262667,-0.036743876,0.11899097
0.053450108,-0.037172668,0.11960908,0.0528646,-0.036268704,0.11937257,0.052744724,-0.036814593,0.119504064,0.0533725,-0.037149023,0.119275354
0.05232666,-0.035635274,0.120099336,0.053356923,-0.036796715,0.11948954,0.053202614,-0.036505602,0.1199719,0.05243459,-0.036197923,0.12016421
0.053152487,-0.036652766,0.11944449,0.05312881,-0.036820203,0.119442016,0.053092305,-0.03579475,0.12009295,0.053718194,-0.03743391,0.11958285
0.05151368,-0.03326455,0.11977874,0.053386834,-0.036763206,0.11943035,0.05209639,-0.035893288,0.118739285,0.053792045,-0.037556414,0.119510025
0.05259694,-0.035899103,0.11891335,0.05288218,-0.03633351,0.11934284,0.053753275,-0.03739077,0.119625464,0.0527338,-0.036448535,0.11925364
0.053455137,-0.036781553,0.1196914,0.05359394,-0.03740732,0.11954442,0.052153826,-0.036464743,0.119267866,0.052971445,-0.036003873,0.119387925
0.051547267,-0.03561392,0.11844328,0.053849343,-0.037586443,0.11956574,0.052880473,-0.036760762,0.120012835,0.053021155,-0.036899343,0.11946795
0.053356975,-0.037020557,0.11957694,0.05330774,-0.036135964,0.119644515,0.05219762,-0.03635546,0.118768886,0.052979264,-0.036728628,0.11933038
0.05255759,-0.036024254,0.12027376,0.0533816,-0.03667018,0.11941416,0.051699333,-0.036115203,0.11934007,0.052982844,-0.036108807,0.11960954
0.05203847,-0.036003314,0.11964283,0.053692896,-0.03747922,0.11946994,0.05384494,-0.037568204,0.11957207,0.052342914,-0.035642773,0.119524136
