class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.041017603,0.14447585,0.016856767,0.040941678,0.14480036,0.01755417,0.040789414,0.1441643,0.017614376,0.04114655,0.14460737,0.016904349
0.041277565,0.1446199,0.017557532,0.040850975,0.14447749,0.01731428,0.041035563,0.14533147,0.017134618,0.041047208,0.14468654,0.017368356
0.039726503,0.14463775,0.016326895,0.04150445,0.1446301,0.01754252,0.040232565,0.14442788,0.017000439,0.041245032,0.14505577,0.016990354
0.04086067,0.14444965,0.016985768,0.04110314,0.14442016,0.017349705,0.040985666,0.1447692,0.016919756,0.041083552,0.14446032,0.017234555
0.041420504,0.14476267,0.017704908,0.04093011,0.14455138,0.017343493,0.04124169,0.14464374,0.017516728,0.04085549,0.14414181,0.015888216
0.040491335,0.14582822,0.016983472,0.04072206,0.14461055,0.01725416,0.040676035,0.14472528,0.017312935,0.041265596,0.14438276,0.01739811
0.041237447,0.14453153,0.017329339,0.041529857,0.14475127,0.017559102,0.041390494,0.14448631,0.017334683,0.041462258,0.14411004,0.016956858
0.04103249,0.14464195,0.017420866,0.04093239,0.14467822,0.017200842,0.041382894,0.14467892,0.017339129,0.04110054,0.14490858,0.01710533
0.041113406,0.14461426,0.017435195,0.0410344,0.14461933,0.01736943,0.04152786,0.14448006,0.017484594,0.041266106,0.1449056,0.0168177
0.04114413,0.14459765,0.017206078,0.041381598,0.14476055,0.017587429,0.04106857,0.14397804,0.016843464,0.041561726,0.1450711,0.017024169
0.040929597,0.14455836,0.017527757,0.04117485,0.14481002,0.01740438,0.04129234,0.14455982,0.016587991,0.041244067,0.14503796,0.01716035
0.041043345,0.14465587,0.017365132,0.041006763,0.14493808,0.017202359,0.040897373,0.14476097,0.017424587,0.041078907,0.14476573,0.017326372
0.041506533,0.14514656,0.017064082,0.041164353,0.14456978,0.01755707,0.041023377,0.14404689,0.017141204,0.04127118,0.1446728,0.017656945
0.04134077,0.14515606,0.017683024,0.041219976,0.14459552,0.017576702,0.040695354,0.14466573,0.017478168,0.041334044,0.14483218,0.017546967
0.041050773,0.14466694,0.017182605,0.041300487,0.14468503,0.017674208,0.040983465,0.1448638,0.017648155,0.04114711,0.1440268,0.016646631
0.040584292,0.14469954,0.01765427,0.041027237,0.14456552,0.017442178,0.04107855,0.14436102,0.01728941,0.04122578,0.14488888,0.017487213
0.041220818,0.1451169,0.017824627,0.0411289,0.144687,0.01755428,0.04125616,0.14489746,0.01702221,0.040833127,0.1449948,0.017469844
0.041200962,0.14491679,0.017145665,0.04102233,0.14457922,0.017250452,0.041022304,0.14441633,0.017429302,0.041315164,0.14491951,0.017629612
0.040945522,0.14487061,0.017396333,0.04133209,0.14466788,0.017700119,0.040891588,0.14448918,0.017008988,0.04120353,0.14483844,0.017542588
0.04104501,0.14478289,0.017536351,0.041240565,0.14471895,0.017480763,0.041340064,0.14494377,0.017965553,0.040935557,0.1444475,0.01762668
0.04118923,0.14590847,0.017221032,0.040527605,0.1447172,0.0171769,0.040669978,0.14482033,0.016649313,0.04095833,0.14483882,0.017409945
0.04123339,0.14474437,0.017239405,0.041074216,0.14461371,0.017145518,0.041109677,0.1450335,0.017440794,0.041451555,0.14467321,0.01703067
0.03991373,0.14455955,0.017583227,0.040831603,0.14470702,0.017547714,0.04133168,0.14460376,0.017292084,0.04114338,0.14434893,0.017527666
0.039752986,0.14626706,0.017510073,0.041239925,0.14479744,0.017426576,0.040942024,0.14477007,0.017070264,0.041394193,0.14518784,0.017374957
0.041525267,0.14454792,0.017389858,0.041273933,0.14468735,0.017610407,0.04106851,0.14446807,0.017160065,0.040576093,0.14451663,0.01790869
0.041046035,0.14535369,0.016517056,0.041197177,0.14458545,0.017544243,0.040879555,0.14407189,0.017848048,0.041187063,0.14459904,0.017391726
0.040883895,0.144673,0.01726283,0.041194584,0.14471246,0.01733943,0.04115603,0.14404036,0.016916476,0.041214034,0.1448295,0.017232005
0.04132859,0.1447297,0.01737269,0.04112163,0.14460483,0.016969535,0.04147205,0.14458746,0.017212668,0.040794127,0.14454922,0.017032614
0.041260675,0.14463897,0.017587772,0.04130099,0.14463119,0.017333666,0.041265223,0.14507867,0.017881285,0.040820614,0.14445238,0.017296249
0.041357346,0.14470492,0.017698562,0.041820366,0.14428438,0.016498938,0.040654708,0.14433193,0.017383693,0.040877268,0.1447719,0.017665276
0.0413233,0.14468625,0.017676981,0.040879283,0.14513578,0.017446056,0.0405586,0.14487001,0.017332517,0.04134689,0.14487615,0.017748652
0.041107196,0.14451486,0.017440213,0.04092855,0.14460848,0.017432567,0.040838372,0.14494358,0.017435623,0.040245157,0.1456926,0.01727657
0.04088933,0.14456432,0.01775634,0.041141957,0.14456178,0.01741935,0.03992698,0.1444814,0.017268915,0.041320454,0.14458193,0.01735582
0.041091636,0.14448862,0.017314766,0.041220903,0.14456712,0.017445002,0.040917646,0.14486699,0.01755064,0.041308485,0.1443758,0.016902152
0.040698905,0.14484268,0.017409232,0.041007448,0.14492059,0.017607415,0.041088585,0.14461124,0.017917112,0.041368827,0.14471927,0.017714698
0.041253515,0.14489742,0.01761292,0.041294076,0.1446848,0.017664671,0.041017093,0.14461118,0.017275492,0.041227415,0.14473076,0.017806446
0.04109553,0.1445405,0.017243203,0.040807337,0.14466125,0.017579943,0.040955156,0.1452907,0.017432787,0.04108256,0.14435557,0.017822474
0.04158241,0.1441137,0.017604344,0.041234806,0.14470841,0.017697532,0.04102436,0.14473484,0.017017879,0.040998302,0.14454514,0.017337255
0.04134148,0.14474525,0.017679324,0.04124689,0.14451532,0.017120712,0.040677197,0.14440092,0.017143037,0.04112471,0.14470577,0.017240686
0.040982556,0.14455068,0.017328955,0.041416645,0.14468847,0.017765593,0.04084096,0.14498043,0.017236406,0.040895447,0.1448496,0.017403994
0.041179154,0.14481091,0.01702005,0.041223522,0.14474636,0.017394163,0.040901404,0.14472371,0.017249933,0.040642418,0.14501184,0.01700502
0.041142244,0.14477898,0.017679423,0.041291144,0.14463572,0.017648617,0.041334815,0.14447276,0.017726788,0.04111098,0.14454669,0.017058818
0.041344665,0.1447544,0.017479582,0.041092746,0.14465062,0.017458605,0.041270312,0.1446136,0.017588366,0.041239206,0.14461137,0.017319338
0.04107257,0.1445927,0.01728216,0.040845897,0.14450812,0.016984856,0.040993094,0.14479452,0.017411595,0.04069195,0.14422712,0.01667841
0.041084126,0.14452101,0.017311819,0.041235007,0.14471175,0.01717109,0.0410494,0.14438604,0.017489465,0.041291766,0.1448194,0.017320007
0.04110552,0.14454664,0.017376263,0.040652156,0.14469899,0.01725042,0.041260708,0.14443572,0.017342776,0.040885665,0.14466734,0.017386742
0.0412878,0.1448329,0.017474461,0.04124291,0.14467835,0.017588908,0.040506296,0.14447203,0.01711062,0.04071164,0.14458628,0.0176147
0.04087541,0.14481921,0.016937956,0.041606486,0.14473353,0.017469836,0.041207846,0.14481974,0.0169402,0.04094491,0.14487942,0.017080748
0.04034928,0.14458375,0.016893052,0.041182354,0.14468369,0.017161813,0.04080355,0.14494337,0.016378876,0.04108583,0.14461529,0.017266123
0.040983494,0.14541723,0.017759047,0.040970225,0.14470871,0.017456269,0.04079741,0.14500384,0.01678752,0.04133812,0.14454468,0.016595209
0.041258544,0.14443082,0.017283691,0.04118932,0.14478093,0.017256347,0.040777914,0.14492531,0.017405385,0.041069414,0.14453904,0.017040987
0.04027827,0.14429021,0.01835475,0.040646177,0.14479502,0.017535387,0.0412799,0.14498314,0.017057015,0.04115444,0.14488591,0.017690312
0.040950373,0.14467019,0.017446313,0.041225884,0.14477317,0.017399317,0.0404464,0.14479865,0.016973864,0.0412075,0.14494118,0.017660532
0.041469224,0.14479925,0.017781118,0.041432604,0.14480133,0.017510131,0.04105053,0.14435525,0.016797235,0.041273385,0.14464848,0.017692575
0.041011583,0.14479987,0.017136948,0.041055873,0.14493875,0.01768419,0.04116888,0.1450333,0.017580032,0.041031986,0.14567499,0.017058324
0.041180864,0.14460288,0.017594442,0.041155685,0.14477766,0.017120682,0.041507922,0.14449722,0.017594695,0.041032396,0.14503393,0.017213808
